,0,1,2,3,4,5,6
0,1,7827,-2224,-7261,522,4331,-1324
1,1,7761,-2200,-7217,545,4436,-1356
2,1,7676,-2165,-7175,566,4541,-1386
3,1,7599,-2138,-7139,586,4646,-1419
4,1,7534,-2121,-7100,606,4750,-1452
5,1,7458,-2113,-7065,627,4853,-1486
6,1,7379,-2097,-7032,648,4956,-1520
7,1,7307,-2079,-6982,671,5057,-1554
8,1,7229,-2048,-6933,694,5158,-1587
9,1,7160,-2030,-6890,717,5259,-1620
10,1,7096,-2012,-6848,741,5360,-1655
11,1,7028,-1997,-6821,765,5459,-1691
12,1,6941,-1978,-6780,790,5558,-1727
13,1,6876,-1965,-6717,816,5657,-1764
14,1,6821,-1943,-6681,843,5754,-1799
15,1,6756,-1927,-6649,867,5851,-1835
16,1,6695,-1918,-6597,892,5948,-1872
17,1,6631,-1905,-6542,918,6043,-1908
18,1,6565,-1877,-6499,948,6137,-1943
19,1,6495,-1845,-6452,977,6230,-1980
20,1,6432,-1825,-6400,1004,6323,-2017
21,1,6368,-1817,-6355,1029,6416,-2056
22,1,6300,-1801,-6316,1059,6507,-2095
23,1,6245,-1786,-6279,1089,6598,-2133
24,1,6183,-1758,-6234,1119,6689,-2171
25,1,6129,-1744,-6178,1148,6780,-2209
26,1,6073,-1742,-6125,1179,6869,-2246
27,1,6022,-1731,-6077,1210,6958,-2283
28,1,5973,-1700,-6035,1243,7046,-2321
29,1,5925,-1662,-5988,1279,7134,-2359
30,2,3008,4575,-1394,5223,11053,-7237
31,2,2230,5858,-1173,5322,10868,-8201
32,2,1864,5595,-1366,5178,10553,-9254
33,2,3701,2997,-1725,5026,10234,-10114
34,2,5273,-641,-1746,5062,10086,-10532
35,2,6335,-1479,-1105,5072,10193,-10332
36,2,7043,-876,-415,5211,10444,-9889
37,2,7525,318,264,5437,10734,-9357
38,2,7864,1300,946,5583,10998,-8708
39,2,8069,1731,1214,5428,11190,-7998
40,2,7956,1959,2061,5563,11373,-7312
41,2,6511,1313,3599,5849,11526,-6732
42,2,4101,-114,4759,6305,11704,-6359
43,2,2887,-959,4662,6881,11981,-5955
44,2,2535,-1375,3884,7654,12334,-5302
45,2,3623,-2478,3374,8400,12638,-4498
46,2,4873,-2776,2362,9052,12902,-3231
47,2,5792,-765,596,9457,13112,-2039
48,2,6488,41,-305,9460,13176,-1953
49,2,7020,-407,-236,9121,13118,-2591
50,2,7435,-1061,284,8730,12971,-3610
51,2,7650,-1759,533,8205,12736,-4849
52,2,7740,-2367,777,7548,12429,-5797
53,2,7469,-3029,1661,6708,12118,-6044
54,2,6629,-2595,1996,5859,11956,-5510
55,2,5570,-911,2291,5322,11898,-4763
56,2,4817,724,2980,5236,11815,-4491
57,2,4697,2150,3333,5317,11729,-4915
58,2,4176,4272,2947,5468,11679,-5656
59,2,3711,5568,2142,5664,11591,-6697
60,2,3435,5213,1212,5748,11425,-7887
61,2,4596,2685,758,5688,11218,-8924
62,2,5814,-998,80,5592,11083,-9502
63,2,6656,-2423,-247,5606,11128,-9484
64,2,7225,-2229,18,5737,11300,-9091
65,2,7623,-1493,606,5859,11495,-8480
66,2,7903,-233,1152,5875,11679,-7736
67,2,8096,760,1357,5874,11861,-7007
68,2,8235,1781,1968,5817,12008,-6301
69,2,8259,2230,2803,5919,12114,-5792
70,2,7994,2181,3850,6187,12229,-5498
71,2,7444,2030,5170,6747,12376,-5301
72,2,6847,1567,6244,7598,12555,-4980
73,2,6434,0,5963,8592,12776,-4119
74,2,5957,-1178,4799,9590,13066,-2484
75,2,6266,-589,1791,10293,13343,-567
76,2,6809,210,-250,10717,13491,194
77,2,7223,-122,-816,10685,13526,-130
78,2,7539,-624,-506,10372,13479,-1014
79,2,7789,-1241,208,9919,13354,-2291
80,2,7994,-2017,582,9369,13161,-3649
81,2,8150,-2658,1184,8661,12909,-4646
82,2,7977,-2824,2212,7825,12658,-5012
83,2,7616,-2203,3200,7174,12499,-4776
84,2,7470,-881,4169,6680,12374,-4524
85,2,7778,-13,4702,6348,12272,-4653
86,2,8027,1078,5076,6234,12225,-5023
87,2,8208,2828,5018,6207,12196,-5592
88,2,8354,4021,3996,6197,12132,-6417
89,2,8494,4519,3253,6058,11977,-7340
90,2,8222,2850,2725,5745,11731,-8266
