,0,1,2,3,4,5,6
4972,2,3808,-648,4869,17753,19596,-20693
4973,2,5102,-867,5227,17929,19635,-20823
4974,2,6092,-1281,5269,18026,19656,-20921
4975,2,6828,-1626,4476,18166,19692,-20877
4976,2,7363,-1755,3978,18163,19705,-20769
4977,2,7737,-1777,4416,17925,19648,-20614
4978,2,7989,-1600,5023,17619,19536,-20376
4979,2,8159,-1317,5586,17296,19400,-20080
4980,2,8266,-899,6184,16973,19236,-19763
4981,2,8297,-509,6879,16638,19122,-19455
4982,2,8242,-353,7959,16301,19047,-19190
4983,2,8289,-161,8205,16109,19022,-19012
4984,2,8383,-200,8108,16051,19028,-18968
4985,2,8454,-299,7906,16021,19044,-18952
4986,2,8553,-931,7014,16041,19089,-18997
4987,2,8585,-1257,5913,16060,19105,-18966
4988,2,8600,-1438,5284,15976,19095,-18857
4989,2,8597,-1520,5273,15719,19024,-18636
4990,2,8577,-1333,5703,15399,18909,-18328
4991,2,8555,-1206,5845,15051,18791,-17977
4992,2,8540,-1093,5970,14682,18709,-17596
4993,2,8487,-975,6507,14292,18659,-17197
4994,2,8328,-612,7419,13950,18620,-16842
4995,2,8315,-423,7912,13731,18605,-16622
4996,2,8373,-456,7789,13703,18611,-16603
4997,2,8419,-532,7575,13754,18620,-16665
4998,2,8452,-691,7572,13833,18631,-16765
4999,2,8479,-1130,6912,13936,18648,-16874
5000,2,8504,-1382,5605,14017,18684,-16933
5001,2,8522,-1775,4660,14032,18707,-16959
5002,2,8527,-1909,4733,13846,18691,-16779
5003,2,8520,-1852,4583,13567,18632,-16471
5004,2,8510,-1733,4698,13254,18571,-16118
5005,2,8501,-1366,5256,12810,12897,-15623
5006,2,8497,-746,5406,12320,12931,-15107
5007,2,8487,-532,6318,12093,12983,-14779
5008,2,8483,-349,7216,11865,13010,-14477
5009,2,8479,-415,7187,11839,13032,-14395
5010,2,8479,-529,7068,11901,13037,-14445
5011,2,8479,-824,6796,11996,13033,-14547
5012,2,8484,-1022,6231,12078,13015,-14669
5013,2,8495,-1630,5697,12135,12969,-14801
5014,2,8498,-1856,5018,12104,12957,-14799
5015,2,8496,-2031,4537,12021,12966,-14706
5016,2,8490,-2061,4312,11832,12995,-14465
5017,2,8481,-1919,4207,11556,13034,-14112
5018,2,8472,-1710,4279,11243,13080,-13673
5019,2,8461,-1393,4741,10901,13129,-13161
5020,2,8454,-896,5153,10527,13164,-12608
5021,2,8410,-657,6042,10313,13174,-12227
5022,2,8406,-469,6739,10146,13162,-11987
5023,2,8421,-547,6811,10131,13150,-11970
5024,2,8431,-688,6616,10217,13150,-12068
5025,2,8436,-862,6292,10348,13159,-12212
5026,2,8440,-1175,5693,10494,13163,-12380
5027,2,8444,-1559,5015,10592,13159,-12532
5028,2,8448,-1824,4358,10569,13152,-12564
5029,2,8452,-1959,4222,10462,13142,-12459
5030,2,8454,-1951,4233,10268,13142,-12205
5031,2,8455,-1810,4194,10022,13148,-11864
5032,2,8454,-1736,4115,9778,13155,-11479
5033,2,8451,-1582,4483,9526,13168,-10991
5034,2,8428,-1279,4809,9219,13157,-10513
5035,2,8299,-938,5628,9037,13133,-10207
5036,2,8174,-984,6333,8927,13098,-10075
5037,2,8245,-1127,6214,8891,13084,-10093
5038,2,8301,-1079,5995,9021,13101,-10198
5039,2,8342,-1308,6015,9172,13113,-10325
5040,2,8373,-1570,5691,9280,13124,-10474
5041,2,8394,-1844,4609,9323,13136,-10639
5042,2,8430,-2045,4020,9290,13109,-10666
5043,2,8444,-2082,3996,9142,13089,-10476
5044,2,8454,-2047,3969,8935,13074,-10215
5045,2,8462,-1980,4148,8688,13057,-9880
5046,2,8470,-1835,4345,8442,13038,-9514
5047,2,8468,-1519,4525,8203,13026,-9157
5048,2,8341,-1262,5065,8044,13007,-8852
5049,2,8245,-1074,5669,7984,12987,-8686
5050,2,8232,-985,5899,7993,12983,-8668
5051,2,8299,-1003,5912,8092,12992,-8779
5052,2,8346,-1212,5828,8270,13010,-8955
5053,2,8377,-1545,5584,8495,13040,-9148
5054,2,8401,-1962,4947,8664,13057,-9427
5055,2,8418,-2147,4139,8741,13070,-9629
5056,2,8430,-2298,3559,8747,13082,-9673
5057,2,8442,-2316,3351,8637,13078,-9550
5058,2,8453,-2262,3279,8430,13062,-9319
5059,2,8466,-2162,3355,8189,13030,-9036
5060,2,8476,-1855,3544,7939,13008,-8659
5061,2,8483,-1529,4125,7706,12986,-8238
5062,2,8479,-1461,4918,7568,12952,-7901
5063,2,8432,-1150,5632,7490,12929,-7698
5064,2,8450,-1047,5938,7501,12926,-7666
5065,2,8463,-1097,5858,7620,12938,-7786
5066,2,8467,-1490,5748,7844,12969,-7970
5067,2,8467,-1605,5308,7947,12998,-8158
5068,2,8465,-1877,4741,8132,13037,-8341
5069,2,8464,-2118,4072,8214,13061,-8495
5070,2,8464,-2359,3454,8247,13073,-8585
5071,2,8469,-2362,3159,8179,13065,-8542
5072,2,8475,-2382,3066,8112,13044,-8399
5073,2,8487,-2388,3403,7993,12998,-8233
5074,2,8498,-2408,3764,7823,12946,-8005
5075,2,8510,-2305,3991,7588,12898,-7727
5076,2,8522,-2301,3965,7389,12851,-7488
5077,2,8527,-2192,4029,7168,12808,-7226
5078,2,8172,-2015,3907,6926,12771,-6996
5079,2,7834,-1867,3256,6643,12735,-6795
5080,2,7092,-1753,2658,6513,12679,-6676
5081,2,6377,-1301,2204,6207,12644,-6270
5082,2,5672,-917,1732,5984,12652,-5610
5083,2,4689,-755,1088,5833,12683,-4817
5084,2,3922,-850,359,5684,12692,-4200
5085,2,3723,-1052,-190,5626,12685,-4014
5086,2,3587,-1324,-640,5705,12692,-3993
5087,2,3326,-1885,-1294,5774,12724,-4101
5088,2,3207,-2528,-2221,5755,12762,-4322
5089,2,3134,-2726,-2749,5873,12810,-4539
5090,2,3111,-2683,-3023,5951,12847,-4697
5091,2,3068,-2940,-3172,6095,12877,-4912
5092,2,3035,-3017,-3347,6266,12909,-5109
5093,2,3045,-3009,-3468,6374,12942,-5279
5094,2,2998,-3041,-3516,6475,12973,-5443
5095,2,2990,-3060,-3558,6575,13004,-5621
5096,2,2990,-3014,-3600,6658,13034,-5798
5097,2,2946,-3025,-3615,6755,13062,-5977
5098,2,2916,-2976,-3605,6983,13120,-6329
5099,2,2910,-2952,-3602,7098,13148,-6514
5100,2,2909,-2944,-3596,7218,13177,-6703
5101,2,2913,-2928,-3569,7329,13204,-6893
5102,2,2910,-2910,-3533,7432,13230,-7079
5103,2,2899,-2903,-3485,7550,13253,-7272
5104,2,2894,-2898,-3448,7664,13276,-7465
5105,2,2886,-2891,-3400,7786,13298,-7658
5106,2,2892,-2882,-3363,7910,13319,-7854
5107,2,2874,-2876,-3324,8028,13338,-8053
5108,2,2877,-2864,-3289,8151,13356,-8258
5109,2,2880,-2849,-3244,8270,13372,-8453
5110,2,2871,-2826,-3199,8388,13387,-8653
5111,2,2865,-2801,-3141,8520,13401,-8853
5112,2,2862,-2806,-3107,8660,13415,-9057
5113,3,2568,-858,2787,13077,13254,-15503
5114,3,3457,-1079,3446,13378,18239,-15931
5115,3,4709,-1194,3524,13643,18310,-16285
5116,3,5716,-1517,3385,13865,18362,-16562
5117,3,6457,-1824,3115,13977,18396,-16706
5118,3,6998,-2101,2980,13953,18412,-16685
5119,3,7389,-2160,3319,13782,18393,-16506
5120,3,7671,-2100,3690,13459,18354,-16130
5121,3,7876,-1750,4087,13065,13102,-15669
5122,3,8021,-1274,4783,12615,13159,-15119
5123,3,8107,-905,5667,12219,13210,-14601
5124,3,8147,-608,6411,11932,13231,-14229
5125,3,8226,-422,6827,11818,13229,-14075
5126,3,8286,-432,6852,11797,13214,-14071
5127,3,8329,-628,6763,11876,13206,-14162
5128,3,8359,-877,6347,12000,13212,-14295
5129,3,8383,-1126,5534,12099,13200,-14440
5130,3,8419,-1697,4708,12046,13170,-14448
5131,3,8423,-1773,4485,11919,13195,-14258
5132,3,8424,-1787,4372,11725,13223,-13969
5133,3,8423,-1705,4471,11446,13254,-13563
5134,3,8418,-1472,4716,11104,13290,-13063
5135,3,8416,-1184,4993,10771,13318,-12553
5136,3,8413,-1024,5335,10494,13333,-12100
5137,3,8312,-741,6017,10278,13347,-11716
5138,3,8203,-497,6508,10164,13351,-11488
5139,3,8228,-545,6654,10204,13348,-11502
5140,3,8216,-718,6510,10327,13353,-11649
5141,3,8270,-1003,6236,10501,13354,-11867
5142,3,8307,-1514,5804,10693,13363,-12084
5143,3,8333,-1818,5045,10795,13377,-12239
5144,3,8352,-1982,4087,10799,13386,-12299
5145,3,8369,-2056,3877,10720,13376,-12221
5146,3,8384,-2052,3939,10504,13362,-11933
5147,3,8393,-1974,3976,10226,13354,-11556
5148,3,8401,-1830,4410,9958,13343,-11122
5149,3,8410,-2000,4882,9760,13327,-10692
5150,3,8414,-1893,5027,9512,13322,-10280
5151,3,8417,-1687,5413,9343,13316,-9929
5152,3,8385,-1527,6004,9225,13304,-9678
5153,3,8394,-1364,6426,9146,13286,-9591
5154,3,8406,-1452,6324,9186,13272,-9702
5155,3,8415,-1578,6014,9290,13263,-9934
5156,3,8421,-1922,5677,9461,13256,-10195
5157,3,8425,-2342,5257,9580,13253,-10390
5158,3,8428,-2652,4721,9607,13254,-10502
5159,3,8432,-2735,3950,9544,13244,-10555
5160,3,8436,-2812,3591,9463,13229,-10464
5161,3,8441,-2622,3763,9221,13216,-10141
5162,3,8445,-2398,4081,8964,13200,-9735
5163,3,8450,-2098,4266,8674,13177,-9334
5164,3,8457,-1835,4530,8403,13145,-8986
5165,3,8451,-1619,5392,8273,13112,-8712
5166,3,8433,-1625,6118,8262,13080,-8565
5167,3,8449,-1514,6134,8340,13086,-8666
5168,3,8453,-1865,5865,8535,13097,-8888
5169,3,8452,-2231,5449,8696,13120,-9074
5170,3,8450,-2502,4861,8764,13145,-9209
5171,3,8450,-2632,3941,8721,13157,-9331
5172,3,8453,-2562,3337,8642,13152,-9352
5173,3,8456,-2437,3177,8503,13140,-9184
5174,3,8462,-2258,3282,8295,13114,-8896
5175,3,8470,-2024,3170,8034,13080,-8527
5176,3,8482,-1865,3583,7825,13029,-8211
5177,3,8400,-1435,4261,7508,12991,-7771
5178,3,8221,-962,5180,7328,12959,-7414
5179,3,8101,-728,5850,7316,12940,-7295
5180,3,8143,-665,5997,7414,12945,-7391
5181,3,8233,-822,5813,7582,12969,-7598
5182,3,8295,-1015,5318,7785,13006,-7849
5183,3,8340,-1363,4707,7905,13030,-8125
5184,3,8376,-1794,3809,7984,13042,-8376
5185,3,8402,-2102,3024,7961,13043,-8517
5186,3,8428,-2231,2955,7906,13022,-8465
5187,3,8448,-2120,3076,7732,13001,-8205
5188,3,8461,-1837,3259,7527,12989,-7834
5189,3,8473,-1528,3529,7348,12970,-7448
5190,3,8487,-1349,3937,7227,12939,-7118
5191,3,8425,-1182,4386,7072,12900,-6852
5192,3,8382,-1009,4937,6993,12868,-6679
5193,3,8280,-876,5519,7017,12858,-6608
5194,3,8341,-861,5499,7079,12872,-6654
5195,3,8382,-1111,5401,7261,12894,-6851
5196,3,8410,-1425,5215,7426,12925,-7040
5197,3,8429,-1765,4717,7572,12957,-7250
5198,3,8441,-1932,4246,7669,12985,-7449
5199,3,8453,-2214,3714,7700,12992,-7610
5200,3,8464,-2452,3143,7683,12987,-7697
5201,3,8476,-2593,2967,7593,12965,-7656
5202,3,8489,-2546,3019,7464,12931,-7502
5203,3,8500,-2387,3230,7297,12902,-7205
5204,3,8510,-2116,3530,7059,12870,-6818
5205,3,8519,-1789,3842,6876,12839,-6468
5206,3,8467,-1530,4227,6754,12802,-6225
5207,3,8329,-1290,4738,6666,12769,-6050
5208,3,8234,-1215,5434,6686,12752,-6017
5209,3,8222,-1193,5611,6744,12750,-6090
5210,3,8297,-1165,5362,6891,12795,-6210
5211,3,8350,-1219,4939,7063,12842,-6417
5212,3,8388,-1554,4918,7320,12877,-6650
5213,3,8412,-1946,4213,7439,12920,-6850
5214,3,8434,-2470,3099,7526,12937,-7111
5215,3,8455,-2832,2325,7495,12924,-7275
5216,3,8479,-2984,2078,7331,12876,-7231
5217,3,8502,-2912,2221,7095,12818,-6965
5218,3,8338,-2721,2541,6855,12760,-6532
5219,3,7594,-2690,2544,6569,12682,-6156
5220,3,6736,-2558,2289,6281,12620,-5631
5221,3,5541,-2211,1949,6020,12574,-4931
5222,3,4290,-1840,1280,5911,12523,-4357
5223,3,3549,-1828,634,5796,12450,-4022
5224,3,3158,-1843,292,5531,12403,-3740
5225,3,3112,-1875,-183,5299,12394,-3586
5226,3,3127,-1996,-948,5261,12416,-3667
5227,3,3053,-2708,-1881,5432,12445,-3970
5228,3,3003,-3062,-2607,5691,12492,-4231
5229,3,3057,-2936,-3127,5721,12542,-4351
5230,3,3015,-3120,-3418,5856,12587,-4518
5231,3,2984,-3217,-3651,5939,12629,-4678
5232,3,2993,-3201,-3806,5970,12671,-4816
5233,3,3001,-3199,-3788,6014,12711,-4946
5234,3,3008,-3193,-3878,6100,12747,-5109
5235,3,2990,-3176,-3861,6205,12783,-5271
5236,3,2975,-3186,-3865,6299,12816,-5443
5237,3,2968,-3186,-3866,6400,12850,-5616
5238,3,2957,-3183,-3855,6511,12883,-5788
5239,3,2949,-3177,-3846,6616,12915,-5967
5240,3,2944,-3160,-3825,6723,12946,-6153
5241,3,2942,-3141,-3796,6824,12976,-6327
5242,3,2941,-3108,-3758,6927,13004,-6505
5243,3,2936,-3093,-3711,7036,13031,-6690
5244,3,2935,-3082,-3686,7151,13057,-6879
5245,3,2917,-3078,-3639,7253,13082,-7058
5246,3,2917,-3055,-3599,7363,13105,-7246
5247,3,2908,-3044,-3556,7473,13129,-7434
5248,3,2915,-3021,-3508,7588,13150,-7625
5249,3,2907,-3002,-3483,7707,13172,-7818
5250,3,2906,-2997,-3440,7822,13191,-8013
5251,3,2899,-2974,-3424,7941,13208,-8206
5252,3,2891,-2961,-3386,8058,13225,-8402
5253,3,2884,-2942,-3343,8171,13241,-8594
5254,4,3539,-1249,3062,13816,18445,-16560
5255,4,4819,-1419,3785,14045,18506,-16831
5256,4,5802,-1582,4101,14251,18528,-17059
5257,4,6528,-1833,3648,14420,18558,-17227
5258,4,7063,-2032,3027,14470,18582,-17260
5259,4,7445,-2059,3099,14338,18557,-17121
5260,4,7716,-1870,3502,14018,18499,-16780
5261,4,7909,-1622,4002,13617,18421,-16331
5262,4,8044,-1300,4814,13169,18331,-15797
5263,4,7993,-799,5560,12731,13153,-15256
5264,4,7920,-529,6645,12442,13194,-14876
5265,4,8010,-416,7005,12299,13199,-14695
5266,4,8127,-445,7001,12308,13194,-14705
5267,4,8216,-681,6818,12375,13174,-14803
5268,4,8283,-1035,6515,12455,13153,-14921
5269,4,8333,-1410,5950,12507,13136,-15012
5270,4,8369,-1599,5203,12502,13119,-15046
5271,4,8395,-1772,4534,12452,13115,-14997
5272,4,8410,-1900,4388,12260,13131,-14760
5273,4,8418,-1816,4329,11944,13160,-14372
5274,4,8421,-1569,4682,11596,13195,-13905
5275,4,8420,-1290,5105,11213,13238,-13360
5276,4,8286,-878,5822,10862,13272,-12839
5277,4,8222,-688,6616,10648,13274,-12508
5278,4,8235,-686,6898,10598,13266,-12415
5279,4,8257,-703,6859,10664,13259,-12484
5280,4,8306,-981,6722,10818,13247,-12666
5281,4,8340,-1342,6292,10985,13250,-12862
5282,4,8365,-1702,5502,11098,13253,-13045
5283,4,8385,-2043,4522,11142,13246,-13171
5284,4,8404,-2211,4054,11045,13226,-13132
5285,4,8415,-2244,3953,10837,13220,-12881
5286,4,8420,-2134,4032,10571,13227,-12510
5287,4,8425,-1799,4324,10258,13233,-12044
5288,4,8430,-1642,4738,9956,13228,-11589
5289,4,8406,-1597,5263,9663,13204,-11184
5290,4,8371,-1423,5994,9419,13183,-10848
5291,4,8368,-1375,6422,9341,13171,-10680
5292,4,8390,-1345,6488,9339,13169,-10670
5293,4,8407,-1480,6238,9417,13173,-10777
5294,4,8417,-1665,5943,9501,13177,-10924
5295,4,8425,-1758,5503,9556,13182,-11063
5296,4,8431,-1769,4877,9550,13186,-11150
5297,4,8437,-1885,4167,9534,13179,-11209
