timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1633928689.107141,1 2 3,3 2 1,Dab,jamesbond,4.912513017654419,1633928690029.7246,False,False
1633928694.0734668,1 2 3,3 2 1,Dab,mermaid,4.961902856826782,1633928695030.4895,False,False
1633928699.076923,1 2 3,2 1 3,Dab,jamesbond,4.9997100830078125,1633928700031.9524,False,False
1633928704.071299,1 2 3,1 2 3,Dab,mermaid,4.9914751052856445,1633928705032.4417,False,True
1633928709.0735092,1 2 3,3 1 2,Dab,dab,4.9994282722473145,1633928710033.0916,False,False
1633928714.067425,1 2 3,3 2 1,Dab,dab,4.9909350872039795,1633928715033.5593,False,False
1633928719.078611,1 2 3,3 1 2,Dab,dab,5.007515907287598,1633928720033.9666,False,False
1633928724.0726988,1 2 3,1 2 3,Dab,mermaid,4.989480972290039,1633928725034.4973,False,True
1633928729.0922601,1 2 3,3 1 2,Dab,jamesbond,5.011092185974121,1633928730035.1707,False,False
1633928734.0591471,1 2 3,3 2 1,Dab,jamesbond,4.956679105758667,1633928735036.2043,False,False
1633928739.094831,1 2 3,1 2 3,Dab,mermaid,5.019772052764893,1633928740036.9424,False,True
1633928744.090425,1 2 3,1 3 2,Dab,dab,4.983048915863037,1633928745043.4116,False,False
1633933947.9384162,1 2 3,2 1 3,Dab,mermaid,11.503841161727905,1633933948554.678,False,False
1633933952.682456,1 2 3,3 2 1,Dab,dab,4.736615180969238,1633933953556.6912,False,False
1633933957.6503239,1 2 3,2 3 1,Dab,dab,4.964016914367676,1633933958560.3662,False,False
1633934272.9606001,1 2 3,1 3 2,Dab,jamesbond,11.026292085647583,1633934273481.2322,False,False
1633934277.6154811,1 2 3,3 2 1,Dab,dab,4.649843215942383,1633934278481.4133,False,False
1633934282.61309,1 2 3,1 2 3,Dab,jamesbond,4.993948936462402,1633934283481.6875,False,True
1633934287.5855591,1 2 3,3 1 2,Dab,dab,4.9698522090911865,1633934288486.4246,False,False
1633934292.664478,1 2 3,3 2 1,Dab,dab,5.075655937194824,1633934293489.9136,False,False
1633934297.6325812,1 2 3,1 2 3,Dab,mermaid,4.9640092849731445,1633934298493.2905,False,True
1633934302.775929,1 2 3,2 3 1,Dab,jamesbond,5.13440203666687,1633934303494.0452,False,False
1633934307.73469,1 2 3,3 1 2,Dab,mermaid,4.944734811782837,1633934308505.8723,False,False
1633934312.684423,1 2 3,1 2 3,Dab,jamesbond,4.93668794631958,1633934313506.5522,False,True
1633934317.804328,1 2 3,2 1 3,Dab,mermaid,5.096290111541748,1633934318515.3132,False,False
1633934322.885977,1 2 3,2 3 1,Dab,mermaid,5.047621011734009,1633934323521.2913,False,False
1633934608.734088,1 2 3,3 2 1,Dab,jamesbond,12.810352802276611,1633934609404.916,False,False
1633934613.742083,1 2 3,3 2 1,Dab,jamesbond,5.003592252731323,1633934614408.771,False,False
1633934618.643156,1 2 3,1 3 2,Dab,dab,4.897028923034668,1633934619409.153,False,False
1633934623.768269,1 2 3,3 2 1,Dab,mermaid,5.12202000617981,1633934624410.885,False,False
1633934628.727114,1 2 3,2 3 1,Dab,mermaid,4.952433824539185,1633934629411.8032,False,False
1633934633.791536,1 2 3,1 3 2,Dab,dab,5.056695938110352,1633934634415.8643,False,False
1633934638.719255,1 2 3,2 1 3,Dab,dab,4.920912981033325,1633934639420.2593,False,False
1633934643.797392,1 2 3,1 3 2,Dab,mermaid,5.060362100601196,1633934644424.823,False,False
1633934648.713448,1 2 3,1 2 3,Dab,dab,4.900205850601196,1633934649427.5452,False,True
1633934653.805633,1 2 3,3 2 1,Dab,mermaid,5.08268404006958,1633934654429.9062,False,False
1633934658.7490811,1 2 3,1 3 2,Dab,jamesbond,4.9307262897491455,1633934659430.7551,False,False
