timestamp,packet_type,dancer_id,Ax,Ay,Az,Rx,Ry,Rz,start_flag,prediction,confidence
1635313192.7408574,D,2,6038,3118,5874,-9712,12284,13451,S,,
1635313192.7416484,D,2,5804,3395,6742,-9288,12189,13216,N,,
1635313192.9212863,D,2,5366,3848,7121,-9113,12183,13150,N,,
1635313192.9663913,D,2,5170,3824,7026,-9212,12254,13247,N,,
1635313193.0561078,D,2,5499,3486,6353,-9597,12388,13468,N,,
1635313193.2361357,D,2,6223,2927,5101,-10235,12576,13780,N,,
1635313193.3258426,D,2,6804,2029,3620,-10831,12765,14054,N,,
1635313193.505691,D,2,7584,867,2283,-10639,12855,13769,N,,
1635313193.6861346,D,2,7862,1092,2671,-10222,12727,13442,N,,
1635313193.7761054,D,2,7613,1677,3679,-9606,12518,13026,N,,
1635313193.7765958,D,2,7138,2405,4775,-8966,12271,12652,N,,
1635313193.866448,D,2,6773,3101,6051,-8480,12078,12396,N,,
1635313194.046122,D,2,6276,3723,7080,-8145,12000,12228,N,,
1635313194.091135,D,2,5686,4093,7329,-8092,12033,12231,N,,
1635313194.1813188,D,2,5474,3889,6872,-8288,12151,12349,N,,
1635313194.316104,D,2,5888,3498,5962,-8726,12329,12548,N,,
1635313194.4063935,D,2,6568,2787,4569,-9267,12533,12770,N,,
1635313194.630868,D,2,7065,1872,3159,-9720,12700,12942,N,,
1635313194.6313608,D,2,7445,1310,2366,-9776,12767,12903,N,,
1635313194.6760828,D,2,7747,1083,2071,-9474,12720,12646,N,,
1635313194.8110929,D,2,7927,1214,2395,-9082,12554,12379,N,,
1635313194.8560948,D,2,7380,2146,3560,-8585,12273,12143,N,,
1635313195.081124,D,2,6758,3190,5229,-8030,12007,11888,N,,
1635313195.1706648,D,2,6575,3951,6455,-7606,11865,11649,N,,
1635313195.1711633,D,2,6166,4384,7047,-7417,11859,11532,N,,
1635313195.2610817,D,2,5770,4434,6878,-7486,11948,11567,N,,
1635313195.3507042,D,2,5821,4482,6239,-7772,12087,11698,N,,
1635313195.441093,D,2,6357,3772,5045,-8141,12303,11804,N,,
1635313195.5765178,D,2,6913,2559,3616,-8534,12511,11924,N,,
1635313195.6657743,D,2,7330,1615,2304,-8944,12639,12088,N,,
1635313195.755625,D,2,7659,1212,1624,-8850,12640,12003,N,,
1635313195.8455615,D,2,7930,1157,2076,-8461,12527,11732,N,,
1635313196.0255558,D,2,7778,1511,2477,-8040,12317,11502,N,,
1635313196.1155488,D,2,6959,2171,3539,-7483,12034,11252,N,,
1635313196.205551,D,2,6168,2738,4863,-7010,11779,11040,N,,
1635313196.2505484,D,2,5790,3218,6410,-6708,11635,10898,N,,
1635313196.340551,D,2,5208,4376,6774,-6771,11633,10941,N,,
1635313196.475968,D,2,4780,4824,6547,-6998,11795,11000,N,,
1635313196.565548,D,2,4969,4565,5528,-7378,12028,11099,N,,
1635313196.7905474,D,2,5774,3618,4139,-7928,12286,11245,N,,
1635313196.835542,D,2,6482,2557,2812,-8382,12505,11339,N,,
1635313196.8805432,D,2,7018,1674,1590,-8607,12615,11366,N,,
1635313196.970545,D,2,7439,1279,1364,-8318,12583,11142,N,,
1635313197.2409825,D,2,7770,1317,1415,-7992,12430,10957,N,,
1635313197.2414737,D,2,7382,1886,2379,-7576,12162,10806,N,,
1635313197.2855356,D,2,6684,2727,4034,-7016,11853,10598,N,,
1635313197.3755422,D,2,6373,3471,5959,-6601,11663,10392,N,,
1635313197.465542,D,2,5903,3978,6804,-6426,11623,10313,N,,
1635313197.6005344,D,2,5515,4294,6666,-6493,11696,10373,N,,
1635313197.6905322,D,2,5581,4121,6008,-6691,11866,10450,N,,
1635313197.7805378,D,2,6192,3592,4702,-7182,12111,10584,N,,
1635313197.8705337,D,2,6790,2435,3104,-7649,12367,10663,N,,
1635313197.9605906,D,2,7249,1410,1764,-7880,12496,10703,N,,
1635313198.0505342,D,2,7615,936,1399,-7737,12472,10580,N,,
1635313198.185535,D,2,7849,884,1532,-7449,12312,10446,N,,
1635313198.2755322,D,2,7670,1414,1944,-7147,12071,10405,N,,
1635313198.4555347,D,2,7070,1880,2929,-6813,11829,10317,N,,
1635313198.5455317,D,2,6450,2643,4615,-6414,11596,10174,N,,
1635313198.5459948,D,2,6031,3559,6171,-6030,11462,9991,N,,
1635313198.680529,D,2,5482,3961,6763,-6021,11497,9991,N,,
1635313198.8155274,D,2,5137,4044,6514,-6168,11621,10076,N,,
1635313198.9955266,D,2,5386,3508,5149,-6414,11831,10148,N,,
1635313198.9959996,D,2,6219,2452,3412,-6823,12067,10258,N,,
1635313199.2209606,D,2,6840,1591,1950,-7215,12225,10360,N,,
1635313199.2219367,D,2,7317,1186,1547,-7108,12265,10206,N,,
1635313199.2655246,D,2,7695,892,1565,-6968,12197,10044,N,,
1635313199.3555255,D,2,7762,1136,1964,-6870,12038,9978,N,,
1635313199.4455192,D,2,7255,1745,3186,-6611,11815,9880,N,,
1635313199.5355213,D,2,6894,2533,5207,-6233,11608,9704,N,,
1635313199.7155156,D,2,6620,3363,6839,-5937,11487,9584,N,,
1635313199.8055468,D,2,6239,3734,7195,-5866,11515,9577,N,,
1635313199.895519,D,2,6015,3950,6535,-6059,11650,9674,N,,
1635313200.030518,D,2,6531,3262,5152,-6378,11877,9740,N,,
1635313200.075511,D,2,7063,2368,3486,-6757,12097,9820,N,,
1635313200.1655195,D,2,7461,1526,2246,-7017,12242,9862,N,,
1635313200.3005157,D,2,7775,1004,1426,-7045,12276,9799,N,,
1635313200.6159332,D,2,8025,685,1427,-6935,12226,9665,N,,
1635313200.6169329,D,2,7966,892,2008,-6812,12083,9562,N,,
1635313200.6174579,D,2,7442,1546,2841,-6540,11850,9442,N,,
1635313200.66051,D,2,6731,1965,3626,-6230,11548,9441,N,jamesbond,0.9908465113055952
1635313200.840506,D,2,5563,2320,3548,-6049,11217,9686,N,,
1635313200.8855011,D,2,4478,2372,3043,-5940,10946,9990,N,,
1635313201.1106188,D,2,3698,2271,2186,-5980,10784,10246,N,,
1635313201.1109438,D,2,3201,1947,1526,-6009,10723,10362,N,,
1635313201.2456164,D,2,2806,1611,936,-6095,10710,10458,N,,
1635313201.3356178,D,2,2508,1311,336,-6186,10741,10506,N,,
1635313201.3805013,D,2,2306,1029,-117,-6316,10799,10539,N,,
1635313201.470604,D,2,2168,818,-436,-6420,10845,10566,N,,
1635313201.6505594,D,2,2051,661,-612,-6465,10869,10583,N,,
1635313201.6514952,D,2,1959,566,-723,-6492,10882,10608,N,,
1635313201.785553,D,2,1928,498,-831,-6523,10890,10646,N,,
1635313201.8755574,D,2,1875,478,-941,-6560,10893,10702,N,,
1635313202.100494,D,2,1830,456,-1010,-6593,10897,10750,N,,
1635313202.145547,D,2,1806,432,-1033,-6633,10910,10785,N,,
1635313202.1464875,D,2,1780,419,-1044,-6678,10926,10815,N,,
1635313202.3716047,D,2,1762,390,-1022,-6721,10944,10843,N,,
1635313202.3719275,D,2,1747,361,-1030,-6761,10960,10874,N,,
1635313202.4605987,D,2,1733,348,-1027,-6795,10973,10903,N,,
1635313202.5506048,D,2,1735,369,-1026,-6830,10986,10937,N,,
1635313202.6409743,D,2,1733,386,-1022,-6871,11000,10971,N,,
1635313202.820547,D,2,1727,377,-1012,-6915,11016,11002,N,,
1635313202.9105477,D,2,1720,361,-998,-6952,11031,11030,N,,
1635313203.0005944,D,2,1709,369,-964,-6991,11045,11059,N,,
1635313203.0905492,D,2,1693,393,-922,-7030,11059,11087,N,,
1635313203.18055,D,2,1699,420,-916,-7088,11076,11127,N,,
1635313203.270563,D,2,1711,436,-921,-7136,11092,11161,N,,
1635313203.405501,D,2,1712,444,-897,-7169,11103,11192,N,,
1635313203.4955597,D,2,1711,463,-868,-7205,11113,11221,N,,
1635313203.585727,D,2,1708,473,-840,-7236,11123,11251,N,,
1635313203.6755543,D,2,1710,480,-833,-7273,11134,11283,N,,
1635313203.8105986,D,2,1697,488,-822,-7308,11144,11315,N,,
1635313212.1367395,D,2,5811,6834,1147,-10359,12923,11310,S,,
1635313212.2708757,D,2,6462,7050,992,-10434,13216,10341,N,,
1635313212.3608067,D,2,6950,5704,891,-10512,13415,9644,N,,
1635313212.4058056,D,2,7138,4897,827,-10401,13339,9784,N,,
1635313212.4508033,D,2,6553,5334,1485,-10177,13173,10016,N,,
1635313212.5408082,D,2,6895,4976,2225,-10255,13279,9668,N,,
1635313212.6758046,D,2,7282,4150,2067,-10375,13381,9404,N,,
1635313212.810803,D,2,7606,3187,1745,-10331,13258,9851,N,,
1635313212.9014244,D,2,7912,4050,1621,-10087,12856,10990,N,,
1635313212.9908018,D,2,8154,6445,2572,-10060,12526,11949,N,,
1635313213.0813816,D,2,8264,7329,3416,-10071,12561,12115,N,,
1635313213.215799,D,2,8310,6395,3502,-9957,12726,12021,N,,
1635313213.3057957,D,2,8380,4953,2915,-9681,12702,12238,N,,
1635313213.4407988,D,2,8472,4223,1823,-9655,12522,12756,N,,
1635313213.5307965,D,2,8557,4946,1316,-9666,12330,13100,N,,
1635313213.575795,D,2,8562,5350,1209,-9732,12410,13006,N,,
1635313213.6657956,D,2,8512,4529,882,-9901,12680,12621,N,,
1635313213.8913715,D,2,8475,3289,1004,-10251,12891,12247,N,,
1635313213.892366,D,2,8502,2711,1480,-10410,12819,12170,N,,
1635313213.9807894,D,2,8593,4693,1931,-10186,12476,12316,N,,
1635313214.0707908,D,2,8621,6941,2991,-9945,12392,11968,N,,
1635313214.1607926,D,2,8555,7370,2644,-10002,12670,11250,N,,
1635313214.3407898,D,2,8486,6287,2096,-10157,12978,10568,N,,
1635313214.385788,D,2,8481,5014,1632,-10145,13010,10522,N,,
1635313214.4757867,D,2,8199,4256,1914,-9842,12784,10785,N,,
1635313214.5657837,D,2,7916,4738,2644,-9634,12629,10887,N,,
1635313214.701364,D,2,7989,4780,2737,-9723,12785,10581,N,,
1635313214.7907825,D,2,8098,3935,2248,-9893,12946,10348,N,,
1635313214.9713635,D,2,8215,2723,1933,-9946,12901,10576,N,,
1635313214.9723585,D,2,8378,2693,1839,-9723,12550,11330,N,,
1635313215.105781,D,2,8546,5337,2480,-9586,12143,12152,N,,
1635313215.1957827,D,2,8586,6593,3362,-9618,12149,12337,N,,
1635313215.2857833,D,2,8565,5817,3501,-9491,12338,12170,N,,
1635313215.5107763,D,2,8584,4416,2895,-9154,12354,12262,N,,
1635313215.5557775,D,2,8647,3504,1737,-9030,12184,12678,N,,
1635313215.5563297,D,2,8726,4244,1155,-8912,11957,12939,N,,
1635313215.6463556,D,2,8723,4946,1329,-8888,11997,12821,N,,
1635313215.825813,D,2,8655,4495,953,-9038,12256,12434,N,,
1635313215.9158328,D,2,8595,3089,1401,-9411,12496,11995,N,,
1635313216.0065138,D,2,8618,2380,1997,-9671,12426,11964,N,,
1635313216.0957687,D,2,8707,4898,2411,-9528,12117,12131,N,,
1635313216.2757773,D,2,8697,6809,3230,-9356,12156,11667,N,,
1635313216.2763367,D,2,8612,6441,2667,-9401,12470,10897,N,,
1635313216.4108222,D,2,8574,5659,1887,-9344,12626,10455,N,,
1635313216.5008683,D,2,8390,4374,1822,-9181,12518,10599,N,,
1635313216.6357782,D,2,7861,3864,2055,-9092,12322,10961,N,,
1635313216.6808212,D,2,7748,4888,2619,-9128,12358,10885,N,,
1635313216.770823,D,2,7929,4434,2423,-9336,12575,10606,N,,
