,0,1,2,3,4,5,6
0,1,-1749,5522,-6909,240,-5925,2167
1,1,-2496,5183,-8483,-637,-6151,2523
2,1,-1116,5066,-9141,-1410,-6311,2634
3,1,85,2528,-8773,-1876,-6432,2839
4,1,1366,2295,-5844,-2110,-6402,2976
5,1,3309,1589,-4173,-2201,-6324,3096
6,1,4736,724,-3440,-2139,-6248,3022
7,1,4953,433,-3401,-1861,-6240,2901
8,1,3934,923,-3872,-1364,-6258,2727
9,1,1842,3581,-5344,-658,-6145,2761
10,1,-111,6217,-6403,-269,-5745,3103
11,1,-39,7790,-8811,-594,-5067,3185
12,1,2479,5449,-10246,-1089,-4533,2879
13,1,4342,3189,-10180,-1262,-4301,2616
14,1,5941,1786,-9055,-1286,-4248,2548
15,1,6893,412,-8376,-1197,-4290,2616
16,1,6933,309,-8748,-916,-4509,2801
17,1,6459,1837,-9464,-465,-4986,3138
18,1,5178,4973,-11151,-141,-5627,3395
19,1,2563,7371,-11136,-377,-6281,3581
20,1,465,3579,-10190,-1943,-6930,3734
21,1,1478,1342,-8510,-2120,-6927,3699
22,1,3001,187,-6481,-2029,-6840,3694
23,1,3562,-128,-5512,-1720,-6818,3542
24,1,3078,911,-5528,-1185,-6850,3412
25,1,628,3095,-5323,-437,-6794,3441
26,1,-1162,5832,-7079,166,-6452,3699
27,1,-1915,7828,-8366,88,-5968,3845
28,1,1575,5193,-10511,-404,-5374,3539
29,1,3541,2714,-10303,-694,-5083,3216
30,1,5243,1404,-9199,-692,-4973,3140
31,1,6336,422,-8546,-558,-4984,3294
32,1,6727,638,-8220,-308,-5179,3572
33,1,6202,2017,-8362,-6,-5579,3891
34,1,5244,4866,-8804,288,-6150,4264
35,1,4045,7034,-10445,203,-6696,4719
36,1,2381,7485,-10107,-543,-7063,4998
37,1,1486,4880,-9747,-1244,-7163,4970
38,1,2220,1767,-8279,-1631,-7135,4903
39,1,3420,-159,-6667,-1595,-7138,4818
40,1,3827,-508,-5516,-1221,-7213,4712
41,1,3621,581,-5118,-654,-7274,4634
42,1,1167,3127,-5248,170,-7207,4636
43,1,-361,5683,-6142,803,-6864,4899
44,1,-496,7492,-7828,595,-6390,4963
45,1,2323,5618,-9313,169,-6018,4669
46,1,4517,3285,-9580,-9,-5842,4283
47,1,6209,1396,-8506,-117,-5696,4215
48,1,6866,414,-7530,-121,-5635,4351
49,1,7049,476,-7467,-36,-5725,4601
50,1,6775,1707,-7560,247,-6025,5084
51,1,6001,4503,-8052,657,-6574,5658
52,1,4550,6557,-9256,641,-7109,6290
53,1,3217,7460,-9538,50,-7460,6628
54,1,2850,4041,-8943,-615,-7609,6616
55,1,2946,1742,-7320,-864,-7628,6550
56,1,3442,371,-5747,-828,-7592,6550
57,1,3452,-362,-4807,-590,-7618,6441
58,1,2766,776,-5017,20,-7555,6386
59,1,1046,3953,-6721,811,-7332,6274
60,1,-267,6264,-9165,1046,-6945,6111
61,1,1542,6197,-10532,897,-6378,5900
62,1,3819,4317,-10027,604,-6009,5555
63,1,5794,2141,-9532,429,-5898,5324
64,1,6727,873,-7817,394,-5864,5362
65,1,7233,159,-6709,411,-5893,5516
66,1,7264,525,-5969,511,-6032,5850
67,1,6401,910,-5022,745,-6247,6323
68,1,5270,1734,-4408,1045,-6545,6577
69,1,4034,2328,-4213,1364,-6889,6683
70,1,2878,2269,-4037,1476,-7170,6462
71,1,1953,1571,-4303,1581,-7346,6277
72,1,1007,1037,-4489,1750,-7488,6159
73,1,594,456,-4505,1995,-7566,6306
74,1,367,84,-4481,2113,-7606,6417
75,1,217,-508,-4664,2156,-7639,6443
76,1,84,-856,-4694,2208,-7676,6487
77,1,17,-1172,-4814,2247,-7712,6514
78,1,-76,-1429,-4845,2285,-7750,6540
79,1,-93,-1556,-4861,2333,-7784,6577
80,1,-108,-1672,-4902,2372,-7817,6608
81,1,-109,-1737,-4910,2410,-7850,6640
82,1,-99,-1775,-4934,2441,-7887,6658
83,1,-100,-1825,-4930,2474,-7925,6676
84,1,-74,-1895,-4907,2540,-8000,6710
85,1,-60,-1920,-4900,2572,-8037,6728
86,1,-51,-1924,-4876,2603,-8074,6745
87,1,-44,-1931,-4859,2633,-8109,6764
88,1,-24,-1941,-4824,2665,-8144,6783
89,1,-3,-1922,-4803,2698,-8178,6804
90,1,10,-1930,-4781,2728,-8212,6823
91,1,23,-1931,-4762,2761,-8246,6843
92,1,43,-1919,-4733,2793,-8280,6862
93,1,56,-1907,-4709,2825,-8313,6884
94,1,68,-1920,-4663,2857,-8349,6900
95,1,91,-1899,-4619,2891,-8383,6918
96,1,113,-1891,-4606,2925,-8415,6938
97,1,136,-1887,-4579,2957,-8450,6956
98,1,156,-1893,-4568,2989,-8484,6972
99,1,176,-1881,-4529,3022,-8516,6993
100,1,190,-1891,-4504,3057,-8549,7012
101,2,6982,-1196,-1974,2064,-8251,9218
102,2,9748,580,-1778,2279,-8240,9706
103,2,7824,1603,-1013,2011,-8189,10133
104,2,7321,128,36,1562,-8080,10269
105,2,7358,-1394,447,1211,-7912,10212
106,2,7622,-2581,704,1142,-7831,10181
107,2,7629,-3358,763,1343,-7925,10136
108,2,6708,-3001,693,1858,-8167,10099
109,2,5099,-1392,633,2482,-8426,9946
110,2,2886,1474,1435,3169,-8585,9752
111,2,1245,4215,-173,3362,-8351,9472
112,2,2164,4708,-2543,2725,-7797,9185
