,0,1,2,3,4,5,6
0,1,-9930,1965,-794,884,-1159,1024
1,1,-11389,2522,-2412,1380,-804,914
2,1,-8122,4147,-6122,1726,-482,1009
3,1,-3478,4259,-8571,1763,-265,995
4,1,-832,3378,-10248,1630,-222,1079
5,1,-1042,2930,-10818,1434,-454,1345
6,1,-4023,3447,-9693,1316,-1047,1681
7,1,-6440,2311,-5766,1290,-1829,1834
8,1,-7842,1035,-2226,1252,-2405,1741
9,1,-7247,952,-1186,1117,-2707,1485
10,1,-5837,2462,-1327,881,-2775,1248
11,1,-5894,5721,-2044,494,-2744,1082
12,1,-6727,7172,-3769,-149,-2672,1039
13,1,-5979,5359,-6007,-785,-2605,1008
14,1,-4109,2128,-5537,-1115,-2554,929
15,1,-2361,810,-4553,-1139,-2537,916
16,1,-2198,370,-4840,-846,-2601,856
17,1,-2100,1421,-5932,-290,-2736,917
18,1,-2678,4014,-6245,377,-2858,1212
19,1,-2834,5643,-6175,844,-2963,1608
20,1,-3104,5366,-4884,1097,-3060,1837
21,1,-3867,4573,-3149,1195,-3022,1975
22,1,-6656,1672,-515,1293,-2838,1848
23,1,-8889,1269,337,1605,-2505,1532
24,1,-10310,1993,-1856,2040,-2096,1398
25,1,-7463,3446,-5436,2390,-1801,1344
26,1,-2626,4445,-8120,2442,-1561,1447
27,1,-80,3465,-9758,2259,-1519,1539
28,1,-398,2398,-9857,2029,-1756,1761
29,1,-5100,1852,-5745,1940,-2909,2406
30,1,-6732,993,-2234,1993,-3501,2399
31,1,-6322,1044,-1086,1903,-3844,2214
32,1,-5384,2291,-1263,1605,-4011,1941
33,1,-4971,5006,-1702,1139,-4020,1787
34,1,-6137,7194,-3555,433,-3911,1800
35,1,-5120,4831,-4931,-216,-3755,1823
36,1,-2737,2576,-5769,-547,-3646,1748
37,1,-784,803,-4933,-620,-3641,1749
38,1,-379,-454,-4893,-394,-3712,1669
39,1,-874,-46,-5854,201,-3879,1643
40,1,-1897,3174,-5995,977,-4081,1805
41,1,-2866,5275,-5609,1564,-4244,2085
42,1,-2160,5381,-5030,1836,-4333,2394
43,1,-3037,4028,-3401,1919,-4338,2453
44,1,-5385,1524,-1296,2025,-4154,2472
45,1,-7648,813,-549,2243,-3858,2158
46,1,-9370,1084,-1522,2660,-3567,1822
47,1,-7895,1609,-3700,3002,-3296,1721
48,1,-3328,2849,-6018,3140,-3032,1823
49,1,597,2526,-7511,3042,-2874,1852
50,1,2575,1854,-8331,2880,-2881,2017
51,1,2119,1506,-8073,2699,-3118,2219
52,1,-85,1384,-7262,2601,-3574,2516
53,1,-3050,841,-5402,2512,-4162,2649
54,1,-5173,-802,-3378,2404,-4645,2724
55,1,-5355,-1949,-1630,2290,-4978,2645
56,1,-4823,-834,-1648,2149,-5094,2494
57,1,-3948,1464,-1518,1829,-5152,2301
58,1,-4250,4546,-1698,1273,-5022,2231
59,1,-3287,2935,-5594,-24,-4548,2134
60,1,-801,1216,-5123,-233,-4489,2114
61,1,476,-320,-3866,-260,-4544,2106
62,1,646,-1269,-3504,-8,-4659,2007
63,1,663,-615,-3995,521,-4824,1973
64,1,363,1405,-4220,1187,-4958,2076
65,1,-98,3223,-4606,1761,-5088,2350
66,1,-647,3692,-3875,2179,-5285,2469
67,1,-1144,3651,-3784,2518,-5395,2647
68,1,-1275,2945,-3860,2678,-5470,2758
69,1,-1385,2149,-4048,2733,-5524,2849
70,1,-1444,1445,-4311,2761,-5567,2870
71,1,-1562,881,-4637,2763,-5608,2864
72,1,-1612,449,-4936,2765,-5648,2858
73,1,-1614,-3,-5147,2768,-5695,2839
74,1,-1673,-249,-5292,2782,-5741,2827
75,1,-1692,-433,-5350,2785,-5794,2802
76,1,-1688,-523,-5401,2801,-5841,2791
77,1,-1655,-682,-5456,2815,-5885,2793
78,1,-1632,-759,-5484,2834,-5925,2801
79,1,-1612,-804,-5455,2849,-5966,2815
80,1,-1586,-845,-5431,2867,-6006,2822
81,1,-1549,-875,-5419,2887,-6048,2822
82,1,-1528,-856,-5393,2903,-6088,2830
83,1,-1496,-859,-5370,2922,-6128,2835
84,1,-1471,-855,-5356,2942,-6171,2841
85,1,-1440,-855,-5345,2961,-6212,2848
86,1,-1415,-844,-5315,2977,-6256,2853
87,1,-1402,-858,-5275,2994,-6298,2858
88,1,-1362,-869,-5260,3011,-6338,2864
89,1,-1346,-863,-5237,3028,-6377,2868
90,1,-1323,-886,-5211,3046,-6416,2877
91,1,-1287,-897,-5189,3065,-6455,2885
92,1,-1259,-860,-5177,3084,-6495,2890
93,1,-1231,-863,-5147,3104,-6534,2898
94,1,-1207,-882,-5117,3120,-6573,2906
95,1,-1178,-895,-5101,3139,-6612,2912
96,1,-1154,-853,-5074,3160,-6651,2917
97,1,-1132,-825,-5042,3179,-6690,2924
98,2,-2456,5594,-3668,1747,-6707,3157
99,2,-1906,4836,-5089,929,-6440,3351
100,2,-684,1982,-5493,288,-6236,3415
101,2,1059,226,-4049,45,-6148,3508
102,2,1871,-1684,-2629,-27,-6142,3498
103,2,1970,-2595,-2773,248,-6268,3289
104,2,1510,-2151,-3596,928,-6522,3080
105,2,-8,613,-4158,1942,-6803,2985
106,2,-2175,3963,-4973,2994,-7051,3168
107,2,-1701,4170,-2001,3561,-7266,3397
108,2,-3435,1943,954,3589,-7084,3247
109,2,-5700,168,2046,3648,-6696,2670
110,2,-7473,762,36,3958,-6255,2190
111,2,-6017,2555,-3332,4216,-5972,1848
112,2,-941,3824,-6644,4301,-5743,1910
113,2,2551,3218,-8401,4182,-5676,2095
114,2,3507,2271,-9025,4055,-5840,2429
115,2,1600,2084,-8071,4026,-6249,2921
116,2,-1350,2101,-5234,4102,-6833,3367
117,2,-3585,-45,-1990,4099,-7336,3595
118,2,-4356,-585,117,4108,-7679,3635
119,2,-3787,409,1359,3889,-7775,3583
120,2,-2680,2323,913,3426,-7631,3624
121,2,-2656,5094,-372,2728,-7434,3706
122,2,-2810,5928,-2209,1887,-7113,3956
123,2,-1921,3171,-3725,1173,-6793,4123
124,2,-328,469,-2562,825,-6646,4318
125,2,1256,-1702,-1505,722,-6591,4266
126,2,1909,-2515,-1817,985,-6694,4087
127,2,1726,-1869,-2829,1586,-6972,3873
128,2,1516,1343,-4331,2521,-7241,4030
129,2,238,4059,-4993,3419,-7440,4189
130,2,-263,5259,-4398,3983,-7561,4370
131,2,-245,5017,-3203,4268,-7578,4571
132,2,-2032,2632,-686,4244,-7418,4462
133,2,-4453,1411,453,4276,-7118,4055
134,2,-6441,1226,-47,4375,-6732,3583
135,2,-6090,985,-2056,4473,-6329,3348
136,2,-2365,1206,-4692,4480,-6041,3181
137,2,1764,1110,-6671,4425,-5853,3206
138,2,4177,303,-7722,4319,-5861,3328
139,2,4294,-108,-7824,4253,-6072,3632
140,2,2337,301,-7219,4335,-6480,4140
141,2,-712,636,-4524,4555,-7077,4572
142,2,-3158,-332,-606,4602,-7567,4651
143,2,-3016,-814,684,4525,-7730,4665
144,2,-2161,656,355,4297,-7760,4621
145,2,-1631,2473,139,3767,-7694,4579
146,2,-2075,4761,-450,3049,-7473,4659
147,2,-2368,4422,-2204,2252,-7108,4730
148,2,-1057,1747,-3386,1701,-6777,4816
149,2,1060,-591,-2442,1432,-6635,4913
150,2,1955,-2359,-2169,1441,-6647,4807
151,2,2183,-2791,-2503,1848,-6877,4631
152,2,1637,-1200,-3288,2652,-7204,4511
153,2,953,1950,-3198,3298,-7522,4367
154,2,-23,2794,-1582,3759,-7842,4359
155,2,32,2655,-1090,4214,-7982,4617
156,2,-431,2086,-321,4550,-8010,4840
157,2,-2349,-748,1588,4693,-7925,4697
158,2,-4650,-2059,2492,4912,-7708,4164
159,2,-6450,-1838,1039,5166,-7371,3642
160,2,-4914,51,-2220,5383,-7084,3341
161,2,-596,941,-4723,5387,-6842,3300
162,2,2954,827,-6148,5301,-6716,3395
163,2,4633,291,-6585,5192,-6788,3585
164,2,3967,163,-6527,5101,-7017,3970
165,2,1240,113,-5418,5077,-7429,4505
166,2,-1681,-507,-2641,5124,-7910,4972
167,2,-3654,-2008,-219,5069,-8235,5059
168,2,-3370,-2280,421,4892,-8358,5067
169,2,-1994,-436,465,4589,-8332,5102
170,2,-1690,2536,166,4008,-8155,5129
171,2,-2231,4118,-1210,3200,-7813,5317
172,2,-1384,2679,-2730,2466,-7475,5475
173,2,155,101,-2565,2030,-7286,5551
174,2,1899,-1347,-1780,1930,-7245,5516
175,2,2482,-2143,-1356,2083,-7355,5333
176,2,2759,-1896,-1964,2581,-7604,5137
177,2,2433,315,-2056,3363,-7914,5057
178,2,1932,2161,-2152,4023,-8128,5083
179,2,1450,3178,-2060,4549,-8290,5207
180,2,1072,3004,-1795,4833,-8419,5224
181,2,926,2332,-1683,5016,-8484,5333
182,2,672,1587,-1768,5087,-8514,5412
183,2,532,875,-2036,5122,-8537,5436
184,2,500,381,-2434,5139,-8558,5438
185,2,430,-24,-2775,5150,-8588,5421
186,2,349,-324,-3030,5166,-8615,5423
187,2,287,-564,-3153,5181,-8644,5430
188,2,262,-755,-3195,5191,-8674,5425
189,2,233,-896,-3236,5205,-8699,5424
190,2,248,-1024,-3273,5224,-8726,5427
191,2,238,-1073,-3276,5238,-8752,5423
192,2,247,-1117,-3294,5257,-8776,5427
193,2,270,-1144,-3313,5275,-8800,5431
194,2,277,-1150,-3297,5295,-8825,5438
195,2,277,-1158,-3269,5313,-8850,5449
196,2,289,-1184,-3247,5330,-8871,5458
197,2,293,-1196,-3231,5351,-8894,5469
198,2,306,-1177,-3208,5370,-8918,5475
199,2,318,-1201,-3198,5390,-8942,5478
200,2,328,-1203,-3186,5409,-8966,5480
201,2,348,-1189,-3180,5431,-8989,5488
202,2,372,-1184,-3172,5451,-9010,5497
203,2,393,-1179,-3145,5472,-9033,5508
204,2,392,-1168,-3128,5493,-9055,5519
205,2,399,-1170,-3095,5514,-9078,5529
206,2,405,-1138,-3081,5529,-9101,5532
207,2,414,-1172,-3059,5546,-9126,5530
208,2,435,-1144,-3053,5570,-9145,5544
209,2,451,-1126,-3040,5591,-9164,5558
210,2,453,-1136,-3009,5609,-9183,5571
211,3,-76,4765,-1249,3751,-8649,5888
212,3,106,3577,-2161,2935,-8220,6140
213,3,1012,904,-2702,2365,-7936,6235
214,3,2747,-1065,-1651,2129,-7824,6344
215,3,3601,-2772,-1180,2115,-7815,6262
216,3,3597,-3480,-1867,2541,-8102,6137
217,3,3085,-1954,-2425,3358,-8499,6114
218,3,2174,814,-2480,4282,-8820,6138
219,3,842,3588,-2213,5096,-9057,6267
220,3,739,3761,-837,5531,-9153,6444
221,3,-623,1895,1623,5700,-9073,6318
222,3,-3205,60,3398,5792,-8851,5783
223,3,-5260,103,3126,5856,-8397,5112
224,3,-5416,808,-145,5885,-7909,4692
225,3,-2421,944,-3123,5788,-7677,4368
226,3,1808,1241,-5874,5691,-7513,4361
227,3,4481,590,-7495,5552,-7523,4547
228,3,4569,33,-7745,5512,-7708,5070
229,3,2119,547,-6444,5733,-8126,5789
230,3,-901,669,-2937,6052,-8692,6331
231,3,-3083,-306,425,6213,-9126,6578
232,3,-3250,-807,2260,6149,-9274,6706
233,3,-1701,107,2281,5864,-9229,6756
234,3,-1098,2535,1447,5305,-9087,6769
235,3,-1364,4831,466,4480,-8779,6886
236,3,-1808,4738,-987,3622,-8335,7108
237,3,-706,1509,-2147,2927,-7967,7148
238,3,1365,-1261,-1965,2659,-7825,7103
239,3,2561,-2438,-1632,2744,-7883,7024
240,3,2958,-2718,-2058,3183,-8136,6869
241,3,2577,-1404,-2599,4078,-8553,6787
242,3,731,2209,-2865,5039,-8880,6783
243,3,669,4391,-3056,5656,-8972,6983
244,3,1792,4337,-2473,5855,-9002,7007
245,3,1326,3809,-745,5974,-9001,6950
246,3,-1011,1498,1695,5903,-8859,6557
247,3,-3526,167,2074,5889,-8629,5859
248,3,-5244,-314,1247,5975,-8396,5081
249,3,-3757,858,-1834,6192,-8126,4652
250,3,295,1695,-4511,6181,-7910,4525
251,3,3749,1526,-6000,6038,-7799,4662
252,3,5066,655,-6574,5893,-7858,4972
253,3,4015,354,-6118,5906,-8100,5598
254,3,991,613,-4384,6118,-8524,6298
255,3,-1731,-1024,-937,6330,-9002,6728
256,3,-3020,-2072,1613,6363,-9307,6771
257,3,-1532,1056,1296,5687,-9254,6720
258,3,-3004,3702,765,4883,-8940,6845
259,3,-3057,3602,-1090,3994,-8508,6958
260,3,-1290,1052,-2549,3299,-8156,6931
261,3,807,-1267,-2281,3025,-8002,6960
262,3,2027,-2499,-1514,3047,-8012,6927
263,3,2336,-2913,-1752,3441,-8259,6752
264,3,2157,-1356,-2564,4298,-8646,6672
265,3,1400,1573,-2816,5167,-8977,6688
266,3,479,3608,-2111,5862,-9251,6757
267,3,-119,3725,-548,6166,-9295,6899
268,3,-618,1776,1226,6095,-9113,6850
269,3,-2671,592,2351,6029,-8923,6317
270,3,-4712,39,2992,6052,-8740,5456
271,3,-6099,327,1310,6207,-8355,4820
272,3,-3208,1199,-2245,6149,-7949,4545
273,3,1111,1807,-5425,6063,-7825,4275
274,3,4556,1310,-7034,5905,-7763,4429
275,3,5569,502,-7550,5826,-7860,4865
276,3,4025,434,-6632,5936,-8167,5518
277,3,907,834,-4235,6187,-8640,6197
278,3,-1804,-89,-716,6379,-9068,6709
279,3,-3258,-966,2017,6352,-9287,6900
280,3,-2237,-842,2366,6090,-9314,6964
281,3,-1215,1243,2057,5666,-9212,7034
282,3,-1102,3969,1236,4934,-8925,7281
283,3,-966,4324,-884,4007,-8510,7508
284,3,-400,2191,-2115,3259,-8165,7518
285,3,1445,-554,-1714,2857,-7980,7427
286,3,3133,-1966,-689,2807,-7963,7379
287,3,3400,-2648,-280,3046,-8163,7208
288,3,3446,-2498,-314,3616,-8512,6994
289,3,3641,300,-875,4455,-8855,6877
290,3,3682,1373,-1082,5059,-9054,6891
291,3,3066,2584,-936,5620,-9242,6997
292,3,2536,2998,-759,5997,-9376,7072
293,3,2059,2693,-563,6230,-9468,7176
294,3,1665,1908,-686,6354,-9515,7258
295,3,1384,1172,-995,6444,-9535,7351
296,3,1217,576,-1365,6473,-9571,7345
297,3,1145,27,-1730,6490,-9595,7335
298,3,999,-375,-2090,6512,-9615,7325
299,3,889,-648,-2325,6533,-9636,7335
300,3,861,-925,-2431,6552,-9663,7331
301,3,804,-1087,-2490,6576,-9690,7322
302,3,774,-1219,-2548,6598,-9717,7313
303,3,776,-1353,-2608,6619,-9740,7314
304,3,747,-1406,-2647,6644,-9762,7317
305,3,744,-1469,-2674,6666,-9785,7327
306,3,740,-1532,-2661,6687,-9806,7333
307,3,729,-1573,-2632,6713,-9828,7344
308,3,725,-1564,-2629,6737,-9847,7351
309,3,735,-1550,-2629,6762,-9866,7362
310,3,738,-1519,-2630,6788,-9885,7375
311,3,745,-1523,-2615,6807,-9902,7385
312,3,749,-1564,-2602,6826,-9920,7397
313,3,749,-1570,-2589,6850,-9941,7404
314,3,762,-1554,-2574,6875,-9960,7419
315,3,772,-1531,-2544,6900,-9979,7433
316,3,778,-1532,-2525,6924,-9997,7442
317,3,796,-1515,-2521,6948,-10017,7452
318,3,804,-1484,-2507,6974,-10037,7463
319,3,807,-1477,-2486,6997,-10056,7473
320,3,815,-1470,-2464,7020,-10075,7482
321,3,826,-1473,-2459,7045,-10095,7488
322,3,834,-1476,-2452,7067,-10115,7494
323,3,840,-1461,-2446,7092,-10134,7503
324,4,-25,3890,-1724,4956,-9339,7702
325,4,1088,1850,-2096,4258,-8935,7987
326,4,2519,-395,-1568,3815,-8681,8104
327,4,3461,-1540,-783,3706,-8620,8136
328,4,3777,-2656,-848,3968,-8827,8046
329,4,3485,-2206,-1471,4749,-9225,7902
330,4,2114,993,-1833,5747,-9608,7779
331,4,1064,4110,-1776,6588,-9881,7884
332,4,1200,3592,-763,6864,-9975,7947
333,4,168,1900,916,6959,-9958,7758
334,4,-2413,-615,2575,7022,-9912,7032
335,4,-4363,-933,3103,7140,-9776,5879
336,4,-5297,261,24,7356,-9538,4874
337,4,-1822,1693,-3018,7413,-9366,4365
338,4,2992,2173,-5664,7343,-9218,4416
339,4,5457,1499,-6789,7266,-9226,4802
340,4,5039,865,-6481,7320,-9421,5530
341,4,2309,305,-4655,7540,-9785,6355
342,4,-643,-545,-1583,7788,-10167,7075
343,4,-2657,-1785,1314,7925,-10435,7450
344,4,-2744,-2306,2178,7810,-10542,7504
345,4,-1415,-1386,2242,7557,-10508,7563
346,4,-677,679,2456,7011,-10371,7410
347,4,-1964,3055,2088,6193,-9974,7334
348,4,-2266,3572,582,5243,-9378,7583
349,4,-1301,1458,-1069,4477,-8944,7669
350,4,1287,-1377,-965,4072,-8717,7711
351,4,2603,-3109,-527,4006,-8670,7726
352,4,3098,-3689,-745,4377,-8905,7628
353,4,3113,-2346,-1367,5173,-9302,7526
354,4,2579,1039,-1729,6090,-9676,7440
355,4,1735,3515,-1377,6788,-9936,7495
356,4,1524,4011,-19,7166,-10059,7574
357,4,221,2209,1813,7241,-10022,7367
358,4,-2403,105,2908,7278,-9907,6670
359,4,-4372,-294,3167,7336,-9736,5571
360,4,-5599,642,1370,7516,-9507,4510
361,4,-2487,2854,-2542,7645,-9302,3899
362,4,2498,3629,-4742,7555,-9174,3854
363,4,5437,2890,-5841,7434,-9117,4195
364,4,5528,1952,-6043,7392,-9239,4842
365,4,2975,1190,-5066,7468,-9527,5731
366,4,-119,761,-2278,7685,-9896,6610
367,4,-2482,-632,923,7884,-10205,7187
368,4,-2562,-1858,2706,7930,-10367,7358
369,4,-1897,-1165,2662,7890,-10401,7372
370,4,-921,560,2182,7583,-10330,7423
371,4,-449,2763,1096,6989,-10099,7654
372,4,-1326,4428,-350,6106,-9705,8029
373,4,-332,2368,-1804,5243,-9232,8246
