,0,1,2,3,4,5,6
0,1,3413,-2984,-3873,-1761,-682,729
1,1,2437,-3161,-5441,-1376,-862,841
2,1,5,-988,-5924,-815,-1258,976
3,1,-1023,1359,-3620,-538,-1539,1016
4,1,-1334,3249,-2072,-503,-1608,1176
5,1,-1712,4503,-1336,-660,-1512,1285
6,1,-1948,4894,-2071,-1022,-1291,1254
7,1,-1222,3986,-3511,-1377,-1051,1049
8,1,662,2273,-3961,-1634,-890,929
9,1,3711,-286,-3241,-1701,-732,704
10,1,5308,-2103,-2706,-1611,-574,465
11,1,5594,-2802,-2879,-1358,-474,287
12,1,4938,-2737,-3910,-947,-493,258
13,1,2935,-1178,-5122,-409,-665,360
14,1,1410,839,-4373,19,-921,537
15,1,628,3527,-3073,219,-1070,668
16,1,230,5211,-2263,159,-1083,749
17,1,-308,6137,-2147,-107,-989,801
18,1,-371,5823,-2924,-528,-823,745
19,1,105,4546,-4106,-973,-655,682
20,1,1037,2281,-3980,-1383,-549,664
21,1,3224,-131,-3262,-1645,-464,699
22,1,5252,-2202,-2851,-1800,-344,736
23,1,6296,-3423,-3088,-1813,-233,786
24,1,5699,-3495,-4112,-1592,-274,895
25,1,3954,-2648,-5234,-1186,-510,1046
26,1,1724,-359,-4673,-760,-876,1208
27,1,769,1860,-3174,-556,-1090,1300
28,1,19,3339,-1803,-555,-1124,1368
29,1,-684,4261,-1416,-741,-1003,1446
30,1,-1011,4358,-1895,-1058,-767,1399
31,1,-434,3425,-3168,-1384,-507,1252
32,1,1010,1947,-3764,-1653,-333,1097
33,1,3489,-583,-3554,-1755,-197,912
34,1,5269,-2522,-3048,-1647,-64,723
35,1,5549,-3053,-3148,-1376,3,617
36,1,4663,-2663,-3904,-962,-37,643
37,1,2716,-1037,-4543,-469,-209,786
38,1,1437,1141,-4499,-76,-431,957
39,1,718,3212,-3410,83,-549,1084
40,1,246,4847,-2657,48,-555,1175
41,1,-201,5728,-2543,-169,-458,1227
42,1,-507,5726,-2994,-540,-288,1198
43,1,-89,4436,-3921,-999,-111,1129
44,1,1001,2325,-4294,-1395,12,999
45,1,2939,-263,-3711,-1687,97,989
46,1,4923,-2418,-3108,-1852,220,1029
47,1,5847,-3430,-3415,-1860,323,1059
48,1,5675,-3561,-3998,-1708,309,1164
49,1,4459,-2866,-4777,-1378,126,1304
50,1,2333,-1089,-4698,-971,-199,1511
51,1,1154,1003,-3604,-696,-464,1610
52,1,431,2690,-2187,-629,-562,1720
53,1,-253,3804,-1502,-718,-502,1786
54,1,-754,4180,-1575,-956,-319,1782
55,1,-682,3939,-2332,-1265,-57,1691
56,1,-425,3046,-3536,-1570,184,1506
57,1,1656,743,-4014,-1779,317,1222
58,1,4095,-1607,-3359,-1800,415,1105
59,1,5313,-2960,-2882,-1674,526,953
60,1,5539,-3347,-3055,-1419,605,838
61,1,4711,-2958,-3807,-1066,569,892
62,1,3285,-1658,-4707,-620,409,1003
