,0,1,2,3,4,5,6
0,1,-1128,-712,-6881,-998,-195,1180
1,1,-1483,364,-6819,-573,-479,1313
2,1,-2870,1842,-5499,-43,-868,1401
3,1,-3208,4545,-4003,293,-1135,1618
4,1,-2690,6861,-2072,416,-1272,1652
5,1,-3391,8344,-200,307,-1172,1686
6,1,-4908,8550,-584,25,-891,1717
7,1,-4955,6262,-3125,-336,-603,1742
8,1,-3470,3588,-4590,-669,-374,1710
9,1,-1649,1079,-5855,-842,-238,1705
10,1,-508,-299,-6598,-741,-307,1710
11,1,-544,176,-6317,-413,-574,1829
12,1,-1414,1863,-5145,3,-933,1962
13,1,-2078,3964,-3098,320,-1237,2031
14,1,-1888,5320,-2442,477,-1353,2186
15,1,-2135,6417,-919,451,-1327,2197
16,1,-3277,7352,328,278,-1099,2200
17,1,-4361,6203,-1415,-17,-766,2272
18,1,-3432,4220,-3461,-315,-516,2293
19,1,-1953,1888,-5000,-559,-325,2248
20,1,-448,-121,-6147,-632,-270,2305
21,1,132,-690,-6280,-448,-431,2385
22,1,-58,609,-5493,-102,-725,2561
23,1,-1215,3889,-2886,516,-1274,2710
24,1,-1198,5652,-1944,617,-1330,2824
25,1,-1787,7232,-682,529,-1234,2821
26,1,-3145,6890,-717,284,-978,2796
27,1,-3376,5594,-2365,-7,-676,2844
28,1,-2219,3449,-3755,-316,-423,2802
29,1,-815,831,-5332,-518,-243,2765
30,1,265,-613,-6217,-460,-296,2734
31,1,128,-527,-6094,-196,-552,2848
32,1,-444,548,-4772,156,-920,2978
33,1,-1355,2365,-3358,503,-1264,3063
34,1,-1523,4160,-1813,670,-1444,3188
35,1,-1627,5775,-791,652,-1412,3311
36,1,-2636,6737,161,456,-1223,3347
37,1,-3714,6116,-785,155,-913,3365
38,1,-3373,3984,-2991,-159,-627,3343
39,1,-1736,1649,-4376,-431,-398,3256
40,1,62,-401,-5542,-572,-269,3232
41,1,991,-1753,-6186,-491,-336,3244
42,1,426,-1272,-6247,-199,-591,3402
43,1,-959,-445,-5333,234,-1044,3432
44,1,-2328,1440,-3471,633,-1498,3500
45,1,-3040,2863,-2776,902,-1787,3650
46,1,-3152,2827,-3082,1038,-1961,3706
47,1,-3239,2186,-3693,1114,-2054,3800
48,1,-3345,1699,-4421,1194,-2123,3968
