,0,1,2,3,4,5,6
25,2,3019,3476,-3475,-1004,-7815,2085
26,2,4042,4969,-2150,-1474,-7750,2409
27,2,5209,3967,-2113,-2081,-7584,2557
28,2,5771,2538,-2342,-2301,-7497,2483
29,2,5552,1398,-2321,-2200,-7517,2335
30,2,4843,1814,-1505,-1999,-7532,2421
31,2,5768,1741,-856,-2075,-7450,2522
32,2,6628,1657,-914,-2086,-7366,2552
33,2,7329,1454,-1298,-1998,-7328,2452
34,2,8430,2561,-1464,-1604,-7353,2325
35,2,8650,4443,583,-1380,-7211,2382
36,2,8173,4265,915,-1539,-6937,2216
37,2,8267,3966,219,-1646,-6719,1913
38,2,8475,3213,-506,-1638,-6559,1535
39,2,8450,2959,-1376,-1443,-6466,1166
40,2,7216,3988,-2462,-1189,-6459,1050
41,2,7287,3932,-2614,-1321,-6432,1233
42,2,7844,3024,-2502,-1546,-6398,1411
43,2,8159,2266,-1976,-1658,-6410,1633
44,2,7811,1613,-1745,-1643,-6469,1896
45,2,8142,2248,-1360,-1417,-6567,2173
46,2,8827,4675,138,-1449,-6544,2582
47,2,8458,4517,-169,-1990,-6433,2774
48,2,8276,3521,-861,-2269,-6337,2890
49,2,8057,2534,-1571,-2283,-6305,2908
50,2,7497,2046,-1756,-2152,-6358,2790
51,2,5739,2187,-1114,-2006,-6402,2807
52,2,5661,1783,-669,-2172,-6311,2936
53,2,6174,1407,-571,-2280,-6206,2969
54,2,6642,1375,-772,-2278,-6120,2986
55,2,7044,1411,-1071,-2209,-6064,2959
56,2,7555,1639,-1423,-2134,-6052,2831
57,2,8041,1950,-1052,-1926,-6039,2808
58,2,7923,2985,163,-1717,-5952,2828
59,2,7583,3319,1023,-1771,-5701,2648
60,2,7660,2739,329,-1833,-5491,2391
61,2,7771,2314,-423,-1765,-5360,2078
62,2,7769,2334,-962,-1608,-5304,1818
63,2,7261,2271,-1636,-1408,-5281,1637
64,2,6539,2624,-2084,-1276,-5263,1694
65,2,6390,2612,-2304,-1398,-5204,1902
66,2,6881,2257,-2331,-1597,-5139,2076
67,2,7173,1733,-2165,-1766,-5106,2221
68,2,7404,1512,-1883,-1793,-5126,2506
69,2,7404,1177,-1491,-1731,-5182,2735
70,2,7591,2264,-891,-1579,-5261,2984
71,2,7732,3685,-429,-1640,-5258,3232
72,2,7692,4194,-691,-1976,-5146,3392
73,2,7660,3682,-1188,-2307,-5013,3511
74,2,7648,2709,-1586,-2497,-4921,3527
75,2,7320,1828,-1906,-2499,-4901,3467
76,2,6560,1078,-1783,-2382,-4955,3382
77,2,5712,1241,-1419,-2260,-5004,3327
78,2,5246,1194,-966,-2282,-4952,3392
79,2,5114,1144,-950,-2368,-4842,3474
80,2,5223,714,-873,-2485,-4733,3429
81,2,6036,1080,-1607,-2436,-4638,3412
82,2,6658,1131,-2397,-2314,-4599,3376
83,2,7266,1670,-2581,-2046,-4604,3395
84,2,7571,2631,-1697,-1779,-4576,3396
85,2,7408,3378,-935,-1708,-4436,3369
86,2,7106,3509,-403,-1785,-4235,3190
87,2,7128,3121,-705,-1845,-4052,2984
88,2,6966,2568,-1316,-1788,-3937,2723
89,2,6414,2365,-2185,-1609,-3912,2545
90,2,5909,2225,-2563,-1471,-3932,2497
91,2,5613,2055,-2783,-1465,-3892,2547
92,2,5517,2249,-2774,-1601,-3817,2776
93,2,5992,1871,-2678,-1832,-3715,2904
94,2,6460,1117,-2524,-2028,-3643,3037
95,2,6566,672,-2313,-2151,-3638,3219
96,2,6345,463,-1928,-2202,-3684,3480
97,2,6444,607,-1200,-2145,-3747,3763
98,2,6777,1519,-215,-2149,-3743,3988
99,2,7043,2117,-178,-2381,-3643,4063
100,2,7268,2010,-641,-2654,-3498,4085
101,2,7006,1513,-1320,-2785,-3407,4101
102,2,6542,950,-1744,-2804,-3412,4009
103,2,5795,813,-1650,-2705,-3457,3944
104,2,4438,751,-1659,-2603,-3468,3970
105,2,4018,462,-1418,-2694,-3393,4042
106,2,4362,43,-1516,-2802,-3299,4029
107,2,4787,-164,-1627,-2802,-3245,4048
108,2,5338,1038,-1931,-2386,-3217,4223
