,0,1,2,3,4,5,6
15,2,1122,-485,-1261,-1326,-5478,-587
16,2,1474,-1081,-693,-1333,-5450,-604
17,2,1706,-1497,-340,-1336,-5423,-616
18,2,1892,-1785,-94,-1340,-5397,-633
19,2,1986,-1942,129,-1334,-5372,-626
20,2,2031,-2030,221,-1334,-5340,-570
21,2,1827,-1842,228,-1366,-5289,-430
22,2,1283,-1507,-47,-1416,-5212,-47
23,2,1717,-604,-737,-1403,-5197,437
24,2,2834,972,-1353,-1319,-5233,812
25,2,3939,2920,-1882,-1072,-5225,1196
26,2,5122,4115,-1684,-906,-5128,1546
27,2,5209,4437,-2616,-952,-5088,1592
28,2,4954,4498,-3934,-998,-5081,1661
29,2,4964,4988,-4216,-996,-5080,1761
30,2,5004,5470,-4252,-1113,-5036,1801
31,2,5478,5588,-4136,-1362,-4930,1663
32,2,6329,4912,-3514,-1638,-4849,1394
33,2,6881,4334,-2766,-1834,-4801,1103
34,2,6469,3348,-1873,-1882,-4832,694
35,2,4692,2458,-1449,-1723,-4951,452
36,2,3295,1254,-1227,-1532,-5088,134
37,2,3145,-125,-1137,-1551,-5069,100
38,2,2904,-958,-649,-1542,-5052,44
39,2,2642,-1422,-264,-1530,-5032,19
40,2,2515,-1758,32,-1527,-5006,18
41,2,2374,-2075,179,-1526,-4973,41
42,2,2397,-2157,201,-1540,-4941,52
43,2,2175,-2276,266,-1536,-4908,88
44,2,1899,-923,-90,-1594,-4784,692
45,2,1906,27,-654,-1633,-4734,1131
46,2,2456,1797,-1354,-1624,-4740,1518
47,2,4848,2545,-1521,-1468,-4667,2051
48,2,6141,2752,-1803,-1337,-4524,2038
49,2,5998,3416,-3266,-1340,-4506,2107
50,2,5542,3951,-3803,-1344,-4490,2232
51,2,5569,4269,-4285,-1361,-4461,2296
52,2,5704,4575,-4731,-1413,-4417,2355
53,2,6017,4887,-4538,-1569,-4354,2384
54,2,6845,3739,-4038,-1956,-4269,2026
55,2,7739,3311,-2854,-2141,-4240,1661
56,2,7084,2510,-1983,-2184,-4269,1264
57,2,5095,1701,-1876,-2029,-4418,946
58,2,3411,708,-1357,-1830,-4599,695
59,2,3042,-406,-1215,-1779,-4607,699
60,2,2815,-1274,-707,-1792,-4589,638
61,2,2572,-1775,-317,-1781,-4570,638
62,2,2397,-2169,-42,-1771,-4547,625
63,2,2200,-2384,108,-1755,-4517,639
64,2,1714,-2638,123,-1756,-4448,799
65,2,1309,-2084,-328,-1805,-4356,1218
66,2,1804,-1025,-1115,-1895,-4329,1526
67,2,2718,351,-1637,-1891,-4350,1856
68,2,3382,1866,-1986,-1731,-4347,2224
69,2,4513,2577,-1324,-1499,-4271,2581
70,2,4956,3698,-2366,-1417,-4220,2609
71,2,4247,3625,-3749,-1510,-4206,2670
72,2,4006,3909,-4257,-1493,-4194,2768
73,2,3998,4263,-4579,-1495,-4167,2848
74,2,4124,4632,-4606,-1567,-4116,2890
75,2,4394,5129,-4188,-1789,-4040,2811
76,2,5235,4537,-4031,-2124,-3931,2578
77,2,6097,3159,-3352,-2366,-3851,2203
78,2,6191,2076,-2707,-2410,-3839,1936
79,2,5374,1170,-2173,-2310,-3941,1598
80,2,3094,192,-1896,-2072,-4155,1346
81,2,2762,-777,-1416,-1986,-4217,1288
82,2,2554,-1604,-792,-2020,-4193,1215
83,2,2357,-2114,-398,-2017,-4175,1197
84,2,2184,-2551,-120,-2014,-4147,1188
85,2,1912,-2903,36,-1981,-4088,1328
86,2,1550,-2709,-326,-2032,-4000,1574
87,2,1212,-1837,-1115,-2097,-3928,1998
88,2,1838,-687,-1874,-2141,-3899,2348
89,2,2911,1238,-2525,-1988,-3903,2681
90,2,5055,2061,-1933,-1771,-3801,2961
91,2,5944,2561,-2760,-1647,-3755,3026
92,2,4791,3071,-3758,-1738,-3746,3131
93,2,4452,3359,-4296,-1737,-3740,3212
94,2,4664,3680,-4582,-1757,-3708,3258
95,2,5286,3739,-4577,-1914,-3614,3233
96,2,6675,3285,-3100,-2502,-3427,2673
97,2,6240,2339,-2527,-2555,-3479,2249
98,2,4178,1229,-2262,-2362,-3666,1960
99,2,2709,91,-1821,-2159,-3854,1779
100,2,2560,-1053,-1428,-2170,-3837,1708
101,2,2306,-1815,-1045,-2169,-3823,1637
102,2,2128,-2201,-592,-2154,-3813,1615
103,2,1984,-2613,-250,-2154,-3791,1633
104,2,1746,-2842,-9,-2150,-3760,1667
105,2,1071,-2939,-133,-2203,-3655,1923
106,2,1368,-2292,-852,-2286,-3528,2415
107,2,2136,-1126,-1329,-2340,-3492,2697
108,2,2641,376,-1992,-2302,-3506,3017
109,2,3562,2013,-2475,-2135,-3487,3317
110,2,5109,2375,-1733,-1923,-3374,3542
111,2,5157,3065,-3415,-1913,-3343,3519
112,2,4102,3103,-4177,-1971,-3337,3628
113,2,4017,3578,-4606,-1944,-3328,3701
114,2,4107,3654,-4863,-1982,-3286,3743
115,2,4473,4119,-4728,-2086,-3211,3718
116,2,5235,3700,-4628,-2483,-3084,3416
117,2,5933,2814,-3259,-2727,-3005,3071
118,2,5879,1945,-2311,-2778,-2998,2767
119,2,4993,1074,-2010,-2696,-3130,2475
120,2,2525,11,-1955,-2493,-3392,2132
121,2,2219,-1255,-1647,-2362,-3469,2177
122,2,1978,-2249,-1123,-2392,-3453,2088
123,2,1783,-2741,-780,-2385,-3444,2072
124,2,1641,-3156,-498,-2392,-3434,2025
125,2,1477,-3409,-269,-2389,-3427,2000
126,2,1349,-3593,-85,-2394,-3416,1977
127,2,815,-3743,-68,-2430,-3362,2052
128,2,435,-3377,-266,-2504,-3243,2411
129,2,969,-2570,-679,-2602,-3154,2669
130,2,1702,-1705,-1028,-2638,-3122,2893
131,2,2257,-528,-1667,-2488,-3156,3144
132,2,2126,2089,-2363,-2253,-3213,3564
133,2,3678,1896,-1471,-2167,-3101,3859
134,2,3723,2825,-3255,-2152,-3065,3811
135,2,2912,2755,-3920,-2194,-3054,3913
136,2,2802,3031,-4503,-2160,-3060,3970
137,2,2620,2363,-4863,-2109,-3062,3999
138,2,2221,2329,-5294,-1916,-3116,3918
139,2,1394,2311,-5672,-1720,-3235,3732
140,2,164,1907,-5479,-1507,-3444,3610
141,2,-1403,1539,-5427,-1198,-3706,3469
142,2,-2997,1021,-5507,-981,-3966,3216
143,2,-3391,-624,-5911,-955,-4069,3133
144,2,-3560,-1179,-6317,-874,-4119,3321
145,2,-3801,-1742,-6427,-867,-4190,3317
146,2,-3930,-2244,-6487,-874,-4255,3307
147,2,-4019,-2478,-6630,-877,-4322,3263
148,2,-4051,-2693,-6760,-865,-4391,3245
149,2,-4063,-2785,-6810,-841,-4458,3255
150,2,-4073,-2776,-6781,-823,-4521,3262
151,2,-4050,-2792,-6835,-826,-4579,3258
152,2,-4038,-2864,-6860,-820,-4646,3232
153,2,-4016,-2876,-6847,-801,-4715,3227
154,2,-3980,-2869,-6824,-781,-4781,3224
155,2,-3940,-2824,-6783,-766,-4845,3220
156,2,-3885,-2755,-6763,-761,-4907,3205
157,2,-3841,-2795,-6774,-757,-4969,3190
158,2,-3829,-2743,-6715,-738,-5036,3189
159,2,-3744,-2616,-6706,-728,-5098,3185
160,2,-3710,-2664,-6685,-735,-5158,3161
161,2,-3664,-2632,-6637,-717,-5223,3161
162,2,-3643,-2548,-6562,-697,-5287,3163
163,2,-3575,-2542,-6578,-688,-5348,3153
164,2,-3529,-2506,-6534,-667,-5412,3155
165,2,-3494,-2450,-6478,-647,-5473,3159
166,2,-3446,-2459,-6475,-632,-5533,3159
167,2,-3413,-2431,-6439,-611,-5596,3158
168,2,-3360,-2402,-6375,-593,-5658,3159
169,2,-3318,-2368,-6361,-577,-5716,3159
170,3,1712,-2191,-668,-2006,-5917,2423
171,3,2025,-2681,-105,-2005,-5886,2397
172,3,2219,-3039,270,-1994,-5847,2409
173,3,2260,-3296,527,-1921,-5769,2610
174,3,1802,-2286,-3,-1801,-5644,3122
175,3,2025,-1537,-753,-1861,-5575,3561
176,3,3245,-412,-1727,-1839,-5554,3842
177,3,4749,1564,-2431,-1562,-5540,4164
178,3,6022,2425,-1556,-1322,-5499,4399
179,3,6316,2804,-2354,-1302,-5460,4387
180,3,5591,3057,-3512,-1376,-5417,4476
181,3,5436,3182,-3775,-1392,-5399,4554
182,3,5745,3558,-3793,-1494,-5334,4577
183,3,6437,3742,-3936,-1904,-5191,4416
184,3,7073,2510,-2548,-2353,-5083,4079
185,3,7353,1615,-1639,-2554,-5023,3745
186,3,7139,634,-1631,-2532,-5110,3365
187,3,4264,-60,-1410,-2341,-5389,3064
188,3,3455,-1066,-905,-2231,-5537,2859
189,3,3207,-2076,-407,-2261,-5515,2782
190,3,3012,-2747,-24,-2269,-5491,2739
191,3,2859,-3257,298,-2273,-5466,2695
192,3,2677,-3697,529,-2271,-5434,2666
193,3,2323,-4077,564,-2249,-5349,2783
194,3,1868,-3116,253,-2211,-5197,3261
195,3,2181,-2451,-233,-2323,-5061,3635
196,3,3072,-1891,-492,-2370,-5010,3930
197,3,4126,-120,-1052,-2121,-4996,4236
198,3,5586,1209,-1101,-1791,-4944,4498
199,3,6628,1864,-1552,-1678,-4886,4506
200,3,5668,2199,-2846,-1795,-4836,4589
201,3,5094,2549,-3284,-1795,-4821,4684
202,3,4981,2924,-3664,-1787,-4799,4747
203,3,4966,2802,-4024,-1818,-4755,4765
204,3,4790,3126,-4263,-1818,-4724,4818
205,3,5118,3180,-4134,-1854,-4673,4874
206,3,6166,3349,-3784,-2195,-4499,4825
207,3,7086,1989,-2517,-2669,-4392,4395
208,3,7314,1693,-1732,-2863,-4357,4029
209,3,6309,607,-1288,-2904,-4499,3590
210,3,3556,-425,-1425,-2682,-4809,3229
211,3,3313,-1772,-1337,-2552,-4882,3229
212,3,3225,-2946,-732,-2579,-4870,3131
213,3,3021,-3499,-185,-2574,-4855,3101
214,3,2906,-3888,180,-2574,-4833,3069
215,3,2800,-4170,415,-2574,-4807,3036
216,3,2568,-4565,785,-2535,-4781,3047
217,3,2261,-4193,727,-2543,-4684,3202
218,3,1897,-3687,3,-2605,-4569,3477
219,3,1992,-2687,-459,-2659,-4488,3860
220,3,2423,-1132,-706,-2649,-4440,4193
221,3,3779,691,-797,-2431,-4420,4605
222,3,5808,288,-468,-2213,-4299,4738
223,3,5905,1560,-1747,-2183,-4260,4755
224,3,4848,1831,-2510,-2233,-4236,4867
225,3,4599,2264,-3085,-2202,-4229,4937
226,3,4442,2532,-3578,-2191,-4207,4992
227,3,4316,2746,-3636,-2199,-4177,5040
228,3,4868,3234,-3348,-2365,-4113,4969
229,3,5617,2689,-2971,-2783,-3971,4694
230,3,6276,1586,-2156,-3103,-3867,4276
231,3,6148,670,-1520,-3132,-3921,3905
232,3,4117,-436,-1385,-3051,-4138,3524
233,3,2975,-1824,-1451,-2840,-4372,3267
234,3,2585,-2741,-1130,-2764,-4393,3302
235,3,2571,-3462,-584,-2758,-4378,3267
236,3,2443,-3804,-111,-2757,-4366,3222
237,3,2334,-4064,197,-2765,-4348,3177
238,3,2241,-4320,376,-2781,-4327,3127
239,3,2139,-4589,473,-2798,-4298,3098
240,3,2088,-4814,232,-2763,-4258,3171
241,3,1098,-4426,-318,-2734,-4168,3504
242,3,735,-3096,-942,-2756,-4071,4033
243,3,1591,-1191,-1877,-2714,-4087,4431
244,3,3658,994,-1173,-2406,-4094,4898
245,3,5236,1795,-786,-2278,-3977,4996
246,3,4388,2292,-2632,-2408,-3924,4977
247,3,3822,2188,-3325,-2433,-3912,5061
248,3,3794,2659,-3751,-2400,-3905,5125
249,3,3696,2764,-4218,-2416,-3877,5180
250,3,3934,2563,-4379,-2435,-3849,5215
251,3,4424,3191,-3878,-2557,-3772,5222
252,3,5210,3474,-3630,-2934,-3589,5016
253,3,6160,2509,-2771,-3258,-3469,4670
254,3,6157,1659,-2289,-3380,-3487,4271
255,3,3987,417,-2419,-3270,-3722,3861
256,3,2853,-514,-1889,-2927,-4013,3814
257,3,2791,-2080,-1165,-3035,-3967,3693
258,3,2438,-2693,-555,-3042,-3953,3648
259,3,2274,-3117,-98,-3048,-3938,3592
260,3,2161,-3475,189,-3065,-3916,3540
261,3,2047,-3781,312,-3077,-3893,3515
262,3,1775,-4389,540,-3082,-3833,3583
263,3,1387,-3794,-168,-3003,-3699,4130
264,3,1399,-2680,-809,-3124,-3601,4448
265,3,1767,-1419,-1471,-3144,-3561,4748
266,3,4401,1037,-2045,-2836,-3529,5213
267,3,5546,1527,-1683,-2707,-3454,5313
268,3,5040,1826,-3192,-2802,-3390,5325
269,3,4343,2023,-3704,-2795,-3400,5407
270,3,4219,2365,-4141,-2775,-3386,5464
271,3,4185,2431,-4381,-2787,-3361,5506
272,3,4150,2608,-4578,-2823,-3324,5543
273,3,4158,2815,-4309,-2902,-3271,5565
274,3,4941,2928,-4114,-3238,-3097,5385
275,3,6130,1699,-3268,-3611,-2966,5013
276,3,6773,724,-2379,-3806,-2944,4647
277,3,5373,114,-2141,-3742,-3120,4268
278,3,2703,-1276,-1928,-3462,-3488,3986
279,3,2419,-2706,-1473,-3472,-3486,3994
280,3,2267,-3566,-931,-3480,-3478,3909
281,3,2131,-4058,-459,-3480,-3472,3856
282,3,2040,-4399,-123,-3482,-3464,3803
283,3,1939,-4631,110,-3485,-3456,3754
284,3,1840,-4908,216,-3494,-3448,3705
285,3,1622,-5148,290,-3510,-3423,3686
286,3,1289,-5066,188,-3520,-3341,3856
287,3,907,-4377,-37,-3548,-3229,4118
288,3,1001,-3107,-697,-3602,-3161,4449
289,3,1769,-1121,-881,-3676,-3157,4681
