,0,1,2,3,4,5,6
0,1,4678,-2499,3246,-1153,-12636,-3575
1,1,6584,-2468,2621,-992,-12378,-3855
2,1,8776,-1633,1359,-551,-12141,-4100
3,1,11020,-224,-192,-112,-12020,-4120
4,1,12617,740,-752,-60,-12037,-4032
5,1,13285,712,-452,-290,-12100,-3861
6,1,13333,280,-353,-551,-12195,-3677
7,1,12453,-326,-512,-894,-12402,-3558
8,1,10379,-1031,125,-1312,-12701,-3412
9,1,7239,-1757,1002,-1699,-13014,-3173
10,1,4376,-1955,2074,-2075,-13280,-2930
11,1,2464,-2448,3671,-2141,-13402,-2678
12,1,1850,-2800,4397,-1829,-13311,-2720
13,1,1008,-2961,4652,-1762,-13146,-2989
14,1,-80,-2819,4598,-1490,-12854,-3385
15,1,-148,-2595,3901,-971,-12501,-3609
16,1,1262,-2393,3492,-590,-12214,-3672
17,1,3034,-2507,2947,-450,-11939,-3808
18,1,5337,-2019,1797,-149,-11651,-4021
19,1,8202,-760,276,190,-11478,-4146
20,1,10308,412,-234,258,-11449,-4148
21,1,11563,684,-171,175,-11481,-3981
22,1,11781,409,-124,-160,-11603,-3853
23,1,10707,-278,-7,-576,-11831,-3679
24,1,8800,-1278,559,-889,-12122,-3472
25,1,5655,-1438,1735,-897,-12422,-3168
26,1,3944,-1820,2602,-803,-12571,-2875
27,1,2734,-1775,3333,-560,-12616,-2789
28,1,2251,-1391,3664,-256,-12583,-2707
29,1,1696,-1411,3822,-337,-12494,-2749
30,1,1184,-1237,3610,-472,-12351,-2861
31,1,770,-1404,3955,-512,-12126,-2978
32,1,1019,-1506,4176,-412,-11817,-3116
33,1,1891,-1537,3849,-288,-11509,-3257
34,1,3413,-1622,3011,-191,-11218,-3432
35,1,8173,-552,518,270,-10770,-3669
36,1,10312,244,-456,346,-10691,-3684
37,1,11612,641,-899,270,-10693,-3616
38,1,12259,377,-722,85,-10760,-3501
39,1,12138,-261,-404,-121,-10868,-3384
40,1,11033,-759,-259,-312,-11057,-3274
41,1,9100,-1188,413,-468,-11313,-3105
42,1,6523,-1743,1329,-578,-11564,-2877
43,1,4342,-2120,2451,-479,-11703,-2714
44,1,3372,-1961,3293,-334,-11712,-2678
45,1,2379,-1862,4110,-251,-11635,-2684
46,1,1632,-1800,4633,-261,-11442,-2770
47,1,1163,-1787,4398,-213,-11116,-2898
48,1,1809,-1829,3737,-126,-10782,-3025
49,1,3022,-1926,3199,-76,-10474,-3227
50,1,4823,-1401,1781,27,-10149,-3508
51,1,7355,-416,-202,214,-9934,-3681
52,1,9802,468,-2038,327,-9837,-3701
53,1,11354,866,-2686,343,-9862,-3627
54,1,12026,888,-2712,292,-9971,-3495
55,1,11485,451,-2418,129,-10172,-3356
56,1,9885,-260,-1497,-59,-10465,-3201
57,1,7274,-906,-6,-129,-10776,-3009
58,1,5073,-1555,1111,-179,-10970,-2875
59,1,3474,-1377,2487,-78,-11066,-2744
60,1,2472,-1539,3503,41,-11024,-2733
61,1,1746,-1378,4272,100,-10857,-2801
62,1,1104,-1078,4298,163,-10567,-2851
63,1,1321,-1119,3734,152,-10257,-2917
64,1,2454,-1178,2608,148,-9973,-3053
65,1,4206,-1007,1368,235,-9731,-3186
66,1,6842,-776,247,343,-9509,-3377
67,1,9421,34,-1200,464,-9356,-3509
68,1,11028,751,-1695,523,-9345,-3459
69,1,11738,801,-1433,499,-9386,-3292
70,1,11510,401,-1108,374,-9493,-3139
71,1,10480,-143,-921,226,-9682,-3018
72,1,8480,-680,-475,174,-9939,-2888
73,1,5869,-777,558,261,-10205,-2763
74,1,3662,-866,1955,358,-10355,-2646
75,1,2817,-731,2807,564,-10369,-2563
76,1,2100,-530,3413,581,-10328,-2585
77,1,1176,-462,3943,534,-10166,-2635
78,1,599,-381,3847,485,-9894,-2705
