,0,1,2,3,4,5,6
15,2,3959,379,-2620,2012,-7638,27
16,2,4774,2039,-1024,2328,-7723,132
17,2,5179,2771,-66,2571,-7817,427
18,2,4871,2971,1789,2701,-7904,687
19,2,3924,2925,3028,2679,-7874,793
20,2,2806,2669,3360,2579,-7750,718
21,2,1900,2839,3756,2482,-7562,431
22,2,2135,2976,3576,2357,-7342,59
23,2,2882,2273,2493,2203,-7174,-453
24,2,3130,1768,869,2226,-7086,-969
25,2,3800,1520,-738,2369,-7055,-1310
26,2,5034,1630,-1425,2618,-7070,-1491
27,2,6090,2333,-913,2913,-7150,-1466
28,2,6432,3150,384,3259,-7225,-1324
29,2,6139,3730,1067,3541,-7289,-1078
30,2,5520,3578,1396,3790,-7339,-923
31,2,3981,4190,2641,3958,-7362,-851
32,2,2859,4253,3917,3839,-7236,-880
33,2,1799,4306,3952,3650,-7004,-1036
34,2,1577,3981,3104,3480,-6787,-1375
35,2,1825,3347,1504,3447,-6638,-1782
36,2,2431,2562,205,3561,-6533,-2138
37,2,3486,2433,-873,3786,-6441,-2388
38,2,4746,2821,-1201,4065,-6411,-2545
39,2,5259,3373,-875,4385,-6420,-2589
40,2,5145,4088,-196,4682,-6492,-2503
41,2,4604,4890,515,4924,-6600,-2308
42,2,3981,4968,2053,5028,-6682,-2131
43,2,2978,4835,3331,4983,-6636,-2025
44,2,1896,4726,4117,4836,-6471,-2061
45,2,1772,4772,3831,4654,-6249,-2293
46,2,2041,4306,2652,4564,-6045,-2655
47,2,2211,3778,1259,4624,-5891,-3023
48,2,2898,3400,-195,4741,-5793,-3307
49,2,4101,3174,-1216,4906,-5755,-3471
50,2,4928,3314,-1099,5132,-5764,-3540
51,2,5029,3731,-577,5392,-5787,-3420
52,2,4822,4210,65,5617,-5858,-3195
53,2,4150,4560,1212,5807,-5966,-2947
54,2,3073,4462,2940,5896,-6013,-2767
55,2,1722,4060,3979,5870,-5903,-2684
56,2,1425,4330,4040,5745,-5720,-2836
57,2,1592,4294,3607,5633,-5521,-3131
58,2,1535,3898,2542,5631,-5337,-3506
59,2,2076,3620,1256,5728,-5171,-3801
60,2,2947,3424,129,5847,-5035,-4035
61,2,4015,3412,-832,6007,-4933,-4177
62,2,4795,3708,-1402,6240,-4867,-4250
63,2,5123,4122,-1289,6589,-4821,-4225
64,2,4912,5306,-889,7078,-4781,-4090
65,2,4601,6786,-1,7468,-4826,-3914
66,2,3720,7298,2121,7568,-4919,-3768
67,2,2773,6529,3718,7403,-4884,-3704
68,2,1928,6072,3928,7177,-4743,-3807
69,2,1865,5492,3450,7028,-4578,-4077
70,2,1936,4593,2475,7016,-4410,-4441
71,2,1817,4230,1041,7175,-4235,-4689
72,2,2332,4108,-213,7346,-4096,-4807
73,2,3291,4191,-1009,7512,-3996,-4874
74,2,4216,4648,-1318,7715,-3952,-4897
75,2,4565,5340,-1202,7958,-3995,-4811
76,2,4144,6125,-221,8208,-4091,-4619
77,2,3471,6416,1819,8375,-4192,-4381
78,2,1448,5392,4353,8235,-4034,-4294
79,2,1118,4989,3776,8149,-3842,-4515
80,2,1065,4381,2555,8188,-3647,-4806
81,2,1116,3870,1224,8331,-3476,-5055
82,2,1698,3563,135,8502,-3328,-5208
83,2,2632,3608,-390,8665,-3219,-5321
84,2,3421,4168,-752,8822,-3173,-5379
85,2,4228,4728,-704,8952,-3203,-5327
