,0,1,2,3,4,5,6
14,2,2650,4534,-2708,1607,-5053,-2781
15,2,4223,3246,-2138,1441,-5030,-2628
16,2,5158,1886,-1734,1275,-5016,-2452
17,2,5567,828,-1765,1081,-5016,-2214
18,2,4940,453,-2372,740,-5070,-1948
19,2,3816,395,-3003,279,-5202,-1567
20,2,2489,118,-2976,-39,-5405,-1061
21,2,513,622,-1158,41,-5705,-512
22,2,-2248,2909,1757,274,-5915,-326
23,2,-3403,4992,2270,-121,-5915,-145
24,2,-4768,6172,723,-808,-5793,105
25,2,-2137,3350,-2603,-2119,-5505,467
26,2,216,336,-2485,-2455,-5451,674
27,2,2316,-1561,-1979,-2566,-5384,696
28,2,3942,-2587,-1893,-2483,-5316,542
29,2,4746,-3150,-2006,-2226,-5303,214
30,2,4221,-1450,-2110,-1743,-5358,21
31,2,4701,1017,-2712,-1234,-5422,-72
32,2,4543,3028,-2577,-727,-5545,-60
33,2,2868,4856,457,-432,-5686,13
34,2,1161,4053,2839,-533,-5654,-284
35,2,-1334,3967,3493,-411,-5564,-975
36,2,-3192,3588,1698,94,-5494,-1765
37,2,-3288,2809,-304,784,-5439,-2443
38,2,-1191,3962,-1845,1411,-5352,-2678
39,2,1600,5052,-1958,1680,-5281,-2702
40,2,3969,4835,-1487,1710,-5222,-2649
41,2,5561,3958,-1351,1678,-5154,-2615
42,2,6760,3522,-1562,1597,-5102,-2518
43,2,5292,3461,-2711,712,-5193,-1803
44,2,2918,2409,-3601,52,-5379,-953
45,2,959,1747,-2028,-125,-5576,-142
46,2,-1321,2499,-83,142,-5813,262
47,2,-3749,5081,2082,289,-5982,423
48,2,-4218,6721,1944,-504,-5814,826
49,2,-2889,5937,-253,-1521,-5629,986
50,2,-1647,4204,-2230,-2212,-5514,1052
51,2,54,1249,-2706,-2448,-5440,1138
52,2,2951,-485,-1742,-2427,-5328,1170
53,2,4500,-1791,-1779,-2461,-5230,1088
54,2,4747,-3010,-1819,-2319,-5216,820
55,2,4174,-2644,-2379,-1849,-5306,439
56,2,3675,406,-3294,-1111,-5454,323
57,2,2588,3233,-3094,-384,-5653,324
58,2,1481,5156,-2192,73,-5830,370
59,2,863,5308,-1709,262,-5923,421
60,2,-383,4532,-751,229,-5963,349
61,2,-2965,3506,1156,74,-5886,127
62,2,-5249,3316,2065,74,-5737,-331
63,2,-6004,4516,791,390,-5581,-810
64,2,-3864,3851,-1729,729,-5410,-1359
65,2,-2294,2084,-3361,1284,-5307,-2023
66,2,-104,4294,-3554,1856,-5251,-2244
67,2,2616,4384,-3126,1895,-5215,-2289
68,2,4614,3862,-2308,1853,-5171,-2262
69,2,5724,3465,-1732,1761,-5127,-2185
70,2,6432,2955,-1920,1554,-5109,-1986
71,2,6106,2202,-2551,1185,-5141,-1666
72,2,5152,1574,-3345,742,-5231,-1221
73,2,3795,1156,-3718,398,-5409,-662
74,2,1615,1464,-1811,397,-5698,-52
75,2,-277,1283,-162,510,-5938,170
76,2,-2195,2188,500,793,-6145,272
77,2,-2850,3521,763,544,-6216,271
78,2,-3715,5297,282,33,-6129,473
79,2,-3882,5959,-986,-755,-6009,681
80,2,-2370,4378,-2423,-1524,-5859,690
81,2,1860,381,-3122,-2133,-5626,750
82,2,3734,-1155,-2336,-2165,-5546,792
83,2,5157,-2064,-1977,-2134,-5472,697
84,2,5776,-2761,-1939,-2001,-5445,527
85,2,5784,-2469,-1842,-1686,-5476,346
86,2,5419,-1241,-1954,-1224,-5531,201
87,2,4597,696,-2389,-680,-5626,126
88,2,3694,2676,-2185,-137,-5755,99
89,2,2110,4337,-1416,284,-5925,205
90,2,875,4522,-144,347,-6059,211
91,2,-1103,3262,1104,283,-6007,79
92,2,-3382,2639,2194,244,-5850,-108
93,2,-4587,3042,2563,303,-5672,-625
94,2,-4616,3319,76,613,-5570,-1236
95,2,-2995,2532,-1660,1027,-5536,-1914
96,2,-898,3891,-2206,1698,-5475,-2207
97,2,1835,4830,-2059,1923,-5420,-2175
98,2,3887,3550,-1564,1841,-5378,-2121
99,2,5380,2354,-1364,1787,-5324,-2084
100,2,6272,1930,-1451,1713,-5286,-2004
101,2,6382,1552,-1910,1480,-5298,-1853
102,2,5654,1008,-2541,1102,-5375,-1610
103,2,4300,324,-2684,709,-5538,-1258
104,2,2351,180,-1881,501,-5789,-745
105,2,103,393,-905,521,-6047,-347
106,2,-1521,479,-710,745,-6245,-150
107,2,-2426,677,-1158,1128,-6378,-43
108,2,-3008,767,-1936,1268,-6500,-162
109,2,-2981,725,-2889,1286,-6577,-187
110,2,-2850,601,-3929,1250,-6636,-169
111,2,-2818,198,-4729,1205,-6693,-156
112,2,-2791,32,-5232,1204,-6752,-197
113,2,-2693,57,-5605,1213,-6813,-208
114,2,-2607,119,-5763,1232,-6868,-176
115,2,-2544,126,-5910,1243,-6925,-167
116,2,-2481,122,-5987,1236,-6985,-162
117,2,-2409,67,-6050,1263,-7086,-169
118,2,-2368,164,-6089,1253,-7143,-169
119,2,-2290,47,-6084,1227,-7199,-171
120,2,-2286,-26,-6068,1230,-7256,-188
121,2,-2247,22,-6051,1240,-7313,-199
122,2,-2216,65,-6027,1250,-7367,-200
123,2,-2188,54,-5994,1257,-7421,-200
124,2,-2154,41,-5997,1263,-7474,-204
125,2,-2116,32,-5976,1268,-7529,-207
126,2,-2094,16,-5959,1275,-7585,-208
127,2,-2071,6,-5927,1280,-7638,-210
128,2,-2048,12,-5904,1284,-7692,-212
129,2,-2012,5,-5857,1287,-7747,-215
130,2,-1980,18,-5834,1291,-7799,-221
131,2,-1943,12,-5814,1291,-7852,-225
132,2,-1919,10,-5787,1295,-7905,-231
133,2,-1883,23,-5750,1301,-7956,-233
134,2,-1845,18,-5726,1306,-8007,-235
135,3,1679,5048,-983,1477,-8633,-4129
136,3,4523,3582,-762,1367,-8583,-3964
137,3,6410,2381,-738,1278,-8562,-3761
138,3,7426,1693,-858,1181,-8588,-3371
139,3,7179,1073,-1021,918,-8659,-2910
140,3,5925,680,-1457,514,-8806,-2211
141,3,4449,608,-1316,323,-9002,-1301
142,3,2190,308,489,463,-9197,-571
143,3,445,715,1449,1080,-9371,-228
144,3,-1415,2019,2586,1425,-9528,-391
145,3,-1743,3502,2963,1096,-9474,-158
146,3,-2687,5366,1775,453,-9332,349
147,3,-2662,5859,-60,-505,-9177,970
148,3,-1427,4643,-1574,-1399,-8984,1446
149,3,361,1829,-1979,-1856,-8837,1987
150,3,3257,-688,-430,-1963,-8685,2317
151,3,5248,-1867,32,-2022,-8587,2192
152,3,6452,-2394,97,-1940,-8560,1879
153,3,6729,-2272,-34,-1683,-8578,1356
154,3,6660,-656,-924,-1155,-8656,822
155,3,6520,1782,-1715,-526,-8849,550
156,3,5159,3267,-961,91,-9057,454
157,3,3201,4747,804,508,-9182,349
158,3,798,4805,3458,349,-9148,260
159,3,-2044,4001,4424,13,-8926,-260
160,3,-4009,4080,3390,115,-8709,-1160
161,3,-4467,3592,1520,562,-8503,-2280
162,3,-2618,4389,-646,1308,-8282,-3141
163,3,599,5539,-1682,1478,-8184,-3485
164,3,3559,6037,-1068,1556,-8141,-3463
165,3,5863,4945,-797,1476,-8101,-3363
166,3,7404,3975,-749,1394,-8076,-3250
167,3,8216,3407,-993,1218,-8096,-3003
168,3,7524,3247,-1515,892,-8235,-2356
169,3,6420,2179,-1352,374,-8396,-1701
170,3,4968,1772,-725,295,-8546,-801
171,3,2311,2049,829,435,-8730,-123
172,3,804,2923,2488,698,-8858,449
173,3,736,2841,2932,826,-8918,754
174,3,639,4477,3092,648,-8967,699
175,3,130,6692,2757,184,-8836,1000
176,3,49,6872,1186,-633,-8619,1425
177,3,910,5569,-373,-1445,-8396,1748
178,3,2281,2424,-1535,-2087,-8213,1989
179,3,4135,-471,-1487,-2265,-8104,2127
180,3,6055,-1851,-1107,-2253,-8041,2026
181,3,7466,-2743,-976,-2149,-7998,1902
182,3,8041,-3303,-609,-1964,-7968,1637
183,3,8041,-3089,-570,-1660,-8013,1153
184,3,7505,-1181,-1160,-1080,-8106,732
185,3,6699,1520,-1671,-450,-8245,478
186,3,5485,3481,-1382,0,-8444,371
187,3,3740,4473,265,324,-8615,360
188,3,1717,4410,2468,315,-8604,310
189,3,-908,4063,3833,89,-8426,42
190,3,-2368,4316,3498,-1,-8209,-536
191,3,-2250,3261,1811,185,-8011,-1332
192,3,-2069,2677,118,986,-7790,-2248
193,3,697,3299,-1300,1328,-7636,-2517
194,3,3235,4580,-1428,1498,-7513,-2735
195,3,5433,4739,-1430,1500,-7433,-2707
