,0,1,2,3,4,5,6
15,2,2195,-466,-2937,223,-5480,-189
16,2,1860,-156,-2068,312,-5598,-185
17,2,770,63,-847,398,-5734,-202
18,2,30,336,95,444,-5832,-177
19,2,-569,697,1206,451,-5859,-166
20,2,-1096,932,1763,402,-5808,-158
21,2,-1306,988,2034,278,-5707,-170
22,2,-1134,970,1897,158,-5572,-268
23,2,-468,503,887,122,-5432,-379
24,2,803,-44,-446,153,-5312,-370
25,2,2206,-539,-1583,162,-5230,-320
26,2,3240,-684,-2161,169,-5213,-292
27,2,3413,-637,-2549,202,-5279,-253
28,2,2948,-359,-1928,264,-5409,-198
29,2,1921,136,-762,374,-5550,-169
30,2,871,575,429,487,-5656,-135
31,2,116,976,1265,547,-5706,-113
32,2,-503,1204,1989,521,-5687,-110
33,2,-960,1234,2368,439,-5594,-144
34,2,-1082,1237,2069,366,-5468,-212
35,2,-531,756,1210,320,-5330,-283
36,2,537,148,-120,323,-5203,-295
37,2,1975,-390,-1516,323,-5122,-242
38,2,3052,-634,-2168,334,-5113,-220
39,2,3327,-494,-2116,362,-5166,-187
40,2,2796,-109,-1916,428,-5256,-115
41,2,2164,314,-694,493,-5384,-97
42,2,1341,781,-113,577,-5481,-70
43,2,582,835,640,558,-5575,-197
44,2,-288,764,1582,563,-5595,-161
45,2,-900,515,2067,521,-5541,-191
46,2,-1132,532,1868,521,-5442,-192
47,2,-919,531,1615,489,-5324,-261
48,2,-365,291,1024,463,-5190,-341
49,2,745,-200,-158,487,-5066,-352
50,2,2114,-441,-1342,515,-4981,-280
51,2,3174,-593,-1971,501,-4960,-297
52,2,3501,-616,-2004,507,-5003,-302
53,2,3340,-463,-1776,543,-5086,-261
54,2,1470,369,-217,649,-5330,-171
55,2,535,359,798,694,-5414,-124
56,2,-62,729,1264,722,-5445,-96
57,2,-459,1170,1521,702,-5422,-97
58,2,-885,1294,1797,626,-5354,-130
59,2,-1120,938,1632,536,-5247,-193
60,2,-791,312,1142,461,-5113,-249
61,2,269,73,375,442,-4976,-248
62,2,1563,-92,-661,447,-4865,-239
63,2,2835,-330,-1465,441,-4798,-235
64,2,3730,-499,-1942,448,-4786,-228
65,2,3852,-355,-2018,480,-4835,-188
66,2,3465,-116,-1556,526,-4928,-152
67,2,2585,141,-633,576,-5050,-140
68,2,1459,284,-1,620,-5174,-139
69,2,599,446,350,662,-5265,-109
70,2,-62,624,849,683,-5320,-89
71,2,-706,751,1342,674,-5320,-78
72,2,-1388,965,1631,580,-5166,-138
73,2,-1113,735,1165,531,-5047,-214
74,2,-347,328,432,500,-4926,-265
75,2,720,-63,-487,472,-4815,-294
76,2,1967,-411,-1323,476,-4740,-276
77,2,2880,-636,-1927,487,-4717,-263
78,2,3233,-593,-2131,508,-4762,-242
79,2,2901,-441,-1893,544,-4862,-196
80,2,2196,-106,-1135,608,-4983,-140
81,2,1084,331,-164,678,-5100,-69
82,2,196,597,970,711,-5186,-49
83,2,-419,897,1517,722,-5189,-24
84,2,-864,1107,1700,685,-5141,-23
85,2,-1078,1137,1695,624,-5052,-64
86,2,-896,928,1297,563,-4942,-142
87,2,-266,634,737,538,-4828,-202
88,2,795,233,-97,531,-4714,-188
89,2,1923,-243,-823,506,-4625,-192
90,2,2951,-511,-1621,510,-4578,-185
91,2,3427,-618,-1949,526,-4592,-191
92,2,3352,-480,-1893,565,-4658,-169
93,2,2766,-249,-1541,608,-4757,-99
94,2,1826,281,-506,685,-4874,20
95,2,913,954,516,759,-4963,98
96,2,324,1409,1156,797,-5000,140
97,2,-220,1779,1557,779,-4976,165
98,2,-498,1833,1617,723,-4905,163
99,2,-542,1931,1540,656,-4800,155
100,2,-230,1736,1158,573,-4683,69
101,2,525,1125,396,505,-4559,-33
102,2,1683,486,-640,475,-4442,-25
103,2,2819,-21,-1503,461,-4366,-36
104,2,3674,-346,-1878,454,-4343,-53
105,2,4051,-501,-1801,451,-4363,-65
106,2,3932,-597,-1490,443,-4413,-103
107,2,3427,-492,-958,473,-4492,-58
108,2,2698,-329,-85,520,-4575,7
109,2,1715,-179,478,545,-4638,73
110,2,938,17,38,540,-4688,149
111,2,399,167,-1157,534,-4770,273
112,2,-351,504,-1963,646,-4923,393
113,2,-1519,1352,-2240,939,-5110,599
114,2,-2157,2031,-2589,1273,-5253,841
115,2,-2292,2165,-3149,1532,-5348,991
116,2,-2626,1953,-3726,1713,-5426,1011
117,2,-3065,1122,-4501,1719,-5496,926
118,2,-3085,331,-5406,1716,-5552,919
119,2,-3118,-183,-5965,1709,-5610,925
120,2,-3158,-555,-6269,1699,-5675,908
121,2,-3181,-798,-6457,1700,-5739,884
122,2,-3160,-867,-6598,1712,-5803,880
123,2,-3163,-906,-6649,1718,-5865,879
124,2,-3140,-902,-6712,1714,-5926,866
125,2,-3093,-941,-6813,1710,-5988,849
126,2,-3081,-996,-6820,1719,-6050,837
127,2,-3046,-952,-6806,1730,-6112,835
128,2,-2970,-930,-6795,1742,-6233,815
129,2,-2923,-914,-6761,1752,-6295,810
130,2,-2885,-905,-6753,1760,-6355,805
131,2,-2844,-887,-6716,1773,-6417,804
132,2,-2812,-848,-6695,1784,-6477,799
133,2,-2780,-830,-6656,1791,-6537,790
134,2,-2722,-828,-6633,1801,-6596,785
135,2,-2691,-814,-6585,1814,-6655,779
136,2,-2654,-802,-6553,1825,-6715,776
137,2,-2619,-808,-6527,1839,-6773,773
138,2,-2582,-725,-6461,1850,-6832,767
139,2,-2548,-783,-6461,1846,-6889,756
140,2,-2515,-784,-6430,1857,-6947,751
141,2,-2482,-723,-6362,1872,-7004,751
142,2,-2441,-705,-6335,1877,-7061,741
143,3,3780,-1369,-4123,1268,-8041,177
144,3,3301,-748,-3322,1371,-8220,165
145,3,2008,-407,-685,1433,-8410,132
146,3,1146,-162,1429,1574,-8491,237
147,3,550,83,2855,1621,-8482,290
148,3,131,341,3393,1562,-8393,279
149,3,-75,418,3504,1437,-8267,209
150,3,172,249,3230,1312,-8104,44
151,3,941,-68,2289,1279,-7931,-14
152,3,2340,-474,838,1273,-7782,0
153,3,3972,-970,-447,1274,-7685,56
154,3,5178,-1319,-1125,1268,-7663,73
155,3,5553,-1270,-1414,1328,-7714,113
156,3,5164,-903,-1274,1449,-7828,144
157,3,3863,-451,-61,1577,-7980,145
158,3,2572,277,1565,1716,-8082,213
159,3,1633,659,2850,1764,-8109,252
160,3,1032,912,3519,1747,-8051,273
161,3,490,1219,3408,1652,-7934,251
162,3,634,1109,2968,1496,-7797,230
163,3,1141,687,2602,1356,-7647,118
164,3,1992,159,1741,1302,-7496,38
165,3,3307,-428,501,1272,-7367,7
166,3,4648,-824,-741,1252,-7292,-32
167,3,5457,-1032,-1523,1282,-7303,-36
168,3,5318,-1007,-1758,1317,-7381,-18
169,3,4668,-635,-840,1416,-7509,55
170,3,3254,-155,799,1575,-7637,164
171,3,2217,235,2018,1689,-7713,229
172,3,1683,715,2824,1740,-7710,259
173,3,1147,1155,3103,1697,-7653,268
174,3,865,1236,3315,1570,-7550,223
175,3,544,1128,3291,1439,-7413,115
176,3,864,503,2528,1332,-7255,18
177,3,1906,-140,1349,1297,-7103,-62
178,3,3283,-608,44,1307,-6986,-56
179,3,4614,-969,-842,1339,-6920,-1
180,3,5458,-1173,-1720,1440,-6967,32
181,3,4897,-699,-960,1546,-7081,39
182,3,3739,152,296,1687,-7201,104
183,3,2794,632,1424,1784,-7274,172
184,3,1940,988,2254,1844,-7303,187
185,3,1284,1170,2631,1856,-7273,230
186,3,853,1388,2991,1802,-7195,233
187,3,532,1588,3174,1687,-7060,192
188,3,657,1276,2481,1554,-6901,127
189,3,1591,683,1236,1457,-6753,53
190,3,2951,47,-101,1431,-6638,44
191,3,4301,-461,-1159,1423,-6581,41
192,3,5054,-692,-1481,1438,-6585,31
193,3,5188,-580,-1320,1478,-6639,61
194,3,4653,-367,-799,1529,-6729,116
195,3,3626,-123,-154,1626,-6844,194
196,3,2394,400,813,1732,-6939,270
197,3,1702,798,1673,1799,-6990,302
198,3,1043,1142,2264,1811,-6974,312
199,3,459,1421,2848,1759,-6894,313
200,3,190,1369,2788,1641,-6764,284
201,3,395,1054,2254,1522,-6621,177
202,3,1178,531,1311,1451,-6477,88
203,3,2447,22,201,1437,-6351,77
204,3,3759,-436,-712,1424,-6267,87
205,3,4771,-704,-1243,1393,-6232,43
206,3,5113,-980,-1578,1396,-6257,23
207,3,4804,-865,-1456,1466,-6339,77
208,3,3966,-405,-249,1504,-6452,77
209,3,2839,-213,559,1518,-6562,88
210,3,1987,-237,1549,1544,-6625,126
211,3,1104,-196,2676,1555,-6627,149
212,3,698,-130,3130,1509,-6549,127
213,3,439,-70,2829,1456,-6441,66
214,3,612,-159,2429,1419,-6316,-23
215,3,1226,-295,1738,1422,-6180,-86
216,3,2224,-619,715,1401,-6057,-159
217,3,3393,-995,-373,1399,-5965,-163
218,3,4387,-1194,-1118,1407,-5927,-157
219,3,4817,-1213,-1650,1431,-5949,-135
220,3,4562,-1036,-1652,1482,-6033,-69
221,3,3678,-611,-734,1576,-6152,14
222,3,2501,-143,208,1680,-6267,89
223,3,1512,336,1208,1749,-6355,119
224,3,707,665,2021,1758,-6369,126
225,3,168,799,2241,1713,-6322,127
226,3,-194,758,2213,1634,-6242,68
227,3,-90,619,2051,1564,-6134,-28
228,3,352,341,1758,1515,-6002,-122
229,3,1185,-152,827,1498,-5856,-157
230,3,2432,-461,-327,1504,-5746,-150
231,3,3558,-702,-1270,1502,-5690,-148
232,3,4233,-840,-1679,1511,-5697,-138
233,3,4218,-806,-1651,1557,-5757,-96
234,3,3539,-505,-1177,1632,-5866,-34
235,3,2644,-278,-148,1710,-5982,26
236,3,1686,289,788,1798,-6073,71
237,3,875,792,1474,1852,-6120,97
238,3,229,1057,1994,1831,-6110,94
239,3,-209,1101,2326,1758,-6042,50
240,3,-447,949,2319,1671,-5934,-23
241,3,-128,663,1750,1597,-5801,-118
242,3,701,170,975,1551,-5671,-202
243,3,1727,-290,217,1539,-5551,-233
244,3,2886,-642,-442,1542,-5456,-209
245,3,3951,-977,-1209,1539,-5401,-208
246,3,4566,-1131,-1538,1538,-5400,-209
247,3,4572,-974,-1373,1575,-5451,-176
248,3,4058,-758,-860,1632,-5542,-115
249,3,2980,-896,-1074,1676,-5646,-80
250,3,1440,-919,-1313,1679,-5828,-81
251,3,-415,-756,-1689,1746,-6059,-50
252,3,-2252,375,-1571,2105,-6321,128
253,3,-2793,1258,-1516,2424,-6492,378
254,3,-2724,1457,-1931,2647,-6562,622
255,3,-2742,310,-3863,2749,-6653,727
256,3,-2678,-213,-4728,2743,-6716,713
257,3,-2638,-466,-5191,2727,-6783,689
258,3,-2612,-646,-5418,2713,-6841,673
259,3,-2557,-655,-5686,2712,-6893,666
260,3,-2489,-651,-5893,2712,-6949,646
261,3,-2495,-752,-5996,2710,-7005,641
262,3,-2452,-745,-6090,2716,-7062,622
263,3,-2397,-674,-6123,2731,-7119,622
264,3,-2384,-667,-6145,2741,-7174,624
265,3,-2339,-645,-6154,2752,-7230,620
266,3,-2285,-623,-6145,2768,-7286,620
267,3,-2257,-595,-6125,2786,-7340,618
268,3,-2218,-584,-6094,2801,-7394,620
269,3,-2176,-567,-6058,2819,-7448,623
270,3,-2132,-575,-6014,2835,-7501,626
271,3,-2106,-619,-5949,2852,-7552,632
272,3,-2098,-635,-5849,2865,-7605,632
273,3,-2078,-591,-5819,2874,-7657,626
274,3,-2103,-416,-5817,2881,-7711,620
275,3,-1933,-408,-5800,2876,-7761,637
276,3,-1979,-278,-5862,2899,-7808,634
277,3,-1942,-370,-5746,2922,-7864,629
278,3,-1809,-260,-5776,2934,-7918,624
279,3,-1830,-230,-5818,2949,-7971,613
280,3,-1816,-278,-5686,2977,-8024,615
281,3,-1796,-341,-5669,2991,-8075,604
282,4,3808,-1253,-4466,1884,-8143,366
283,4,4284,-1033,-4143,2007,-8276,396
284,4,3524,-346,-1718,2187,-8457,451
285,4,2212,110,332,2351,-8585,535
286,4,1407,418,2623,2363,-8612,525
287,4,1021,772,3592,2340,-8532,525
288,4,681,924,3799,2233,-8406,480
289,4,738,772,3712,2103,-8243,408
290,4,1280,547,3138,1993,-8060,317
291,4,2457,19,1684,1928,-7882,288
292,4,4161,-535,-63,1918,-7758,344
293,4,5614,-902,-1050,1922,-7710,363
294,4,6345,-1008,-1333,1932,-7727,358
295,4,6475,-933,-1277,2000,-7790,379
296,4,5801,-439,-428,2143,-7899,431
297,4,4478,90,617,2274,-8023,467
298,4,3223,327,1904,2326,-8110,456
299,4,2456,484,2935,2347,-8124,467
300,4,1948,748,3334,2362,-8068,460
301,4,1335,1024,3868,2288,-7967,437
302,4,1074,885,3897,2146,-7810,379
303,4,1426,489,3017,2010,-7644,257
304,4,2474,157,1981,1948,-7494,169
305,4,3703,-338,941,1918,-7358,124
306,4,5046,-800,-280,1925,-7264,144
307,4,6038,-1163,-1035,1926,-7238,132
308,4,6451,-1359,-1043,1965,-7272,117
309,4,6100,-1118,-897,2074,-7337,143
310,4,5133,-529,-222,2209,-7444,208
311,4,3952,-335,749,2236,-7551,155
312,4,2870,-166,1950,2265,-7629,153
313,4,2081,11,2778,2289,-7648,172
314,4,1423,64,3261,2254,-7600,173
315,4,869,-59,3746,2169,-7504,63
