,0,1,2,3,4,5,6
14,2,615,1285,-466,-2192,-4647,-361
15,2,970,431,-392,-2220,-4624,-584
16,2,917,-353,-976,-2133,-4502,-800
17,2,1475,-1209,-1797,-1989,-4336,-932
18,2,2885,-1366,-2309,-1826,-4224,-934
19,2,4002,-1078,-1807,-1777,-4201,-876
20,2,4169,-1370,-1537,-1838,-4223,-812
21,2,3901,-1660,-704,-1924,-4305,-704
22,2,2948,-2774,1607,-2041,-4370,-681
23,2,2718,-2638,1884,-1991,-4317,-806
24,2,2521,-2701,1398,-1928,-4216,-1028
25,2,2550,-2543,254,-1800,-4094,-1209
26,2,3116,-2475,-726,-1667,-3984,-1264
27,2,4019,-1982,-985,-1585,-3914,-1227
28,2,4729,-1552,-1311,-1591,-3875,-1130
29,2,4679,-1899,-810,-1671,-3884,-1002
30,2,4365,-1914,-158,-1726,-3913,-894
31,2,3764,-1787,381,-1768,-3968,-790
32,2,3021,-1906,1336,-1801,-4027,-757
33,2,2746,-1989,2302,-1773,-4011,-843
34,2,2741,-1672,2415,-1732,-3911,-1033
35,2,2756,-1631,1239,-1682,-3767,-1247
36,2,3103,-1899,9,-1597,-3619,-1443
37,2,3774,-1893,-994,-1471,-3505,-1506
38,2,4483,-1648,-1475,-1393,-3448,-1457
39,2,4951,-1662,-1500,-1415,-3458,-1396
40,2,4779,-1844,-1022,-1484,-3513,-1325
41,2,4360,-1947,-449,-1542,-3577,-1247
42,2,3760,-1907,65,-1593,-3634,-1165
43,2,2899,-2125,886,-1630,-3678,-1137
44,2,2487,-2197,1862,-1595,-3666,-1200
45,2,2350,-2294,1478,-1522,-3579,-1346
46,2,2370,-2030,1215,-1398,-3484,-1517
47,2,2728,-1853,380,-1294,-3352,-1654
48,2,3225,-1644,-617,-1221,-3234,-1656
49,2,3722,-1774,-1134,-1211,-3160,-1615
50,2,4143,-1734,-1323,-1241,-3168,-1598
51,2,3968,-1856,-988,-1342,-3235,-1610
52,2,3492,-1975,-535,-1462,-3321,-1530
53,2,2674,-2268,-95,-1550,-3387,-1428
54,2,1905,-2552,763,-1594,-3430,-1418
55,2,1280,-2849,1769,-1578,-3422,-1502
56,2,1263,-2334,1717,-1494,-3333,-1641
57,2,1479,-2484,574,-1417,-3200,-1877
58,2,2025,-2527,-316,-1272,-3073,-2021
59,2,2645,-2255,-1234,-1138,-2956,-2017
60,2,3629,-1926,-1664,-1116,-2894,-1970
61,2,3957,-2121,-1634,-1133,-2874,-1898
62,2,4036,-1895,-1234,-1177,-2911,-1801
63,2,3636,-1760,-501,-1262,-2967,-1709
64,2,3385,-1963,-25,-1311,-2990,-1564
65,2,2806,-1830,430,-1315,-3042,-1504
66,2,2064,-1401,1695,-1345,-3097,-1544
67,2,1691,-1678,1977,-1349,-3058,-1665
68,2,1733,-1433,1592,-1252,-2955,-1824
69,2,1690,-1528,756,-1145,-2808,-1963
70,2,2228,-1541,-567,-1023,-2648,-2112
71,2,3247,-1253,-1534,-913,-2548,-2133
72,2,3907,-1075,-1771,-921,-2531,-2117
73,2,4102,-1262,-1515,-1004,-2576,-2066
74,2,3818,-1464,-937,-1092,-2636,-1984
75,2,3440,-1643,-378,-1176,-2691,-1848
76,2,2741,-1827,139,-1220,-2739,-1768
77,2,1946,-1484,1406,-1237,-2798,-1720
78,2,1637,-1667,2067,-1228,-2785,-1829
79,2,1484,-1583,1624,-1133,-2660,-2053
80,2,1565,-1384,477,-994,-2499,-2203
81,2,2150,-1511,-861,-888,-2356,-2324
82,2,3115,-1189,-1649,-795,-2272,-2330
83,2,3628,-1099,-2038,-816,-2247,-2330
84,2,3745,-1335,-1748,-890,-2311,-2204
85,2,3558,-1492,-895,-945,-2382,-2069
86,2,3181,-1511,-118,-987,-2431,-1962
87,2,2410,-1526,486,-1020,-2480,-1916
88,2,1731,-1251,1400,-1017,-2525,-1901
89,2,1640,-1157,2008,-1039,-2505,-1969
90,2,1510,-1271,1664,-1000,-2422,-2153
91,2,1302,-1265,680,-881,-2286,-2315
92,2,1707,-1276,-372,-740,-2134,-2428
93,2,2561,-1115,-1141,-630,-2007,-2458
94,2,3362,-1098,-1544,-574,-1928,-2430
95,2,4024,-923,-1857,-578,-1900,-2385
96,2,4398,-928,-1724,-626,-1919,-2299
97,2,4173,-1089,-1183,-686,-1965,-2187
98,2,2787,-1074,-220,-706,-2105,-2020
99,2,2268,-468,260,-650,-2165,-1961
100,2,1379,-229,-301,-520,-2195,-1834
101,2,1121,544,-1262,-274,-2202,-1644
102,2,355,1433,-1759,78,-2210,-1350
103,2,-1154,2140,-2084,484,-2258,-1048
104,2,-2493,2478,-2709,833,-2364,-822
105,2,-3643,2504,-3192,1085,-2499,-723
106,2,-4280,2213,-3800,1148,-2602,-761
107,2,-4483,1714,-4530,1123,-2674,-786
108,2,-4693,1272,-5284,1132,-2733,-774
109,2,-4906,921,-5810,1127,-2806,-773
110,2,-5042,662,-6117,1098,-2885,-797
111,2,-5058,478,-6307,1071,-2958,-819
112,2,-5090,482,-6388,1060,-3027,-855
113,2,-5057,463,-6509,1050,-3090,-878
