,0,1,2,3,4,5,6
0,1,4918,-3376,-5290,-585,-9867,-1018
1,1,6845,-4639,-6509,-418,-9763,-1336
2,1,8484,-4674,-7758,56,-9644,-1758
3,1,10333,-3536,-8261,778,-9550,-2083
4,1,11585,-1707,-8124,1551,-9510,-2398
5,1,11158,1122,-7322,2141,-9553,-2820
6,1,10352,4123,-6067,2269,-9698,-3184
7,1,8918,6102,-3158,1821,-9914,-3240
8,1,7248,5284,-161,892,-10059,-2799
9,1,6326,2455,1194,21,-10014,-2376
10,1,6228,-85,1063,-447,-9840,-2186
11,1,6252,-1961,51,-731,-9641,-2131
12,1,6690,-3309,-1677,-824,-9460,-2147
13,1,7084,-4486,-3707,-818,-9261,-2201
14,1,7562,-5507,-6065,-580,-9063,-2274
15,1,8465,-5596,-8124,-151,-8866,-2442
16,1,9786,-4531,-9683,454,-8711,-2642
17,1,11063,-2766,-10136,1145,-8647,-2888
18,1,11656,-112,-9784,1956,-8608,-2960
19,1,11002,3438,-9476,2582,-8674,-3104
20,1,9107,6086,-5922,2280,-8975,-3356
21,1,8398,5056,-2568,1451,-9132,-3162
22,1,7546,2320,-1128,644,-9151,-3034
23,1,7295,-1579,-1319,96,-8880,-2949
24,1,7253,-2892,-2495,-85,-8735,-2972
25,1,7413,-4547,-3766,-172,-8596,-3011
26,1,7743,-5795,-5029,-67,-8416,-3181
27,1,8066,-5775,-6170,252,-8203,-3372
28,1,8673,-5159,-7442,715,-7968,-3453
29,1,9734,-3966,-8737,1267,-7742,-3407
30,1,10493,-3015,-10172,1789,-7556,-3422
31,1,10948,-1348,-11008,2392,-7467,-3587
32,1,10454,1362,-10733,2956,-7467,-3923
33,1,9263,4565,-8655,3220,-7550,-4312
34,1,8347,6571,-5351,3079,-7696,-4419
35,1,7737,6958,-2676,2664,-7838,-4271
36,1,7215,5463,-678,1913,-7951,-4217
37,1,6763,2526,-93,1164,-7904,-4286
38,1,6804,417,-1180,915,-7748,-4265
39,1,7124,-1172,-2710,789,-7596,-4259
40,1,7518,-2506,-4046,753,-7460,-4269
41,1,8076,-3443,-5271,816,-7306,-4301
42,1,8649,-3866,-6459,990,-7123,-4306
43,1,9329,-3798,-7657,1241,-6928,-4247
44,1,9975,-3524,-8703,1557,-6740,-4164
45,1,10627,-2844,-9657,2007,-6539,-4083
46,1,11312,-1672,-10381,2573,-6344,-4006
47,1,11625,44,-10850,3245,-6183,-3955
48,1,10715,3101,-10585,3821,-6175,-4036
49,1,9186,5899,-8221,4009,-6312,-4299
50,1,7839,6588,-4966,3658,-6498,-4464
51,1,6899,5182,-2567,3058,-6716,-4460
52,1,5935,2921,-466,2504,-6804,-4406
53,1,5042,693,317,2098,-6748,-4383
54,1,4881,-776,-455,1825,-6619,-4492
55,1,5071,-1860,-1875,1668,-6482,-4614
56,1,5342,-2862,-3462,1619,-6318,-4662
57,1,5913,-3718,-4923,1688,-6109,-4632
58,1,7643,-3939,-6340,1845,-5865,-4516
59,1,8105,-4130,-7329,2012,-5635,-4531
60,1,8241,-3921,-8138,2332,-5416,-4506
61,1,8778,-3213,-9492,2791,-5167,-4439
62,1,9243,-1972,-10981,3309,-4926,-4351
63,1,9403,10,-12235,3879,-4725,-4384
64,1,8251,3667,-12436,4412,-4702,-4527
65,1,7354,6400,-9428,4459,-4830,-4809
66,1,6366,7302,-6043,4216,-4992,-4985
67,1,5548,6365,-3249,3688,-5181,-5101
68,1,4967,3865,-1254,3139,-5268,-5145
69,1,4611,1681,-1156,2769,-5222,-5091
70,1,4821,7,-2401,2505,-5102,-5138
71,1,5139,-1142,-3863,2341,-4972,-5202
72,1,5595,-2405,-5294,2270,-4819,-5270
73,1,5948,-3350,-6833,2365,-4614,-5263
74,1,6444,-3354,-8576,2605,-4381,-5231
75,1,7347,-2580,-9615,2929,-4148,-5222
76,1,8394,-1349,-10439,3352,-3903,-5186
77,1,8825,256,-10798,3799,-3701,-5067
78,1,8902,2010,-10774,4201,-3572,-4903
79,1,9250,3446,-10759,4494,-3485,-4807
80,1,9132,4825,-10397,4796,-3460,-4709
81,1,8195,6415,-9149,5069,-3506,-4708
82,1,7324,8209,-7515,5237,-3637,-4604
83,1,6387,9084,-4970,4998,-3840,-4699
84,1,5256,7946,-2438,4489,-4054,-4800
85,1,4488,5032,-1197,3900,-4148,-4935
86,1,4248,2433,-1850,3503,-4096,-5023
87,1,4267,721,-3413,3262,-4008,-5110
88,1,4764,-763,-4617,3083,-3933,-5258
89,1,5424,-2099,-5661,3117,-3774,-5360
90,1,6215,-2360,-6756,3351,-3537,-5434
91,1,6888,-1912,-7674,3682,-3292,-5469
92,1,7499,-805,-8378,4081,-3071,-5424
93,1,8185,630,-8525,4466,-2915,-5393
94,1,8569,2477,-8019,4836,-2828,-5395
95,1,7741,3986,-6821,5065,-2819,-5581
96,1,6047,4978,-5403,5209,-2941,-5698
97,1,4280,5190,-4186,5243,-3137,-5782
98,1,2361,5053,-3295,5310,-3354,-5784
99,1,427,5205,-2376,5500,-3536,-5706
100,1,-1384,5254,-2283,5787,-3615,-5637
101,1,-2929,5439,-2628,6140,-3670,-5490
102,1,-3620,5245,-2719,6322,-3738,-5465
103,1,-4136,4807,-3216,6414,-3791,-5473
104,1,-4228,4345,-3938,6454,-3860,-5447
105,1,-4306,3982,-4537,6445,-3940,-5430
106,1,-4271,3800,-4752,6395,-4036,-5424
107,1,-4325,3569,-5246,6327,-4103,-5485
108,1,-4401,3395,-5712,6298,-4179,-5511
109,1,-4415,3264,-5811,6278,-4246,-5532
110,1,-4352,3293,-6023,6258,-4309,-5553
111,1,-4321,3270,-6031,6242,-4373,-5562
112,1,-4196,3199,-6085,6225,-4435,-5569
113,1,-4186,3192,-6111,6218,-4499,-5568
114,1,-4172,3216,-6069,6214,-4565,-5562
115,1,-4117,3233,-6050,6204,-4631,-5563
116,1,-4039,3242,-6035,6198,-4694,-5565
117,1,-3996,3136,-6036,6202,-4754,-5555
118,1,-3975,3219,-5993,6214,-4818,-5541
119,1,-3888,3286,-5949,6207,-4882,-5541
120,1,-3890,3208,-5947,6193,-4948,-5548
121,1,-3818,3162,-5963,6193,-5009,-5554
122,1,-3790,3184,-5940,6196,-5071,-5557
123,1,-3747,3107,-5918,6188,-5134,-5564
124,1,-3720,3093,-5914,6183,-5196,-5570
125,1,-3679,3080,-5864,6178,-5259,-5576
126,1,-3614,3057,-5893,6168,-5320,-5584
127,1,-3569,3071,-5837,6167,-5380,-5591
128,1,-3529,3068,-5827,6162,-5440,-5593
129,1,-3560,3008,-5841,6162,-5500,-5600
130,1,-3412,2962,-5712,6159,-5562,-5616
131,1,-3398,3019,-5782,6157,-5618,-5623
132,2,3866,-1043,-5741,1274,-6809,-6845
133,2,5264,-1499,-7687,1639,-6467,-6808
134,2,6593,-1121,-9571,2159,-6128,-6794
135,2,7776,3226,-9958,3476,-5563,-7247
136,2,6492,6937,-7784,3676,-5519,-7718
137,2,5220,7523,-4301,2983,-5781,-8214
138,2,4579,6104,-905,2293,-6108,-8238
139,2,4609,3842,634,1754,-6225,-8191
140,2,4670,2206,938,1447,-6196,-8176
141,2,4803,985,495,1263,-6099,-8202
142,2,4858,-138,-659,1134,-5950,-8226
143,2,4976,-1002,-2406,1120,-5764,-8168
144,2,4902,-1989,-4792,1195,-5546,-8033
145,2,5038,-2747,-7228,1414,-5293,-7870
146,2,5824,-2612,-9378,1768,-4965,-7844
147,2,6806,-1319,-10746,2297,-4608,-7858
148,2,7510,501,-11742,2927,-4236,-7906
149,2,6445,4234,-12119,3694,-3920,-7949
150,2,4955,8048,-10009,3895,-3884,-8326
151,2,4257,9104,-5812,3476,-4154,-8631
152,2,3822,7962,-2090,2877,-4504,-8686
153,2,2863,3190,441,1746,-4876,-8690
154,2,2821,1287,-753,1459,-4837,-8712
155,2,2811,129,-2457,1313,-4739,-8698
156,2,2935,-1236,-4041,1247,-4581,-8686
157,2,3517,-1974,-5924,1366,-4331,-8691
158,2,4319,-1876,-7667,1638,-4030,-8738
159,2,5222,-977,-9043,2046,-3708,-8740
160,2,6048,422,-10119,2563,-3370,-8671
161,2,6968,2557,-10794,3213,-3013,-8569
162,2,6449,5395,-10289,3762,-2729,-8640
163,2,5558,8438,-8545,4001,-2648,-8835
164,2,4694,9777,-5374,3700,-2850,-9129
165,2,4224,9116,-2171,3168,-3192,-9267
166,2,3766,7056,-64,2622,-3454,-9372
167,2,3458,4891,766,2235,-3595,-9367
168,2,3189,2778,608,1946,-3640,-9363
169,2,3228,1246,-378,1776,-3603,-9356
170,2,3408,268,-1655,1681,-3516,-9351
171,2,3783,-491,-2969,1644,-3405,-9315
172,2,4210,-1201,-4291,1667,-3255,-9243
173,2,4543,-1584,-5775,1764,-3053,-9161
174,2,5139,-1650,-7255,1980,-2803,-9091
175,2,5691,-1193,-8287,2296,-2507,-9044
176,2,6349,-220,-9065,2770,-2159,-8907
177,2,7150,1541,-9637,3334,-1805,-8788
178,2,6919,4068,-9311,3897,-1532,-8685
179,2,6045,6944,-8642,4321,-1391,-8612
180,2,4674,9924,-6850,4497,-1410,-8700
181,2,2716,10615,-3132,4115,-1727,-8928
182,2,1134,8513,-152,3427,-2143,-9138
183,2,91,5775,929,2819,-2401,-9292
184,2,216,3471,-138,2399,-2486,-9454
185,2,681,1934,-1476,2203,-2418,-9603
186,2,1369,860,-2780,2164,-2268,-9693
187,2,2229,237,-3957,2213,-2088,-9731
188,2,2989,-246,-5129,2325,-1880,-9746
189,2,3820,-262,-6425,2529,-1615,-9782
190,2,5813,1991,-8239,3267,-980,-9667
191,2,6272,3132,-9031,3664,-687,-9495
192,2,6222,4429,-10660,4171,-366,-9229
193,2,5062,6358,-11337,4702,-82,-9071
194,2,3869,8521,-10158,4956,23,-9215
195,2,2935,10253,-7682,5035,-64,-9294
196,2,2066,11534,-4364,4938,-283,-9338
197,2,1222,10948,-1079,4541,-624,-9447
198,2,715,9155,387,3935,-992,-9634
199,2,1226,6079,411,3348,-1213,-9923
200,2,1205,3768,-276,3068,-1274,-10056
201,2,1162,2126,-1360,2910,-1243,-10154
202,2,1447,861,-2445,2844,-1155,-10194
203,2,2009,-90,-3391,2871,-1013,-10220
204,2,2555,-384,-4407,2992,-824,-10213
205,2,3209,-345,-5421,3159,-604,-10193
206,2,3747,-209,-6434,3378,-355,-10122
207,2,4438,426,-7509,3693,-47,-10008
208,2,4952,1468,-8282,4076,284,-9879
209,2,5334,2962,-8669,4492,587,-9710
210,2,5468,4551,-8577,4893,860,-9546
211,2,5363,6082,-8324,5254,1094,-9407
212,2,5109,7733,-8186,5619,1306,-9262
213,2,3908,9949,-7547,5945,1467,-9198
214,2,3035,11103,-5796,5932,1412,-9366
215,2,2494,11604,-3354,5786,1239,-9467
216,2,1858,11060,-1235,5485,998,-9612
217,2,1736,9253,157,5022,720,-9861
218,2,1664,6805,656,4610,521,-10078
219,2,1664,4563,389,4316,414,-10213
220,2,1707,3110,-513,4119,392,-10328
221,3,-5445,-62,-7644,-110,-2823,-128
222,3,-5509,665,-6418,-216,-2894,-363
223,3,-6030,2177,-4623,-358,-2887,-646
224,3,-7027,4407,-4199,-621,-2819,-825
225,3,-8479,6352,-3411,-1040,-2760,-1008
226,3,-9210,6210,-2999,-1555,-2709,-1335
227,3,-7320,3393,-5228,-1840,-2394,-2121
228,3,-5334,1684,-6978,-1792,-2174,-2312
229,3,-3766,-545,-9231,-1711,-1936,-2378
230,3,-1913,-2192,-11406,-1517,-1701,-2390
231,3,-160,-2905,-13148,-1146,-1483,-2403
232,3,1836,-1869,-14578,-579,-1306,-2255
233,3,2812,1471,-14852,46,-1261,-2048
234,3,2226,5191,-12515,349,-1505,-2324
235,3,1439,4909,-7434,39,-1724,-2702
236,3,1231,2887,-4667,-379,-1820,-2802
237,3,1322,1466,-3588,-644,-1785,-2979
238,3,1593,90,-3734,-844,-1720,-3159
239,3,1904,-1438,-4636,-959,-1613,-3423
240,3,2563,-2473,-5956,-929,-1479,-3622
241,3,2933,-3026,-7393,-757,-1258,-3733
242,3,3393,-3310,-9303,-518,-986,-3706
243,3,4098,-3174,-11110,-236,-713,-3596
244,3,4691,-2563,-12506,95,-490,-3454
245,3,4843,267,-14782,936,-161,-2924
246,3,4112,3177,-15082,1377,-162,-2639
247,3,2804,6306,-13545,1679,-346,-2653
248,3,1385,7817,-9484,1540,-645,-2915
249,3,266,6803,-5808,1069,-915,-3199
250,3,-148,4032,-3713,609,-1026,-3479
251,3,-83,1585,-3244,344,-994,-3703
252,3,154,116,-3985,250,-866,-3890
253,3,606,-1180,-5246,221,-714,-4029
254,3,1085,-2152,-6483,234,-555,-4128
255,3,1597,-2863,-7733,324,-367,-4226
256,3,2069,-3365,-9805,524,-133,-4258
257,3,3442,-2859,-11681,836,123,-4172
258,3,4645,-1793,-12423,1163,349,-3961
259,3,5024,-590,-12650,1456,527,-3629
260,3,5249,723,-12774,1803,658,-3286
261,3,4103,3075,-12364,2229,659,-3097
262,3,2760,5711,-10391,2489,530,-3091
263,3,709,7090,-4672,2147,144,-3489
264,3,-144,4785,-2604,1677,-21,-3882
265,3,-469,2087,-1987,1321,-49,-4119
266,3,-394,248,-2935,1124,18,-4349
267,3,-167,-1043,-4041,1055,101,-4635
268,3,56,-1943,-5378,1084,214,-4766
269,3,500,-2807,-6694,1168,383,-4822
270,3,1216,-3159,-7899,1337,616,-4868
271,3,1865,-2982,-8925,1569,878,-4875
272,3,2574,-2429,-10150,1845,1157,-4771
273,3,3168,-1696,-11379,2143,1415,-4542
274,3,3878,-657,-12563,2469,1635,-4193
275,3,4101,1088,-13075,2893,1804,-3852
276,3,3059,3833,-12660,3335,1844,-3624
277,3,1912,6419,-10403,3553,1693,-3747
278,3,1044,7213,-6806,3376,1454,-3995
279,3,231,6219,-4114,3033,1245,-4302
280,3,-420,4090,-2537,2690,1114,-4621
281,3,-830,209,-2656,2341,1134,-5073
282,3,-535,-792,-3695,2310,1234,-5236
283,3,-235,-1604,-4879,2298,1357,-5350
284,3,2,-2352,-6006,2295,1515,-5436
285,3,208,-2999,-7225,2334,1723,-5513
286,3,277,-3555,-8877,2430,1977,-5520
287,3,461,-3691,-10472,2622,2273,-5468
288,3,1053,-3240,-11698,2930,2573,-5340
289,3,1747,-2005,-12427,3300,2856,-5084
290,3,2254,-163,-12853,3694,3119,-4708
291,3,2434,2007,-13064,4072,3316,-4311
292,3,2018,4105,-12818,4403,3391,-3994
293,3,1217,6339,-11651,4618,3321,-3829
294,3,50,8027,-9135,4635,3131,-3879
295,3,-856,8487,-5628,4401,2859,-4047
296,3,-2053,6974,-2745,3998,2592,-4386
297,3,-2387,4013,-1560,3587,2426,-4721
298,3,-2433,2060,-1924,3387,2427,-4994
299,3,-1861,-992,-4396,3199,2602,-5352
300,3,-1538,-2141,-5360,3156,2734,-5463
301,3,-1207,-3142,-6287,3210,2904,-5567
302,3,-716,-3407,-7614,3351,3123,-5601
303,3,-296,-3313,-8962,3548,3376,-5562
304,3,331,-2848,-10239,3809,3649,-5446
305,3,1022,-1869,-11146,4155,3897,-5291
306,3,1526,-76,-11405,4536,4134,-5020
307,3,1893,2028,-11559,4871,4296,-4821
308,3,1856,3966,-11066,5119,4358,-4596
309,3,1405,5643,-9927,5285,4328,-4433
310,3,839,6982,-8213,5336,4236,-4312
311,3,353,7968,-6487,5294,4118,-4193
312,3,13,8975,-4754,5173,3968,-4172
313,3,-946,9023,-2741,4869,3743,-4390
314,3,-1637,6598,-1552,4468,3526,-4825
315,3,-1814,3757,-1657,4165,3428,-5179
316,3,-1730,1405,-2564,4005,3433,-5455
317,3,-1469,-360,-3684,3949,3502,-5634
318,3,-1213,-1613,-4794,3994,3629,-5761
319,3,-899,-2329,-5911,4124,3810,-5824
320,3,-493,-2506,-7030,4309,4032,-5797
321,3,156,-2334,-8208,4532,4279,-5690
322,3,966,-1518,-9395,4804,4538,-5498
323,3,1657,-229,-10181,5118,4769,-5263
324,3,1843,1558,-10213,5447,4922,-5004
325,3,1343,3356,-9409,5753,4964,-4845
326,3,271,4647,-7938,5963,4878,-4834
327,3,-1190,5071,-5875,6040,4696,-4930
328,3,-2580,5053,-4036,6013,4479,-4957
329,3,-3943,4915,-3032,5966,4265,-4907
330,3,-5332,4969,-2549,5944,4059,-4746
331,3,-6668,5203,-2448,5978,3895,-4511
332,3,-7775,5373,-2619,6064,3776,-4232
333,3,-8613,5307,-3066,6193,3714,-3914
334,3,-9392,4980,-3730,6328,3676,-3589
335,3,-9888,4598,-4264,6393,3610,-3386
336,3,-10088,4103,-4882,6364,3518,-3359
337,3,-10222,3107,-5294,6299,3426,-3412
338,3,-10231,2787,-6030,6274,3354,-3460
339,3,-10221,2481,-6426,6247,3286,-3433
340,3,-10262,2314,-6711,6223,3215,-3414
341,3,-10239,2122,-6965,6197,3146,-3421
342,3,-10201,2040,-7130,6174,3077,-3413
343,3,-10153,1977,-7287,6145,3004,-3431
344,3,-10067,1851,-7441,6113,2930,-3448
345,3,-10035,1973,-7487,6090,2856,-3449
346,3,-10055,1776,-7694,6088,2786,-3495
347,3,-9950,1701,-7794,6048,2708,-3459
348,3,-9937,1686,-7891,6006,2628,-3417
349,3,-9884,1707,-7931,5972,2555,-3379
350,3,-9771,1745,-7939,5943,2484,-3351
351,3,-9719,1738,-7979,5935,2417,-3352
352,3,-9654,1698,-8042,5918,2344,-3360
353,3,-9613,1642,-8099,5898,2269,-3371
354,3,-9561,1564,-8176,5875,2196,-3381
355,3,-9470,1504,-8256,5850,2124,-3395
356,3,-9426,1439,-8333,5824,2054,-3411
357,3,-9356,1444,-8357,5798,1981,-3418
358,3,-9293,1444,-8371,5775,1909,-3434
359,3,-9270,1439,-8401,5750,1837,-3451
360,3,-9191,1454,-8407,5724,1764,-3468
361,3,-9130,1443,-8441,5701,1693,-3493
362,3,-9086,1461,-8424,5678,1623,-3508
363,3,-9029,1501,-8396,5647,1552,-3524
364,3,-8955,1474,-8422,5614,1483,-3557
365,3,-8909,1527,-8422,5586,1412,-3581
366,3,-8850,1601,-8402,5554,1340,-3608
367,3,-8803,1637,-8378,5525,1269,-3647
368,3,-8752,1692,-8302,5500,1199,-3685
369,3,-8684,1677,-8285,5471,1129,-3736
370,4,-9771,8342,-4004,3923,-540,-5264
371,4,-10187,8346,-3080,3484,-625,-5630
372,4,-9157,7088,-2897,3155,-621,-5989
373,4,-5621,3389,-4432,3009,-345,-6405
374,4,-3668,2280,-5033,3050,-193,-6518
375,4,-1565,1544,-5765,3098,-57,-6623
376,4,514,761,-6630,3173,100,-6651
377,4,1774,-15,-7926,3303,300,-6546
378,4,3297,59,-9370,3583,604,-6322
379,4,4597,1372,-10886,3991,929,-5943
380,4,4402,3396,-11799,4462,1164,-5481
381,4,3782,6404,-12042,4875,1232,-5101
382,4,2324,9442,-9605,5113,1100,-5028
383,4,1139,10167,-5775,4924,848,-5229
384,4,594,8332,-3378,4514,622,-5603
385,4,588,5886,-2832,4202,524,-5891
386,4,1158,3643,-2865,4035,530,-6156
387,4,1411,1926,-3257,3973,611,-6343
388,4,1419,694,-4358,3968,746,-6428
389,4,1618,-508,-5709,3969,910,-6445
390,4,2140,-1898,-8946,4174,1429,-6258
391,4,2679,-1614,-10666,4458,1762,-6104
392,4,3376,-514,-12095,4879,2095,-5835
393,4,3739,1545,-12882,5404,2367,-5501
394,4,2153,4825,-11907,5917,2449,-5336
395,4,475,7392,-8146,6047,2286,-5522
396,4,-421,7836,-4681,5757,2004,-5727
397,4,-1036,6375,-2334,5342,1761,-6007
398,4,-1342,4306,-1485,4977,1644,-6309
399,4,-1437,2397,-2096,4735,1660,-6518
400,4,-1069,870,-3314,4598,1741,-6675
401,4,-462,-336,-4298,4514,1815,-6800
402,4,-22,-1326,-5138,4503,1905,-6922
403,4,245,-1971,-6011,4576,2051,-6966
404,4,422,-2270,-7047,4692,2266,-6928
405,4,561,-2360,-8671,4888,2583,-6854
406,4,920,-1905,-10651,5187,2961,-6699
407,4,1564,-965,-12568,5623,3338,-6483
408,4,1839,1348,-12781,6152,3646,-6315
409,4,410,4703,-11885,6602,3738,-6044
410,4,-259,7449,-8752,6730,3607,-6103
411,4,-840,8053,-5284,6517,3342,-6306
412,4,-1282,6957,-2590,6131,3064,-6601
413,4,-1611,4757,-1375,5745,2872,-6922
414,4,-1608,2578,-1475,5472,2803,-7150
415,4,-1390,1053,-2237,5321,2823,-7328
416,4,-1100,11,-3231,5260,2894,-7476
417,4,-722,-749,-4384,5256,3000,-7591
418,4,-366,-1426,-5441,5331,3173,-7694
419,4,-11,-1637,-6759,5455,3400,-7721
420,4,243,-1748,-8359,5585,3645,-7666
421,4,426,-1840,-9696,5755,3891,-7577
422,4,832,-1522,-10552,6076,4177,-7407
423,4,1269,235,-11192,6501,4489,-7050
424,4,1423,2385,-11228,6939,4746,-6623
425,4,539,5119,-10777,7421,4890,-6174
426,4,-1828,8143,-7689,7673,4838,-6295
427,4,-3273,8263,-3764,7353,4484,-6595
428,4,-3589,6556,-1091,6838,4102,-6899
429,4,-3702,4438,-277,6520,3957,-7230
430,4,-3231,3011,-505,6356,3951,-7509
431,4,-2576,1529,-1615,6299,4050,-7765
432,4,-1861,474,-2674,6284,4144,-7900
433,4,-1221,-337,-3820,6311,4259,-8002
434,4,-724,-870,-4894,6378,4412,-8059
435,4,-581,-1467,-6426,6453,4590,-8053
436,4,-425,-1757,-8041,6585,4835,-7960
437,4,-403,-1626,-9991,6825,5166,-7778
438,4,396,-529,-12069,7194,5544,-7486
439,4,266,1497,-13031,7646,5872,-7104
440,4,-815,3539,-12191,8113,6075,-6622
441,4,-2456,6371,-9781,8509,6143,-6289
442,4,-2947,8652,-6699,8558,5994,-6189
443,4,-3367,9475,-3409,8364,5741,-6347
444,4,-3972,8139,-1189,7988,5450,-6762
445,4,-3989,5720,-525,7592,5222,-7236
446,4,-3849,3132,-874,7324,5133,-7594
447,4,-3447,1261,-1615,7186,5144,-7841
448,4,-3075,24,-2877,7136,5201,-8082
449,4,-2666,-885,-4027,7168,5325,-8229
450,4,-2529,-1568,-5349,7241,5512,-8308
451,4,-2420,-1989,-7051,7350,5751,-8325
452,4,-2147,-2051,-8487,7528,6020,-8277
453,4,-1822,-1774,-9519,7791,6317,-8125
454,4,-823,-464,-10595,8132,6648,-7845
455,4,-232,868,-11254,8537,6985,-7457
456,4,-214,2733,-11128,8931,7224,-6985
457,4,-875,5265,-9972,9277,7330,-6599
458,4,-1273,7214,-7570,9396,7259,-6396
459,4,-1831,8128,-4992,9373,7109,-6361
460,4,-2937,8636,-2401,9139,6848,-6571
