,0,1,2,3,4,5,6
15,2,5036,761,-8276,-309,-6057,-2612
16,2,8063,1947,-10200,487,-5874,-2568
17,2,8590,4607,-11650,1412,-5824,-2228
18,2,6736,7702,-10411,1437,-6014,-3022
19,2,5325,4686,-5296,381,-6146,-4105
20,2,6190,4413,-5006,312,-5947,-4445
21,2,7615,3477,-5470,55,-5712,-5209
22,2,8631,2512,-7008,123,-5448,-5814
23,2,9469,2504,-8157,463,-5196,-6060
24,2,10079,2473,-9243,1139,-4962,-5837
25,2,10444,3966,-10251,1909,-4707,-5502
26,2,8630,7361,-11523,2464,-4498,-5639
27,2,6543,10228,-9149,1921,-4646,-6483
28,2,5320,8259,-5686,1054,-4910,-7035
29,2,5377,6633,-4649,468,-4969,-7550
30,2,6330,4626,-4064,-82,-4923,-8463
31,2,6932,4009,-4181,73,-4737,-8743
32,2,7674,3376,-5320,294,-4446,-9055
33,2,8855,3207,-6363,579,-4142,-9249
34,2,9069,3183,-6940,974,-3848,-9285
35,2,9198,4287,-8240,1750,-3461,-9076
36,2,7903,8352,-8732,2773,-3104,-8626
37,2,5939,12033,-6781,2843,-2940,-9075
38,2,4478,11654,-3945,2099,-3260,-9597
39,2,4138,8951,-1586,1316,-3565,-10070
40,2,4445,6474,-523,962,-3563,-10434
41,2,4709,5593,-202,944,-3376,-10719
42,2,5139,4688,-17,1003,-3137,-10998
43,2,5658,3792,-335,1084,-2889,-11253
44,2,6061,3319,-714,1246,-2622,-11438
45,2,6679,3031,-1079,1539,-2282,-11527
46,2,7106,3635,-2014,1995,-1876,-11460
47,2,7600,4974,-4104,2561,-1463,-11273
48,2,6690,6597,-6737,3279,-1029,-11085
49,2,3107,10223,-6113,3511,-611,-11553
50,2,1070,11658,-1899,2909,-983,-11866
51,2,957,9513,140,2039,-1417,-12330
52,2,1875,6339,1359,1626,-1452,-12742
53,2,1774,6051,1941,1812,-1123,-12939
54,2,2170,6224,2536,1812,-821,-13272
55,2,2798,5405,2224,1831,-527,-13558
56,2,3864,4639,1666,2000,-163,-13763
57,2,4629,4844,500,2377,275,-13819
58,2,5485,5610,-1096,2935,730,-13702
59,2,5689,6928,-3511,3882,1257,-13274
60,2,1475,10283,-4137,4731,1881,-13069
