,0,1,2,3,4,5,6
14,2,2825,4501,-4717,1928,-4906,-1469
15,2,4068,3838,-4827,1764,-4914,-1119
16,2,3917,2679,-4488,1414,-4994,-647
17,2,2878,1612,-4071,973,-5113,-201
18,2,1848,700,-3833,683,-5262,331
19,2,-149,814,-2687,759,-5520,875
20,2,-2582,1675,-1002,1185,-5785,1216
21,2,-3686,4894,1050,1560,-5968,1425
22,2,-4003,6406,280,1164,-5883,1619
23,2,-5811,7911,-1910,582,-5792,1934
24,2,-6388,6694,-3856,-197,-5718,2507
25,2,-4688,3685,-4492,-1023,-5624,2645
26,2,-2173,761,-4198,-1519,-5490,2930
27,2,-45,-2358,-2786,-1676,-5434,2973
28,2,2254,-3098,-2104,-1485,-5435,2789
29,2,4529,-1090,-2358,-834,-5457,2364
30,2,4904,32,-2853,-439,-5549,2187
31,2,4519,1525,-3239,81,-5717,2064
32,2,3283,3074,-2702,583,-5901,1954
33,2,1190,3705,-912,866,-6084,1816
34,2,-674,3484,1581,854,-6094,1661
35,2,-3182,2390,2539,675,-6022,1132
36,2,-5016,1213,2195,857,-5998,455
37,2,-6203,207,-24,1467,-6017,-254
38,2,-6191,2004,-1618,2285,-6045,-1006
39,2,-1954,5889,-2942,2698,-6033,-1100
40,2,1797,5716,-3096,2632,-5986,-870
41,2,3852,4051,-3492,2407,-5950,-694
42,2,4548,2332,-3515,2157,-5959,-309
43,2,4076,273,-3464,1822,-5996,225
44,2,3178,-534,-3015,1656,-6055,682
45,2,2048,216,-1957,1620,-6159,1222
46,2,753,438,-110,1690,-6329,1645
47,2,-390,619,224,2138,-6511,1964
48,2,-1487,3813,945,2556,-6675,2227
49,2,-1536,6262,508,2182,-6613,2430
50,2,-2956,7524,-1068,1445,-6444,2845
51,2,-2627,5875,-2573,637,-6261,3100
52,2,-1149,4102,-3301,51,-6077,3207
53,2,797,1836,-3644,-285,-5891,3446
54,2,3436,-830,-2862,-429,-5775,3632
55,2,5482,-2528,-2176,-437,-5707,3549
56,2,6384,-3164,-2186,-291,-5726,3308
57,2,6232,-2648,-2477,72,-5854,2992
58,2,5747,-294,-2863,560,-6025,2757
59,2,5098,1399,-2863,995,-6221,2715
60,2,4027,2352,-2203,1364,-6438,2651
61,2,2919,3026,-1272,1657,-6594,2596
62,2,628,3239,1111,1746,-6651,2432
63,2,-2417,2126,3355,1615,-6538,2126
64,2,-4420,2413,3517,1606,-6413,1488
65,2,-5037,2563,1867,1787,-6407,652
66,2,-3811,1632,-865,2209,-6499,-158
67,2,-1503,3390,-2520,2918,-6542,-557
68,2,2000,4699,-2481,3168,-6507,-562
69,2,4861,4385,-2439,3128,-6442,-412
