,0,1,2,3,4,5,6
15,2,1890,4758,-4958,-921,-5157,2030
16,2,3960,6337,-4455,-1188,-5120,2135
17,2,5163,5974,-4754,-1606,-5067,2185
18,2,5046,5200,-4558,-1895,-5042,2087
19,2,4703,3445,-4253,-1868,-5025,1963
20,2,3349,2872,-3889,-1694,-5027,1941
21,2,2866,2199,-3411,-1732,-5008,2068
22,2,3955,2513,-3208,-1696,-4980,2066
23,2,4689,2923,-3373,-1465,-5015,1967
24,2,5035,4194,-3544,-1016,-5020,2115
25,2,4690,5850,-2756,-677,-4925,2230
26,2,4439,6767,-2078,-595,-4700,2315
27,2,4454,6389,-1885,-747,-4437,2248
28,2,4645,5556,-2010,-888,-4193,2117
29,2,5354,4711,-2614,-888,-4020,2042
30,2,4735,3777,-3591,-785,-3942,1863
31,2,4001,3775,-4459,-705,-3943,1884
32,2,4361,3423,-4722,-847,-3929,1988
33,2,5300,2490,-3988,-986,-3955,2084
34,2,5514,2173,-3381,-998,-4057,2221
35,2,4847,2799,-2788,-907,-4243,2412
36,2,4545,3666,-1862,-825,-4372,2686
37,2,4395,5455,-1153,-926,-4405,2888
38,2,4599,6198,-1687,-1313,-4314,3022
39,2,5136,5821,-2159,-1769,-4205,3030
40,2,4775,4464,-2721,-2038,-4143,2917
41,2,3938,2811,-3315,-2031,-4149,2831
42,2,3254,1954,-2868,-1976,-4168,2856
43,2,3253,1251,-2350,-2059,-4124,2943
44,2,3789,773,-2200,-2092,-4057,3040
45,2,4330,872,-2346,-1965,-4023,3098
46,2,5062,1746,-2710,-1679,-4062,3179
47,2,5436,2722,-2873,-1320,-4097,3318
48,2,4916,3923,-2643,-1027,-4076,3395
49,2,4211,4952,-2097,-911,-3985,3518
50,2,3691,5363,-1582,-982,-3789,3530
51,2,3465,5069,-1767,-1150,-3554,3396
52,2,3716,4171,-2316,-1249,-3370,3212
53,2,3982,2418,-3612,-1048,-3209,2912
54,2,3642,2813,-3988,-916,-3198,2984
55,2,3848,2673,-3970,-1025,-3145,3119
56,2,4411,2073,-3907,-1187,-3109,3247
57,2,5143,1284,-3578,-1248,-3119,3379
58,2,5238,1434,-3774,-1096,-3209,3655
59,2,4314,1865,-3532,-868,-3396,3866
60,2,4190,3771,-3515,-654,-3601,4043
61,2,4338,5693,-3236,-734,-3666,4179
62,2,4705,6103,-4159,-1140,-3579,4249
63,2,4764,5335,-4702,-1554,-3484,4257
64,2,4698,4166,-4653,-1763,-3428,4230
65,2,4280,2505,-4430,-1785,-3417,4124
66,2,3281,2188,-4087,-1645,-3463,4136
67,2,2774,1882,-3526,-1676,-3450,4233
68,2,3209,1373,-3267,-1754,-3390,4307
69,2,4300,2022,-3932,-1448,-3356,4413
70,2,5107,2366,-4314,-1138,-3372,4496
71,2,5121,3271,-4063,-828,-3377,4567
72,2,3336,5181,-3685,-713,-3312,4675
73,2,2583,5234,-3595,-873,-3117,4699
74,2,3022,4428,-3483,-1109,-2891,4583
75,2,3569,3545,-3140,-1288,-2702,4348
76,2,4013,2473,-3119,-1285,-2580,4203
77,2,3909,1687,-4170,-1144,-2538,4052
78,2,3139,2130,-4892,-1032,-2563,4106
79,2,3390,1848,-4791,-1185,-2516,4256
80,2,4236,1056,-4548,-1345,-2506,4347
81,2,4204,513,-3646,-1361,-2601,4497
82,2,3615,1072,-3192,-1253,-2760,4719
83,2,3251,1958,-2776,-1104,-2940,4961
84,2,3381,3509,-2166,-1053,-3081,5131
85,2,2999,5186,-2689,-1721,-2882,5046
86,2,3033,3892,-3125,-2047,-2726,5027
87,2,3447,2267,-3177,-2169,-2648,4946
88,2,2595,1190,-3298,-2037,-2684,4908
89,2,2012,885,-3142,-1973,-2703,5003
90,2,2246,320,-2986,-2068,-2652,5033
91,2,2759,235,-3000,-2053,-2643,5045
92,2,3194,762,-2980,-1934,-2697,5030
93,2,3650,1669,-3041,-1699,-2769,5159
94,2,4234,2341,-2612,-1414,-2793,5332
95,2,3683,3579,-1981,-1218,-2732,5490
96,2,2898,4005,-1629,-1253,-2546,5471
97,2,2916,3917,-1471,-1384,-2345,5311
98,2,2883,3378,-1577,-1442,-2221,5091
99,2,2806,2129,-2314,-1361,-2150,4900
100,2,2616,1526,-3534,-1183,-2146,4776
101,2,2498,1527,-4062,-1150,-2124,4862
102,2,2808,1233,-4043,-1339,-2054,4998
103,2,3339,527,-3440,-1534,-2002,5118
104,2,3599,-67,-2648,-1602,-2019,5294
105,2,3279,206,-1718,-1479,-2121,5535
106,2,2584,713,-1705,-1300,-2237,5734
107,2,1911,117,-2515,-1051,-2418,5789
108,2,673,385,-3027,-678,-2678,5786
