,0,1,2,3,4,5,6
15,2,2227,-882,-3246,-296,-4432,300
16,2,2976,-987,-3193,-256,-4444,283
17,2,3024,-815,-3154,-179,-4539,278
18,2,2125,-341,-2561,-92,-4703,288
19,2,489,353,-1922,-18,-4909,278
20,2,-396,31,579,-66,-5062,217
21,2,-1306,-12,2682,-47,-5068,274
22,2,-2063,304,3216,-45,-4960,287
23,2,-2707,851,2999,-92,-4796,242
24,2,-2455,533,1574,-176,-4630,131
25,2,-1129,114,-295,-187,-4473,126
26,2,629,-621,-2486,-201,-4354,266
27,2,2530,-987,-3627,-194,-4312,416
28,2,3428,-1115,-3369,-195,-4342,364
29,2,3420,-741,-3034,-106,-4440,376
30,2,1558,556,-900,156,-4749,442
31,2,692,909,521,227,-4872,453
32,2,-14,1068,2237,233,-4903,415
33,2,-740,1389,2899,223,-4828,407
34,2,-1224,1562,2528,175,-4695,398
35,2,-921,1527,1302,87,-4565,388
36,2,9,896,642,-19,-4446,292
37,2,1003,153,-115,-57,-4319,227
38,2,2273,-413,-1770,-33,-4220,327
39,2,3421,-819,-2804,-49,-4196,382
40,2,3696,-942,-2799,-41,-4234,392
41,2,3475,-498,-2251,40,-4327,474
42,2,2677,-102,-1115,112,-4461,439
43,2,1841,342,-20,215,-4570,512
44,2,1052,746,864,289,-4653,494
45,2,211,1016,2019,314,-4673,461
46,2,-422,973,2585,266,-4603,434
47,2,-587,745,2564,185,-4485,369
48,2,-376,484,1840,144,-4347,279
49,2,269,146,1058,141,-4211,213
50,2,1318,-311,281,142,-4078,162
51,2,2483,-778,-1178,154,-3961,156
52,2,3714,-1049,-2776,186,-3904,226
53,2,4203,-1061,-3200,205,-3926,252
54,2,3954,-823,-3168,242,-4018,366
55,2,3202,-197,-2410,331,-4157,416
56,2,2207,476,-1099,460,-4321,497
57,2,1031,1149,451,579,-4451,562
58,2,80,1258,1884,629,-4497,535
59,2,-535,1675,2360,632,-4454,550
60,2,-956,1923,2293,558,-4357,507
61,2,-1012,1741,1647,469,-4234,451
62,2,-449,1191,994,385,-4103,384
63,2,475,442,-45,338,-3971,368
64,2,1647,-207,-1501,326,-3869,433
65,2,2892,-739,-2463,312,-3826,479
66,2,3438,-938,-2855,338,-3846,484
67,2,3390,-583,-2767,438,-3921,554
68,2,2644,146,-2169,579,-4040,622
69,2,1653,898,-1085,692,-4193,628
70,2,737,1311,102,773,-4315,631
71,2,-32,1477,1494,820,-4355,627
72,2,-758,1717,2122,802,-4317,601
73,2,-1257,1879,2107,743,-4213,587
74,2,-1227,1703,1386,654,-4084,570
75,2,-543,1301,605,541,-3957,490
76,2,710,700,343,460,-3824,420
77,2,1572,-73,-814,416,-3685,374
78,2,2780,-868,-2576,406,-3611,448
79,2,3430,-1172,-3292,408,-3617,452
80,2,3707,-1281,-3506,381,-3677,515
81,2,3155,-693,-2495,462,-3823,552
82,2,1871,-55,-876,591,-3999,608
83,2,884,357,538,591,-4142,514
84,2,147,-191,1934,522,-4164,489
85,2,-397,-585,2630,500,-4111,490
86,2,-761,-391,2438,532,-4006,512
87,2,-621,-77,1909,539,-3887,510
88,2,-41,69,1030,524,-3756,508
89,2,889,-246,-381,481,-3633,522
90,2,2125,-800,-1842,433,-3547,559
91,2,2987,-1230,-2547,425,-3527,513
92,2,3332,-1134,-3110,462,-3558,573
93,2,2925,-443,-2572,570,-3676,604
94,2,1932,143,-1291,699,-3832,615
95,2,982,571,176,830,-3960,687
96,2,315,1372,1735,927,-3996,798
97,2,-122,2125,2036,889,-3944,802
98,2,-528,2344,1994,782,-3839,774
99,2,-341,2140,1568,652,-3708,762
100,2,112,1783,866,549,-3574,678
101,2,916,767,-295,460,-3443,613
102,2,2224,-179,-1646,411,-3338,631
103,2,3344,-961,-2659,391,-3284,608
104,2,3653,-1161,-2966,427,-3338,791
105,2,3164,-703,-2921,547,-3446,872
106,2,1520,211,-2829,718,-3661,959
107,2,-396,871,-1658,871,-3947,962
108,2,-1847,1490,-1365,1131,-4173,1056
109,2,-2748,1543,-1819,1400,-4365,1186
110,2,-3368,1375,-2288,1597,-4515,1269
111,2,-3474,967,-3014,1710,-4597,1396
112,2,-3344,545,-3798,1723,-4651,1439
113,2,-3742,17,-4583,1713,-4712,1379
114,2,-3727,-507,-5297,1755,-4761,1484
115,2,-3733,-864,-5729,1769,-4820,1491
116,2,-3764,-920,-5875,1775,-4881,1488
117,2,-3765,-981,-6120,1768,-4935,1484
118,2,-3719,-1122,-6238,1775,-4995,1488
119,2,-3690,-1101,-6274,1799,-5056,1485
120,2,-3669,-1080,-6272,1818,-5115,1499
121,2,-3633,-1086,-6278,1833,-5171,1509
122,2,-3504,-962,-6194,1834,-5282,1490
123,2,-3508,-922,-6159,1826,-5337,1464
124,2,-3449,-963,-6137,1818,-5392,1439
125,2,-3394,-950,-6125,1826,-5449,1438
126,2,-3337,-934,-6061,1844,-5507,1445
127,2,-3290,-857,-5998,1866,-5565,1449
128,2,-3294,-849,-5939,1883,-5622,1455
129,2,-3255,-862,-5906,1894,-5678,1454
130,2,-3151,-886,-5895,1907,-5734,1458
131,2,-3098,-713,-5810,1928,-5797,1440
132,2,-3100,-707,-5820,1925,-5852,1435
133,2,-3076,-811,-5855,1929,-5905,1441
134,2,-3046,-754,-5830,1942,-5964,1433
135,2,-3012,-786,-5850,1953,-6019,1431
136,2,-2982,-824,-5813,1976,-6076,1440
137,2,-2918,-760,-5772,2000,-6132,1442
138,3,4440,-1913,-2506,1813,-8099,644
139,3,5529,-1632,-2363,1914,-8128,665
140,3,5616,-1037,-1912,2089,-8219,680
141,3,5042,-385,-844,2279,-8343,686
142,3,3828,298,511,2473,-8476,622
143,3,2864,758,2145,2621,-8573,574
144,3,2119,1042,3474,2678,-8571,541
145,3,1539,1327,4080,2631,-8479,542
146,3,1009,1445,4106,2497,-8337,563
147,3,930,1273,3827,2309,-8164,543
148,3,1440,838,2896,2160,-7983,520
149,3,2474,261,1380,2087,-7823,554
150,3,3903,-646,-494,2071,-7709,698
151,3,5226,-1154,-1520,2047,-7688,710
152,3,5719,-1033,-1729,2176,-7735,743
153,3,5348,-384,-1590,2403,-7859,732
154,3,4016,475,-646,2637,-8039,650
155,3,2399,976,992,2805,-8207,520
156,3,1490,1284,2639,2909,-8280,485
157,3,769,986,3669,2788,-8231,386
158,3,127,1067,3742,2760,-8106,389
159,3,-318,1302,3406,2679,-7946,425
160,3,-234,1042,2932,2504,-7771,463
161,3,778,526,1798,2380,-7594,486
162,3,2276,-164,180,2311,-7448,558
163,3,4027,-641,-1323,2320,-7371,679
164,3,5159,-995,-1741,2246,-7365,601
165,3,5375,-1149,-1852,2303,-7431,565
166,3,4791,-809,-1552,2443,-7540,573
167,3,3877,-193,-312,2641,-7691,575
168,3,2614,525,1028,2857,-7827,534
169,3,1646,1090,2486,2999,-7894,508
170,3,964,1345,3469,2986,-7854,540
171,3,442,1415,3545,2870,-7743,564
172,3,33,1515,3366,2729,-7596,564
173,3,171,1256,2884,2557,-7424,576
174,3,937,737,1915,2405,-7249,573
175,3,2081,-7,589,2340,-7078,656
176,3,3764,-780,-1312,2310,-6965,844
177,3,5099,-1352,-2319,2278,-6962,818
178,3,5267,-1192,-2580,2395,-7037,800
179,3,4801,-436,-2092,2611,-7181,818
180,3,3248,663,-1107,2850,-7375,756
181,3,1692,1698,621,3221,-7558,831
182,3,817,2281,2472,3376,-7633,787
183,3,308,2644,2768,3330,-7567,777
184,3,-176,2815,2541,3178,-7464,789
185,3,-554,2609,2489,2956,-7325,792
186,3,-326,2139,2200,2730,-7161,780
187,3,390,1741,1547,2518,-6987,682
188,3,1667,514,75,2444,-6834,748
189,3,3324,-563,-1385,2427,-6746,858
190,3,4471,-1134,-1958,2450,-6720,869
191,3,5124,-1123,-2065,2590,-6760,937
192,3,4655,-462,-1907,2836,-6863,958
193,3,3524,589,-1444,3053,-7027,860
194,3,2113,1115,-191,3157,-7215,647
195,3,1072,1322,1560,3252,-7335,629
196,3,367,1139,2850,3205,-7325,596
197,3,-187,1105,2836,3176,-7228,631
198,3,-647,1383,2772,3092,-7113,666
199,3,-187,520,1567,2826,-6785,645
200,3,1079,158,264,2837,-6643,704
201,3,2625,-391,-1090,2769,-6550,817
202,3,4039,-854,-1785,2697,-6519,808
203,3,4632,-979,-1746,2689,-6540,737
204,3,4614,-693,-1465,2774,-6613,738
205,3,3811,-479,-1009,2839,-6739,649
206,3,2716,-118,-321,2996,-6878,676
207,3,1654,438,1134,3163,-7003,663
208,3,807,712,2401,3216,-7038,635
209,3,257,750,2794,3148,-6978,647
210,3,-180,828,2861,3057,-6871,663
211,3,-373,825,2747,2935,-6728,652
212,3,-42,659,2137,2819,-6567,641
213,3,883,278,1342,2703,-6414,637
214,3,2027,-533,40,2592,-6262,673
215,3,3647,-1262,-1467,2546,-6175,708
216,3,4687,-1525,-2288,2575,-6171,695
217,3,4850,-1303,-2616,2691,-6246,747
218,3,4186,-677,-2194,2871,-6381,801
219,3,2933,159,-826,3071,-6556,792
220,3,1503,619,413,3190,-6711,760
221,3,739,727,1786,3224,-6791,692
222,3,292,1063,2662,3251,-6768,692
223,3,-265,1267,2756,3186,-6675,701
224,3,-621,1475,2814,3046,-6548,682
225,3,-612,1182,2721,2856,-6376,635
226,3,-147,725,1692,2752,-6198,614
227,3,1112,69,277,2696,-6055,618
228,3,2769,-703,-1031,2634,-5947,617
229,3,4167,-1130,-2031,2642,-5895,632
230,3,4901,-1244,-2281,2688,-5904,665
231,3,5124,-1061,-1895,2777,-5961,720
232,3,4600,-460,-1313,2925,-6052,748
233,3,3672,258,-576,3097,-6180,759
234,3,2599,756,1003,3237,-6284,710
235,3,1904,1265,1232,3325,-6315,740
236,3,869,658,-654,3277,-6430,796
237,3,247,618,-1321,3422,-6552,867
238,3,-740,575,-1647,3675,-6697,895
239,3,-1550,1011,-2011,4139,-6815,1146
240,3,-1670,1218,-2523,4281,-6900,1170
241,3,-1697,967,-3200,4320,-6969,1118
242,3,-1901,734,-3716,4373,-7034,1100
243,3,-2080,45,-4092,4364,-7086,1097
244,3,-2180,-253,-4581,4333,-7132,1036
245,3,-2175,-460,-4916,4329,-7184,1015
246,3,-2209,-612,-5042,4345,-7236,1010
247,3,-2204,-659,-5193,4357,-7285,1004
248,3,-2207,-757,-5230,4338,-7334,975
249,3,-2179,-805,-5307,4355,-7384,971
250,3,-2168,-818,-5344,4386,-7438,970
251,3,-2125,-843,-5319,4416,-7490,969
252,3,-2089,-804,-5310,4452,-7541,978
253,3,-2065,-723,-5283,4455,-7589,957
254,3,-2012,-751,-5256,4461,-7683,932
255,3,-1998,-757,-5248,4490,-7734,934
256,3,-1956,-743,-5252,4521,-7783,940
257,3,-1935,-748,-5197,4552,-7834,941
258,3,-1900,-711,-5178,4582,-7882,945
259,3,-1878,-734,-5165,4610,-7930,949
260,3,-1848,-733,-5128,4636,-7979,945
261,3,-1825,-697,-5099,4664,-8026,948
262,3,-1801,-700,-5082,4687,-8074,944
263,3,-1766,-703,-5063,4711,-8122,940
264,3,-1744,-698,-5043,4739,-8170,938
265,3,-1730,-698,-5021,4763,-8218,933
266,3,-1692,-701,-5021,4793,-8266,937
267,4,-2676,376,310,4129,-8628,337
268,4,-2491,-204,868,3872,-8422,175
269,4,-1513,-619,205,3825,-8214,30
270,4,487,-817,-1104,3891,-8046,51
271,4,2840,-1393,-2203,3867,-7933,31
272,4,4792,-1705,-2957,3905,-7886,64
273,4,5715,-1621,-3675,4004,-7920,163
274,4,5540,-1079,-3209,4169,-8074,200
275,4,4453,-234,-2009,4415,-8254,195
276,4,2426,702,503,4701,-8456,87
277,4,1423,1070,2931,4822,-8532,57
278,4,852,1177,4635,4775,-8455,18
279,4,68,1598,4647,4730,-8295,175
280,4,-186,1643,4095,4492,-8119,258
281,4,306,1363,3185,4274,-7934,261
282,4,1357,739,1768,4115,-7760,300
283,4,3105,-35,116,4019,-7631,366
284,4,4831,-954,-1475,3955,-7557,421
285,4,5987,-1367,-1960,4010,-7564,342
286,4,6146,-1073,-1831,4136,-7633,249
287,4,5446,-423,-1336,4301,-7748,192
288,4,4160,316,-338,4478,-7898,161
289,4,2830,621,937,4647,-8022,130
290,4,1957,1210,2472,4781,-8109,107
291,4,1236,1703,3757,4783,-8074,121
292,4,462,1915,4156,4665,-7961,191
293,4,-47,1998,4088,4478,-7794,304
294,4,249,1691,3091,4230,-7615,306
295,4,1211,1144,1845,4065,-7446,281
296,4,2577,393,313,3968,-7305,304
297,4,4281,-431,-1132,3940,-7220,368
298,4,5459,-931,-1654,3935,-7203,330
299,4,5927,-884,-1924,4008,-7230,401
300,4,5661,-397,-1771,4180,-7319,459
301,4,4414,469,-1098,4437,-7472,497
302,4,2881,1432,230,4662,-7632,468
303,4,1995,2081,1838,4795,-7731,408
304,4,1186,2506,3744,4742,-7707,240
305,4,382,2375,3750,4627,-7577,256
306,4,62,2146,3334,4466,-7426,290
307,4,1045,1142,2187,4160,-7105,263
308,4,2200,520,955,4059,-6950,241
309,4,3735,-285,-682,4014,-6833,264
310,4,5127,-918,-1796,4010,-6789,267
311,4,5691,-1101,-2170,4043,-6805,291
312,4,5792,-991,-1839,4142,-6879,325
313,4,4975,-202,-1302,4335,-6992,351
314,4,3699,434,-258,4539,-7149,345
315,4,2210,689,1331,4731,-7262,281
316,4,1503,1497,2601,4882,-7293,243
317,4,883,2045,3271,4845,-7231,251
318,4,309,2047,3134,4689,-7107,318
319,4,202,1734,2854,4481,-6968,341
320,4,656,1323,2475,4266,-6813,249
321,4,1462,538,1513,4083,-6646,146
322,4,2812,-191,58,4049,-6510,156
323,4,4256,-999,-1309,4015,-6421,187
324,4,5275,-1430,-2235,4047,-6407,211
325,4,5514,-1260,-2438,4134,-6472,253
326,4,4979,-896,-1662,4155,-6589,151
327,4,3830,-609,-741,4290,-6735,214
328,4,2485,-507,373,4438,-6868,288
329,4,1537,7,1864,4603,-6957,329
330,4,936,493,3021,4648,-6954,358
331,4,416,875,3167,4592,-6867,379
332,4,33,1232,3055,4464,-6741,374
333,4,129,1074,2740,4289,-6593,349
334,4,617,688,2164,4134,-6439,254
335,4,1527,-30,924,4021,-6291,170
336,4,2994,-768,-672,4003,-6178,213
337,4,4311,-1143,-1642,3997,-6124,204
338,4,5021,-1401,-1996,4020,-6132,206
339,4,4906,-1175,-2365,4132,-6203,263
340,4,4001,-547,-2167,4301,-6360,341
341,4,2276,176,-482,4482,-6569,297
342,4,1061,527,1495,4614,-6706,319
343,4,528,785,2180,4658,-6730,362
344,4,24,1034,2344,4633,-6697,355
345,4,-542,1127,2791,4497,-6615,331
