,0,1,2,3,4,5,6
14,2,-4748,6752,-5978,-523,-5884,1354
15,2,-4888,5944,-7081,-1588,-5865,1665
16,2,-3639,3063,-6794,-2257,-5875,1849
17,2,-768,1237,-5107,-2477,-5864,1873
18,2,1825,787,-3622,-2514,-5819,1812
19,2,3771,148,-2596,-2509,-5742,1855
20,2,5082,-291,-1700,-2534,-5669,1796
21,2,5505,-1004,-1472,-2508,-5583,1723
22,2,4566,-972,-1465,-2346,-5580,1510
23,2,3815,-462,-2057,-1824,-5627,1319
24,2,1957,1536,-2819,-990,-5731,1089
25,2,-937,3734,-3704,-103,-5874,936
26,2,-2644,4479,-4156,666,-6053,805
27,2,-3500,4453,-4016,1254,-6211,581
28,2,-3078,3699,-3765,1467,-6301,525
29,2,-2607,2036,-3512,1450,-6336,525
30,2,-2457,310,-3807,1389,-6358,486
31,2,-2303,-1281,-4019,1351,-6394,456
32,2,-2334,-885,-3829,1355,-6420,488
33,2,-2974,1304,-4317,1109,-6437,802
34,2,-4932,3975,-4982,389,-6495,1275
35,2,-6607,5612,-5743,-673,-6527,1910
36,2,-6236,4368,-6015,-1680,-6535,2351
37,2,-4610,1972,-5256,-2263,-6515,2566
38,2,-1341,677,-3666,-2486,-6480,2556
39,2,1459,-514,-2433,-2610,-6403,2476
40,2,3666,-1501,-1711,-2606,-6323,2458
41,2,4904,-2148,-1207,-2531,-6258,2347
42,2,5097,-2155,-1337,-2323,-6243,2168
43,2,4690,-1368,-1704,-1940,-6293,2010
44,2,3830,-344,-2073,-1353,-6401,1835
45,2,2192,2169,-2452,-531,-6537,1637
46,2,7,3674,-2885,272,-6674,1435
47,2,-1496,4274,-3413,914,-6810,1262
48,2,-1815,3808,-3364,1239,-6911,1076
49,2,-1723,2680,-3189,1372,-6974,1032
50,2,-1703,1592,-3125,1388,-7011,1033
51,2,-1733,1174,-3221,1279,-7035,1063
52,2,-2111,1473,-3369,987,-7053,1007
53,2,-3497,2314,-3417,535,-7048,1255
54,2,-4808,2977,-3673,-166,-7016,1664
