,0,1,2,3,4,5,6
15,2,-5875,5536,-4467,-667,-5346,1002
16,2,-6197,5788,-4107,-1367,-5192,792
17,2,-4804,4820,-4259,-1815,-5024,547
18,2,-2896,2975,-4773,-2025,-4899,266
19,2,-746,1185,-5146,-2044,-4815,53
20,2,1369,-85,-5294,-1937,-4773,-120
21,2,3006,-183,-5569,-1663,-4790,-213
22,2,4288,1281,-5424,-1310,-4934,-144
23,2,4142,3194,-4333,-1109,-5199,104
24,2,2745,4770,-2565,-1233,-5515,377
25,2,913,5697,-888,-1730,-5765,526
26,2,-293,5434,513,-2333,-5802,601
27,2,78,5782,999,-2851,-5675,627
28,2,665,5124,613,-3314,-5519,513
29,2,1219,3084,-467,-3509,-5375,287
30,2,2106,1461,-1811,-3438,-5284,19
31,2,3053,1048,-3006,-3198,-5249,-155
32,2,4060,1795,-3827,-2880,-5303,-222
33,2,4492,3004,-3415,-2647,-5476,-221
34,2,4068,4106,-2120,-2535,-5691,-145
35,2,2993,4849,-1116,-2677,-5954,-31
36,2,1737,5071,-17,-3120,-6185,29
37,2,474,5376,1393,-3644,-6248,151
38,2,-489,5326,2011,-4204,-6166,191
39,2,-286,4609,1718,-4640,-6045,75
40,2,469,3341,883,-4845,-5912,-163
41,2,1234,2168,-455,-4803,-5791,-407
42,2,2486,1325,-1764,-4606,-5695,-540
43,2,3795,1269,-2887,-4310,-5622,-603
44,2,4562,2483,-3999,-3981,-5633,-543
45,2,4506,3997,-4458,-3819,-5839,-540
46,2,3372,5759,-3647,-3879,-6178,-445
47,2,1182,7013,-2853,-4316,-6579,-305
48,2,-744,7098,-1819,-5122,-6917,-234
49,2,-1422,7113,-1024,-5906,-7063,-133
50,2,-901,6477,-246,-6543,-7050,-106
51,2,-59,4987,130,-6904,-6937,-208
52,2,802,3112,-298,-6969,-6794,-438
53,2,1737,1936,-1233,-6812,-6663,-618
54,2,3001,1477,-2279,-6569,-6559,-687
55,2,4200,1818,-3071,-6318,-6526,-733
56,2,4843,2882,-3018,-6108,-6594,-826
57,2,4783,4238,-2457,-6012,-6752,-905
58,2,3951,5462,-1851,-6065,-7011,-805
59,2,2129,6291,-1025,-6443,-7344,-694
60,2,422,6546,-594,-7036,-7571,-492
61,2,-482,6508,-358,-7746,-7736,-257
62,2,-178,6129,729,-8381,-7743,-86
63,2,386,4950,1163,-8768,-7613,-32
64,2,1426,3345,653,-8894,-7451,-137
65,2,2911,2004,-319,-8790,-7304,-331
66,2,3979,1419,-1528,-8608,-7203,-469
67,2,4801,1650,-2776,-8430,-7186,-558
68,2,5318,3036,-3387,-8279,-7281,-547
69,2,5618,4514,-3268,-8223,-7470,-404
70,2,5145,6639,-2889,-8234,-7716,-106
71,2,3258,8372,-2219,-8595,-8032,232
72,2,1949,8496,-369,-9340,-8288,416
73,2,1197,7773,1001,-9958,-8268,584
74,2,1075,5965,1230,-10287,-8120,585
75,2,1752,4082,223,-10345,-7944,519
76,2,3285,2057,-772,-10352,-7814,478
77,2,4681,332,-1823,-10216,-7722,291
78,2,5981,244,-2773,-9953,-7709,124
79,2,6368,1345,-3090,-9757,-7844,-152
80,2,4876,3642,-2219,-9755,-8141,-204
81,2,3389,5018,-897,-10126,-8461,-42
82,2,2082,5361,96,-10689,-8690,314
83,2,1080,5234,133,-11287,-8827,662
84,2,500,5213,1226,-11810,-8876,821
85,2,115,4875,2343,-12119,-8739,851
86,2,384,4012,1963,-12197,-8531,716
87,2,1269,2545,973,-12163,-8376,446
88,2,2430,1189,-331,-11992,-8240,197
89,2,3983,388,-1819,-11789,-8161,45
90,2,5625,533,-2852,-11548,-8194,-156
91,2,5768,1949,-2723,-11304,-8398,-360
92,2,3941,3997,-1662,-11271,-8711,-521
93,2,1998,4887,-973,-11566,-9015,-603
94,2,700,4831,-905,-12033,-9254,-366
95,2,-568,4857,-842,-12534,-9453,-251
96,2,-1026,5220,-323,-12992,-9526,-231
97,2,-790,5323,435,-13328,-9413,-30
98,2,-360,4288,887,-13536,-9220,58
99,2,621,2712,691,-13543,-9031,-67
100,2,1894,1441,26,-13406,-8884,-332
101,2,3366,753,-671,-13191,-8777,-601
102,2,4862,939,-1318,-12938,-8711,-841
103,2,5771,1873,-1666,-12718,-8752,-1030
104,2,5319,3070,-1174,-12551,-8926,-1162
105,2,3975,4011,-1017,-12417,-9156,-1227
106,2,3094,4083,-939,-12313,-9331,-1361
107,2,1206,4084,-873,-12114,-9408,-1596
108,2,-50,4328,-811,-11993,-9491,-1773
109,2,-616,2759,-1017,-12004,-9519,-1986
110,2,-689,2213,-2160,-12026,-9556,-2009
111,2,-710,1975,-3030,-12063,-9607,-1944
112,2,-852,1279,-3250,-12134,-9664,-1928
113,2,-914,1032,-3423,-12144,-9694,-1987
114,2,-924,1095,-3642,-12159,-9732,-2026
115,2,-816,925,-3860,-12187,-9772,-1996
116,2,-860,911,-3870,-12195,-9810,-1986
117,2,-882,929,-3848,-12220,-9850,-1977
118,2,-836,887,-3941,-12247,-9888,-1978
119,2,-839,899,-3933,-12274,-9928,-1979
120,2,-819,857,-3949,-12300,-9965,-1988
121,2,-814,851,-3961,-12321,-10004,-2000
122,2,-778,879,-3924,-12348,-10040,-2001
123,2,-789,852,-3927,-12372,-10077,-1995
124,2,-760,888,-3871,-12388,-10114,-1992
125,2,-744,909,-3861,-12408,-10150,-1986
126,2,-739,882,-3837,-12429,-10185,-1981
127,2,-713,898,-3831,-12451,-10219,-1962
128,2,-676,897,-3774,-12472,-10255,-1948
129,2,-655,939,-3733,-12491,-10289,-1938
130,2,-641,939,-3728,-12512,-10324,-1934
131,2,-629,926,-3697,-12531,-10360,-1927
132,2,-603,960,-3654,-12550,-10393,-1916
