Unnamed: 0,0,1,2,3,4,5,6
34,1,3915,1476,-2616,-2207,-5388,-3395
35,1,4339,2592,-1810,-2072,-5609,-3628
36,1,4094,3606,-800,-1977,-5998,-3727
37,1,3181,4267,376,-2149,-6482,-3774
38,1,1993,4316,969,-2633,-6903,-3809
39,1,797,4213,1431,-3215,-7159,-3803
40,1,27,4270,2078,-3690,-7186,-3722
41,1,257,4074,2415,-3993,-6979,-3566
42,1,1173,3487,2153,-4147,-6657,-3442
43,1,2452,2440,1240,-4224,-6354,-3435
44,1,3638,1612,207,-4186,-6119,-3520
45,1,4741,1127,-727,-4089,-5951,-3671
46,1,5818,1280,-1591,-3911,-5849,-3847
47,1,6535,2199,-2074,-3678,-5878,-3978
48,1,6481,3231,-1672,-3563,-6097,-4175
49,1,5498,4242,-292,-3596,-6483,-4333
50,1,4091,4585,684,-3898,-6975,-4446
51,1,3010,4521,1394,-4430,-7446,-4500
52,1,2103,4532,1855,-4972,-7746,-4402
53,1,1201,4586,2559,-5521,-7873,-4302
54,1,1157,4371,3077,-5850,-7763,-4160
55,1,2001,3652,3052,-6027,-7517,-4063
56,1,3006,2501,2309,-6049,-7214,-4029
57,1,4084,1502,1201,-5936,-6941,-4050
58,1,5164,992,52,-5785,-6729,-4093
59,1,6301,880,-835,-5616,-6574,-4165
60,1,7251,1256,-1267,-5450,-6506,-4312
61,1,7449,2063,-1155,-5297,-6558,-4511
62,1,7134,3021,-422,-5193,-6729,-4713
63,1,6467,3937,554,-5176,-7020,-4870
64,1,5158,4588,1377,-5369,-7420,-4978
65,1,3819,4864,1925,-5843,-7847,-5051
66,1,2819,4759,2236,-6399,-8176,-4996
67,1,2032,4711,2951,-6896,-8323,-4854
68,1,2003,4287,3598,-7198,-8224,-4618
69,1,2630,3525,3522,-7325,-7985,-4412
70,1,3623,2366,2644,-7337,-7711,-4335
71,1,4748,1625,1488,-7252,-7487,-4334
72,1,5928,1201,548,-7143,-7326,-4364
73,1,6960,1031,-212,-6996,-7206,-4415
74,1,7472,1363,-681,-6834,-7168,-4543
75,1,7515,2259,-396,-6699,-7253,-4749
76,1,7032,3209,206,-6636,-7459,-4955
77,1,5797,4119,1071,-6706,-7799,-5124
78,1,4332,4613,2068,-7002,-8242,-5242
79,1,3185,4732,2636,-7509,-8637,-5260
80,1,2349,4537,2775,-8069,-8907,-5180
81,1,2096,4444,3648,-8641,-8815,-4663
82,1,3098,3493,3312,-8742,-8580,-4384
83,1,4349,2378,2425,-8768,-8339,-4255
84,1,5716,1610,1457,-8711,-8145,-4211
85,1,6855,1074,818,-8620,-7998,-4232
86,1,7772,795,161,-8482,-7874,-4283
87,1,8392,1001,-259,-8336,-7820,-4408
88,1,8395,1744,-81,-8222,-7875,-4603
89,1,8112,2318,673,-8152,-8012,-4813
90,1,7371,2930,1712,-8101,-8190,-4997
91,1,6172,3645,2322,-8158,-8437,-5127
92,1,5071,3963,2598,-8430,-8752,-5209
93,1,3829,3871,2660,-8827,-9070,-5160
94,1,2873,3650,2518,-9249,-9345,-5021
95,1,2218,3530,2688,-9579,-9498,-4851
96,1,2019,3322,3010,-9781,-9501,-4616
97,1,2665,3211,3497,-9898,-9368,-4337
98,1,3635,3182,3648,-9989,-9159,-4142
99,1,4459,2587,3095,-10038,-8939,-3996
100,1,5246,1738,2362,-9996,-8717,-3980
101,1,6205,1129,1771,-9844,-8484,-4052
102,1,7146,920,1294,-9601,-8239,-4235
103,1,7819,1352,848,-9323,-8035,-4508
104,1,8124,2119,516,-9051,-7912,-4828
105,1,7869,3009,511,-8804,-7885,-5191
106,1,7087,3970,960,-8611,-7963,-5546
107,1,5882,4439,1521,-8502,-8121,-5845
108,1,4334,4531,1982,-8465,-8311,-6114
109,1,2863,4064,2179,-8521,-8505,-6415
110,1,1698,3317,1928,-8578,-8639,-6599
111,1,960,2734,1138,-8595,-8693,-6675
112,1,358,2226,209,-8647,-8738,-6853
113,1,-40,1835,-479,-8678,-8776,-6901
114,1,-302,1536,-1023,-8708,-8807,-6923
115,1,-501,1413,-1383,-8731,-8836,-6945
116,1,-664,1304,-1657,-8757,-8864,-6955
117,1,-761,1191,-1854,-8782,-8890,-6967
118,1,-832,1165,-1996,-8802,-8915,-6978
119,1,-875,1139,-2081,-8823,-8940,-6993
120,1,-903,1120,-2142,-8846,-8966,-7007
121,1,-930,1107,-2184,-8867,-8992,-7025
122,1,-951,1101,-2234,-8889,-9017,-7043
123,1,-959,1076,-2263,-8911,-9043,-7058
124,1,-957,1072,-2272,-8929,-9068,-7071
125,1,-946,1060,-2264,-8948,-9091,-7080
126,1,-944,1053,-2267,-8968,-9116,-7092
127,1,-942,1032,-2253,-8987,-9140,-7106
128,1,-931,1024,-2250,-9008,-9164,-7119
129,1,-922,1013,-2239,-9028,-9187,-7134
130,1,-910,998,-2233,-9047,-9211,-7150
131,1,-900,990,-2215,-9067,-9235,-7167
132,1,-889,981,-2205,-9086,-9257,-7183
133,1,-878,983,-2197,-9105,-9279,-7197
134,1,-867,979,-2186,-9125,-9302,-7210
135,1,-845,975,-2178,-9144,-9325,-7224
136,1,-835,963,-2172,-9162,-9347,-7237
137,1,-825,958,-2158,-9180,-9369,-7248
138,1,-819,956,-2147,-9198,-9391,-7259
139,1,-806,943,-2126,-9215,-9413,-7267
