Unnamed: 0,0,1,2,3,4,5,6
52,3,-1293,1107,3783,155,-8149,-999
53,3,-450,828,1519,-124,-7783,-1047
54,3,1590,-335,-1283,-297,-7569,-1175
55,3,3314,-983,-3036,-235,-7575,-1232
56,3,4298,-929,-2843,-88,-7738,-1177
57,3,3615,167,-2112,172,-8031,-1077
58,3,2249,482,-93,375,-8390,-1059
59,3,445,603,3892,504,-8685,-1178
60,3,-100,616,4008,438,-8523,-1157
61,3,-642,445,3821,341,-8289,-1153
62,3,-698,518,3530,266,-7981,-1141
63,3,-149,590,2433,152,-7650,-1186
64,3,1465,-362,341,-23,-7401,-1270
65,3,3347,-1104,-1169,-69,-7278,-1362
66,3,4817,-1324,-2145,-21,-7296,-1376
67,3,4894,-1321,-1979,74,-7442,-1338
68,3,4346,-1194,-1317,186,-7674,-1269
69,3,3079,-900,530,313,-7991,-1251
70,3,1832,-514,2380,405,-8218,-1251
71,3,1369,-487,3377,395,-8264,-1247
72,3,907,-667,3761,371,-8189,-1275
73,3,220,-617,3931,291,-8027,-1420
74,3,-95,-699,3854,316,-7755,-1406
75,3,60,-471,3114,301,-7435,-1341
76,3,1273,-748,1406,93,-7159,-1478
77,3,2992,-1238,-322,37,-6995,-1600
78,3,4285,-1598,-1592,57,-6965,-1644
79,3,4971,-1751,-2168,150,-7066,-1570
80,3,4429,-1347,-1176,265,-7278,-1533
81,3,3473,-906,29,414,-7542,-1448
82,3,2405,-866,1844,480,-7779,-1450
83,3,1716,-760,2984,515,-7881,-1466
84,3,1125,-553,3447,512,-7834,-1464
85,3,530,-372,3716,477,-7686,-1460
86,3,70,-294,3908,436,-7440,-1445
87,3,119,-197,3216,364,-7130,-1404
88,3,1040,-163,1573,252,-6835,-1394
89,3,2719,-822,-63,136,-6649,-1468
90,3,4165,-1385,-1212,131,-6581,-1530
91,3,4904,-1615,-2025,188,-6638,-1557
92,3,4957,-1302,-1800,314,-6821,-1513
93,3,3910,-752,-560,485,-7079,-1429
94,3,2852,-212,921,625,-7329,-1407
95,3,1952,219,2355,708,-7464,-1378
96,3,1495,405,2753,700,-7476,-1404
97,3,907,455,3051,661,-7401,-1443
98,3,262,362,3392,611,-7229,-1482
99,3,156,389,3165,558,-6965,-1483
100,3,599,244,2281,478,-6697,-1507
101,3,1757,-358,896,404,-6469,-1550
102,3,3166,-804,-678,390,-6343,-1582
103,3,4286,-1138,-1922,411,-6358,-1590
104,3,4361,-985,-2176,500,-6505,-1554
105,3,3479,-742,-1085,603,-6763,-1520
106,3,2303,-449,619,739,-7042,-1558
107,3,1309,-146,2111,830,-7214,-1536
108,3,743,83,2954,844,-7230,-1549
109,3,241,64,3066,800,-7134,-1543
110,3,-189,-30,3163,731,-6959,-1582
111,3,-373,138,2991,722,-6701,-1574
112,3,107,210,1976,656,-6418,-1577
113,3,1397,-389,282,554,-6196,-1621
114,3,2872,-940,-894,518,-6097,-1686
115,3,3912,-1185,-1604,545,-6122,-1685
116,3,4106,-1376,-1812,602,-6256,-1644
117,3,3595,-978,-1215,686,-6477,-1615
118,3,2420,-584,121,789,-6726,-1586
119,3,1402,-259,2040,871,-6905,-1557
120,3,892,-113,2939,888,-6899,-1518
121,3,522,55,3031,855,-6808,-1514
122,3,66,191,3342,799,-6641,-1533
123,3,-223,257,3052,723,-6377,-1517
124,3,278,185,1734,606,-6092,-1497
125,3,1874,-564,45,524,-5892,-1552
126,3,3039,-1039,-1259,527,-5825,-1620
127,3,3828,-1259,-1744,578,-5877,-1621
128,3,3975,-1019,-1456,641,-6000,-1586
129,3,3449,-755,-776,729,-6203,-1580
130,3,2531,-417,697,823,-6408,-1568
131,3,1768,5,1879,927,-6547,-1537
132,3,1181,265,2620,966,-6585,-1537
133,3,612,370,2882,956,-6516,-1528
134,3,154,206,3403,886,-6353,-1567
135,3,-286,224,3276,834,-6088,-1609
136,3,274,206,2017,755,-5798,-1607
137,3,1574,-296,143,708,-5587,-1666
138,3,2865,-681,-1251,690,-5502,-1733
139,3,3748,-969,-2335,700,-5553,-1706
140,3,3807,-869,-2093,747,-5723,-1658
141,3,3008,-721,-917,850,-5954,-1576
142,3,1906,-153,668,997,-6207,-1535
143,3,1264,161,2047,1061,-6334,-1518
144,3,800,589,2416,1091,-6321,-1480
145,3,328,669,2603,1018,-6237,-1510
146,3,-96,547,2767,931,-6070,-1517
147,3,-162,500,2664,833,-5835,-1549
148,3,409,289,1501,732,-5575,-1576
149,3,1727,-379,-220,644,-5388,-1657
150,3,2956,-821,-1601,627,-5319,-1714
151,3,3738,-1124,-2414,654,-5399,-1717
152,3,3431,-894,-1932,735,-5580,-1687
153,3,1523,-132,489,968,-6055,-1565
154,3,848,-20,1588,999,-6197,-1560
155,3,304,54,2372,1008,-6203,-1572
156,3,-216,175,2665,984,-6086,-1559
157,3,-647,279,2889,930,-5890,-1550
158,3,-559,439,2393,866,-5648,-1546
159,3,70,248,1288,747,-5410,-1642
160,3,1640,-565,-275,667,-5221,-1733
161,3,2783,-1036,-1386,689,-5152,-1771
162,3,3502,-1135,-2151,748,-5217,-1768
163,3,3400,-1029,-1763,829,-5384,-1721
164,3,2698,-799,-1046,902,-5620,-1703
165,3,1568,-631,147,917,-5884,-1739
166,3,543,-843,1630,893,-6060,-1796
167,3,-61,-1021,2370,901,-6064,-1785
168,3,-671,-995,2741,899,-5947,-1810
169,3,-974,-946,2626,868,-5752,-1844
170,3,-845,-847,2331,871,-5500,-1838
171,3,-65,-706,1173,863,-5245,-1805
172,3,1135,-980,-37,835,-5062,-1845
173,3,2517,-1238,-1260,844,-4969,-1846
174,3,3401,-1208,-1854,871,-4997,-1862
175,3,3502,-1050,-1817,901,-5127,-1864
176,3,2905,-846,-1159,941,-5342,-1865
177,3,1734,-621,-178,983,-5606,-1863
178,3,850,-556,1113,1010,-5802,-1834
179,3,256,-560,2013,1013,-5885,-1843
180,3,-235,-613,2473,1010,-5846,-1864
181,3,-860,-652,3020,992,-5693,-1877
182,3,-1312,-482,3057,987,-5434,-1819
183,3,-918,-260,1698,938,-5154,-1766
184,3,327,-406,129,871,-4942,-1783
185,3,1740,-809,-1275,846,-4815,-1824
186,3,2862,-1003,-2266,854,-4829,-1860
187,3,3252,-888,-2459,889,-4962,-1854
188,3,2662,-695,-1648,945,-5184,-1836
189,3,1789,-406,-240,1025,-5440,-1842
190,3,844,-150,1251,1092,-5639,-1831
191,3,358,4,1976,1112,-5705,-1814
192,3,-186,2,2436,1087,-5665,-1810
193,3,-747,27,2731,1064,-5530,-1764
194,3,-1018,382,2754,1033,-5317,-1714
195,3,-797,653,1920,957,-5059,-1719
196,3,121,349,696,841,-4825,-1786
197,3,1575,-406,-988,779,-4667,-1882
198,3,2787,-1035,-2458,771,-4640,-1950
199,3,3167,-919,-2723,819,-4766,-1923
200,3,2667,-542,-2391,849,-4985,-1835
201,3,1555,-562,-955,922,-5283,-1804
202,3,319,-189,51,1045,-5584,-1739
203,3,-502,12,251,1104,-5831,-1716
