Unnamed: 0,0,1,2,3,4,5,6
15,2,5538,-1747,-4912,181,-2529,-1605
16,2,7385,-1449,-5886,178,-2610,-1578
17,2,7178,-1438,-5598,74,-3003,-1616
18,2,5923,-1905,-4354,-118,-3540,-1737
19,2,4293,-2005,-3670,-276,-4015,-1737
20,2,2040,-2406,-2063,-460,-4422,-1709
21,2,396,-3019,-1143,-546,-4572,-1692
22,2,-106,-2802,-1146,-499,-4579,-1654
23,2,-606,-2473,-1061,-484,-4608,-1666
24,2,-952,-2311,-1147,-485,-4621,-1696
25,2,-1186,-2183,-1260,-486,-4632,-1716
26,2,-1321,-2109,-1328,-486,-4645,-1728
27,2,-1408,-2081,-1306,-482,-4658,-1743
28,2,-1478,-1970,-1331,-470,-4673,-1751
29,2,-1548,-1894,-1167,-470,-4693,-1763
30,2,-1714,-1946,-769,-471,-4682,-1787
31,2,-2047,-2045,2,-438,-4546,-1825
32,2,-2315,-2152,703,-374,-4240,-1896
33,2,-2112,-2160,915,-268,-3769,-1979
34,2,-1005,-2002,-424,-141,-3216,-2011
35,2,955,-1804,-2435,-53,-2723,-2018
36,2,3679,-1700,-4207,12,-2454,-2087
37,2,5720,-1559,-5043,57,-2375,-2112
38,2,7089,-1267,-5407,65,-2424,-2108
39,2,7548,-1127,-5152,-7,-2663,-2139
40,2,6881,-1315,-4399,-172,-3089,-2201
41,2,5267,-1890,-3429,-370,-3592,-2244
42,2,3338,-2217,-2193,-499,-3991,-2203
43,2,1899,-2555,-1030,-532,-4176,-2123
44,2,960,-2346,-673,-495,-4220,-2079
45,2,145,-2179,-438,-479,-4266,-2094
46,2,-339,-1953,-494,-464,-4294,-2098
47,2,-693,-1761,-572,-467,-4320,-2121
48,2,-914,-1697,-717,-481,-4339,-2143
49,2,-1118,-1667,-832,-493,-4357,-2160
50,2,-1280,-1640,-877,-503,-4377,-2180
51,2,-1402,-1617,-906,-508,-4396,-2201
52,2,-1447,-1576,-939,-512,-4408,-2222
53,2,-1468,-1554,-946,-519,-4421,-2239
54,2,-1558,-1582,-517,-530,-4417,-2266
55,2,-2001,-1823,661,-519,-4268,-2318
56,2,-2347,-1981,1164,-438,-3863,-2380
57,2,-1749,-1902,538,-321,-3352,-2421
58,2,-188,-1690,-871,-202,-2862,-2391
59,2,1917,-1568,-2152,-142,-2475,-2385
60,2,4159,-1515,-3471,-97,-2235,-2419
61,2,5879,-1319,-4643,-61,-2138,-2430
62,2,6994,-1110,-5379,-60,-2258,-2445
63,2,6882,-1089,-4911,-127,-2631,-2502
64,2,5642,-1087,-3817,-253,-3174,-2571
65,2,3736,-1468,-2400,-422,-3668,-2625
66,2,1874,-1940,-1019,-520,-3950,-2610
67,2,881,-2136,-286,-531,-4055,-2585
68,2,224,-1915,-312,-508,-4046,-2585
69,2,-263,-1780,-474,-507,-4051,-2602
70,2,-590,-1730,-554,-509,-4056,-2621
71,2,-816,-1654,-654,-507,-4055,-2634
72,2,-990,-1616,-655,-513,-4069,-2644
73,2,-1098,-1585,-629,-512,-4078,-2655
74,2,-1166,-1536,-599,-511,-4091,-2665
75,2,-1214,-1479,-556,-509,-4101,-2676
76,2,-1226,-1411,-524,-508,-4109,-2684
77,2,-1259,-1388,-375,-516,-4116,-2703
78,2,-1439,-1608,375,-523,-4061,-2747
79,2,-1573,-1765,1216,-467,-3821,-2790
80,2,-1628,-1803,1573,-370,-3419,-2829
81,2,-1000,-1675,734,-262,-2932,-2825
82,2,355,-1556,-724,-178,-2443,-2828
83,2,2525,-1399,-2751,-108,-2061,-2860
84,2,4708,-1183,-4432,-61,-1881,-2938
85,2,6182,-957,-5489,-33,-1854,-2958
86,2,7014,-876,-5796,-41,-2009,-2976
87,2,6738,-927,-5078,-115,-2400,-3032
88,2,5551,-1032,-3955,-234,-2905,-3094
89,2,3783,-1379,-2520,-369,-3362,-3105
90,2,2074,-1569,-1057,-457,-3662,-3090
91,2,797,-1753,-147,-494,-3782,-3077
92,2,34,-1715,-143,-481,-3787,-3067
93,2,-403,-1462,-343,-466,-3793,-3067
94,2,-727,-1333,-475,-471,-3810,-3082
95,2,-982,-1240,-498,-479,-3828,-3089
96,2,-1157,-1231,-528,-485,-3842,-3097
97,2,-1393,-1113,-542,-494,-3870,-3114
98,2,-1431,-1092,-577,-499,-3880,-3123
99,2,-1444,-1044,-566,-503,-3894,-3133
100,2,-1511,-1026,-366,-508,-3901,-3144
101,2,-1604,-1133,184,-510,-3844,-3170
102,2,-1744,-1315,1049,-481,-3656,-3205
103,2,-1968,-1355,1589,-406,-3294,-3234
104,2,-1533,-1442,867,-300,-2787,-3255
105,2,-51,-1364,-841,-178,-2288,-3226
106,2,2152,-1025,-2684,-83,-1925,-3229
107,2,4481,-651,-4114,-22,-1741,-3264
108,2,5952,-342,-5130,-5,-1744,-3275
109,2,6450,-345,-5075,-38,-1980,-3310
110,2,6003,-512,-4263,-112,-2400,-3371
111,2,4606,-718,-3082,-211,-2883,-3436
112,2,2512,-910,-1819,-302,-3327,-3442
113,2,1069,-1133,-412,-339,-3595,-3408
114,2,280,-1013,199,-309,-3638,-3356
115,2,-247,-867,-60,-302,-3625,-3356
116,2,-743,-750,-335,-315,-3635,-3369
117,2,-1058,-715,-460,-328,-3652,-3384
118,2,-1223,-674,-565,-335,-3672,-3392
