Unnamed: 0,0,1,2,3,4,5,6
7,2,-6226,-46,-723,-677,-4587,-2352
8,2,-6498,-180,-615,-704,-4176,-2462
9,2,-5789,-807,-1700,-776,-3726,-2579
10,2,-4437,-1804,-3105,-808,-3291,-2705
11,2,-2896,-3238,-4950,-752,-2863,-2768
12,2,-1407,-4683,-7041,-610,-2393,-2713
13,2,385,-5539,-9207,-345,-1965,-2628
14,2,2418,-4990,-10955,39,-1692,-2524
15,2,4151,-3247,-11734,494,-1559,-2248
16,2,5173,-1001,-11358,885,-1632,-2190
17,2,5186,1704,-8753,1094,-1847,-2312
18,2,5304,2951,-6117,921,-2011,-2503
19,2,4609,1796,-3794,476,-2065,-2766
20,2,4067,-883,-3105,76,-1902,-2849
21,2,4165,-3112,-3637,-142,-1628,-2894
22,2,4140,-4424,-4791,-191,-1354,-3016
23,2,3936,-4956,-6043,-145,-1111,-3129
24,2,3654,-5543,-7743,-21,-811,-3122
25,2,4021,-6092,-10033,226,-457,-3030
26,2,4185,-5441,-12448,589,-136,-2856
27,2,4649,-3677,-13589,981,17,-2557
28,2,4972,-1118,-12916,1375,-69,-2297
29,2,4846,2114,-9776,1614,-335,-2343
30,2,4428,2071,-6098,1359,-525,-2700
31,2,4508,-216,-4529,1034,-439,-2906
32,2,4597,-2167,-4350,835,-249,-2998
33,2,4128,-3430,-4793,736,-19,-3097
34,2,3667,-4291,-5922,650,204,-3189
35,2,3271,-5077,-7667,610,466,-3229
36,2,3450,-6063,-9599,689,813,-3213
37,2,3737,-6111,-11007,955,1146,-3114
38,2,3945,-5168,-11597,1293,1370,-2918
39,2,4651,-3713,-12004,1570,1502,-2653
40,2,4913,-2032,-12235,1815,1567,-2226
41,2,4619,461,-10813,2104,1439,-1902
42,2,4407,2436,-8154,2189,1240,-1966
43,2,4147,2616,-5393,1914,1068,-2094
44,2,3551,1109,-3961,1540,1038,-2406
45,2,3080,-1541,-3643,1240,1174,-2623
46,2,2687,-3517,-4085,1063,1427,-2726
47,2,2239,-4675,-4844,1010,1724,-2816
48,2,2088,-5506,-6096,1009,1980,-2868
49,2,2411,-6218,-7583,1084,2217,-2883
50,2,2682,-6299,-8631,1244,2438,-2817
51,2,3214,-5801,-9348,1456,2629,-2658
52,2,3987,-4741,-9847,1699,2773,-2368
53,2,4078,-3343,-9486,1958,2834,-2041
54,2,3990,-1210,-8373,2214,2766,-1825
55,2,3991,514,-7228,2347,2689,-1727
56,2,3710,1884,-6121,2355,2597,-1611
57,2,3397,2906,-4621,2272,2474,-1709
58,2,2894,2531,-2823,1999,2379,-1943
59,2,1792,1157,-1878,1667,2412,-2402
60,2,673,-1772,-2611,1415,2642,-2792
61,2,315,-4223,-4638,1324,3002,-2950
62,2,-293,-5433,-6951,1355,3395,-3014
63,2,-367,-6369,-8992,1504,3762,-2906
64,2,100,-6042,-10448,1767,4053,-2638
65,2,1073,-4392,-12318,1977,4333,-2029
66,2,1637,-2317,-12112,2240,4387,-1343
67,2,1340,930,-9200,2680,4186,-1261
68,2,1383,2084,-6549,2600,4028,-1395
69,2,1092,1556,-4287,2373,3938,-1704
70,2,967,-245,-3214,2113,3980,-2043
71,2,941,-2253,-2938,1878,4127,-2309
72,2,648,-3819,-3367,1745,4320,-2555
73,2,216,-4856,-4394,1712,4542,-2777
74,2,-251,-5901,-6078,1739,4813,-2917
75,2,-333,-6773,-7762,1793,5147,-2917
76,2,-549,-6911,-9416,1937,5513,-2735
77,2,179,-6521,-10692,2133,5839,-2312
78,2,824,-4895,-11648,2258,6034,-1642
79,2,785,-2879,-9950,2517,5963,-1210
80,2,1126,-878,-7790,2703,5775,-1048
81,2,1464,533,-5976,2595,5655,-983
82,2,1489,956,-4350,2427,5573,-1104
83,2,1083,610,-2901,2191,5528,-1352
84,2,398,-864,-1846,1933,5577,-1739
85,2,-214,-3430,-2002,1718,5794,-2119
86,2,-680,-5140,-3416,1608,6083,-2414
87,2,-1314,-5970,-5083,1604,6370,-2606
88,2,-1539,-7295,-6733,1662,6652,-2686
89,2,-1477,-7588,-7937,1775,6946,-2537
90,2,-1014,-7128,-8923,1906,7186,-2194
91,2,-391,-5996,-9324,2002,7311,-1737
92,2,161,-4323,-9423,1981,7353,-1128
93,2,561,-2397,-8494,2015,7264,-585
94,2,460,386,-6765,2150,7060,-229
95,2,-29,1439,-4127,2222,6885,-532
96,2,-650,552,-2370,2062,6852,-1046
97,2,-1190,-1259,-1816,1878,6956,-1564
98,2,-1152,-3366,-2490,1797,7137,-1971
99,2,-1232,-4883,-3435,1807,7312,-2202
100,2,-1182,-5928,-4507,1824,7492,-2255
101,2,-1187,-6295,-5334,1928,7639,-2179
102,2,-1247,-5892,-6103,2087,7727,-1959
103,2,-1487,-4407,-6246,2269,7682,-1532
104,2,-1818,-2387,-6016,2495,7475,-1004
105,2,-3323,-693,-5189,2696,7013,-482
106,2,-5546,852,-3793,2913,6445,81
107,2,-8274,1815,-2843,3161,5901,498
108,2,-9842,790,-1205,3450,5502,535
109,2,-10123,392,-2399,3474,5336,588
110,2,-10394,-43,-3663,3548,5269,489
111,2,-10698,-507,-4378,3550,5188,432
112,2,-10848,-944,-4880,3525,5124,395
113,2,-10949,-1165,-5323,3506,5059,382
114,2,-10999,-1312,-5582,3498,4991,354
115,2,-11052,-1433,-5823,3484,4928,335
116,2,-11059,-1518,-6041,3474,4864,320
117,2,-11054,-1538,-6149,3465,4796,306
118,2,-11022,-1566,-6251,3452,4733,293
119,2,-11005,-1619,-6373,3439,4668,277
120,2,-10971,-1628,-6443,3426,4600,264
121,2,-10935,-1615,-6503,3414,4533,254
122,2,-10902,-1606,-6543,3401,4465,238
123,2,-10850,-1598,-6588,3393,4399,221
124,2,-10814,-1556,-6620,3384,4335,203
125,2,-10753,-1549,-6683,3375,4268,182
126,2,-10722,-1543,-6721,3368,4200,162
127,2,-10666,-1519,-6744,3358,4132,148
128,2,-10618,-1499,-6770,3350,4064,135
129,2,-10566,-1499,-6808,3340,3997,121
130,2,-10511,-1497,-6822,3331,3931,108
131,2,-10464,-1472,-6853,3322,3862,95
132,2,-10415,-1456,-6881,3314,3794,79
133,2,-10369,-1459,-6914,3305,3726,67
134,2,-10314,-1440,-6928,3296,3659,57
135,2,-10260,-1429,-6943,3286,3592,46
136,2,-10216,-1420,-6954,3279,3524,30
137,2,-10148,-1419,-6983,3272,3457,14
138,2,-10099,-1426,-7000,3264,3386,-2
139,2,-10048,-1417,-7019,3258,3317,-19
140,3,-12854,223,-1938,3539,3223,-1109
141,3,-12262,13,-1834,3489,3579,-1367
142,3,-11167,-780,-1969,3444,3946,-1704
143,3,-9738,-2453,-2953,3440,4335,-1995
144,3,-8851,-4047,-4331,3460,4744,-2166
145,3,-7300,-5666,-6312,3514,5185,-2191
146,3,-5645,-6794,-7903,3648,5585,-2146
147,3,-4154,-6644,-9317,3872,5902,-1934
148,3,-2599,-5856,-10519,4134,6111,-1529
149,3,-1131,-4131,-10911,4344,6156,-928
150,3,-690,-1316,-8989,4631,5943,-579
151,3,-509,1029,-6185,4782,5650,-823
152,3,-549,662,-3969,4628,5538,-1316
153,3,-823,-1093,-2461,4482,5571,-1832
154,3,-1281,-2785,-2108,4322,5740,-2128
155,3,-1368,-4205,-2625,4278,5970,-2362
156,3,-1553,-5294,-3742,4289,6221,-2530
157,3,-1606,-5995,-5374,4352,6515,-2572
158,3,-1485,-6925,-7118,4475,6863,-2459
159,3,-872,-6933,-8687,4720,7164,-2248
160,3,-285,-5585,-9781,4915,7330,-1682
161,3,-50,-3692,-9735,5071,7358,-956
162,3,173,-955,-8658,5281,7194,-521
163,3,200,773,-6179,5402,7000,-616
164,3,-118,1341,-3963,5287,6839,-1015
165,3,-585,175,-2417,5094,6830,-1576
166,3,-784,-2105,-1914,4863,6965,-2034
167,3,-1358,-3950,-1897,4716,7165,-2405
168,3,-1953,-5234,-2799,4656,7394,-2693
