Unnamed: 0,0,1,2,3,4,5,6
0,1,-8761,-4338,-1082,678,-4150,-1036
1,1,-8543,-3410,-2783,401,-3710,-713
2,1,-6656,-2613,-5401,-13,-3283,-643
3,1,-4028,-2557,-8058,-430,-2961,-565
4,1,-1525,-3790,-10531,-823,-2868,-614
5,1,318,-5863,-11366,-1123,-3127,-797
6,1,1666,-8020,-10722,-1420,-3545,-1230
7,1,1994,-9608,-8771,-1545,-4084,-1768
8,1,2192,-10398,-5438,-1359,-4581,-2264
9,1,1819,-7941,-2101,-655,-4751,-2348
10,1,2659,-2588,-2168,-52,-4565,-1878
11,1,3513,37,-3646,-106,-4324,-1534
12,1,4113,343,-5691,-505,-4110,-1361
13,1,5072,-1318,-8280,-989,-3945,-1411
14,1,5994,-2820,-9511,-1329,-3960,-1476
15,1,6623,-5436,-9220,-1691,-4297,-1619
16,1,6378,-6477,-8361,-1760,-4536,-1751
17,1,6140,-8088,-6855,-1826,-4852,-2089
18,1,5975,-9587,-5347,-1813,-5166,-2564
19,1,5343,-10582,-2946,-1645,-5493,-3105
20,1,3643,-9253,1,-1042,-5635,-3502
21,1,2489,-3520,172,-169,-5390,-3234
22,1,3176,-98,-2489,-72,-5060,-2753
23,1,4145,832,-5613,-442,-4878,-2495
24,1,5367,-418,-7988,-896,-4794,-2498
25,1,6647,-2078,-9593,-1179,-4893,-2507
26,1,6746,-3723,-9318,-1457,-5192,-2719
27,1,6937,-5739,-7767,-1729,-5515,-3098
28,1,7398,-7059,-6080,-1873,-5820,-3537
29,1,7762,-7657,-4430,-1881,-6027,-4044
30,1,7968,-7227,-2615,-1741,-6140,-4533
31,1,8045,-6127,-1016,-1470,-6135,-4924
32,1,8024,-4540,203,-1058,-6000,-5152
33,1,7897,-2288,727,-577,-5768,-5145
34,1,7669,155,244,-190,-5508,-4901
35,1,8119,2262,-1308,-138,-5312,-4599
36,1,8707,3111,-2977,-302,-5201,-4346
37,1,9138,2712,-4510,-571,-5148,-4177
38,1,9420,1490,-5918,-851,-5184,-4072
39,1,9250,-237,-6882,-1084,-5336,-4085
40,1,9422,-3183,-6515,-1264,-5550,-4280
41,1,8963,-5080,-5295,-1354,-5752,-4651
42,1,8452,-5629,-3855,-1373,-5915,-5089
43,1,8204,-6052,-2694,-1316,-6008,-5549
44,1,8348,-6006,-900,-1111,-6003,-5982
45,1,7722,-5068,659,-698,-5856,-6257
46,1,7185,-2516,1503,-160,-5592,-6230
47,1,7270,441,1340,167,-5293,-6107
48,1,7647,2812,305,224,-5067,-5944
49,1,8280,3875,-1497,41,-4929,-5842
50,1,9041,3624,-3304,-272,-4885,-5843
51,1,9571,2317,-4597,-464,-4870,-5836
52,1,9500,-1194,-5785,-760,-5026,-5976
53,1,9026,-3076,-5508,-928,-5184,-6248
54,1,8487,-4566,-4637,-1007,-5336,-6623
55,1,7852,-5776,-3464,-1042,-5460,-7140
56,1,7215,-6544,-1397,-888,-5480,-7709
57,1,6115,-5301,818,-319,-5270,-7997
58,1,5146,-1068,1786,495,-4919,-7747
59,1,5226,2764,721,824,-4660,-7337
60,1,5839,4908,-1355,698,-4554,-7074
61,1,6679,5389,-3546,310,-4559,-6997
62,1,7681,4355,-5448,-174,-4659,-7080
63,1,8327,2241,-6803,-583,-4843,-7326
64,1,8269,55,-6645,-933,-5104,-7661
65,1,8227,-1662,-5967,-1180,-5295,-8046
66,1,8475,-2923,-4799,-1379,-5454,-8498
67,1,8741,-3964,-3289,-1527,-5568,-9015
68,1,8733,-4349,-1411,-1493,-5525,-9536
69,1,8577,-3285,440,-1107,-5264,-9858
70,1,7836,-948,1255,-473,-4892,-9859
71,1,7800,2573,1020,48,-4615,-9579
72,1,8231,4399,-68,-11,-4521,-9503
73,1,8883,5141,-1097,-267,-4533,-9564
74,1,9562,4757,-1912,-520,-4554,-9698
75,1,9843,3869,-2667,-655,-4603,-9790
76,1,9664,3154,-2728,-749,-4695,-9882
77,1,9321,2359,-2217,-797,-4805,-9939
78,1,8646,1802,-1402,-694,-4920,-9901
79,1,7328,1759,-391,-437,-5039,-9855
80,1,5418,2657,1440,-29,-5179,-9812
81,1,3033,3588,2895,413,-5291,-9843
82,1,785,3821,3409,552,-5394,-10063
83,1,-601,3571,3136,528,-5489,-10242
84,1,-1160,3247,2228,414,-5552,-10374
85,1,-1783,2966,1252,406,-5591,-10403
86,1,-2036,2672,311,341,-5634,-10422
87,1,-2300,2417,-305,281,-5669,-10441
88,1,-2541,2152,-1146,196,-5735,-10438
89,1,-2627,2103,-1396,153,-5772,-10439
90,1,-2687,2071,-1528,113,-5811,-10435
91,1,-2691,2022,-1601,68,-5854,-10437
92,1,-2703,1995,-1612,28,-5894,-10438
93,1,-2716,1996,-1614,-2,-5930,-10439
94,1,-2721,2021,-1615,-32,-5964,-10434
95,1,-2709,2025,-1627,-64,-6000,-10430
96,1,-2701,2030,-1607,-95,-6035,-10428
97,1,-2685,2027,-1583,-132,-6072,-10427
98,1,-2666,2029,-1571,-169,-6107,-10430
99,1,-2651,2036,-1544,-201,-6141,-10433
100,1,-2628,2052,-1499,-235,-6176,-10434
101,1,-2602,2059,-1493,-268,-6212,-10433
102,1,-2575,2056,-1469,-303,-6248,-10437
103,1,-2561,2048,-1447,-334,-6282,-10438
104,1,-2543,2048,-1426,-366,-6315,-10441
105,1,-2525,2030,-1425,-398,-6350,-10440
106,1,-2478,2016,-1392,-463,-6417,-10447
107,1,-2454,2019,-1385,-496,-6450,-10449
108,1,-2431,2015,-1385,-528,-6484,-10452
109,1,-2404,1995,-1371,-562,-6517,-10454
110,1,-2380,1995,-1367,-597,-6551,-10456
111,2,-4574,7055,-2318,422,-5412,-7493
112,2,-1550,6541,-5209,-101,-5368,-7364
113,2,1318,5407,-7615,-562,-5399,-7332
114,2,3275,3585,-8904,-915,-5561,-7388
115,2,4458,1665,-8820,-1218,-5849,-7565
116,2,5700,-1592,-7013,-1668,-6181,-8040
117,2,6752,-3789,-5103,-1738,-6297,-8509
118,2,5403,-3077,174,-974,-5996,-9258
119,2,4184,53,2509,-173,-5611,-9167
120,2,3817,4085,2760,341,-5287,-8814
121,2,4664,6882,1059,305,-5120,-8535
122,2,5908,7270,-1289,-104,-5087,-8468
123,2,6850,6399,-3533,-493,-5097,-8496
124,2,7533,4829,-5274,-854,-5202,-8565
125,2,8301,2748,-6480,-1200,-5403,-8784
126,2,8385,-21,-5650,-1599,-5654,-9226
127,2,8703,-1828,-4288,-1725,-5750,-9655
128,2,8175,-2827,-2481,-1733,-5771,-10110
129,2,7107,-3210,-278,-1535,-5638,-10509
130,2,5521,-2249,2331,-920,-5311,-10635
131,2,4715,1368,3918,-23,-4893,-10308
132,2,4994,5152,3496,395,-4610,-9920
133,2,5204,7181,1462,333,-4466,-9734
134,2,5716,7663,-977,26,-4457,-9668
135,2,6733,6910,-3172,-416,-4566,-9705
136,2,7681,5052,-4929,-879,-4761,-9865
137,2,8255,3098,-5537,-1246,-4994,-10155
