Unnamed: 0,0,1,2,3,4,5,6
0,0,1101,-1663,-1229,-256,-3368,-2910
1,0,-171,-2018,123,-310,-3682,-2947
2,0,-962,-2297,1104,-359,-3896,-2996
3,0,-1545,-2376,1809,-363,-3953,-3013
4,0,-2098,-2293,1917,-340,-3882,-2983
5,0,-2563,-2167,1888,-322,-3723,-2997
6,0,-2740,-2214,1758,-303,-3499,-3041
7,0,-2236,-2220,1203,-265,-3243,-3073
8,0,-1178,-2196,508,-219,-2988,-3107
9,0,65,-2102,-485,-173,-2770,-3136
10,0,1470,-1855,-1610,-131,-2619,-3139
11,0,2590,-1548,-2251,-115,-2594,-3151
12,0,3098,-1422,-2235,-125,-2676,-3150
13,0,2923,-1233,-2123,-150,-2869,-3114
14,0,2002,-1316,-1443,-182,-3168,-3105
15,0,743,-1507,-204,-213,-3503,-3139
16,0,-470,-1474,845,-255,-3753,-3226
17,0,-1062,-1770,1264,-312,-3865,-3285
18,0,-1649,-2124,1720,-319,-3869,-3302
19,0,-2189,-2136,1643,-277,-3773,-3271
20,0,-2527,-2073,1749,-244,-3597,-3294
21,0,-2482,-2233,1667,-201,-3359,-3318
22,0,-2018,-2208,1335,-136,-3098,-3326
23,0,-1032,-1809,597,-83,-2824,-3311
24,0,415,-1561,-946,-64,-2588,-3329
25,0,1970,-1375,-2298,-42,-2473,-3320
26,0,2908,-1293,-2693,-37,-2515,-3347
27,0,3251,-1128,-2435,-41,-2671,-3339
28,0,2727,-1266,-1494,-54,-2911,-3342
29,0,1902,-1328,-787,-67,-3161,-3354
30,0,907,-1336,121,-99,-3405,-3398
31,0,-78,-1432,1033,-129,-3588,-3425
32,0,-697,-1751,1505,-151,-3669,-3455
33,0,-1353,-1734,2049,-133,-3634,-3455
34,0,-1936,-1977,2427,-115,-3491,-3471
35,0,-2334,-1966,2525,-65,-3256,-3457
36,0,-2064,-1730,1753,-21,-2971,-3452
37,0,471,-1333,-835,30,-2492,-3499
38,0,1947,-1301,-1820,47,-2391,-3511
39,0,2860,-1275,-2149,58,-2404,-3528
40,0,3167,-1271,-1817,45,-2500,-3540
41,0,3145,-1177,-1356,26,-2656,-3539
42,0,2532,-1193,-645,3,-2874,-3545
43,0,1648,-1284,14,-29,-3107,-3550
44,0,676,-1350,393,-69,-3327,-3578
45,0,-242,-1404,674,-117,-3525,-3637
46,0,-1009,-1613,942,-162,-3664,-3681
47,0,-1634,-1836,1452,-166,-3696,-3699
48,0,-2298,-1944,1574,-136,-3611,-3701
49,0,-2689,-1880,1509,-101,-3454,-3703
50,0,-2679,-1928,1294,-61,-3247,-3702
51,0,-2248,-1924,1061,-11,-3022,-3717
52,0,-1383,-1764,679,42,-2794,-3731
53,0,-204,-1691,178,90,-2581,-3743
54,0,1088,-1552,-460,137,-2402,-3735
55,0,2264,-1364,-1401,170,-2285,-3723
56,0,3264,-1138,-1633,180,-2260,-3744
57,0,3693,-1074,-1456,175,-2307,-3775
58,0,3632,-1095,-1093,162,-2426,-3779
59,0,3218,-1061,-893,132,-2605,-3797
60,0,2327,-1180,-387,90,-2834,-3824
61,0,1245,-1374,371,49,-3073,-3847
62,0,263,-1422,833,1,-3277,-3881
63,0,-531,-1716,1388,-35,-3412,-3920
64,0,-1223,-2043,1665,-33,-3416,-3924
65,0,-1790,-2143,1810,-11,-3333,-3941
66,0,-2185,-2136,1793,33,-3175,-3939
67,0,-2189,-2046,1565,90,-2965,-3928
68,0,-1695,-1898,1182,144,-2740,-3926
69,0,-835,-1720,641,190,-2520,-3933
70,0,387,-1588,45,228,-2318,-3945
71,0,1597,-1430,-737,267,-2161,-3939
72,0,2709,-1158,-1408,288,-2076,-3932
73,0,3400,-1145,-1526,284,-2075,-3962
74,0,3584,-1223,-1134,242,-2280,-4014
75,0,2960,-1314,-676,217,-2463,-4041
76,0,2165,-1496,40,185,-2662,-4056
77,0,1214,-1513,377,143,-2859,-4086
78,0,260,-1620,429,83,-3053,-4151
79,0,-671,-1689,108,17,-3247,-4203
80,0,-1437,-1885,-276,-46,-3440,-4255
81,0,-2155,-1864,-682,-71,-3623,-4280
82,0,-2722,-1656,-1228,-94,-3771,-4313
83,0,-3083,-1430,-1861,-106,-3894,-4313
84,0,-3325,-1256,-2386,-101,-3993,-4293
85,0,-3532,-1133,-2848,-108,-4069,-4286
86,0,-3670,-1051,-3314,-129,-4126,-4295
87,0,-3731,-971,-3796,-161,-4174,-4328
88,0,-3784,-926,-4128,-188,-4227,-4361
89,0,-3808,-879,-4330,-213,-4278,-4394
90,0,-3808,-832,-4497,-239,-4330,-4424
91,0,-3810,-797,-4623,-265,-4379,-4455
92,0,-3789,-747,-4750,-316,-4478,-4514
93,0,-3764,-731,-4795,-343,-4528,-4544
94,0,-3740,-699,-4823,-368,-4577,-4574
95,0,-3712,-679,-4814,-394,-4628,-4605
96,0,-3685,-663,-4809,-420,-4678,-4633
97,0,-3647,-649,-4794,-446,-4726,-4663
98,0,-3617,-635,-4764,-472,-4773,-4693
99,0,-3585,-616,-4753,-498,-4819,-4721
100,0,-3553,-600,-4724,-523,-4866,-4751
101,0,-3523,-589,-4700,-549,-4913,-4780
102,0,-3489,-577,-4672,-574,-4959,-4810
103,0,-3460,-563,-4653,-601,-5005,-4840
104,0,-3425,-558,-4619,-627,-5051,-4868
105,0,-3388,-544,-4579,-653,-5097,-4897
106,0,-3358,-534,-4564,-678,-5143,-4926
107,0,-3321,-522,-4534,-704,-5187,-4954
108,0,-3297,-504,-4509,-731,-5231,-4983
109,0,-3261,-497,-4486,-759,-5276,-5012
110,0,-3230,-487,-4469,-785,-5320,-5041
111,1,3473,-461,-1680,-834,-4407,-5364
112,1,4258,-391,-1734,-829,-4481,-5371
113,1,4139,-261,-986,-827,-4665,-5403
114,1,3402,-201,189,-836,-4890,-5461
115,1,2345,-239,860,-865,-5125,-5519
116,1,1262,-475,1872,-915,-5345,-5603
117,1,401,-907,3007,-949,-5473,-5663
118,1,-315,-902,3435,-919,-5442,-5636
119,1,-1002,-1112,3676,-885,-5289,-5588
120,1,-1586,-1337,3548,-824,-5037,-5541
121,1,-1496,-1232,2959,-744,-4739,-5476
122,1,-555,-913,1983,-683,-4444,-5439
123,1,808,-715,736,-634,-4184,-5440
