Unnamed: 0,0,1,2,3,4,5,6
457,2,1780,2354,-4200,-2379,-2804,3537
458,2,2284,2117,-3627,-2596,-2645,3344
459,2,3095,1625,-2857,-2784,-2509,3106
460,2,3609,1091,-2083,-2901,-2440,2859
461,2,3979,108,-890,-2928,-2410,2566
462,2,3501,-568,-237,-2840,-2436,2283
463,2,2265,-1503,-781,-2647,-2609,2107
464,2,1919,-2314,-622,-2525,-2752,2009
465,2,2077,-3137,-508,-2561,-2707,1883
466,2,2024,-3696,-154,-2561,-2691,1847
467,2,1801,-4113,-92,-2586,-2649,1816
468,2,1037,-4200,131,-2679,-2518,1945
469,2,1038,-3921,-554,-2795,-2341,2378
470,2,2035,-3342,-987,-2861,-2320,2608
471,2,2841,-2176,-874,-2736,-2418,2814
472,2,3249,-394,-832,-2501,-2513,3101
473,2,3309,200,-1021,-2401,-2553,3264
474,2,2958,774,-1598,-2360,-2564,3309
475,2,2428,1086,-2475,-2362,-2557,3342
476,2,2058,1244,-3041,-2350,-2560,3369
477,2,1822,1218,-3498,-2325,-2578,3364
478,2,1600,1087,-3873,-2267,-2630,3334
479,2,1254,1054,-3917,-2170,-2732,3275
480,2,728,765,-3942,-2040,-2877,3174
481,2,-330,454,-3898,-1833,-3085,3105
482,2,-1748,32,-3892,-1618,-3318,3006
483,2,-2598,-595,-4305,-1473,-3484,2924
484,2,-3192,-1349,-4514,-1415,-3581,2881
485,2,-3462,-2027,-4830,-1429,-3632,2830
486,2,-3653,-2570,-4966,-1432,-3693,2813
487,2,-3809,-2827,-5032,-1416,-3752,2811
488,2,-3905,-2967,-5027,-1400,-3803,2807
489,2,-3918,-3138,-5144,-1392,-3853,2798
490,2,-3929,-3197,-5125,-1376,-3911,2784
491,2,-3938,-3212,-5099,-1366,-3969,2768
492,2,-3928,-3232,-5132,-1359,-4025,2747
493,2,-3895,-3248,-5143,-1353,-4081,2725
494,2,-3874,-3256,-5136,-1345,-4137,2703
495,2,-3845,-3256,-5132,-1336,-4193,2685
496,2,-3812,-3257,-5131,-1325,-4247,2668
497,2,-3779,-3229,-5098,-1315,-4301,2652
498,2,-3734,-3191,-5083,-1305,-4355,2635
499,2,-3704,-3166,-5076,-1297,-4407,2620
500,2,-3669,-3154,-5065,-1287,-4462,2602
501,2,-3622,-3131,-5048,-1278,-4515,2585
502,2,-3575,-3089,-5017,-1269,-4568,2568
503,2,-3533,-3075,-5006,-1261,-4623,2548
504,2,-3486,-3051,-4998,-1253,-4678,2527
505,2,-3453,-3033,-4978,-1244,-4732,2509
506,2,-3414,-3001,-4962,-1235,-4784,2491
507,2,-3377,-2977,-4944,-1228,-4836,2475
508,2,-3344,-2950,-4912,-1219,-4887,2458
509,2,-3294,-2921,-4890,-1213,-4939,2439
510,3,2126,-869,-1978,-2744,-4470,2454
511,3,3695,-1469,-1352,-2899,-4345,2180
512,3,4083,-2122,-1155,-2861,-4381,1808
513,3,2907,-2432,-1448,-2644,-4656,1538
514,3,2848,-2694,-588,-2483,-4883,1419
515,3,3091,-3448,-136,-2539,-4820,1310
516,3,3207,-3869,235,-2521,-4775,1291
517,3,2981,-4089,398,-2536,-4669,1335
518,3,2601,-4262,186,-2576,-4499,1597
519,3,3115,-3434,-345,-2605,-4388,1933
