,0,1,2,3,4,5,6
0,0,-4808,-1188,-6803,-369,-3348,-1192
1,0,-4757,-1173,-6772,-377,-3410,-1209
2,0,-4699,-1160,-6743,-385,-3471,-1226
3,0,-4646,-1155,-6706,-393,-3532,-1245
4,0,-4600,-1133,-6688,-400,-3592,-1262
5,0,-4555,-1126,-6660,-409,-3654,-1280
6,0,-4511,-1103,-6633,-419,-3717,-1300
7,0,-4458,-1089,-6607,-427,-3780,-1319
8,0,-4411,-1068,-6584,-436,-3841,-1337
9,1,3087,-2052,-2350,-303,-3709,-3579
10,1,5204,-1806,-3596,-237,-3527,-3673
11,1,6873,-1616,-4281,-188,-3446,-3718
12,1,7919,-1566,-4386,-145,-3401,-3728
13,1,8707,-1390,-4500,-130,-3396,-3726
14,1,9081,-1340,-4433,-209,-3516,-3731
15,1,8625,-1550,-3973,-373,-3782,-3710
16,1,7370,-1997,-3186,-609,-4165,-3708
17,1,5373,-2562,-2221,-859,-4589,-3699
18,1,3372,-2987,-1619,-1048,-4941,-3683
19,1,1654,-3051,-975,-1189,-5240,-3639
20,1,546,-3070,-639,-1258,-5388,-3610
21,1,-219,-2783,-832,-1243,-5412,-3585
22,1,-797,-2475,-1170,-1260,-5434,-3613
23,1,-1178,-2169,-1526,-1263,-5446,-3644
24,1,-1420,-1971,-1694,-1270,-5469,-3673
25,1,-1599,-1854,-1771,-1280,-5489,-3695
26,1,-1804,-1864,-1612,-1286,-5495,-3726
27,1,-2070,-2109,-950,-1253,-5409,-3767
28,1,-2558,-2579,24,-1123,-5114,-3847
29,1,-2562,-2656,362,-888,-4650,-3922
30,1,-1573,-2503,-50,-664,-4162,-4011
31,1,76,-2237,-850,-468,-3722,-4089
32,1,2190,-1963,-1902,-306,-3362,-4177
33,1,4462,-1541,-3107,-170,-3096,-4285
34,1,6219,-1011,-3851,-72,-2945,-4323
35,1,7286,-789,-4131,-12,-2849,-4340
36,1,8219,-520,-4528,29,-2780,-4353
37,1,8919,-272,-4785,-11,-2836,-4368
38,1,9005,-353,-4442,-114,-3001,-4367
39,1,8493,-755,-3770,-294,-3282,-4375
40,1,7232,-1246,-3162,-533,-3664,-4387
41,1,5199,-1976,-2219,-815,-4110,-4429
42,1,3048,-2508,-1421,-1031,-4480,-4438
