,0,1,2,3,4,5,6
0,1,-7352,403,-4143,309,-5213,9812
1,1,-8907,592,-6556,-297,-4875,10098
2,1,-10138,-104,-6184,-1271,-4511,10321
3,1,-10152,-2938,-2748,-2491,-4123,10058
4,1,-8190,-6711,-572,-3061,-3697,9829
5,1,-5950,-8438,-490,-3078,-3402,9691
6,1,-3052,-9289,-2323,-2882,-3148,9672
7,1,476,-9777,-4846,-2668,-3005,9641
8,1,3768,-9230,-6621,-2410,-3063,9698
9,1,5701,-7397,-7660,-2048,-3274,9879
10,1,6237,-4605,-7911,-1688,-3508,10171
11,1,6126,-2266,-6436,-1705,-3651,10342
12,1,5687,-1182,-4165,-2175,-3597,10303
13,1,4300,-1505,-820,-2732,-3276,10332
14,1,2872,-3915,2018,-3244,-2747,10347
15,1,2479,-7827,2821,-3472,-2239,10304
16,1,2210,-9846,1909,-3326,-1925,10340
17,1,2751,-10855,-740,-3047,-1702,10436
18,1,4175,-11190,-3553,-2688,-1624,10592
19,1,5661,-10441,-5598,-2337,-1748,10761
20,1,6746,-8614,-6343,-1978,-1984,10973
21,1,7064,-5746,-6389,-1638,-2198,11261
22,1,7011,-3279,-5633,-1563,-2266,11484
23,1,6558,-1609,-3828,-1779,-2216,11585
24,1,5223,-1533,-795,-2371,-2005,11469
25,1,2342,-7009,2929,-3316,-1125,11268
26,1,1652,-9639,2396,-3337,-770,11292
27,1,1626,-11001,790,-3146,-512,11440
28,1,2734,-11958,-1420,-2928,-361,11586
29,1,4250,-11944,-3503,-2648,-394,11701
30,1,5505,-11140,-5063,-2334,-602,11805
31,1,6068,-8526,-5536,-1948,-933,11970
32,1,5966,-4959,-5176,-1760,-1150,12096
33,1,5901,-2914,-3528,-1962,-1079,12121
34,1,4793,-2031,-1020,-2367,-842,12118
35,1,2972,-3489,1592,-2992,-433,11927
36,1,1806,-7195,2684,-3409,61,11859
37,1,1458,-10027,2217,-3383,419,12059
38,1,1779,-11549,868,-3128,680,12492
39,1,3142,-12604,-1254,-2968,808,12686
40,1,4455,-11984,-2943,-2678,727,12891
41,1,5556,-10152,-3893,-2426,548,13008
42,1,6218,-7486,-4015,-2250,395,13110
43,1,5992,-4793,-3153,-2290,367,13132
44,1,5162,-3883,-1494,-2626,512,12998
45,1,3836,-3745,1412,-3039,839,12973
46,1,2159,-5948,3711,-3559,1322,12851
47,1,1043,-9479,3818,-3784,1725,12894
48,1,558,-11425,2510,-3673,1916,13119
49,1,1262,-12245,569,-3438,1991,13434
50,1,2578,-12251,-1418,-3175,1948,13685
51,1,3948,-11203,-2851,-2864,1807,13946
52,1,4800,-9294,-3655,-2570,1637,14181
53,1,5114,-6847,-3739,-2358,1499,14365
54,1,4877,-4386,-2912,-2393,1457,14334
55,1,3754,-3200,-399,-2779,1575,14040
56,1,2301,-3806,2851,-3261,1900,13860
57,1,766,-5262,4846,-3667,2336,13861
58,1,-346,-7889,5222,-4012,2765,13883
59,1,-966,-9974,4725,-4100,3062,14078
60,1,-823,-11228,3390,-4062,3258,14341
61,1,-293,-12159,1518,-3953,3326,14566
62,1,232,-11945,-119,-3673,3170,14763
63,1,655,-10503,-1315,-3272,2800,14830
64,1,574,-8296,-1307,-2819,2314,14821
65,1,-162,-6098,-883,-2270,1736,14835
66,1,-1907,-3481,37,-1668,1103,14850
67,1,-3840,-1893,970,-1227,526,14701
68,1,-5260,-1941,1453,-893,50,14538
69,1,-5989,-2397,1265,-611,-293,14478
70,1,-6513,-3069,763,-402,-500,14489
71,1,-6591,-3935,381,-288,-584,14536
72,1,-6726,-4880,7,-256,-645,14499
73,1,-6794,-5576,-288,-189,-721,14488
74,1,-6731,-5973,-542,-113,-797,14491
75,1,-6738,-6226,-740,-43,-873,14484
76,1,-6725,-6454,-878,16,-943,14471
77,1,-6726,-6580,-946,71,-999,14470
78,1,-6661,-6720,-1046,124,-1054,14467
79,1,-6632,-6847,-1126,182,-1118,14458
80,1,-6605,-6888,-1103,253,-1186,14463
81,1,-6533,-6837,-1105,328,-1254,14472
82,1,-6489,-6833,-1139,398,-1325,14470
83,1,-6414,-6842,-1108,466,-1395,14468
84,1,-6360,-6854,-1085,535,-1469,14462
85,1,-6302,-6830,-1089,611,-1543,14463
86,1,-6248,-6789,-1072,687,-1612,14474
87,1,-6191,-6774,-1062,755,-1682,14472
88,1,-6139,-6813,-1086,821,-1749,14469
89,1,-6085,-6821,-1064,893,-1819,14473
90,1,-6032,-6811,-1048,967,-1889,14478
91,1,-5964,-6804,-1061,1038,-1959,14479
92,1,-5905,-6791,-1072,1113,-2030,14483
93,1,-5854,-6782,-1063,1186,-2101,14486
94,1,-5805,-6768,-1044,1256,-2170,14486
95,1,-5755,-6762,-1038,1327,-2240,14489
96,1,-5703,-6751,-1040,1397,-2308,14492
97,1,-5637,-6756,-1031,1467,-2377,14492
98,1,-5586,-6751,-1032,1538,-2444,14497
99,2,-6369,459,-750,5779,-6218,14977
100,2,-7987,750,-3142,5258,-5709,15003
101,2,-9027,9,-3216,4591,-5108,14983
102,2,-8718,-2240,-309,3682,-4505,14643
103,2,-7091,-6150,1329,2962,-4044,14283
104,2,-4914,-9183,1076,2688,-3770,14189
105,2,-2006,-11703,-794,2640,-3689,14111
106,2,1492,-12136,-3375,2920,-3820,14233
107,2,4411,-9944,-5019,3389,-4059,14591
108,2,5782,-6450,-4520,3790,-4250,14977
109,2,5618,-2895,-1319,3703,-4193,14996
110,2,4742,-3087,2022,3161,-3771,14871
111,2,3068,-5840,4249,2528,-3328,14618
112,2,2195,-9465,4359,2292,-3106,14503
113,2,2397,-11286,2823,2329,-2968,14643
114,2,3896,-12720,-140,2428,-2945,14742
115,2,5866,-12037,-2800,2763,-3125,14981
116,2,7243,-9505,-4072,3130,-3363,15240
117,2,7796,-6208,-3547,3367,-3464,15526
118,2,7311,-3702,-1436,3304,-3368,15598
119,2,5706,-2793,2047,2914,-3047,15496
120,2,3868,-3716,4957,2370,-2561,15412
121,2,2112,-6076,6891,1824,-2074,15308
122,2,796,-8698,7456,1461,-1708,15285
123,2,596,-10921,6454,1277,-1516,15260
124,2,1280,-12431,4399,1282,-1461,15333
125,2,2982,-12962,1974,1444,-1539,15490
126,2,5054,-11948,-238,1716,-1731,15671
127,2,6737,-9414,-1674,1986,-29502,15879
128,2,7150,-6405,-1567,2129,-29430,16026
129,2,6500,-4279,-116,1993,-29518,15903
130,2,5120,-3678,2818,1597,-29850,15768
131,2,3090,-4861,5518,1066,-1089,15664
132,2,1442,-7998,6737,575,-677,15506
133,2,333,-10168,6481,353,-414,15574
134,2,360,-11902,5103,222,-31205,15737
135,2,1616,-13358,2884,229,-31242,15866
136,2,3265,-13292,1125,426,-31129,16140
137,2,4945,-11820,-136,687,-30926,16330
138,2,5939,-9252,-546,906,-30774,16503
139,2,6210,-6534,-11,994,-30746,16607
140,2,5758,-4206,1509,872,-30875,16552
141,2,4570,-3437,4003,503,-31210,16426
142,2,2910,-4296,5956,5,31174,16302
143,2,1263,-7491,6911,-489,30767,16112
144,2,471,-10205,6679,-668,30584,16169
145,2,298,-11460,4899,-698,30516,16379
146,2,1170,-13014,2313,-667,30518,16625
147,2,2614,-13161,239,-457,30685,16930
148,2,4074,-11711,-1039,-141,30939,17215
149,2,5129,-9016,-1531,145,31139,17483
150,2,5410,-5961,-1202,301,31201,17637
151,2,5160,-3410,458,242,31083,17609
152,2,3707,-1947,3213,-43,30789,17459
153,2,1441,-2668,6047,-527,30375,17226
154,2,-599,-5512,7828,-1040,29918,17163
155,2,-1379,-9211,7843,-1357,29634,17259
156,2,-1572,-10937,6859,-1440,29555,17538
157,2,-493,-11871,5141,-1433,29582,17820
158,2,1291,-12043,3056,-1335,29699,17994
159,2,3222,-11028,1428,-1162,29848,18146
160,2,5459,-6791,1773,-1065,29823,18300
161,2,4253,-6168,4100,-1271,29596,18205
162,2,3172,-7744,4687,-1479,29450,18056
163,2,3137,-8695,3868,-1521,29426,18177
164,2,3543,-8569,3202,-1374,29557,18302
165,2,3724,-8274,2857,-1006,29870,18339
166,2,1876,-6514,3339,-289,30458,18437
167,2,-1047,-3455,3823,579,31219,18482
168,2,-3862,-1490,3848,1289,-30957,18457
169,2,-5223,-1154,3743,1641,-30572,18264
170,2,-5380,-2070,3602,1750,-30481,18301
171,2,-5662,-3007,3200,1824,-30403,18300
172,2,-5877,-3865,2797,1891,-30327,18281
173,2,-6031,-4586,2586,1950,-30263,18269
174,2,-6136,-5018,2451,2027,-30187,18279
175,2,-6216,-5303,2360,2103,-30113,18294
176,2,-6233,-5541,2267,2177,-30038,18306
177,2,-6223,-5733,2203,2253,-29960,18309
178,2,-6203,-5868,2144,2329,-29884,18318
179,2,-6170,-5965,2087,2396,-29813,18318
180,2,-6132,-6052,2051,2464,-29741,18314
181,2,-6091,-6126,2022,2531,-29669,18309
182,2,-6025,-6181,1990,2598,-29599,18304
183,2,-5999,-6228,1954,2664,-29527,18299
184,2,-5953,-6260,1937,2729,-29457,18294
185,2,-5912,-6319,1928,2791,-29391,18292
186,2,-5847,-6322,1926,2858,-29325,18310
187,2,-5793,-6346,1914,2924,-29255,18310
188,2,-5744,-6332,1916,2990,-29185,18311
189,2,-5698,-6315,1905,3056,-29117,18316
190,2,-5585,-6348,1894,3187,-28979,18317
191,2,-5522,-6336,1887,3254,-28909,18319
192,2,-5477,-6301,1885,3318,-28841,18320
193,2,-5424,-6295,1887,3380,-28774,18316
194,2,-5359,-6326,1885,3439,-28710,18311
195,2,-5320,-6307,1878,3503,-28643,18311
196,2,-5269,-6295,1877,3564,-28577,18307
197,2,-5215,-6286,1860,3624,-28513,18307
198,2,-5168,-6265,1861,3686,-28448,18308
199,2,-5123,-6256,1853,3745,-28384,18307
200,3,-4177,713,3196,5904,-25785,17612
201,3,-3499,2284,762,5464,-26174,17419
202,3,-4302,2802,-91,4988,-26666,17277
203,3,-5035,155,1618,4459,-27134,16759
204,3,-4258,-3670,3025,4029,-27484,16373
205,3,-2856,-7006,2797,3774,-27696,16224
206,3,-1033,-9637,1634,3643,-27806,16252
207,3,1394,-11751,-434,3687,-27742,16266
208,3,4194,-11448,-2446,3974,-27447,16410
209,3,6360,-9130,-3058,4242,-27193,16701
210,3,7188,-6376,-2613,4382,-27098,16953
211,3,6717,-3856,-413,4290,-27230,16926
212,3,5420,-2989,3061,3924,-27617,16840
213,3,3530,-4328,5512,3403,-28113,16618
214,3,1968,-7657,7441,2964,-28522,16511
215,3,796,-9869,8314,2663,-28797,16605
216,3,1895,-13168,5246,2326,-29042,16612
217,3,3634,-13423,2439,2424,-28898,16781
218,3,5704,-11286,-149,2707,-28606,16774
219,3,6693,-8049,-817,2825,-28517,16825
220,3,6963,-5717,435,2762,-28617,16861
221,3,6141,-4419,3105,2538,-28873,16723
222,3,5070,-4783,5281,2141,-29278,16574
223,3,3578,-5545,6881,1686,-29727,16475
224,3,1806,-8123,8041,1277,-30120,16340
225,3,879,-10831,8236,1057,-30314,16339
226,3,744,-11842,7270,944,-30386,16439
227,3,1481,-12784,5365,891,-30395,16522
228,3,2873,-13076,3478,934,-30314,16590
229,3,4762,-12322,1146,1117,-30136,16498
230,3,6388,-10351,162,1250,-29991,16600
231,3,7182,-8356,349,1305,-29929,16740
232,3,7548,-6875,800,1302,-29942,16811
233,3,7653,-5258,1344,1227,-30031,16859
234,3,6802,-3220,2463,1018,-30254,16942
235,3,4464,-2186,4681,640,-30665,16857
236,3,2056,-4822,7330,125,-31194,16633
237,3,577,-8909,7893,-284,31253,16593
238,3,42,-11492,7138,-454,31138,16675
239,3,622,-12315,4927,-463,31201,16788
240,3,2016,-12712,2385,-411,31336,16954
241,3,3683,-12033,227,-295,-31300,17158
242,3,5091,-10524,-916,-148,-31120,17326
243,3,5789,-7957,-700,5,-30996,17384
244,3,5619,-5066,563,-40,-31094,17413
245,3,5005,-4479,2615,-255,-31400,17167
246,3,3617,-5607,5070,-599,31035,16926
247,3,1981,-7677,6655,-1006,30635,16847
248,3,921,-11116,6793,-1275,30398,16818
249,3,-209,-12293,6407,-1437,30348,17054
250,3,264,-13528,4569,-1507,30410,17257
251,3,1636,-13932,2489,-1481,30561,17461
252,3,3235,-13123,632,-1387,30759,17696
253,3,4762,-10830,-474,-1241,30947,17885
254,3,5424,-7933,-285,-1146,31011,17985
255,3,4955,-5658,738,-1091,30967,17898
256,3,4052,-4521,2903,-1179,30765,17673
257,3,2863,-4463,5781,-1519,30401,17631
258,3,1650,-5141,8177,-1976,29974,17675
259,3,475,-7124,9148,-2416,29580,17659
260,3,-111,-9967,8697,-2750,29355,17755
261,3,-100,-11676,7437,-2967,29335,18046
262,3,752,-12208,5735,-3092,29427,18364
263,3,1999,-12080,3687,-3110,29576,18598
264,3,3188,-11265,2087,-3017,29761,18753
265,3,4449,-9350,841,-2883,29911,18868
266,3,5392,-6195,638,-2833,29958,19025
267,3,5269,-4130,1822,-2915,29772,19021
268,3,4236,-3902,4562,-3132,29449,18923
269,3,2965,-5766,5839,-3436,29149,18848
