,0,1,2,3,4,5,6
0,1,5763,2779,-1941,7898,-10564,13295
1,1,7972,2080,-1283,6878,-10207,13160
2,1,9026,1624,-319,6295,-10174,12943
3,1,8224,1737,498,6027,-10433,12615
4,1,6935,1951,1463,6135,-10721,12426
5,1,6691,2444,2251,6188,-10817,12321
6,1,6869,2255,2928,5957,-10712,12282
7,1,6978,2251,3477,5803,-10631,12246
8,1,6958,2272,3891,5614,-10534,12207
9,1,6957,2112,4126,5431,-10407,12192
10,1,6846,2088,4082,5451,-10237,12299
11,1,6774,2186,3668,5666,-10022,12570
12,1,7004,2335,2956,6138,-9819,13024
13,1,7681,2294,1831,6814,-9685,13547
14,1,8506,2281,496,7187,-9619,13807
15,1,9294,2427,-1101,7493,-9623,13924
16,1,9800,3034,-2651,7723,-9641,13989
17,1,9703,3096,-3592,7874,-9619,14116
18,1,9133,2868,-4383,7973,-9611,14233
19,1,8502,2439,-5001,8061,-9571,14367
20,1,8253,2308,-5361,8111,-9516,14472
21,1,8644,2820,-5701,8058,-9379,14581
22,1,9309,3120,-5837,7687,-9105,14616
23,1,10190,2752,-5239,6680,-8780,14320
24,1,10474,2277,-3533,5878,-8650,14072
25,1,9930,1528,-1845,5156,-8767,13689
26,1,7893,1290,-414,4949,-9108,13431
27,1,6959,1484,995,5040,-9319,13342
28,1,6671,1143,2046,4800,-9232,13266
29,1,6646,962,3143,4590,-9153,13195
30,1,6541,827,3737,4363,-9078,13101
31,1,6340,709,4121,4137,-8981,13026
32,1,6072,464,4117,4012,-8802,13037
33,1,6180,435,3880,4125,-8577,13189
34,1,6746,584,3496,4567,-8357,13515
35,1,7581,789,2861,4953,-8211,13779
36,1,8092,1119,1529,5606,-8121,14145
37,1,8584,1217,153,6215,-8116,14460
38,1,9099,1724,-1397,6723,-8148,14706
39,1,9207,2168,-2532,7037,-8143,14895
40,1,8882,1978,-3529,7067,-8114,14940
41,1,8409,1510,-4407,7079,-8072,14988
42,1,7911,1199,-5020,7163,-8027,15086
43,1,7947,1388,-5273,7221,-7965,15179
44,1,8555,2092,-5379,6889,-7756,15126
45,1,9465,1823,-4928,5732,-7435,14706
46,1,9870,1848,-3581,4801,-7230,14422
47,1,9688,1021,-1898,3704,-7253,13948
48,1,7743,569,-739,3231,-7564,13595
49,1,6449,597,800,3297,-7862,13478
