,0,1,2,3,4,5,6
0,1,-5243,1585,-7533,138,-2708,972
1,1,-5182,1585,-7521,146,-2775,995
2,1,-5128,1576,-7504,153,-2840,1016
3,1,-5067,1548,-7497,159,-2906,1039
4,1,-5013,1532,-7477,166,-2972,1058
5,1,-4958,1505,-7459,172,-3038,1082
6,1,-4979,1510,-7415,176,-3106,1103
7,1,-5151,1856,-7225,147,-3186,1078
8,1,-6165,2669,-6831,-90,-3308,878
9,1,-7056,2943,-6201,-469,-3365,746
10,1,-5411,2917,-6285,-626,-3242,707
11,1,-3091,3241,-6739,-606,-3124,691
12,1,-2709,3760,-6121,-579,-3139,599
13,1,-2450,3998,-5513,-592,-3172,588
14,1,-2171,3872,-5023,-631,-3201,601
15,1,-2374,3926,-3791,-674,-3263,640
16,1,-3257,3897,-1325,-741,-3291,552
17,1,-4454,4128,247,-728,-3034,330
18,1,-5663,4503,-361,-665,-2462,169
19,1,-4892,4068,-2273,-682,-1834,128
20,1,-2789,3132,-4478,-725,-1385,-89
21,1,3018,1814,-8988,-602,-909,-241
22,1,4905,1570,-8952,-563,-825,-177
23,1,5992,1347,-9103,-564,-754,-118
24,1,6864,1053,-9455,-591,-717,-69
25,1,7512,599,-9426,-628,-725,8
26,1,7731,20,-9396,-641,-833,108
27,1,7107,-175,-9004,-600,-1146,158
28,1,5440,54,-7966,-530,-1693,232
29,1,2850,784,-6724,-422,-2375,412
30,1,98,1488,-4706,-340,-3011,518
31,1,-1751,2058,-3191,-268,-3354,739
32,1,-2415,2510,-2694,-228,-3441,893
33,1,-2750,2590,-2908,-225,-3455,996
34,1,-3240,2630,-2638,-234,-3464,1011
35,1,-3712,2942,-2078,-246,-3395,975
36,1,-4179,3192,-1341,-291,-3194,933
37,1,-4580,3251,-733,-356,-2818,876
38,1,-4057,3308,-690,-431,-2335,857
39,1,-2653,2936,-1308,-533,-1883,783
40,1,-1366,2465,-2836,-611,-1474,691
41,1,-80,1586,-4783,-648,-1142,568
42,1,2287,914,-6756,-605,-922,484
43,1,4802,901,-7558,-542,-802,528
44,1,6185,882,-7714,-530,-684,535
45,1,6917,770,-8112,-550,-575,543
46,1,7478,539,-8479,-576,-507,538
47,1,8062,350,-8875,-600,-474,563
48,1,8351,168,-9357,-636,-519,640
49,1,8027,-30,-9263,-663,-784,722
50,1,6449,-98,-8385,-658,-1295,808
51,1,4072,201,-6696,-615,-1928,934
52,1,1570,452,-4929,-567,-2443,995
53,1,-345,956,-3508,-525,-2760,1127
54,1,-1536,1140,-2500,-496,-2897,1233
55,1,-1831,1517,-2634,-467,-2966,1325
56,1,-2335,1638,-2675,-452,-3041,1391
57,1,-2865,1761,-2573,-440,-3101,1440
58,1,-3193,1908,-2033,-441,-3121,1455
59,1,-3829,2182,-954,-458,-2997,1434
