,0,1,2,3,4,5,6
0,1,928,4126,-4658,-1671,-1270,299
1,1,2657,3051,-6274,-1768,-1004,366
2,1,3644,3818,-5740,-1668,-833,541
3,1,3414,4588,-4162,-1540,-987,591
4,1,2843,4837,-2452,-1472,-1400,608
5,1,2167,5552,-400,-1399,-1653,716
6,1,1764,5514,321,-1328,-1675,587
7,1,1132,5553,370,-1272,-1527,677
8,1,828,5117,-1105,-1357,-1157,676
9,1,953,4190,-2869,-1521,-706,756
10,1,2665,3523,-4892,-1638,-358,859
11,1,3753,3265,-5058,-1623,-281,933
12,1,4308,3234,-4497,-1560,-420,930
13,1,4107,3516,-3787,-1489,-735,928
14,1,3258,3661,-2600,-1417,-1120,1004
15,1,2335,4402,-458,-1338,-1437,1054
16,1,1507,4227,484,-1301,-1538,978
17,1,750,4000,579,-1240,-1503,1048
18,1,135,4015,-457,-1267,-1229,1129
19,1,-29,3679,-1646,-1407,-774,1139
20,1,1093,2862,-3621,-1561,-296,1254
21,1,3181,2390,-5204,-1605,-48,1357
22,1,3995,2747,-4994,-1558,-30,1446
23,1,4464,3078,-4124,-1503,-217,1418
24,1,4051,3230,-3308,-1462,-551,1450
25,1,3352,3233,-2152,-1404,-901,1461
26,1,2408,3617,-174,-1332,-1187,1496
27,1,1708,3985,586,-1244,-1247,1440
28,1,1039,3581,542,-1193,-1148,1432
29,1,602,2930,28,-1184,-871,1406
30,1,186,2824,-901,-1244,-464,1451
31,1,1018,2049,-3004,-1354,50,1599
32,1,3144,1652,-5463,-1399,340,1714
33,1,3866,1901,-4564,-1369,329,1728
34,1,4366,2015,-4127,-1327,199,1744
35,1,4213,2338,-3484,-1274,-130,1770
36,1,3453,2510,-2438,-1249,-490,1807
37,1,2661,2992,-431,-1198,-799,1879
38,1,2050,3184,370,-1150,-933,1813
39,1,1083,2980,703,-1093,-979,1765
40,1,395,2817,790,-1046,-868,1846
41,1,173,2582,-465,-1083,-501,1842
42,1,476,2104,-1784,-1182,-32,1878
43,1,1821,1612,-3888,-1293,381,2036
44,1,3644,1660,-5205,-1265,541,2092
45,1,4157,2170,-4594,-1180,482,2226
46,1,4014,2276,-3710,-1096,185,2217
47,1,3336,2695,-2818,-1016,-166,2264
48,1,2394,3095,-1236,-924,-478,2351
49,1,1882,3594,-304,-830,-655,2284
50,1,890,3405,155,-738,-738,2232
51,1,457,3402,100,-641,-705,2279
52,1,27,3262,-149,-633,-509,2318
53,1,-297,2569,-1340,-769,-137,2342
54,1,237,1737,-2608,-931,292,2419
55,1,1719,1450,-4437,-1024,595,2586
56,1,3275,1808,-4987,-984,647,2691
57,1,3699,2327,-3955,-930,459,2773
58,1,3358,2693,-3054,-871,180,2788
59,1,2713,2764,-2007,-815,-101,2813
60,1,2064,3208,-869,-740,-338,2766
61,1,1330,3247,207,-672,-468,2698
62,1,626,3201,438,-616,-453,2634
63,1,322,2702,-357,-652,-228,2651
64,1,239,1740,-1401,-725,140,2589
65,1,1179,1249,-2469,-786,536,2700
66,1,2937,1116,-3995,-798,798,2822
67,1,3770,1642,-3530,-792,802,2966
68,1,3988,1704,-2863,-756,633,2965
69,1,3692,1741,-2358,-701,369,2935
70,1,3092,1921,-1368,-628,97,2953
71,1,2538,2267,-401,-554,-103,2937
72,1,1632,2106,150,-507,-190,2917
73,1,958,1939,73,-460,-166,2959
74,1,492,1942,-261,-466,-12,3029
75,1,413,1935,-1125,-572,310,3085
76,1,1088,1511,-2480,-686,666,3170
77,1,2358,1662,-3623,-750,851,3313
78,1,3096,2102,-3216,-747,842,3380
79,1,3431,2259,-2510,-740,711,3318
80,1,3126,2234,-1839,-753,507,3320
81,1,2446,2023,-999,-753,337,3331
82,1,1981,2223,-191,-694,205,3318
83,1,1782,2206,59,-630,134,3273
84,1,1222,2019,550,-589,89,3214
85,1,660,1799,482,-574,205,3230
86,1,757,1322,-693,-632,536,3221
87,1,1259,921,-2050,-727,886,3232
88,1,2307,785,-3135,-787,1156,3322
89,1,2858,765,-3366,-765,1256,3469
90,1,3099,1018,-3011,-641,1116,3556
91,1,2782,1157,-2435,-426,792,3525
92,1,2193,1077,-2046,-158,428,3557
93,1,1067,1019,-2527,206,109,3768
94,1,-987,1102,-3376,657,-207,4058
95,1,-3913,1422,-4329,1110,-542,4476
96,1,-5227,1107,-4746,1430,-826,4755
97,1,-5608,293,-5048,1502,-961,4840
98,1,-5829,-577,-5381,1550,-1039,4881
99,1,-6067,-1173,-5719,1601,-1129,4890
100,1,-6140,-1701,-6053,1639,-1203,4899
101,1,-6215,-2082,-6305,1674,-1278,4921
102,1,-6250,-2376,-6455,1712,-1353,4916
103,1,-6259,-2655,-6592,1748,-1424,4909
104,1,-6250,-2830,-6720,1783,-1493,4906
105,1,-6226,-2976,-6785,1818,-1566,4901
106,1,-6182,-3079,-6813,1851,-1636,4910
107,1,-6140,-3165,-6857,1886,-1705,4913
108,1,-6101,-3225,-6890,1919,-1774,4922
109,1,-6050,-3259,-6874,1956,-1846,4928
110,1,-5991,-3283,-6871,1991,-1917,4934
111,1,-5946,-3283,-6866,2026,-1986,4940
112,1,-5883,-3302,-6867,2060,-2056,4944
113,1,-5830,-3313,-6868,2093,-2125,4945
114,1,-5772,-3327,-6852,2126,-2195,4949
115,1,-5717,-3315,-6833,2162,-2266,4953
116,1,-5672,-3312,-6830,2197,-2336,4957
117,1,-5611,-3307,-6825,2230,-2404,4960
118,1,-5567,-3296,-6800,2264,-2473,4965
119,1,-5511,-3278,-6772,2297,-2541,4966
120,1,-5473,-3247,-6769,2332,-2609,4964
121,1,-5411,-3251,-6753,2364,-2678,4957
122,1,-5311,-3217,-6745,2398,-2745,4951
123,1,-5319,-3213,-6768,2428,-2809,4954
124,1,-5248,-3185,-6736,2460,-2876,4974
125,1,-5200,-3188,-6660,2494,-2942,4967
126,1,-5182,-3193,-6609,2530,-3005,4970
127,2,-2735,3170,-4527,2238,-4877,4956
128,2,-2259,3316,-5664,1840,-4558,4770
129,2,-1199,1238,-7141,1442,-4114,4667
130,2,2178,-113,-7730,1258,-3726,4592
131,2,4162,536,-6334,1453,-3644,4895
132,2,4675,1890,-4910,1598,-3874,5059
133,2,5033,2371,-2865,1680,-4244,5028
134,2,5149,2382,-625,1728,-4484,4930
135,2,4664,2670,964,1716,-4520,4710
136,2,4403,2234,216,1664,-4312,4593
137,2,3843,908,-714,1572,-3947,4500
138,2,4453,436,-2570,1491,-3501,4652
139,2,6001,537,-3833,1460,-3218,4808
140,2,6798,879,-3857,1486,-3200,4896
141,2,6945,1019,-2993,1596,-3445,4944
142,2,6754,1694,-1709,1734,-3774,4959
143,2,6344,2564,-148,1797,-4005,4947
144,2,5296,2458,1287,1761,-4094,4840
145,2,4577,2277,1380,1738,-4013,4751
146,2,4163,1473,221,1659,-3718,4617
147,2,3952,715,-996,1536,-3297,4520
