,0,1,2,3,4,5,6
0,1,7586,8866,-1385,-255,-8082,-3552
1,1,6873,9852,-970,117,-8257,-3503
2,1,5712,9995,-870,302,-8478,-3483
3,1,4553,9795,-1067,347,-8649,-3541
4,1,3396,10127,-1195,324,-8751,-3547
5,1,2680,10967,-916,118,-8734,-3403
6,1,2618,10647,-15,-307,-8575,-3102
7,1,2777,9508,733,-710,-8274,-2960
8,1,3181,8655,801,-879,-7898,-2935
9,1,3682,7774,450,-998,-7554,-3090
10,1,4160,7258,-158,-986,-7266,-3312
11,1,4906,7027,-880,-911,-7030,-3570
12,1,5739,7392,-1901,-721,-6842,-3807
13,1,6491,8184,-2797,-455,-6767,-3984
14,1,6744,9349,-2677,-119,-6823,-4042
15,1,6836,10408,-1773,192,-6954,-3963
16,1,6561,11057,-682,315,-7135,-3810
17,1,6125,10804,225,161,-7289,-3664
18,1,5871,10336,1242,-115,-7299,-3568
19,1,5831,9597,1776,-325,-7114,-3511
20,1,5731,8978,1668,-420,-6839,-3508
21,1,5658,8496,1306,-483,-6569,-3616
22,1,5718,8049,799,-489,-6299,-3776
23,1,5840,7869,-153,-433,-6051,-3968
24,1,6138,8100,-1422,-298,-5851,-4141
25,1,6623,8458,-2435,-101,-5748,-4279
26,1,7000,9312,-2816,225,-5718,-4309
27,1,7007,10350,-2637,548,-5761,-4211
28,1,6587,10993,-1905,769,-5889,-4097
29,1,5976,11376,-783,819,-6042,-3970
30,1,5488,11164,224,691,-6087,-3831
31,1,5114,10482,930,490,-5973,-3768
32,1,4982,9829,1145,339,-5762,-3773
33,1,4870,9217,1006,230,-5519,-3862
34,1,4748,8528,676,208,-5275,-3996
35,1,4755,8095,301,262,-5017,-4158
36,1,4947,8020,-345,387,-4756,-4307
37,1,5300,8247,-1401,557,-4537,-4440
38,1,5756,8540,-2262,772,-4392,-4552
39,1,6040,9310,-2799,1068,-4314,-4568
40,1,6134,10315,-2843,1351,-4343,-4491
41,1,5837,11168,-2341,1542,-4477,-4353
42,1,5280,11662,-1384,1558,-4683,-4191
43,1,4759,11320,-376,1387,-4816,-4082
44,1,4359,9946,665,1196,-4685,-4121
45,1,4238,9953,415,1153,-4494,-4055
46,1,4233,9501,418,1071,-4262,-4139
47,1,4292,8965,202,1076,-4000,-4251
48,1,4201,8708,-270,1152,-3720,-4442
49,1,4084,8768,-1323,1309,-3464,-4603
50,1,4220,9065,-2602,1533,-3271,-4716
51,1,4342,9694,-3228,1831,-3170,-4737
52,1,4498,10711,-3267,2165,-3149,-4629
53,1,4318,11613,-2835,2422,-3222,-4457
54,1,3832,11983,-1973,2505,-3378,-4301
55,1,3381,11773,-1298,2440,-3477,-4179
56,1,3007,11191,-708,2305,-3492,-4148
57,1,2635,10602,22,2218,-3334,-4141
58,1,2464,10365,-54,2216,-3075,-4154
59,1,2597,10325,-222,2216,-2806,-4226
60,1,2781,9851,-351,2227,-2545,-4359
61,1,2755,9314,-464,2292,-2288,-4511
62,1,2827,8969,-752,2417,-2035,-4669
63,1,3059,9057,-1545,2596,-1790,-4786
64,1,3368,9386,-2777,2808,-1616,-4860
