,0,1,2,3,4,5,6
0,1,7622,-2436,-8918,142,4547,-177
1,1,7539,-2381,-8879,148,4660,-200
2,1,7453,-2386,-8831,158,4772,-233
3,1,7366,-2370,-8794,165,4883,-259
4,1,7291,-2339,-8742,173,4993,-285
5,1,7209,-2308,-8702,184,5103,-313
6,1,7127,-2297,-8655,193,5213,-343
7,1,7049,-2278,-8612,204,5322,-373
8,1,6972,-2277,-8562,214,5431,-403
9,1,6897,-2249,-8522,223,5539,-430
10,1,6820,-2230,-8467,234,5646,-460
11,1,6747,-2202,-8426,246,5754,-488
12,1,6671,-2182,-8381,257,5860,-519
13,1,6606,-2174,-8334,269,5967,-551
14,1,6537,-2158,-8289,283,6073,-582
15,1,6463,-2135,-8248,295,6177,-611
16,1,6399,-2123,-8189,308,6282,-640
17,1,6325,-2095,-8137,320,6386,-670
18,1,6257,-2081,-8078,336,6490,-701
19,1,6198,-2066,-8023,351,6593,-731
20,1,6131,-2038,-7977,367,6696,-764
21,1,6064,-2029,-7921,384,6796,-794
22,1,6000,-2015,-7881,399,6898,-827
23,1,5922,-1999,-7819,416,6999,-857
24,1,5868,-1990,-7765,432,7099,-888
25,1,5803,-1979,-7711,449,7200,-922
26,1,5749,-1970,-7659,468,7299,-955
27,1,5681,-1965,-7595,486,7396,-988
28,1,5565,-1945,-7470,524,7591,-1056
29,1,5511,-1933,-7408,543,7686,-1090
30,1,5450,-1915,-7349,562,7782,-1122
31,1,5404,-1888,-7295,584,7876,-1155
32,2,6469,431,855,3159,10481,-3071
33,2,6268,1428,2835,3230,10464,-2838
34,2,6115,1682,2942,3421,10583,-2913
35,2,6089,1015,1669,3660,10736,-3175
36,2,6800,-608,-362,3622,10871,-3492
37,2,7385,-1712,-2178,3246,10958,-3587
38,2,7665,-1326,-1965,3195,10963,-3490
39,2,7727,-82,-560,3254,10926,-3002
40,2,7546,1129,2253,3369,10866,-2630
41,2,7171,1475,3373,3413,10851,-2501
42,2,6692,1808,4039,3631,10939,-2620
43,2,6664,1104,2594,3888,11080,-2904
44,2,7244,-507,501,3937,11229,-3242
45,2,7673,-1701,-1499,3628,11330,-3387
46,2,8008,-1398,-1493,3660,11353,-3278
47,2,7711,-477,-989,3639,11319,-2771
48,2,7179,201,329,3646,11237,-2360
49,2,6601,-23,1201,3586,11150,-2222
50,2,6699,1121,3185,3636,11107,-2097
51,2,6114,1974,4007,3883,11151,-2015
52,2,5658,1629,3898,4110,11281,-2254
53,2,5554,620,2391,4389,11444,-2536
54,2,6336,-718,90,4299,11618,-2904
55,2,6979,-1562,-1174,4095,11706,-3329
56,2,7468,-1994,-1434,3950,11718,-3385
57,2,7356,-905,-674,3777,11656,-2637
58,2,6729,5,-54,3768,11574,-1887
59,2,6138,225,175,3673,11514,-1225
60,2,5515,416,177,3588,11479,-573
61,2,5042,233,-334,3796,11452,-225
62,2,4743,-407,-1164,3771,11483,15
63,2,4426,-847,-1963,3614,11547,209
64,2,4169,-1356,-2478,3479,11599,206
65,2,3969,-2038,-2630,3468,11649,129
66,2,3821,-2394,-3052,3498,11709,84
67,2,3729,-2507,-3400,3538,11773,57
68,2,3617,-2568,-3527,3587,11833,-27
69,2,3587,-2705,-3604,3633,11888,-153
70,2,3550,-2774,-3690,3694,11946,-236
71,2,3513,-2797,-3725,3743,12003,-297
72,2,3494,-2803,-3757,3778,12061,-355
73,2,3472,-2820,-3760,3818,12118,-429
74,2,3454,-2813,-3745,3868,12173,-498
75,2,3424,-2801,-3733,3923,12228,-570
76,2,3412,-2787,-3708,3980,12282,-644
77,2,3397,-2778,-3688,4046,12335,-721
78,2,3374,-2768,-3662,4105,12387,-800
79,2,3360,-2764,-3628,4163,12438,-883
80,2,3348,-2746,-3592,4221,12490,-960
81,2,3332,-2728,-3552,4281,12540,-1039
82,2,3302,-2718,-3508,4346,12589,-1125
83,2,3294,-2711,-3476,4418,12637,-1214
84,2,3277,-2699,-3440,4489,12686,-1305
85,2,3276,-2701,-3404,4560,12732,-1399
86,2,3265,-2684,-3362,4631,12779,-1486
87,2,3245,-2676,-3338,4711,12824,-1586
88,2,3225,-2667,-3309,4787,12869,-1689
89,2,3213,-2665,-3291,4866,12914,-1788
90,3,6138,134,3356,8614,13863,-5721
91,3,6050,872,5924,8735,13848,-5196
92,3,6500,74,4628,9204,13919,-6002
93,3,6979,-1540,2313,9344,13946,-7000
94,3,7332,-2256,789,9325,13962,-7343
95,3,7595,-2272,351,9040,13938,-6851
96,3,7035,-1201,1660,8730,13922,-5499
97,3,6667,354,4732,8309,13835,-4088
98,3,6408,1147,6449,8140,13760,-3753
99,3,6107,1095,6339,8443,13782,-4171
100,3,6266,28,5267,9049,13858,-4889
101,3,6803,-1290,3257,9288,13928,-5755
102,3,7200,-2394,1206,9161,13963,-6285
103,3,7493,-2117,630,9090,13980,-5857
104,3,7392,-1462,1480,8700,13937,-4786
105,3,7050,-222,4185,8363,13837,-3768
106,3,6881,365,6245,8103,13728,-3308
107,3,6554,651,7011,8274,13722,-3462
108,3,6489,74,5891,8731,13791,-4093
109,3,6968,-1219,4060,9087,13873,-4979
110,3,7323,-2494,1788,8952,13912,-5757
111,3,7587,-2503,1017,8813,13923,-5857
112,3,7765,-2213,1092,8477,13880,-5178
113,3,6956,-1518,1476,8064,13812,-4041
114,3,5802,-1007,1979,7684,13683,-2942
115,3,4925,-711,2421,7359,13541,-1922
116,3,4346,-561,2110,6905,13461,-1074
117,3,4104,-636,1476,6438,13448,-386
118,3,3803,-886,626,5983,13472,260
119,3,3566,-1293,-184,6077,13512,517
120,3,3384,-1819,-856,6132,13548,396
121,3,3249,-2343,-1311,6243,13587,157
122,3,3156,-2746,-1719,6352,13628,-74
123,3,3104,-2931,-1986,6387,13673,-230
124,3,3061,-3007,-2158,6428,13716,-351
125,3,3033,-3089,-2300,6508,13756,-507
126,3,2997,-3156,-2389,6601,13796,-671
127,3,2980,-3187,-2458,6681,13834,-830
128,3,2952,-3194,-2503,6870,13908,-1163
129,3,2943,-3213,-2521,6978,13945,-1347
130,3,2927,-3208,-2510,7068,13980,-1524
131,3,2931,-3185,-2503,7155,14014,-1708
132,3,2921,-3171,-2483,7260,14048,-1901
