,0,1,2,3,4,5,6
0,1,7639,-2100,-8075,500,4414,-1342
1,1,7544,-2079,-8034,519,4520,-1374
2,1,7465,-2064,-7981,540,4626,-1405
3,1,7382,-2031,-7957,562,4734,-1435
4,1,7318,-2015,-7914,579,4839,-1467
5,1,7246,-1999,-7873,597,4944,-1500
6,1,7168,-1971,-7820,618,5048,-1534
7,1,7087,-1929,-7775,640,5154,-1569
8,1,7018,-1912,-7736,663,5257,-1604
9,1,6952,-1884,-7689,688,5360,-1641
10,1,6877,-1860,-7629,715,5463,-1678
11,1,6809,-1843,-7589,741,5565,-1714
12,1,6743,-1828,-7540,766,5666,-1751
13,1,6676,-1810,-7484,793,5766,-1786
14,1,6602,-1790,-7441,819,5867,-1823
15,1,6538,-1778,-7398,845,5966,-1859
16,1,6479,-1762,-7334,873,6065,-1897
17,1,6408,-1733,-7295,904,6164,-1933
18,1,6339,-1718,-7248,932,6261,-1971
19,1,6285,-1719,-7193,964,6357,-2010
20,1,6214,-1708,-7128,998,6452,-2050
21,1,6151,-1684,-7087,1029,6549,-2087
22,1,6090,-1680,-7047,1061,6644,-2129
23,1,6032,-1667,-6991,1091,6738,-2167
24,1,5966,-1656,-6940,1122,6832,-2204
25,1,5905,-1645,-6887,1154,6925,-2243
26,1,5846,-1626,-6833,1189,7017,-2284
27,1,5784,-1622,-6782,1221,7108,-2326
28,1,5738,-1604,-6726,1255,7198,-2367
29,1,5689,-1568,-6677,1289,7288,-2406
30,2,7198,4237,-1879,3099,10067,-7770
31,2,7886,6261,-282,2721,9866,-7760
32,2,8409,5832,144,2775,9688,-8124
33,2,8677,3991,-521,3216,9807,-8330
34,2,8267,3037,-1177,3652,10066,-8247
35,2,8373,2532,-830,3508,10066,-8300
36,2,8699,1721,-767,3425,9977,-8520
37,2,8876,810,-864,3565,10057,-8409
38,2,8875,2225,-710,3599,10426,-7627
39,2,8830,5354,1353,3701,10829,-6912
40,2,8819,6817,2192,4157,11081,-7049
41,2,8814,6127,2060,5071,11267,-7731
42,2,8794,4581,2003,6081,11456,-8278
43,2,8733,2807,793,6919,11745,-8368
44,2,8661,2692,-868,7552,12062,-8146
45,2,8662,1890,-1131,7738,12121,-8297
46,2,8710,1643,-1871,7421,12002,-8540
