,0,1,2,3,4,5,6
0,1,7498,-2845,-8380,303,4384,-1082
1,1,7415,-2811,-8327,320,4492,-1124
2,1,7341,-2788,-8284,338,4598,-1166
3,1,7266,-2757,-8242,358,4705,-1209
4,1,7189,-2730,-8193,377,4810,-1252
5,1,7123,-2709,-8159,398,4915,-1294
6,1,7036,-2678,-8126,420,5020,-1335
7,1,6962,-2662,-8065,438,5123,-1374
8,1,6896,-2618,-8029,463,5225,-1418
9,1,6815,-2614,-7981,487,5328,-1463
10,1,6745,-2604,-7933,511,5429,-1512
11,1,6684,-2581,-7908,534,5532,-1557
12,1,6603,-2586,-7880,555,5634,-1598
13,1,6540,-2545,-7803,583,5734,-1636
14,1,6472,-2508,-7772,603,5835,-1675
15,1,6389,-2498,-7702,625,5934,-1719
16,1,6322,-2475,-7663,658,6031,-1772
17,1,6249,-2466,-7631,687,6129,-1822
18,1,6177,-2463,-7570,711,6227,-1866
19,1,6111,-2441,-7528,738,6324,-1910
20,1,6059,-2412,-7462,762,6422,-1953
21,1,5993,-2424,-7407,795,6517,-2003
22,1,5946,-2347,-7377,816,6613,-2043
23,1,5878,-2347,-7287,843,6706,-2094
24,1,5829,-2298,-7258,874,6799,-2142
25,1,5779,-2278,-7181,907,6890,-2194
26,1,5701,-2273,-7142,936,6983,-2244
27,1,5650,-2241,-7070,967,7075,-2289
28,1,5601,-2199,-7025,999,7166,-2335
29,1,5543,-2185,-6969,1033,7255,-2384
30,1,5491,-2180,-6921,1068,7344,-2435
31,1,5427,-2145,-6849,1101,7433,-2480
32,1,5374,-2145,-6769,1136,7521,-2531
33,1,5332,-2105,-6736,1163,7610,-2575
34,2,7085,-1187,3611,3576,10412,-5382
35,2,7626,-1561,3312,3767,10532,-5604
36,2,8011,-1903,2376,3849,10655,-5781
37,2,8291,-2251,1004,3854,10753,-5942
38,2,8506,-2512,-163,3840,10807,-6033
39,2,8677,-2627,-713,3821,10810,-6007
40,2,8815,-2589,-862,3771,10778,-5799
41,2,8439,-2290,4,3778,10722,-5505
42,2,7324,-1860,809,3726,10640,-5154
43,2,6271,-1576,2184,3711,10548,-4849
44,2,5821,-1244,3729,3684,10493,-4721
45,2,5472,-990,4029,3652,10518,-4756
46,2,5371,-904,3846,3705,10593,-4960
47,2,5717,-1042,3530,3805,10690,-5228
48,2,6505,-1286,2965,3937,10799,-5483
49,2,7654,-1887,1163,4049,10988,-5837
50,2,8017,-2211,297,4103,11036,-5932
51,2,8297,-2343,219,4096,11032,-5891
52,2,8507,-2112,349,4069,11017,-5676
53,2,8344,-1846,987,4076,10982,-5435
54,2,7679,-1796,1562,4102,10918,-5246
55,2,7177,-1578,2576,4036,10858,-5064
56,2,6740,-1273,3808,3995,10833,-4939
57,2,6358,-1066,4375,3992,10856,-4973
58,2,6304,-1062,4223,4065,10928,-5140
59,2,6843,-1096,3468,4148,11025,-5369
60,2,7401,-1323,3390,4346,11117,-5613
61,2,7805,-1671,3203,4510,11203,-5799
62,2,8092,-2046,2229,4587,11291,-5979
63,2,8305,-2395,1145,4612,11352,-6125
64,2,8472,-2534,692,4611,11371,-6154
65,2,8602,-2472,854,4585,11357,-6044
66,2,8704,-2253,1433,4544,11332,-5844
67,2,8786,-1956,1891,4467,11296,-5615
68,2,8625,-1786,2255,4446,11254,-5425
69,2,8264,-1810,2491,4428,11205,-5279
70,2,7823,-1688,3332,4424,11167,-5122
71,2,7331,-1336,4445,4393,11145,-5016
72,2,7060,-1260,4662,4422,11168,-5093
73,2,7130,-1317,4528,4506,11232,-5271
74,2,7505,-1486,4232,4637,11316,-5483
75,2,7861,-1805,3597,4736,11407,-5707
76,2,8119,-1925,3159,4782,11489,-5871
77,2,8307,-2106,2284,4874,11555,-6035
78,2,8448,-2465,1265,4953,11593,-6175
79,2,8559,-2568,983,4941,11598,-6158
80,2,8650,-2436,1225,4868,11576,-5983
81,2,8722,-2111,1653,4779,11543,-5745
82,2,8715,-1880,2056,4759,11503,-5500
83,2,8254,-1758,2611,4755,11450,-5286
84,2,7949,-1647,3739,4733,11399,-5144
85,2,7650,-1449,4668,4720,11377,-5079
86,2,7388,-1342,4842,4756,11399,-5159
87,2,7483,-1565,4831,4877,11447,-5368
88,2,7838,-1853,4527,5090,11531,-5582
89,2,8086,-2120,4002,5271,11627,-5762
90,2,8262,-2470,3370,5375,11723,-5914
91,2,8391,-2846,2367,5436,11794,-6061
92,2,8486,-2932,1530,5493,11844,-6137
93,2,8567,-2908,1236,5509,11849,-6094
94,2,8635,-2853,1214,5427,11824,-5927
95,2,8693,-2688,1528,5346,11777,-5727
96,2,8701,-2276,2100,5232,11722,-5459
97,2,8225,-2002,2779,5139,11657,-5209
98,2,7847,-1826,3934,5100,11599,-5049
99,2,7493,-1602,4843,5052,11569,-4978
100,2,7233,-1569,4951,5088,11588,-5067
101,2,7443,-1732,4993,5226,11637,-5250
102,2,7775,-1873,4776,5388,11722,-5427
103,2,8026,-1948,4129,5476,11815,-5606
104,2,8205,-2067,3393,5626,11903,-5792
105,2,8339,-2344,2268,5708,11964,-5987
106,2,8444,-2726,1351,5732,11983,-6161
107,2,8534,-2925,1075,5685,11955,-6176
108,2,8609,-2910,1316,5607,11907,-6057
109,2,8674,-2756,1752,5464,11838,-5840
110,2,8564,-2459,2321,5325,11780,-5577
111,2,8182,-2156,2918,5201,11718,-5353
112,2,7774,-1891,3757,5131,11666,-5197
113,2,7371,-1676,4789,5131,11640,-5098
114,2,7163,-1495,5205,5154,11659,-5129
115,2,7196,-1493,5090,5265,11718,-5296
116,2,7524,-1613,4810,5448,11799,-5533
117,2,7837,-1757,4283,5639,11886,-5806
118,2,8063,-2200,3391,5841,11966,-6112
119,2,8229,-2703,2274,5915,12028,-6332
120,2,8354,-2995,1347,5919,12061,-6427
121,2,8456,-3086,966,5923,12055,-6388
122,2,8542,-3018,1142,5777,12011,-6190
123,2,8612,-2686,1738,5597,11955,-5882
124,2,8544,-2243,2263,5396,11900,-5530
125,2,8027,-1843,2951,5294,11840,-5212
126,2,7625,-1556,3770,5261,11789,-5000
127,2,7292,-1387,4008,5210,11763,-4897
128,2,7213,-1342,3865,5209,11765,-4959
129,2,7197,-1352,3527,5237,11786,-5041
130,2,7367,-1381,2844,5192,11807,-5182
131,2,7736,-1271,2768,5165,11812,-5361
132,2,7761,-1021,4285,5367,11816,-5414
133,2,7783,-813,4868,5468,11856,-5521
134,2,8026,-990,4724,5676,11935,-5758
135,2,8196,-1473,3757,5927,12026,-6016
136,2,8317,-2072,2407,6057,12101,-6267
137,2,8415,-2557,1334,6056,12129,-6437
138,2,8500,-2705,1036,5973,12106,-6423
139,2,8572,-2624,1160,5817,12058,-6267
140,2,8577,-2366,1462,5648,12002,-5958
141,2,7857,-1982,1866,5453,11938,-5515
142,2,6917,-1828,2033,5353,11858,-5158
143,2,6022,-1771,1711,5256,11774,-4919
144,2,5189,-1804,1317,5180,11692,-4696
145,2,4351,-1551,952,4988,11639,-4327
146,2,3932,-1633,408,4844,11609,-4060
147,2,3624,-1913,-160,4618,11624,-3865
148,2,3579,-2252,-1196,4669,11668,-3888
149,2,3526,-2587,-2080,4785,11725,-3960
150,2,3446,-2855,-2638,4875,11773,-4045
151,2,3369,-3010,-2960,4922,11813,-4155
152,2,3327,-3159,-3263,4964,11853,-4284
153,2,3273,-3281,-3463,5030,11894,-4426
154,2,3224,-3315,-3615,5093,11934,-4566
155,2,3188,-3357,-3725,5153,11972,-4720
156,2,3212,-3316,-3752,5180,12005,-4871
157,2,3205,-3255,-3762,5247,12042,-5012
158,2,3175,-3222,-3766,5329,12079,-5155
159,2,3166,-3166,-3772,5407,12117,-5294
160,2,3157,-3147,-3743,5479,12153,-5431
161,2,3152,-3100,-3724,5563,12187,-5573
162,2,3146,-3064,-3669,5643,12221,-5706
163,2,3126,-3003,-3597,5720,12254,-5841
164,2,3147,-2984,-3573,5791,12287,-5984
165,2,3159,-2938,-3545,5856,12318,-6126
166,2,3094,-2891,-3503,5919,12348,-6259
167,2,3079,-2865,-3452,6007,12375,-6402
168,2,3088,-2827,-3393,6093,12405,-6533
169,2,3063,-2774,-3337,6177,12434,-6662
