timestamp,packet_type,dancer_id,Ax,Ay,Az,Rx,Ry,Rz,start_flag,prediction,confidence
1635327763.063207,D,3,1342,4634,5788,1540,-10179,1655,S,,
1635327763.068861,D,3,85,3949,5048,1098,-9652,1574,N,,
1635327763.159466,D,3,827,3020,1968,955,-9110,1847,N,,
1635327763.3395867,D,3,2836,989,-1246,718,-8716,2113,N,,
1635327763.3840272,D,3,5075,-1091,-3347,651,-8563,2285,N,,
1635327763.4742587,D,3,6700,-2438,-4294,791,-8698,2208,N,,
1635327763.564546,D,3,6549,-1988,-3921,1233,-9093,2035,N,,
1635327763.654112,D,3,5382,572,-1713,1922,-9505,1867,N,,
1635327763.7890882,D,3,4481,2708,230,2374,-9765,1727,N,,
1635327763.8790934,D,3,4324,4195,1972,2531,-9876,1691,N,,
1635327763.969117,D,3,4129,4993,3095,2512,-9837,1749,N,,
1635327764.104122,D,3,3814,5681,4356,2305,-9636,1857,N,,
1635327764.1941326,D,3,2719,5880,4757,1868,-9263,1959,N,,
1635327764.3296103,D,3,2298,4738,2732,1445,-8831,2140,N,,
1635327764.5089927,D,3,3558,2605,-1,1034,-8473,2273,N,,
1635327764.5095308,D,3,5469,579,-1961,843,-8244,2434,N,,
1635327764.599116,D,3,7313,-1059,-3381,891,-8235,2431,N,,
1635327764.643897,D,3,7694,-1194,-3488,1189,-8496,2283,N,,
1635327764.7795947,D,3,6577,362,-1734,1652,-8893,2102,N,,
1635327764.8691206,D,3,5590,1381,-372,1995,-9157,2084,N,,
1635327764.959121,D,3,4857,2652,935,2258,-9352,2124,N,,
1635327765.13899,D,3,4177,3529,2309,2427,-9443,2137,N,,
1635327765.139496,D,3,3770,4060,3009,2407,-9387,2212,N,,
1635327765.319033,D,3,3409,4609,3561,2245,-9201,2310,N,,
1635327765.3640413,D,3,2582,4877,4030,1843,-8875,2323,N,,
1635327765.453919,D,3,2064,4023,3206,1459,-8462,2384,N,,
1635327765.6787825,D,3,2862,2968,1063,1150,-8067,2522,N,,
1635327765.768966,D,3,4605,1305,-932,847,-7784,2528,N,,
1635327765.770098,D,3,6195,-767,-2878,773,-7622,2570,N,,
1635327766.0389037,D,3,7447,-1484,-3697,924,-7702,2568,N,,
1635327766.0839496,D,3,7413,-1050,-3647,1265,-8020,2510,N,,
1635327766.0850203,D,3,6233,-7,-2092,1585,-8407,2373,N,,
1635327766.2191496,D,3,5105,1293,2,1915,-8693,2318,N,,
1635327766.2640972,D,3,4420,2493,1627,2157,-8840,2361,N,,
1635327766.3991334,D,3,4131,3339,2689,2219,-8838,2434,N,,
1635327766.4891431,D,3,3661,3641,3272,2116,-8713,2492,N,,
1635327766.5790372,D,3,3217,3952,3961,1892,-8481,2523,N,,
1635327766.7141461,D,3,2467,4156,3594,1622,-8107,2633,N,,
1635327766.7589023,D,3,2608,3134,1574,1304,-7699,2788,N,,
1635327766.8945415,D,3,4228,1453,-447,997,-7411,2848,N,,
1635327766.9845667,D,3,5735,116,-1737,860,-7266,2854,N,,
1635327767.0741458,D,3,6974,-899,-2689,895,-7263,2870,N,,
1635327767.1641312,D,3,7433,-879,-2829,1129,-7467,2836,N,,
1635327767.2990234,D,3,7112,-43,-1400,1407,-7760,2751,N,,
1635327767.4341562,D,3,6216,668,-524,1702,-7981,2749,N,,
1635327767.4790432,D,3,5365,2011,390,1955,-8159,2783,N,,
1635327767.614149,D,3,4629,3140,1561,2101,-8257,2825,N,,
1635327767.7040887,D,3,4165,3810,2315,2089,-8223,2885,N,,
1635327767.7490332,D,3,3661,4344,2998,1927,-8073,2909,N,,
1635327767.8840837,D,3,2667,4687,3648,1635,-7776,2922,N,,
1635327767.974021,D,3,2106,4062,2747,1341,-7378,2974,N,,
1635327768.064078,D,3,2595,2662,259,1063,-6986,3099,N,,
1635327768.154113,D,3,4417,840,-1799,805,-6726,3119,N,,
1635327768.2440782,D,3,6020,-777,-3325,714,-6617,3167,N,,
1635327768.3791468,D,3,7010,-1724,-3967,781,-6734,3110,N,,
1635327768.514048,D,3,6929,-1313,-3237,1029,-7041,3067,N,,
1635327768.6040714,D,3,5997,-492,-2115,1295,-7376,3031,N,,
1635327768.694116,D,3,4819,626,-312,1462,-7672,2999,N,,
1635327768.8291175,D,3,3790,894,842,1595,-7894,3012,N,,
1635327768.874112,D,3,2955,1026,1340,1734,-8024,3061,N,,
1635327769.0091088,D,3,2288,772,904,1899,-8101,3088,N,,
1635327769.0996165,D,3,1930,813,185,2114,-8190,3108,N,,
1635327769.1895938,D,3,1406,922,-412,2291,-8287,3091,N,,
1635327769.2790458,D,3,1098,961,-1079,2536,-8348,3188,N,,
1635327769.4141684,D,3,990,890,-1631,2705,-8394,3329,N,,
1635327769.5041013,D,3,700,742,-1990,2824,-8438,3403,N,,
1635327769.5941415,D,3,576,494,-2353,2940,-8450,3538,N,,
1635327769.684054,D,3,429,166,-2573,2961,-8473,3558,N,,
1635327769.7740717,D,3,330,-86,-2970,2946,-8504,3538,N,,
1635327769.864035,D,3,264,-307,-3226,2958,-8535,3533,N,,
1635327770.088929,D,3,179,-390,-3445,3017,-8594,3564,N,,
1635327770.179141,D,3,181,-439,-3519,3030,-8620,3575,N,,
1635327770.2691126,D,3,160,-484,-3580,3044,-8644,3586,N,,
1635327770.359037,D,3,174,-478,-3613,3055,-8670,3591,N,,
1635327770.449013,D,3,186,-472,-3650,3072,-8692,3608,N,,
1635327770.629134,D,3,186,-502,-3619,3093,-8715,3627,N,,
1635327770.673873,D,3,183,-544,-3630,3098,-8742,3626,N,,
1635327770.7645044,D,3,196,-549,-3614,3114,-8768,3639,N,,
1635327770.8541412,D,3,205,-518,-3611,3127,-8793,3650,N,,
1635327770.9441419,D,3,200,-570,-3613,3143,-8820,3657,N,dab,0.9632540339333256
1635327771.0790663,D,3,238,-508,-3600,3176,-8845,3679,N,,
1635327771.1689746,D,3,242,-515,-3595,3179,-8871,3682,N,,
1635327771.2590575,D,3,248,-575,-3604,3188,-8903,3682,N,,
1635327771.3490999,D,3,256,-574,-3584,3214,-8929,3695,N,,
1635327771.4395812,D,3,252,-551,-3561,3236,-8956,3703,N,,
1635327771.5741045,D,3,289,-571,-3555,3250,-8976,3719,N,,
1635327771.709131,D,3,292,-546,-3528,3276,-8998,3740,N,,
1635327771.7991352,D,3,311,-543,-3529,3294,-9018,3758,N,,
1635327771.8890162,D,3,314,-565,-3526,3305,-9044,3762,N,,
1635327771.9790378,D,3,323,-557,-3508,3322,-9071,3769,N,,
1635327772.1141474,D,3,352,-561,-3492,3340,-9098,3779,N,,
1635327776.0671985,D,3,-2568,1746,2069,2257,-9239,3451,S,,
1635327776.0742652,D,3,-3619,917,256,1981,-8709,3070,N,,
1635327776.209203,D,3,-1734,305,-1807,1991,-8176,3291,N,,
1635327776.3446136,D,3,1175,-1600,-3986,1804,-7849,3490,N,,
1635327776.3889463,D,3,3689,-2722,-5013,1803,-7821,3555,N,,
1635327776.4790933,D,3,4853,-2951,-5045,2038,-8083,3534,N,,
1635327776.5692017,D,3,4511,-1979,-3176,2505,-8534,3524,N,,
1635327776.704134,D,3,3746,-63,-868,2935,-8900,3485,N,,
1635327776.7942138,D,3,3222,1719,1118,3254,-9100,3576,N,,
1635327776.8840623,D,3,3241,3074,2836,3367,-9138,3645,N,,
1635327776.974211,D,3,2944,3900,4178,3204,-8998,3669,N,,
1635327777.0642042,D,3,1976,4584,5437,2792,-8659,3590,N,,
1635327777.1995702,D,3,962,3735,3645,2383,-8180,3548,N,,
1635327777.514062,D,3,1967,2137,833,2043,-7779,3614,N,,
1635327777.5151603,D,3,3597,38,-1751,1813,-7520,3658,N,,
1635327777.6946778,D,3,5611,-1610,-3328,1803,-7479,3702,N,,
1635327777.6957645,D,3,6283,-2139,-3664,2000,-7698,3668,N,,
1635327777.7841134,D,3,5798,-1460,-2644,2413,-8081,3669,N,,
1635327777.7845821,D,3,4404,58,-554,2830,-8462,3600,N,,
1635327777.8741949,D,3,3501,1897,1201,3142,-8682,3663,N,,
1635327777.9646244,D,3,3463,3206,2936,3238,-8720,3736,N,,
1635327778.0542037,D,3,2856,4256,4317,3065,-8562,3790,N,,
