,0,1,2,3,4,5,6
0,1,-4876,840,-7072,46,-3776,523
1,1,-4828,833,-7043,53,-3844,534
2,2,5022,1823,-4557,-1817,-8005,-781
3,2,5270,1085,-3929,-1829,-8152,-573
4,2,4768,779,-2640,-1702,-8362,-251
5,2,3639,1632,-1774,-1210,-8592,31
6,2,1450,2921,-825,-500,-8810,68
7,2,-543,4804,157,173,-8959,18
8,2,-1201,5934,717,116,-8981,215
9,2,-1678,7007,137,-402,-8908,790
10,2,-1547,7386,-1102,-1220,-8786,1470
11,2,-620,6824,-2092,-2010,-8633,2050
12,2,498,5278,-2577,-2637,-8466,2636
13,2,1728,1568,-1847,-3125,-8298,3126
14,2,3695,-1555,-1024,-3116,-8229,3058
15,2,5100,-1692,-1229,-2781,-8278,2660
16,2,5583,-738,-1719,-2312,-8387,2263
17,2,5433,912,-2114,-1699,-8531,1914
18,2,4020,2670,-2312,-1020,-8688,1565
19,2,2228,4186,-2520,-319,-8861,1285
20,2,721,5003,-2526,135,-9017,968
21,2,-421,5354,-1423,39,-9115,769
22,2,-2185,5675,25,-556,-9057,794
23,2,-3966,5723,954,-1279,-8819,840
24,2,-4252,5115,926,-1795,-8492,443
25,2,-3410,4401,-64,-1949,-8211,-318
26,2,-1135,3626,-2422,-1642,-7986,-678
27,2,2016,2829,-4453,-1499,-7898,-719
28,2,4679,1659,-5007,-1511,-7889,-685
29,2,6117,834,-4920,-1559,-7927,-624
30,2,6507,55,-4471,-1636,-8049,-469
31,2,6003,-276,-3488,-1500,-8240,-133
32,2,4545,616,-2510,-909,-8473,226
33,2,1910,2654,-1872,34,-8716,343
34,2,-833,5025,-846,897,-8901,258
35,2,-1163,6807,286,1106,-8919,567
36,2,-1710,7831,-416,635,-8790,1210
37,2,-1747,8217,-1595,-165,-8643,1932
38,2,-1305,7657,-2473,-996,-8472,2645
39,2,-207,5190,-2898,-1696,-8288,3335
40,2,1561,1250,-2306,-2120,-8144,3760
41,2,3892,-1249,-1228,-2119,-8052,3809
42,2,5450,-2183,-1053,-1935,-8030,3552
43,2,5978,-1928,-1396,-1593,-8099,3166
44,2,5803,-620,-2040,-1036,-8238,2705
45,2,4550,1395,-2736,-235,-8459,2235
46,2,2350,3538,-3088,663,-8701,1850
47,2,755,5952,-2837,1232,-8900,1543
48,2,-1041,6645,-1279,664,-8978,1266
49,2,-3279,7193,54,-266,-8838,1340
50,2,-3920,6620,245,-1142,-8592,995
51,2,-3384,4613,-393,-1472,-8353,-52
52,2,-2419,4022,-2239,-861,-8141,-653
53,2,870,3860,-4093,-506,-8030,-636
54,2,4051,3142,-4406,-555,-8012,-664
55,2,5859,2181,-4034,-567,-8012,-591
56,2,6524,1173,-3875,-672,-8066,-445
57,2,6062,96,-3358,-753,-8196,-128
58,2,5245,317,-3153,-280,-8418,388
59,2,2830,2121,-2541,605,-8701,553
60,2,-391,4529,-1786,1610,-8943,411
61,2,-1423,6124,-406,1916,-9060,387
62,2,-2015,6840,-144,1559,-9013,759
63,2,-2624,7835,-1287,881,-8869,1489
64,2,-2228,7992,-3150,-4,-8709,2237
65,2,-1366,6801,-4038,-898,-8585,2954
66,2,-360,2828,-3102,-1622,-8430,3535
67,2,1697,-706,-1699,-1785,-8324,3617
68,2,3957,-1615,-1386,-1632,-8306,3366
69,2,5188,-1868,-1416,-1344,-8347,3047
70,2,5614,-1195,-1734,-810,-8437,2649
71,2,4698,566,-2316,-36,-8582,2184
72,2,2851,2780,-2876,863,-8789,1713
73,2,769,4764,-3054,1573,-9021,1307
74,2,-222,5015,-2328,1787,-9160,1021
75,2,-835,5380,-1834,1699,-9166,1109
76,2,-2736,6269,-1027,907,-9109,1174
77,2,-4247,6242,-154,-235,-8920,1188
78,2,-3682,4988,-160,-1057,-8692,459
79,2,-3286,3450,-1213,-983,-8496,-702
80,2,-1337,3291,-3717,-183,-8286,-879
81,2,2157,2806,-5288,-54,-8235,-796
82,2,4323,1834,-5429,-171,-8283,-735
83,2,5080,987,-5191,-111,-8415,-460
84,2,4502,957,-4306,257,-8657,-125
85,2,2530,1977,-2662,1107,-8932,-13
86,2,-596,4278,-1418,2246,-9169,-189
87,2,-1923,6455,290,2958,-9302,-417
88,2,-2358,7574,539,2839,-9259,-94
89,2,-3918,8460,-737,2235,-9154,809
90,2,-4074,8082,-2228,1289,-9031,1785
91,2,-3050,6451,-2996,392,-8892,2655
92,2,-1366,3381,-2454,-251,-8717,3423
93,2,867,-830,-1461,-546,-8567,3708
94,2,3169,-2575,-1150,-394,-8564,3449
95,2,4310,-2164,-1210,2,-8662,3050
96,2,4897,-880,-1328,525,-8795,2625
97,2,4487,1053,-1618,1229,-8963,2135
98,2,3359,3182,-1822,2060,-9144,1657
99,2,1337,4397,-2006,2814,-9305,1285
100,2,238,4541,-2210,3240,-9424,1065
101,2,-143,3880,-2410,3285,-9489,1134
102,2,-378,3100,-2570,3262,-9526,1205
103,2,-632,2333,-2780,3154,-9564,1198
104,2,-810,1760,-3042,3125,-9594,1225
105,2,-894,1377,-3243,3106,-9625,1252
106,2,-914,1152,-3411,3126,-9658,1262
107,2,-941,1046,-3503,3170,-9696,1268
108,2,-980,974,-3534,3206,-9734,1278
109,2,-1010,919,-3543,3227,-9770,1296
110,2,-1017,851,-3553,3238,-9803,1320
111,2,-1016,772,-3576,3244,-9836,1340
112,2,-1011,700,-3601,3251,-9870,1359
113,2,-1007,648,-3602,3266,-9905,1376
114,2,-1006,612,-3585,3284,-9940,1392
115,2,-995,594,-3559,3308,-9975,1405
116,2,-979,602,-3544,3333,-10008,1423
117,2,-966,616,-3545,3357,-10042,1439
118,2,-953,611,-3535,3378,-10075,1461
119,2,-943,592,-3529,3394,-10108,1484
120,2,-935,569,-3513,3413,-10142,1500
121,2,-917,560,-3499,3434,-10174,1518
122,2,-911,552,-3490,3455,-10207,1533
123,2,-904,551,-3467,3479,-10239,1550
124,2,-891,525,-3460,3501,-10271,1569
125,2,-872,507,-3449,3526,-10303,1588
126,2,-875,503,-3407,3548,-10334,1602
127,2,-860,497,-3393,3569,-10365,1621
128,2,-843,495,-3400,3592,-10394,1641
129,2,-831,483,-3383,3613,-10427,1660
130,3,5037,1588,-2740,1281,-9952,-704
131,3,6728,604,-2319,1273,-9949,-582
132,3,7372,-141,-1912,1341,-9996,-363
133,3,7253,-365,-1546,1546,-10111,-61
134,3,6306,-159,-908,2062,-10288,215
135,3,4183,1331,-271,2992,-10497,289
136,3,1720,3342,476,3982,-10698,76
137,3,304,5181,1904,4396,-10795,30
138,3,-26,6140,2310,4084,-10712,539
139,3,-255,7202,1319,3410,-10523,1378
140,3,-54,7184,19,2600,-10300,2345
141,3,869,6212,-869,1887,-10071,3251
142,3,2295,4128,-1170,1345,-9849,4074
143,3,3704,877,-437,1055,-9646,4716
144,3,5545,-1971,526,1045,-9568,4742
145,3,6960,-2516,493,1208,-9601,4380
146,3,7137,-2076,-118,1563,-9719,3913
147,3,5811,1705,-1014,3046,-10135,2739
148,3,4079,3821,-1539,3941,-10311,2149
149,3,2378,5315,-1268,4568,-10499,1734
150,3,921,6021,-24,4364,-10603,1408
151,3,-1348,6076,1100,3567,-10477,1545
152,3,-2430,5967,1201,2495,-10217,1620
153,3,-1928,4661,1382,1524,-9979,1001
