,0,1,2,3,4,5,6
0,1,3958,102,-3004,-1918,-7012,1185
1,1,4836,-195,-2322,-1875,-7058,1138
2,1,4998,46,-1213,-1737,-7135,1133
3,1,4620,615,-259,-1620,-7205,1136
4,1,4175,979,1003,-1603,-7255,1112
5,1,3629,1087,2215,-1632,-7250,1075
6,1,3115,955,3147,-1682,-7175,1020
7,1,2855,839,3249,-1722,-7037,992
8,1,3028,538,2627,-1763,-6883,951
9,1,3643,237,1692,-1785,-6743,922
10,1,4352,-148,679,-1788,-6631,936
11,1,5167,-439,-245,-1800,-6558,977
12,1,5833,-678,-591,-1797,-6547,982
13,1,5969,-597,-383,-1734,-6578,997
14,1,5617,-282,1,-1633,-6623,1049
15,1,5068,189,688,-1535,-6680,1097
16,1,4412,665,1590,-1493,-6723,1103
17,1,3804,957,2542,-1495,-6716,1089
18,1,3257,1151,3139,-1530,-6646,1069
19,1,3050,1070,3059,-1585,-6526,1048
20,1,3076,890,2557,-1641,-6390,1020
21,1,3541,582,1784,-1688,-6251,1005
22,1,4250,249,960,-1721,-6129,1003
23,1,4971,-156,64,-1744,-6043,994
24,1,5581,-469,-526,-1737,-6007,999
25,1,5855,-564,-633,-1694,-6013,1010
26,1,5741,-319,-422,-1599,-6046,1049
27,1,5286,18,-48,-1503,-6103,1087
28,1,4656,516,683,-1420,-6160,1121
29,1,4013,1044,1671,-1376,-6189,1142
30,1,3401,1394,2595,-1397,-6165,1104
31,1,2883,1369,2874,-1455,-6074,1060
32,1,2739,1148,2548,-1509,-5948,1031
33,1,2932,875,1787,-1554,-5812,1029
34,1,3526,443,817,-1605,-5687,1034
35,1,4386,-46,-282,-1652,-5601,1013
36,1,5039,-259,-796,-1647,-5584,1001
37,1,5151,-244,-711,-1595,-5615,1009
38,1,4838,-202,-189,-1534,-5663,1037
39,1,4306,27,215,-1464,-5711,1077
40,1,3745,529,824,-1410,-5758,1116
41,1,3224,845,1876,-1431,-5773,1089
42,1,2668,901,2770,-1471,-5723,1038
43,1,2379,815,2800,-1496,-5604,1032
44,1,2469,648,2213,-1519,-5459,1035
45,1,2938,427,1254,-1545,-5322,1048
46,1,3627,55,33,-1577,-5218,1045
47,1,4464,-298,-1009,-1605,-5174,1035
48,1,4763,-429,-1306,-1589,-5193,1036
49,1,4645,-175,-939,-1518,-5256,1083
50,1,4133,246,-234,-1442,-5332,1143
51,1,3455,665,783,-1408,-5397,1170
52,1,2907,869,1662,-1406,-5414,1160
53,1,2445,1033,2293,-1413,-5370,1149
54,1,2060,978,2371,-1452,-5279,1124
55,1,2038,786,2042,-1494,-5160,1096
56,1,2430,618,1279,-1517,-5031,1096
57,1,3087,346,279,-1549,-4919,1101
58,1,3895,52,-593,-1579,-4843,1116
59,1,4473,-184,-1028,-1580,-4820,1122
60,1,4621,-209,-1047,-1538,-4848,1136
61,1,4367,-12,-712,-1459,-4909,1167
62,1,3744,347,-86,-1365,-4983,1206
63,1,3068,735,630,-1297,-5038,1233
64,1,2490,1124,1518,-1285,-5050,1225
65,1,1962,1345,2138,-1312,-4999,1190
66,1,1702,1282,2121,-1365,-4892,1179
67,1,1855,1037,1593,-1426,-4760,1174
68,1,2337,741,730,-1489,-4631,1173
69,1,3080,226,-351,-1548,-4529,1165
70,1,3950,-136,-1202,-1563,-4478,1173
71,1,4365,-221,-1382,-1529,-4494,1177
72,1,4143,-147,-1286,-1469,-4559,1195
73,1,3606,194,-823,-1381,-4640,1274
74,1,2882,656,147,-1337,-4729,1308
75,1,2189,937,1628,-1346,-4771,1270
76,1,1623,1093,2504,-1387,-4714,1226
77,1,1311,923,2488,-1436,-4597,1163
78,1,1423,661,1738,-1468,-4449,1142
79,1,1959,326,429,-1509,-4306,1147
80,1,2855,-197,-1121,-1561,-4204,1158
81,1,3708,-433,-1996,-1568,-4179,1192
82,1,4061,-454,-2022,-1516,-4224,1257
83,1,3505,-130,-1501,-1447,-4319,1336
84,1,2621,50,-947,-1422,-4434,1398
85,1,2046,390,-576,-1295,-4555,1512
86,1,1224,1010,-380,-1020,-4677,1640
87,1,139,1618,-979,-698,-4790,1810
88,1,-857,1866,-1649,-389,-4912,1972
89,1,-1643,1933,-2431,-138,-5017,2116
90,1,-2190,1679,-3150,-7,-5105,2163
91,1,-2626,1244,-3809,79,-5173,2194
92,1,-3103,491,-4871,148,-5281,2269
93,1,-3225,198,-5184,166,-5338,2295
94,1,-3314,-26,-5388,183,-5400,2310
95,1,-3372,-153,-5499,206,-5461,2321
96,1,-3415,-227,-5578,230,-5523,2331
97,1,-3439,-325,-5643,251,-5581,2342
98,1,-3438,-357,-5733,271,-5641,2361
99,1,-3430,-450,-5756,272,-5699,2371
100,1,-3410,-513,-5759,285,-5756,2381
101,1,-3384,-544,-5768,307,-5815,2385
102,1,-3362,-544,-5770,331,-5875,2393
103,1,-3334,-530,-5769,348,-5932,2405
104,1,-3299,-528,-5760,363,-5988,2417
105,1,-3270,-555,-5730,376,-6045,2426
106,1,-3240,-589,-5702,390,-6103,2435
107,1,-3208,-602,-5691,407,-6159,2445
108,1,-3166,-602,-5678,425,-6216,2456
109,1,-3129,-592,-5664,444,-6271,2467
110,1,-3094,-581,-5634,461,-6327,2480
111,1,-3059,-583,-5613,476,-6382,2490
112,1,-3024,-601,-5580,492,-6436,2501
113,1,-2989,-610,-5558,508,-6491,2508
114,1,-2950,-608,-5533,525,-6547,2517
115,1,-2921,-598,-5507,543,-6601,2526
