,0,1,2,3,4,5,6
0,1,-3056,-1927,3949,6867,-8685,5486
1,1,-3885,-1359,3238,6936,-8526,4602
2,1,-3113,-1440,1937,7049,-8486,3717
3,1,-1060,55,-167,7406,-8491,3101
4,1,2639,1854,-2571,7525,-8454,3165
5,1,4102,1282,-2779,7336,-8417,3605
6,1,4341,307,-2591,7192,-8457,4238
7,1,3539,-355,-958,7258,-8660,4892
8,1,2011,-406,1588,7499,-8963,5404
9,1,557,-319,2986,7771,-9251,5745
10,1,-169,-1245,4327,8067,-9515,5893
11,1,21,99,3551,8375,-9615,5940
12,1,-110,-197,1689,8213,-9578,5802
13,1,-160,-308,629,8167,-9573,5808
14,1,-126,-402,-34,8160,-9577,5844
15,1,-131,-608,-205,8175,-9597,5869
16,1,39,241,980,8096,-9522,5917
17,1,246,2587,1620,7772,-9227,5878
18,1,-931,5264,1182,7153,-8814,6029
19,1,-2955,6114,855,6241,-8222,6340
20,1,-3964,4202,-591,5321,-7606,6638
21,1,-4123,-650,-1936,4702,-7190,6907
22,1,-1590,-3971,-753,4574,-7040,6932
23,1,16,-5176,-461,4738,-7153,6693
24,1,2184,-4034,-664,5123,-7366,6599
25,1,4272,-2311,-586,5500,-7527,6618
26,1,5724,-456,273,5851,-7679,6705
27,1,6739,505,970,6076,-7773,6715
28,1,6928,1661,1602,6244,-7786,6842
29,1,6483,2323,1164,6361,-7795,6870
30,1,5972,2560,375,6371,-7770,6881
31,1,5468,3113,107,6349,-7752,6936
32,1,5162,3176,37,6232,-7692,6934
33,1,4855,3006,1528,6019,-7582,6862
34,1,4579,2591,3708,5724,-7383,6494
35,1,4275,2441,4075,5525,-7255,5796
36,1,3643,1500,3946,5535,-7316,4906
37,1,3301,289,3308,5747,-7517,4015
38,1,4014,537,1441,6210,-7753,3284
39,1,7655,2879,-658,6549,-7853,3204
40,1,7363,1740,-914,6227,-7704,3615
41,1,6836,16,-429,5829,-7459,4199
42,1,6319,-1280,294,5616,-7281,4843
43,1,5948,-2321,885,5552,-7229,5371
44,1,5450,-1253,2165,5800,-7393,5865
45,1,4321,-414,3523,6053,-7587,6091
46,1,3842,471,4610,6359,-7717,6322
47,1,3532,1688,3757,6380,-7710,6345
48,1,3484,2039,3644,6249,-7611,6268
49,1,3738,2816,3568,5969,-7350,6157
50,1,4318,5122,3542,5553,-6996,6107
51,1,3528,6164,3482,4908,-6486,6148
52,1,2123,5200,2347,4201,-5917,6211
53,1,-3,1691,535,3602,-5390,6291
54,1,460,-4105,-1478,3398,-5197,6291
55,1,2101,-5797,-1996,3602,-5333,6191
56,1,2579,-5806,-1394,3905,-5556,6102
57,1,3533,-5174,-1004,4222,-5788,6011
58,1,4203,-3823,-72,4666,-6132,5834
59,1,4094,-1275,171,5279,-6547,5689
60,1,3349,1479,966,5823,-6955,5622
61,1,3063,2406,1487,6160,-7140,5737
62,1,2893,3072,1244,6371,-7215,5852
63,1,2910,3514,1332,6331,-7196,5901
64,1,2664,3387,2403,6002,-7035,5898
65,1,1574,2450,4491,5546,-6674,5651
66,1,721,1592,4850,5252,-6306,5042
67,1,412,1087,3366,5276,-6205,4295
68,1,1143,174,2221,5533,-6291,3667
69,1,2421,829,335,5842,-6308,3218
70,1,5232,2270,-2319,5979,-6328,3177
71,1,6321,2125,-2414,5854,-6330,3346
72,1,6396,1113,-1790,5553,-6233,3674
73,1,5974,-230,-1642,5266,-6115,4117
74,1,5248,-1467,-1125,5160,-6145,4624
75,1,4373,-1352,571,5298,-6350,5054
76,1,2975,-547,2013,5522,-6649,5358
77,1,1898,-110,3081,5669,-6896,5572
78,1,2077,-123,3503,5746,-6963,5659
79,1,1656,66,2619,5713,-6930,5558
80,1,1343,787,2696,5688,-6842,5492
81,1,1332,2166,2939,5493,-6597,5439
82,1,1224,3611,2731,5091,-6212,5420
83,1,1112,4929,2223,4557,-5753,5473
84,1,303,3770,1185,3948,-5254,5612
85,1,-597,809,209,3433,-4818,5765
86,1,-578,-3368,-724,3082,-4546,5858
87,1,871,-6583,-1592,3147,-4563,5748
88,1,1275,-6917,-1748,3522,-4902,5525
89,1,1175,-5107,-1605,4068,-5358,5441
90,1,1076,-2449,-905,4667,-5823,5436
91,1,678,196,-97,5235,-6270,5507
92,1,446,2303,244,5655,-6611,5662
93,1,245,2745,578,5830,-6822,5799
94,1,417,2253,2157,5895,-6878,5832
95,1,104,1983,1150,5773,-6778,5770
96,1,-120,1700,1032,5675,-6677,5739
97,1,-506,1665,2322,5437,-6456,5605
98,1,-1272,773,3945,5129,-6109,5232
99,1,-1951,-91,4107,5025,-5863,4592
100,1,-1635,-234,3323,5110,-5769,3907
101,1,-856,-507,1411,5344,-5821,3213
102,1,1869,2040,-2109,5733,-5924,2985
103,1,4370,2349,-3230,5699,-5959,3124
104,1,5300,1139,-2495,5441,-5885,3417
105,1,5300,-377,-1554,5152,-5734,3828
106,1,4874,-1461,-994,4933,-5610,4283
107,1,4140,-1902,-209,4862,-5661,4751
108,1,3463,-1973,939,4990,-5870,5133
109,1,2027,-1049,2088,5270,-6208,5425
110,1,834,-464,2903,5534,-6515,5590
111,1,368,28,2213,5714,-6629,5709
112,1,-25,-171,602,5682,-6652,5581
113,1,-311,-133,-276,5767,-6714,5622
114,1,-523,-109,-756,5842,-6774,5659
115,1,-713,-168,-1231,5887,-6809,5698
116,1,-978,-386,-1946,5949,-6873,5747
117,1,-1021,-408,-2185,5991,-6918,5770
118,1,-1076,-387,-2359,6022,-6956,5798
119,1,-1141,-466,-2526,6045,-6990,5827
120,1,-1195,-517,-2634,6077,-7031,5846
121,1,-1249,-547,-2780,6109,-7070,5862
122,1,-1282,-588,-2859,6134,-7106,5879
123,1,-1329,-650,-2949,6161,-7141,5896
124,1,-1348,-685,-3007,6194,-7176,5912
125,1,-1357,-705,-3051,6227,-7207,5934
126,1,-1362,-729,-3075,6254,-7235,5953
127,1,-1378,-768,-3085,6278,-7262,5969
128,1,-1368,-756,-3071,6305,-7289,5984
129,1,-1366,-792,-3054,6316,-7312,5994
130,1,-1342,-817,-3035,6335,-7336,6005
131,1,-1317,-789,-3002,6358,-7358,6021
132,1,-1264,-774,-2926,6391,-7385,6041
133,1,-1267,-778,-2892,6410,-7402,6050
134,1,-1264,-828,-2866,6428,-7420,6063
135,1,-1238,-811,-2805,6447,-7438,6073
136,1,-1197,-809,-2762,6460,-7448,6086
137,1,-1152,-781,-2682,6476,-7461,6103
138,1,-1113,-766,-2614,6489,-7473,6118
139,1,-1070,-742,-2532,6506,-7490,6130
140,1,-1039,-719,-2467,6519,-7509,6139
141,1,-1012,-707,-2406,6532,-7530,6144
142,1,-967,-718,-2349,6550,-7554,6148
143,2,-2249,-1333,3587,6439,-7574,5629
144,2,-3677,-1189,3967,6441,-7375,4826
145,2,-3705,-1340,3010,6583,-7224,4043
146,2,-1773,897,-271,6894,-7101,3534
147,2,1557,2629,-3927,6978,-7078,3655
148,2,3849,1433,-3747,6822,-7079,3935
149,2,4941,-3,-2771,6638,-7074,4242
150,2,4936,-999,-1708,6519,-7108,4616
151,2,4517,-1474,-423,6491,-7210,5030
152,2,3832,-1702,987,6548,-7371,5381
153,2,2624,-1412,1956,6690,-7612,5662
154,2,1547,-1361,2335,6860,-7865,5888
155,2,518,-370,3855,7153,-8053,6143
156,2,393,261,2495,7160,-7997,6134
157,2,474,729,1810,7133,-7981,6083
158,2,344,1468,1870,6983,-7850,6034
159,2,82,2885,1493,6635,-7565,6116
160,2,-831,4734,772,6045,-7139,6400
161,2,-1356,3791,-3,5244,-6652,6703
162,2,-1017,1364,-857,4553,-6218,6940
163,2,-503,-2210,-403,4158,-5935,7158
164,2,1072,-4127,-99,4201,-5949,7014
165,2,2649,-3814,-184,4538,-6169,6802
166,2,3404,-2484,-265,5005,-6451,6657
167,2,3912,-756,101,5438,-6714,6551
168,2,4109,648,664,5872,-7001,6511
169,2,3815,1796,1094,6202,-7235,6551
170,2,3083,2007,861,6411,-7372,6576
171,2,2483,2164,1366,6550,-7435,6608
172,2,1964,1602,444,6462,-7392,6599
173,2,1595,1180,238,6420,-7396,6597
174,2,1297,1052,93,6395,-7394,6586
175,2,1035,870,1211,6275,-7338,6509
176,2,205,283,3567,6044,-7096,6195
177,2,-969,-117,4727,5864,-6814,5531
178,2,-1433,255,4021,5928,-6651,4810
179,2,-575,-243,2692,6059,-6617,4145
180,2,1240,-292,495,6294,-6681,3542
181,2,3858,1370,-1661,6526,-6749,3411
182,2,6089,642,-2014,6454,-6727,3508
183,2,7288,-371,-1724,6296,-6640,3633
184,2,7219,-1151,-1397,6039,-6482,3914
185,2,6754,-1996,-846,5751,-6255,4373
186,2,6326,-2981,-669,5522,-6090,4902
187,2,5381,-2836,309,5554,-6162,5481
188,2,4405,-2259,1548,5764,-6416,5842
189,2,2377,-1419,2329,6171,-6798,6014
190,2,1324,35,3239,6639,-7084,6148
191,2,939,57,1430,6591,-7053,6104
192,2,534,194,583,6586,-7052,6153
193,2,323,408,847,6533,-6998,6181
194,2,322,1578,982,6369,-6838,6209
195,2,-1,3170,776,5960,-6497,6333
196,2,10,3763,0,5374,-6066,6490
197,2,290,3087,-880,4749,-5626,6679
198,2,110,1072,-426,4200,-5261,7058
199,2,782,-2471,-335,3888,-5043,7149
200,2,2545,-3849,-754,4016,-5118,6997
201,2,3669,-3364,-529,4354,-5383,6853
202,2,4258,-2274,-257,4727,-5650,6719
203,2,4435,-614,238,5191,-5958,6712
204,2,3902,548,545,5535,-6213,6688
205,2,3286,1098,764,5809,-6426,6705
206,2,2433,1667,617,6048,-6612,6749
207,2,1782,1511,866,6100,-6626,6760
208,2,1286,944,246,6078,-6602,6774
209,2,885,668,4,6056,-6599,6763
210,2,625,411,-296,6030,-6590,6747
211,2,360,32,352,5988,-6569,6701
212,2,-235,-280,2310,5914,-6444,6494
213,2,-1131,-651,3782,5817,-6215,6043
214,2,-1774,-791,3986,5855,-6047,5402
215,2,-1541,-907,2598,6083,-5987,4799
216,2,79,-1097,1123,6370,-5956,4357
217,2,2205,-526,-722,6586,-5939,4008
218,2,4465,470,-2885,6624,-5908,4045
219,2,5400,214,-3098,6404,-5842,4273
220,2,5345,-722,-2403,6077,-5726,4662
221,2,5049,-1859,-1224,5808,-5650,5113
222,2,4148,-2521,-371,5688,-5698,5557
223,2,2787,-2314,985,5753,-5909,5966
224,2,1575,-1763,2266,5959,-6178,6261
225,2,793,-1263,2598,6153,-6386,6409
226,2,140,-1131,3364,6324,-6474,6476
227,2,-76,-430,1105,6253,-6440,6439
228,2,-66,111,1113,6179,-6373,6448
229,2,32,1380,966,5957,-6179,6464
230,2,-185,2524,590,5534,-5854,6546
231,2,189,3181,327,4997,-5442,6669
232,2,565,1878,-57,4390,-5005,6801
233,2,1083,-337,-707,3943,-4673,6946
234,2,2236,-2451,-433,3754,-4539,7066
235,2,3566,-3721,-123,3796,-4521,6994
236,2,4361,-3957,-283,4016,-4625,6824
237,2,4355,-3040,-664,4407,-4850,6679
238,2,4904,-1437,-964,4889,-5144,6561
239,2,4201,-20,-904,5335,-5481,6476
240,2,2864,872,-662,5703,-5799,6494
241,2,1801,754,452,5992,-6058,6556
242,2,1159,1354,-38,6127,-6085,6651
243,2,600,749,-801,6052,-6047,6623
244,2,164,715,-967,5990,-6031,6608
245,2,-153,932,-199,5807,-5935,6565
