,0,1,2,3,4,5,6
0,1,-2954,5451,-6466,184,-6474,972
1,1,-5118,7477,-8278,-889,-6581,1399
2,1,-4182,3975,-8536,-2060,-6738,1710
3,1,-1477,2083,-7777,-2690,-6780,1634
4,1,666,1007,-5843,-2832,-6783,1632
5,1,1956,-3,-4787,-2623,-6821,1566
6,1,2342,-107,-4931,-2036,-6845,1467
7,1,1155,1087,-5759,-1104,-6829,1357
8,1,-1438,4299,-5835,-132,-6783,1437
9,1,-1269,5501,-5358,427,-6686,1574
10,1,-2411,3903,-4991,763,-6566,1497
11,1,-4772,1781,-3964,1206,-6498,1202
12,1,-6582,1385,-3586,1836,-6430,779
13,1,-6900,1291,-3341,2406,-6196,562
14,1,-3268,2359,-5808,2675,-5820,661
15,1,4039,3700,-8616,2702,-5708,712
16,1,3767,3400,-8483,2471,-6025,945
17,1,816,3398,-7415,2189,-6506,1200
18,1,-2099,3815,-5355,1668,-7019,1323
19,1,-4339,4655,-5652,695,-7254,1521
20,1,-5718,5890,-7188,-404,-7440,2132
21,1,-5094,5930,-7859,-1480,-7655,2731
22,1,-3163,3974,-7128,-2316,-7630,2933
23,1,-201,2164,-5347,-2602,-7542,3015
24,1,1574,998,-4331,-2458,-7560,2975
25,1,2172,788,-4460,-1887,-7637,2815
26,1,858,1790,-5262,-914,-7715,2566
27,1,-2082,2864,-6004,262,-7730,2271
28,1,-4389,3641,-6541,1446,-7679,2172
29,1,-6044,2783,-5711,2027,-7628,1813
30,1,-7029,1731,-5146,2581,-7535,1428
31,1,-5696,2017,-4499,3036,-7398,1085
32,1,-2155,3019,-4875,3276,-7135,1080
33,1,2727,2995,-5647,3219,-6900,1182
34,1,5483,2710,-6609,3059,-6826,1396
35,1,5521,2358,-6883,2827,-7011,1757
36,1,2836,2785,-6016,2586,-7371,2262
37,1,-319,3573,-4212,2167,-7739,2763
38,1,-2947,5109,-4101,1433,-7936,3316
39,1,-4694,6520,-4938,447,-8033,4056
40,1,-4445,6167,-5139,-595,-8008,4744
41,1,-2631,3980,-4871,-1416,-7915,5099
42,1,-240,1855,-4034,-1957,-7735,5207
43,1,2412,149,-2922,-2076,-7586,5252
44,1,4334,-552,-2044,-1867,-7582,5169
45,1,4486,-358,-2473,-1307,-7716,4954
46,1,3444,877,-3470,-428,-7932,4614
47,1,614,2193,-4353,673,-8121,4204
48,1,-2253,3862,-4944,1913,-8235,3973
49,1,-4123,3478,-4417,2621,-8158,3885
50,1,-5178,1905,-3434,2970,-8061,3455
51,1,-5734,1700,-3007,3395,-7930,3018
52,1,-3995,2211,-2825,3689,-7756,2705
53,1,129,2529,-4071,3702,-7469,2627
54,1,4128,2168,-5045,3587,-7257,2683
55,1,6406,1226,-5582,3424,-7184,2910
56,1,6504,623,-5530,3230,-7284,3244
57,1,5253,462,-5208,3085,-7515,3717
58,1,1744,2189,-4315,2996,-7903,4241
59,1,-1342,3236,-3627,2385,-8215,4636
60,1,-3750,4568,-4172,1402,-8199,5310
61,1,-4430,5099,-5153,371,-8068,6056
62,1,-2534,3550,-5325,-567,-7932,6467
63,1,-469,1029,-4548,-1255,-7771,6453
64,1,1968,-128,-3104,-1463,-7696,6339
65,1,3602,-1187,-2326,-1320,-7714,6251
66,1,4268,-1247,-2675,-730,-7860,6140
67,1,3274,-254,-3369,182,-8057,5905
68,1,354,1620,-4171,1334,-8294,5566
69,1,-2332,2686,-4428,2504,-8569,5006
70,1,-4361,2081,-4353,3313,-8674,4676
71,1,-5299,1320,-3685,3845,-8691,4151
72,1,-4181,1134,-3747,4367,-8601,3684
73,1,-839,1546,-4352,4597,-8405,3503
74,1,3238,1775,-5088,4597,-8218,3642
75,1,5903,1138,-5230,4473,-8146,3918
76,1,6545,339,-4506,4344,-8223,4252
77,1,5399,-593,-3087,4198,-8389,4646
78,1,3675,-1019,-1638,4111,-8570,5090
79,1,2116,-1401,-485,4073,-8763,5525
80,1,755,-1851,-61,4071,-8941,5819
81,1,-60,-1939,-194,4182,-9094,6015
82,1,-424,-2080,-670,4260,-9244,6094
83,1,-334,-2102,-1350,4368,-9379,6138
84,1,-367,-2075,-1909,4450,-9514,6118
85,1,-335,-2135,-2421,4502,-9624,6080
86,1,-285,-2125,-2856,4550,-9691,6088
87,1,-85,-2115,-3273,4590,-9730,6107
88,1,155,-2036,-3703,4616,-9768,6102
89,1,258,-1998,-3961,4641,-9805,6101
90,1,385,-1906,-4179,4665,-9842,6091
91,1,467,-1904,-4336,4682,-9883,6079
92,1,529,-1919,-4370,4714,-9922,6089
93,1,551,-1927,-4388,4749,-9959,6097
94,1,595,-1914,-4400,4786,-9996,6104
95,1,618,-1894,-4421,4826,-10031,6122
96,1,575,-1924,-4275,4851,-10061,6128
97,1,655,-1871,-4382,4917,-10071,6195
98,1,680,-1925,-4355,4920,-10103,6178
99,1,690,-1924,-4323,4956,-10138,6178
100,1,721,-1898,-4293,4986,-10171,6189
101,1,755,-1856,-4258,5027,-10206,6206
102,1,757,-1813,-4186,5066,-10240,6223
103,1,759,-1758,-4130,5096,-10274,6237
104,1,803,-1752,-4102,5123,-10305,6246
105,1,816,-1753,-4094,5153,-10337,6260
