,0,1,2,3,4,5,6
0,1,-7356,1963,-3095,464,-1658,1358
1,1,-9611,384,-1438,673,-1387,1177
2,1,-11437,-325,-1714,1014,-981,1106
3,1,-10708,318,-4579,1268,-539,1209
4,1,-6645,1610,-7801,1418,-242,1217
5,1,-2561,1907,-9512,1390,-94,1266
6,1,-522,1332,-10305,1273,-166,1412
7,1,-491,871,-9430,1166,-511,1519
8,1,-2684,964,-8342,1095,-991,1707
9,1,-5076,740,-5619,1071,-1613,1729
10,1,-6305,220,-2516,1061,-2143,1712
11,1,-6243,-639,-1442,1047,-2457,1623
12,1,-5470,-77,-2035,1039,-2644,1562
13,1,-4750,2469,-2200,912,-2768,1368
14,1,-5926,5658,-4045,468,-2825,1224
15,1,-7644,6956,-5659,-322,-2905,1206
16,1,-7075,5913,-6775,-1064,-2929,1188
17,1,-4975,3097,-6410,-1566,-2921,1135
18,1,-2649,969,-5546,-1710,-2931,1071
19,1,-1704,-220,-5136,-1573,-3007,1039
20,1,-1807,13,-5730,-1089,-3142,1029
21,1,-2222,2138,-6772,-372,-3235,1284
22,1,-2648,4944,-7636,259,-3292,1703
23,1,-3112,5616,-6081,594,-3398,1930
24,1,-2903,4925,-5603,799,-3376,2188
25,1,-3860,3602,-4176,861,-3309,2238
26,1,-6024,1574,-2454,970,-3131,2138
27,1,-8315,575,-861,1205,-2859,1888
28,1,-10136,691,-1047,1592,-2487,1682
29,1,-9065,1774,-4158,1899,-2045,1801
30,1,-4535,1934,-7492,1934,-1781,1726
31,1,-736,1934,-9434,1905,-1670,1809
32,1,848,1226,-10120,1794,-1798,1931
33,1,-38,693,-9263,1691,-2175,2086
34,1,-2182,748,-7347,1663,-2701,2353
35,1,-4667,413,-4226,1782,-3352,2484
36,1,-5627,626,-1618,1874,-3841,2504
37,1,-5248,494,-792,1752,-4132,2235
38,1,-4909,1593,-1202,1497,-4246,2056
39,1,-4708,4025,-2361,1080,-4286,1938
40,1,-4987,5677,-3753,402,-4249,1952
41,1,-4362,5428,-4776,-329,-4184,2022
42,1,-2926,3137,-5307,-899,-4105,2027
43,1,-1179,823,-4735,-1149,-4075,2008
44,1,-338,-165,-4199,-1076,-4109,2008
45,1,-51,-487,-4470,-703,-4234,1959
46,1,-38,345,-5234,-100,-4377,2005
47,1,-580,3225,-5846,623,-4458,2278
48,1,-1772,4827,-5840,1204,-4563,2495
49,1,-2139,4400,-4934,1538,-4655,2728
50,1,-2156,3824,-4204,1689,-4619,2952
51,1,-3973,1722,-2171,1754,-4484,2912
52,1,-6532,-140,-562,1960,-4203,2761
53,1,-8525,-101,-401,2257,-3848,2455
54,1,-8690,340,-2657,2543,-3455,2363
55,1,-5484,1145,-5908,2678,-3127,2425
56,1,-1127,1167,-7811,2607,-2921,2484
57,1,1549,401,-9001,2532,-2912,2604
58,1,2176,-71,-9089,2491,-3147,2736
59,1,643,-394,-8170,2465,-3605,2872
60,1,-2301,21,-6416,2509,-4218,3091
61,1,-4645,-1052,-3427,2480,-4900,3034
62,1,-5364,-1871,-1278,2442,-5299,2938
63,1,-4591,-1153,-1429,2373,-5442,2860
64,1,-4004,653,-2068,2090,-5516,2670
65,1,-3925,2911,-2928,1614,-5495,2597
66,1,-4391,4950,-3952,934,-5373,2733
67,1,-3823,4671,-4916,168,-5207,2902
68,1,-2260,1972,-5379,-388,-5079,2928
69,1,-28,109,-4799,-549,-5076,2880
70,1,1345,-344,-3280,-508,-5096,2876
71,1,1585,-840,-2825,-258,-5138,2750
72,1,1427,-259,-3340,250,-5264,2540
73,1,1103,1711,-3968,976,-5431,2507
74,1,327,3151,-4589,1694,-5591,2633
75,1,-1129,4269,-4342,2243,-5799,2707
76,1,-1242,3734,-3971,2523,-5926,2885
77,1,-1188,2749,-3825,2606,-6012,3001
78,1,-1269,1876,-3849,2668,-6065,3082
79,1,-1312,1097,-4117,2672,-6111,3093
80,1,-1345,549,-4492,2680,-6154,3081
81,1,-1374,85,-4750,2687,-6202,3066
82,1,-1388,-258,-4933,2703,-6247,3060
83,1,-1408,-536,-5065,2716,-6293,3048
84,1,-1396,-681,-5161,2733,-6336,3048
85,1,-1386,-830,-5220,2751,-6377,3046
86,1,-1363,-950,-5265,2766,-6420,3041
87,1,-1338,-1018,-5292,2782,-6464,3040
88,1,-1326,-1043,-5301,2800,-6509,3038
89,1,-1308,-1105,-5295,2816,-6552,3036
90,1,-1288,-1134,-5298,2835,-6595,3035
91,1,-1268,-1173,-5288,2854,-6636,3038
92,1,-1235,-1165,-5272,2876,-6678,3046
93,1,-1214,-1182,-5228,2896,-6721,3056
94,1,-1192,-1179,-5208,2915,-6763,3060
95,1,-1162,-1161,-5175,2933,-6801,3065
96,1,-1136,-1131,-5183,2947,-6838,3068
97,1,-1108,-1110,-5172,2963,-6876,3073
98,1,-1078,-1106,-5133,2978,-6916,3077
99,1,-1068,-1104,-5116,2997,-6955,3081
100,1,-1034,-1106,-5085,3015,-6995,3083
101,1,-1008,-1076,-5064,3035,-7034,3090
102,1,-969,-1053,-5040,3056,-7072,3097
103,1,-942,-1053,-5008,3077,-7111,3104
104,1,-923,-1071,-4983,3097,-7148,3110
105,1,-896,-1071,-4954,3117,-7187,3114
106,1,-875,-1051,-4943,3139,-7224,3119
107,2,-1684,4690,-3894,1580,-7593,3701
108,2,-1085,3789,-4072,810,-7371,3991
109,2,644,1564,-3938,203,-7164,4106
110,2,2459,-193,-3341,-94,-7068,4155
111,2,3714,-1612,-2317,-158,-7062,4098
112,2,3793,-2513,-2073,52,-7141,3966
113,2,3417,-2347,-2909,645,-7328,3777
114,2,2586,-40,-3743,1601,-7557,3693
115,2,826,3000,-4369,2541,-7739,3648
116,2,-300,4735,-3174,3132,-7951,3556
117,2,-182,3846,-2202,3383,-7969,3744
118,2,-1485,1149,-51,3508,-7820,3714
119,2,-3841,-276,1130,3653,-7532,3458
120,2,-5900,-476,1593,3766,-7173,2983
121,2,-6787,109,-270,3974,-6714,2710
122,2,-4062,825,-3597,3967,-6321,2693
123,2,155,824,-6292,3888,-6119,2665
124,2,3293,21,-7770,3822,-6110,2765
125,2,4498,-771,-8015,3860,-6290,2958
126,2,3304,-706,-7218,4019,-6691,3250
127,2,747,353,-5252,4287,-7314,3477
128,2,-1562,249,-2112,4424,-7869,3604
129,2,-2756,-257,158,4382,-8254,3600
130,2,-2799,219,381,4090,-8412,3576
131,2,-2654,2041,-639,3580,-8466,3680
132,2,-3039,4351,-1404,2808,-8380,4111
133,2,-2585,4371,-2333,1839,-8167,4582
134,2,-851,2199,-3407,1035,-7960,4716
135,2,1488,87,-3497,678,-7884,4747
136,2,2824,-1158,-2225,659,-7903,4737
137,2,3371,-1848,-1842,895,-7980,4586
138,2,3352,-1826,-2221,1489,-8155,4322
139,2,2810,723,-3798,2430,-8347,4145
140,2,1801,2989,-4511,3338,-8518,4080
141,2,193,4753,-3683,4016,-8738,3993
142,2,136,4685,-2842,4254,-8782,4157
143,2,-929,2314,-866,4281,-8653,4045
144,2,-3311,253,493,4370,-8420,3713
145,2,-5344,-391,1086,4464,-8085,3122
146,2,-6299,-17,-313,4628,-7681,2621
147,2,-3972,797,-3186,4765,-7314,2463
148,2,160,1166,-5510,4708,-7116,2322
149,2,3735,1067,-7035,4648,-7056,2402
150,2,5378,550,-7621,4635,-7184,2647
151,2,4114,687,-7326,4696,-7534,3042
152,2,1707,321,-5036,4792,-8031,3478
153,2,-1151,-179,-1680,4972,-8526,3809
154,2,-2444,-938,921,5126,-8908,3928
155,2,-2123,-1501,1824,5053,-9121,3809
156,2,-1501,1805,619,4264,-9012,3808
157,2,-2281,4195,-395,3464,-8800,4094
158,2,-2337,4413,-1602,2544,-8458,4590
159,2,-1281,2633,-2642,1759,-8161,4880
160,2,928,45,-2212,1340,-7983,5019
161,2,2488,-1491,-1598,1224,-7940,5018
162,2,3372,-2480,-1611,1447,-8032,4879
163,2,3428,-1968,-2046,2021,-8258,4679
164,2,2826,80,-2796,2874,-8544,4485
165,2,1704,2854,-2677,3712,-8812,4377
166,2,564,3834,-2199,4266,-9021,4336
167,2,176,3240,-1483,4692,-9072,4530
168,2,-744,1654,-30,4942,-8944,4613
169,2,-2708,73,1392,5026,-8713,4287
170,2,-4822,-623,1633,5189,-8432,3582
171,2,-5973,-641,457,5337,-8074,3100
172,2,-3581,377,-2295,5464,-7705,2985
173,2,517,950,-4873,5386,-7467,2956
174,2,3902,773,-6285,5277,-7378,3028
175,2,5460,311,-6823,5249,-7481,3284
176,2,4766,-271,-6468,5348,-7806,3654
177,2,1997,-408,-5139,5562,-8319,4007
178,2,-662,-774,-2251,5786,-8859,4296
179,2,-2688,-1482,271,5886,-9261,4379
180,2,-2590,-2467,1492,5793,-9464,4277
181,2,-1402,732,327,5154,-9457,4184
182,2,-1649,2958,-545,4476,-9277,4455
183,2,-2136,4415,-1563,3580,-8955,4950
184,2,-1464,3280,-2453,2729,-8609,5438
185,2,142,735,-2592,2122,-8377,5649
186,2,2320,-890,-1845,1902,-8289,5712
187,2,3764,-1960,-943,1942,-8307,5611
188,2,4057,-2040,-386,2244,-8455,5355
189,2,4230,-1147,-826,2781,-8651,5002
190,2,4411,806,-1787,3523,-8813,4802
191,2,3784,2742,-2462,4236,-8961,4727
192,2,2648,4111,-2140,4797,-9160,4667
193,2,1965,3816,-2125,5139,-9272,4614
194,2,1558,3171,-2058,5377,-9341,4656
195,2,1218,2268,-2021,5483,-9373,4750
196,2,1091,1487,-2256,5508,-9390,4763
197,2,941,863,-2686,5524,-9410,4770
198,2,838,405,-2964,5542,-9435,4781
199,2,697,53,-3125,5565,-9464,4799
200,2,612,-318,-3187,5579,-9498,4799
201,2,529,-555,-3183,5592,-9527,4790
202,2,525,-692,-3252,5603,-9554,4778
203,2,527,-776,-3360,5626,-9578,4781
204,2,526,-857,-3398,5645,-9605,4787
205,2,516,-909,-3366,5664,-9633,4792
206,2,540,-960,-3339,5703,-9683,4799
207,2,548,-997,-3333,5722,-9707,4808
208,2,556,-981,-3322,5747,-9732,4813
209,2,571,-1006,-3313,5769,-9757,4822
210,2,579,-1005,-3307,5793,-9781,4835
211,2,578,-1029,-3277,5818,-9805,4846
212,2,590,-1013,-3260,5841,-9829,4850
213,2,601,-1000,-3252,5866,-9853,4859
214,2,611,-1012,-3244,5892,-9876,4869
215,2,616,-1032,-3211,5916,-9901,4877
216,2,618,-1030,-3191,5943,-9926,4882
217,2,636,-1018,-3170,5966,-9949,4892
218,2,641,-1030,-3161,5990,-9973,4899
219,2,651,-1065,-3153,6015,-9996,4909
220,2,647,-1047,-3131,6044,-10022,4916
221,2,663,-1031,-3116,6067,-10044,4928
222,2,679,-1052,-3107,6089,-10066,4939
223,3,-578,4886,-2023,4867,-10004,5581
224,3,-1136,5177,-2605,3768,-9590,6162
225,3,-6,2948,-3268,2857,-9217,6382
226,3,1664,575,-3171,2358,-9020,6516
227,3,3276,-1554,-2068,2212,-8982,6557
228,3,3765,-2599,-1480,2427,-9076,6383
229,3,3667,-2235,-1939,3078,-9335,6114
230,3,2978,-110,-2509,4099,-9646,5849
231,3,1729,3168,-3303,5142,-9915,5638
232,3,484,4528,-2630,5747,-10118,5523
233,3,421,3753,-1138,6063,-10137,5642
234,3,-1119,1794,523,6236,-10009,5419
235,3,-3331,683,2146,6205,-9745,4835
236,3,-5173,502,1863,6149,-9369,4021
237,3,-4969,898,-406,6139,-8978,3433
238,3,-1497,1921,-2721,6109,-8774,2931
239,3,2810,2500,-4587,6070,-8620,2937
240,3,5428,1923,-5732,5977,-8606,3204
241,3,5765,1205,-5794,5981,-8759,3688
242,3,3738,712,-5091,6195,-9103,4401
243,3,687,373,-2761,6516,-9589,5035
244,3,-1798,91,393,6779,-10022,5432
245,3,-2372,-400,2126,6810,-10280,5562
246,3,-2159,-332,1675,6458,-10371,5630
247,3,-1379,1810,960,5919,-10346,5810
248,3,-1638,4340,-27,5074,-10097,6411
249,3,-1117,3967,-1192,3978,-9680,6864
250,3,464,1718,-2181,3132,-9385,6900
251,3,2700,-411,-2113,2889,-9310,6918
252,3,3981,-1572,-1093,2951,-9326,6932
253,3,4279,-2295,-1079,3291,-9454,6711
254,3,4050,-1327,-2025,4115,-9733,6399
255,3,2876,1647,-3245,5230,-10074,6051
256,3,873,4345,-3232,6081,-10359,5850
257,3,417,4210,-2397,6531,-10463,5922
258,3,276,2916,-1047,6685,-10404,5957
259,3,-1935,404,874,6716,-10234,5584
260,3,-4042,-660,1837,6693,-9937,4856
261,3,-5360,-129,723,6702,-9494,4257
262,3,-3635,52,-2070,6628,-9057,4015
263,3,288,78,-4669,6488,-8829,3870
264,3,3988,80,-6319,6444,-8759,3944
265,3,5696,-186,-6641,6514,-8881,4279
266,3,5057,-219,-6136,6659,-9217,4608
267,3,2461,-27,-3704,6872,-9643,5111
268,3,785,172,-894,7290,-10076,5618
269,3,-940,-140,1422,7471,-10432,5815
270,3,-994,-352,2622,7466,-10608,5800
271,3,-669,831,2321,7181,-10626,5741
272,3,-301,2690,1300,6647,-10499,5956
273,3,-1272,4635,580,5840,-10196,6454
274,3,-1154,4768,-575,4896,-9761,7014
275,3,198,2437,-1850,4063,-9372,7332
276,3,1899,-277,-1524,3630,-9171,7477
277,3,3417,-1714,-208,3533,-9114,7505
278,3,3997,-2570,366,3658,-9180,7300
279,3,3972,-2504,-342,4143,-9435,6855
280,3,3741,-356,-1702,5025,-9785,6459
281,3,2660,2827,-2201,5923,-10057,6162
282,3,1367,4640,-1781,6609,-10286,6029
283,3,1604,4671,-970,6899,-10373,6061
284,3,635,3288,712,6964,-10299,5980
285,3,-1206,1575,2366,6887,-10051,5663
286,3,-3471,937,3281,6718,-9742,4884
287,3,-5082,521,2370,6651,-9376,4037
288,3,-3734,1196,-483,6676,-9002,3623
289,3,301,1889,-3837,6533,-8761,3402
290,3,4163,1652,-5752,6399,-8665,3460
291,3,6043,956,-6330,6356,-8744,3803
292,3,5562,559,-5773,6425,-9003,4330
293,3,2935,213,-4446,6616,-9389,4993
294,3,-52,-159,-1730,6941,-9845,5621
295,3,-2004,-941,1642,7181,-10202,5948
296,3,-1757,-1034,2852,7172,-10356,6000
297,3,-1268,355,2144,6888,-10379,5974
298,3,-583,2303,958,6325,-10257,6164
299,3,-1488,4672,-144,5478,-10004,6541
300,3,-1986,4535,-1360,4497,-9542,7085
301,3,-576,1878,-2090,3694,-9148,7312
302,3,1536,-499,-1763,3327,-8972,7378
303,3,3297,-1701,-783,3284,-8955,7350
304,3,3960,-2378,-195,3491,-9103,7145
305,3,4070,-1791,-307,4019,-9397,6817
306,3,4096,134,-1079,4788,-9679,6547
307,3,3672,2529,-1361,5536,-9900,6394
308,3,2698,3656,-1197,6119,-10104,6207
309,3,2040,3772,-1156,6535,-10243,6106
310,3,1800,3150,-1168,6751,-10290,6273
