,0,1,2,3,4,5,6
0,1,3205,-232,-5432,-970,-148,761
1,1,2029,2384,-6494,-502,-126,934
2,1,1678,4562,-6282,-310,-149,1109
3,1,1615,6322,-6172,-262,-170,1225
4,1,1473,7312,-6286,-373,-165,1315
5,1,1405,7832,-6642,-632,-170,1352
6,1,1512,7423,-7144,-1046,-204,1331
7,1,1726,5745,-7361,-1527,-269,1268
8,1,2086,3472,-6613,-1965,-384,1204
9,1,3312,436,-4552,-2295,-431,1301
10,1,4756,-1330,-2684,-2443,-354,1451
11,1,5880,-1943,-2325,-2487,-222,1566
12,1,5792,-2120,-3095,-2395,-99,1698
13,1,4444,-1927,-4318,-2102,-67,1878
14,1,2639,-615,-5021,-1643,-147,2095
15,1,1766,1782,-5665,-1268,-258,2272
16,1,1297,3948,-5131,-1129,-329,2446
17,1,1071,5362,-4876,-1129,-340,2543
18,1,678,5857,-5084,-1289,-293,2604
19,1,602,5435,-5443,-1553,-220,2624
20,1,1029,5031,-5276,-1799,-147,2536
21,1,1547,5403,-5643,-2139,3,2438
22,1,2225,3699,-6343,-2554,155,2218
23,1,3367,-271,-6159,-2785,160,1902
24,1,4516,-2099,-4313,-2678,136,1730
25,1,5163,-2792,-3171,-2438,198,1554
26,1,5081,-3050,-3339,-2111,318,1418
27,1,4419,-2585,-4205,-1684,443,1465
28,1,2949,-690,-5440,-1166,511,1633
29,1,2191,1928,-6471,-753,501,1796
30,1,1947,4085,-6021,-644,479,1955
31,1,1861,5781,-6026,-699,463,2023
32,1,1578,6141,-6281,-946,451,2065
33,1,1419,4647,-6610,-1251,415,2012
34,1,1654,2701,-6666,-1366,302,1922
35,1,1607,1719,-6021,-1228,100,2042
36,1,1160,2736,-5365,-853,-126,2272
37,1,-147,3713,-5354,-429,-365,2385
38,1,-1701,3886,-5313,-76,-592,2337
39,1,-2751,3873,-5695,115,-742,2417
40,1,-3249,3352,-6021,114,-863,2496
41,1,-3563,2222,-6015,90,-947,2501
42,1,-4042,1693,-6536,123,-1000,2541
43,1,-4177,1251,-6872,138,-1052,2586
44,1,-4262,1185,-7221,161,-1098,2654
45,1,-4392,1053,-7326,165,-1145,2705
46,1,-4507,757,-7431,162,-1190,2722
47,1,-4504,629,-7531,168,-1230,2761
48,1,-4476,626,-7546,185,-1270,2809
49,1,-4449,610,-7526,201,-1318,2833
50,1,-4424,570,-7569,215,-1370,2843
51,1,-4397,482,-7567,230,-1420,2861
52,1,-4366,484,-7545,246,-1471,2891
53,1,-4289,408,-7506,279,-1574,2933
54,1,-4272,342,-7507,298,-1625,2959
55,1,-4219,376,-7471,317,-1676,2986
56,1,-4182,326,-7462,332,-1726,3007
57,1,-4155,291,-7424,347,-1778,3029
58,1,-4117,280,-7411,365,-1830,3051
59,1,-4088,254,-7406,381,-1880,3073
60,1,-4062,207,-7393,398,-1933,3093
61,1,-4013,199,-7386,417,-1985,3117
62,1,-3976,189,-7376,435,-2037,3138
63,1,-3945,151,-7359,453,-2088,3158
64,1,-3900,128,-7338,471,-2138,3181
65,1,-3863,121,-7323,488,-2187,3206
66,1,-3821,91,-7302,505,-2238,3229
67,1,-3786,85,-7290,521,-2287,3253
68,1,-3751,55,-7264,537,-2336,3277
69,2,2694,13,-5685,-1708,-2305,4129
70,2,2495,-1491,-5851,-1427,-2325,4175
71,2,1349,-503,-6343,-876,-2449,4249
72,2,1403,1529,-5984,-498,-2595,4295
73,2,2051,3498,-5458,-402,-2616,4445
74,2,2370,4858,-5294,-474,-2562,4542
75,2,2232,5401,-5664,-768,-2444,4646
76,2,2554,4608,-6165,-1220,-2326,4595
77,2,3153,2672,-6443,-1656,-2246,4451
78,2,4511,-172,-5242,-1933,-2244,4205
79,2,5772,-2405,-2891,-1916,-2234,3973
80,2,6233,-3137,-1796,-1710,-2154,3690
81,2,5852,-3364,-2336,-1358,-2032,3484
82,2,4899,-2748,-4046,-849,-1946,3457
83,2,3808,644,-6024,-298,-1969,3611
84,2,3833,2550,-6015,-93,-1982,3724
85,2,4066,4372,-6186,-102,-1957,3807
86,2,4015,5326,-6272,-302,-1886,3901
87,2,3938,5125,-6599,-672,-1808,3949
88,2,4005,3786,-6778,-1135,-1733,3953
89,2,4148,1794,-6327,-1577,-1702,3986
90,2,5043,-1081,-4333,-1901,-1680,4057
91,2,6349,-3072,-2372,-2023,-1589,4195
92,2,7183,-3899,-1596,-2029,-1480,4259
93,2,7108,-4046,-2169,-1893,-1411,4322
94,2,5858,-3670,-3301,-1539,-1465,4430
95,2,4091,-2200,-4034,-1063,-1642,4503
96,2,3401,-81,-4086,-761,-1776,4633
97,2,3167,1951,-3870,-672,-1813,4753
98,2,2915,3120,-3730,-711,-1777,4835
99,2,2585,4131,-3853,-912,-1668,4871
100,2,2445,3875,-4240,-1272,-1511,4835
101,2,2881,2827,-4522,-1666,-1323,4772
102,2,3304,1241,-4854,-2040,-1156,4677
103,2,4516,-1462,-4076,-2275,-1092,4499
104,2,5651,-3342,-2400,-2290,-1035,4363
105,2,6328,-3898,-1461,-2169,-970,4145
106,2,6313,-3957,-1560,-1951,-893,3937
107,2,5863,-3949,-2627,-1629,-804,3919
108,2,4924,-3066,-4151,-1190,-789,3948
109,2,3985,-497,-5281,-726,-873,4025
110,2,3766,1662,-5340,-551,-898,4181
111,2,3808,3366,-5463,-533,-893,4270
112,2,3601,4211,-5613,-669,-834,4360
113,2,3542,4455,-6059,-936,-764,4402
114,2,3544,3832,-6307,-1307,-691,4375
115,2,3652,2335,-6172,-1708,-615,4330
116,2,3969,417,-5530,-2039,-576,4319
117,2,5033,-1490,-3829,-2263,-539,4399
118,2,6114,-2887,-2093,-2406,-468,4500
119,2,6908,-3463,-1230,-2541,-378,4531
120,2,6926,-4487,-1238,-2621,-267,4521
121,2,6315,-4738,-2008,-2460,-229,4598
122,2,5062,-4298,-2954,-2107,-299,4735
123,2,3449,-2636,-3667,-1629,-466,4915
124,2,2662,-350,-3992,-1316,-617,5063
125,2,2386,1565,-3549,-1226,-685,5151
126,2,1983,3110,-3397,-1275,-645,5285
127,2,1616,3700,-3734,-1511,-532,5312
128,2,1399,3429,-4255,-1854,-371,5243
129,2,1615,2586,-4981,-2243,-209,5086
130,2,2285,472,-4990,-2580,-124,4880
131,2,3821,-2260,-3260,-2734,-84,4655
132,2,4786,-3852,-1684,-2670,-33,4447
133,2,4919,-4329,-1325,-2455,42,4228
134,2,4660,-4312,-2077,-2120,119,4155
135,2,3982,-3807,-3613,-1680,135,4210
136,2,2636,-1465,-5101,-1143,14,4334
137,2,2456,916,-4917,-862,-111,4426
138,2,2623,3015,-4856,-834,-124,4599
139,2,2591,4230,-4998,-963,-76,4702
140,2,2518,4372,-5397,-1231,-8,4707
141,2,2710,3650,-5617,-1577,75,4668
142,2,2962,2469,-5607,-1934,152,4602
143,2,3277,897,-5203,-2262,204,4566
144,2,3838,-778,-3998,-2518,237,4609
145,2,4614,-2147,-2517,-2651,288,4681
146,2,4897,-2703,-1867,-2663,334,4756
147,2,4583,-3237,-1952,-2541,331,4818
148,2,3707,-3038,-2437,-2179,233,4903
149,2,2760,-1994,-3136,-1656,35,5031
