,0,1,2,3,4,5,6
0,1,-7007,2489,-5471,-871,-760,840
1,1,-4199,142,-7022,-1144,-522,825
2,1,-1979,-1773,-8066,-1150,-448,909
3,1,-1256,-1516,-7932,-825,-626,1033
4,1,-2224,514,-6968,-297,-949,1233
5,1,-2953,3289,-5094,148,-1279,1337
6,1,-2611,5550,-3493,360,-1453,1475
7,1,-2473,6763,-2382,391,-1480,1551
8,1,-2860,8760,-1174,255,-1367,1603
9,1,-4341,8323,-1339,-58,-1110,1563
10,1,-4490,6383,-3394,-424,-805,1582
11,1,-2922,3424,-5286,-743,-582,1508
12,1,-973,743,-6481,-893,-459,1507
13,1,49,-409,-7081,-775,-529,1548
14,1,91,141,-6768,-469,-752,1705
15,1,-707,1929,-5474,-32,-1079,1842
16,1,-1599,4294,-4129,322,-1352,2010
17,1,-1512,6244,-2758,483,-1478,2143
18,1,-1792,7532,-1816,432,-1435,2187
19,1,-2623,8246,-983,228,-1261,2167
20,1,-3557,7284,-1748,-70,-963,2160
21,1,-3085,4989,-3671,-401,-688,2155
22,1,-1256,2500,-5096,-634,-501,2073
23,1,312,89,-6360,-699,-428,2072
24,1,848,-786,-6841,-555,-540,2141
25,1,360,15,-6276,-236,-804,2316
26,1,-257,2000,-4827,128,-1139,2435
27,1,-847,4495,-3111,416,-1360,2580
28,1,-821,6139,-1867,498,-1426,2649
29,1,-1224,7263,-1130,411,-1328,2713
30,1,-2070,7379,-886,177,-1099,2725
31,1,-2475,5999,-2275,-116,-818,2703
32,1,-1632,3677,-3806,-398,-570,2636
33,1,50,1273,-5122,-576,-395,2550
34,1,1134,-580,-6169,-564,-384,2558
35,1,1181,-996,-6141,-353,-564,2626
36,1,490,-170,-5370,-42,-860,2752
37,1,-566,2152,-4382,337,-1179,2884
38,1,-646,4365,-2833,554,-1384,3030
39,1,-780,5620,-1543,593,-1428,3077
40,1,-1357,6463,-719,476,-1328,3103
41,1,-2107,6391,-729,245,-1100,3084
42,1,-2395,5128,-1957,-31,-812,3107
43,1,-1454,3169,-3561,-321,-555,3095
44,1,-120,715,-4782,-496,-389,3050
45,1,1044,-1015,-5695,-458,-417,3046
46,1,1290,-1240,-5693,-251,-614,3083
47,1,581,-122,-4813,64,-910,3185
48,1,-307,1946,-3806,383,-1217,3316
49,1,-417,3882,-2507,571,-1408,3440
50,1,-615,4950,-1350,592,-1452,3489
51,1,-1110,6345,-229,476,-1351,3485
52,1,-2259,6118,0,238,-1090,3426
53,1,-2511,4286,-1740,-37,-777,3408
54,1,-1547,2122,-3512,-288,-508,3402
55,1,-52,-105,-4969,-429,-364,3360
56,1,988,-1585,-5718,-383,-413,3361
57,1,1035,-1480,-5570,-145,-635,3470
58,1,251,-195,-4530,217,-970,3576
59,1,-582,1841,-3502,519,-1272,3689
60,1,-997,2974,-2688,698,-1506,3719
61,1,-1360,2997,-2466,807,-1635,3798
62,1,-1678,2704,-2717,861,-1706,3846
63,1,-1926,2231,-3338,888,-1756,3878
64,1,-2225,1576,-4124,924,-1842,3907
65,1,-2572,704,-4403,974,-1990,3817
66,1,-2872,730,-4770,1101,-2132,3891
67,1,-3092,591,-4851,1162,-2225,4040
68,1,-3176,538,-5158,1229,-2293,4151
69,1,-3292,206,-5711,1280,-2358,4154
70,1,-3389,-41,-6002,1314,-2408,4202
71,1,-3493,-276,-6210,1334,-2460,4221
72,1,-3536,-513,-6377,1356,-2517,4222
73,1,-3602,-636,-6505,1377,-2566,4241
74,1,-3626,-761,-6570,1396,-2617,4255
75,1,-3590,-857,-6648,1420,-2665,4268
76,1,-3587,-900,-6694,1442,-2714,4284
77,1,-3567,-959,-6691,1459,-2762,4298
78,1,-3542,-1020,-6691,1480,-2809,4317
79,1,-3523,-1032,-6678,1505,-2857,4344
80,1,-3488,-1044,-6652,1526,-2902,4364
81,1,-3443,-1058,-6651,1547,-2950,4382
82,1,-3405,-1081,-6627,1568,-2997,4400
83,1,-3360,-1065,-6588,1593,-3046,4422
84,1,-3316,-1056,-6581,1616,-3095,4441
85,1,-3291,-1079,-6546,1638,-3144,4455
86,1,-3250,-1089,-6536,1661,-3194,4468
87,1,-3215,-1090,-6508,1685,-3243,4483
88,1,-3176,-1111,-6494,1707,-3292,4495
89,1,-3133,-1109,-6474,1731,-3342,4510
90,1,-3102,-1115,-6447,1754,-3392,4526
91,1,-3060,-1129,-6434,1775,-3439,4541
92,1,-3020,-1126,-6418,1799,-3487,4559
93,1,-2982,-1145,-6398,1823,-3536,4576
94,1,-2943,-1162,-6382,1845,-3584,4591
95,1,-2914,-1151,-6350,1869,-3633,4609
96,2,-5318,3279,-613,1564,-3593,4448
97,2,-6782,2281,-2355,1270,-3141,4265
98,2,-5501,944,-4381,1020,-2712,4298
99,2,-2645,-2434,-6214,779,-2378,4507
100,2,-391,-3775,-7141,810,-2392,4482
101,2,225,-3411,-7100,1099,-2656,4583
102,2,-37,-1553,-5514,1538,-3072,4691
103,2,-493,901,-3391,1906,-3431,4752
104,2,-357,2901,-1903,2135,-3624,4866
105,2,-143,4777,-693,2160,-3619,4948
106,2,-726,6571,297,1961,-3425,4988
107,2,-2147,5670,-433,1603,-3067,4929
108,2,-1633,3397,-2616,1284,-2734,4913
109,2,-147,688,-4260,1037,-2492,4919
110,2,1308,-1725,-5458,979,-2458,4899
111,2,1753,-2326,-5702,1161,-2668,4933
112,2,1355,-1078,-4602,1490,-3026,5027
113,2,610,637,-2706,1837,-3386,5099
114,2,696,3285,-1009,2066,-3544,5282
115,2,716,5415,-146,2039,-3486,5390
