,0,1,2,3,4,5,6
15,2,548,5490,-5017,1939,-5064,-1908
16,2,2786,5215,-4771,1820,-5054,-1626
17,2,3360,3939,-4765,1529,-5126,-1278
18,2,2248,2753,-4759,1074,-5295,-861
19,2,980,1447,-4486,580,-5525,-483
20,2,-479,570,-2603,453,-5768,-19
21,2,-1871,1046,-952,789,-6003,377
22,2,-3643,3589,1708,1121,-6220,553
23,2,-4418,5931,2106,728,-6148,798
24,2,-5858,7153,69,-43,-6005,1181
25,2,-5008,5926,-1875,-850,-5871,1450
26,2,-3594,3862,-2932,-1483,-5703,1698
27,2,-1052,38,-2871,-1888,-5559,1858
28,2,1543,-2492,-2921,-1939,-5502,1705
29,2,2976,-3159,-3155,-1701,-5574,1452
30,2,2716,-2360,-3063,-1244,-5723,1187
31,2,2963,1140,-2816,-708,-5893,1016
32,2,3471,2633,-1773,-399,-6088,1083
33,2,2505,2793,657,-208,-6241,1065
34,2,107,2276,2558,-217,-6259,875
35,2,-1900,645,3971,-320,-6284,239
36,2,-3540,416,3665,33,-6328,-552
37,2,-4407,151,1760,628,-6406,-1369
38,2,-3643,1112,-599,1396,-6470,-1961
39,2,-595,3290,-1120,1932,-6482,-2108
40,2,2620,3873,-819,2014,-6419,-2124
41,2,4978,3265,-706,1963,-6363,-1968
42,2,6064,3416,-1232,1862,-6312,-1662
43,2,5074,3528,-2363,1475,-6365,-1138
44,2,2252,2616,-2734,821,-6503,-406
45,2,-375,1078,-1755,382,-6663,393
46,2,-1659,262,811,483,-6845,995
47,2,-2940,2411,3125,792,-6956,1426
48,2,-2039,5083,3836,506,-6841,1830
49,2,-2693,6262,2086,-206,-6609,2064
50,2,-2094,5580,-148,-873,-6417,2254
51,2,-873,3510,-1845,-1444,-6217,2442
52,2,886,-355,-2537,-1746,-6097,2529
53,2,4253,-2099,-1642,-1731,-6059,2509
54,2,6044,-3019,-1548,-1669,-5971,2367
55,2,6301,-4210,-1825,-1488,-6001,2008
56,2,4839,-3056,-2458,-970,-6214,1611
57,2,3748,1319,-2938,-505,-6490,1516
58,2,4004,2617,-1641,-141,-6680,1732
59,2,2855,3446,628,75,-6785,1769
60,2,1548,3647,2458,106,-6762,1742
61,2,198,2859,3816,-59,-6647,1407
62,2,-1393,2296,4431,-123,-6515,755
63,2,-2314,1419,2898,107,-6483,-79
64,2,-2237,739,869,601,-6544,-853
65,2,-626,2011,-439,1191,-6554,-1415
66,2,2063,3287,-662,1352,-6542,-1573
67,2,4529,2867,234,1383,-6481,-1548
68,2,6037,2483,575,1364,-6382,-1467
69,2,6553,3009,-552,1230,-6310,-1245
70,2,5394,2318,-1759,792,-6340,-840
71,2,2824,1242,-2421,215,-6434,-218
72,2,273,-26,-1707,-265,-6592,459
73,2,-1577,-735,169,-342,-6752,1048
74,2,-2823,608,2199,-39,-6849,1547
75,2,-2381,2170,3501,-240,-6808,1755
76,2,-1694,3572,3016,-648,-6598,1829
77,2,-831,4607,1470,-1132,-6371,1910
78,2,24,4583,-224,-1635,-6141,2123
79,2,1034,1964,-1913,-2156,-5903,2423
80,2,2619,-627,-1555,-2378,-5783,2568
81,2,4752,-2104,-1021,-2486,-5711,2599
82,2,6127,-3741,-1173,-2497,-5632,2469
83,2,6295,-4701,-1237,-2324,-5654,2101
84,2,5413,-3431,-1601,-1854,-5779,1767
85,2,4920,-344,-2509,-1326,-5912,1588
86,2,5039,1636,-2915,-862,-6067,1561
87,2,4288,3358,-1699,-453,-6273,1533
88,2,2521,4382,1242,-311,-6413,1461
89,2,699,3668,3360,-463,-6350,1240
90,2,-1303,2952,3959,-530,-6234,702
91,2,-2746,2559,2687,-262,-6147,67
92,2,-2740,1682,861,144,-6100,-595
93,2,-1565,993,-516,638,-6067,-1169
94,2,-75,2307,-2166,1318,-6000,-1417
95,2,2677,4117,-2012,1475,-5962,-1449
96,2,4780,4762,-1620,1491,-5904,-1330
97,2,6132,4192,-1613,1362,-5860,-1149
98,2,6553,3570,-1917,1129,-5851,-886
99,2,5610,2532,-2691,648,-5897,-582
100,2,4296,986,-3142,48,-6007,-189
101,2,2896,-121,-2694,-346,-6130,394
102,2,1014,-760,-1896,-318,-6265,945
103,2,-1463,107,-730,211,-6478,1331
104,2,-2893,1099,-528,956,-6693,1617
105,2,-3127,1769,-1320,1181,-6850,1469
106,2,-2936,1253,-2318,1108,-6934,1331
107,2,-2780,531,-3400,1137,-6982,1339
108,2,-2756,128,-4111,1172,-7034,1369
109,2,-2677,-290,-4641,1146,-7086,1367
110,2,-2550,-580,-5045,1157,-7142,1394
111,2,-2511,-922,-5216,1149,-7198,1333
112,2,-2424,-912,-5393,1170,-7250,1324
113,2,-2360,-1083,-5507,1177,-7301,1313
114,2,-2340,-1187,-5566,1194,-7353,1299
115,2,-2323,-1206,-5507,1210,-7404,1296
116,2,-2227,-1213,-5540,1219,-7450,1291
117,2,-2154,-1271,-5494,1249,-7547,1288
118,2,-2111,-1231,-5459,1264,-7596,1288
119,2,-2095,-1226,-5382,1278,-7645,1286
120,2,-2065,-1160,-5320,1276,-7692,1280
121,2,-2036,-1214,-5311,1266,-7739,1254
122,2,-2007,-1213,-5277,1277,-7789,1243
123,2,-1973,-1159,-5223,1291,-7837,1245
124,2,-1942,-1131,-5173,1303,-7884,1251
125,2,-1906,-1131,-5139,1319,-7930,1252
126,2,-1884,-1044,-5059,1327,-7977,1254
127,2,-1854,-1045,-5045,1320,-8022,1254
128,2,-1790,-1022,-5015,1327,-8068,1252
129,2,-1764,-956,-4999,1343,-8115,1256
130,2,-1746,-908,-4941,1359,-8162,1258
131,2,-1715,-883,-4938,1370,-8208,1255
132,2,-1694,-873,-4909,1383,-8255,1252
133,3,-3837,1434,999,-182,-9021,377
134,3,-3683,1217,571,109,-8945,-591
135,3,-3095,-42,-429,488,-8851,-1803
136,3,-1236,1749,-2511,1421,-8717,-2378
137,3,1928,4617,-1618,1614,-8686,-2554
138,3,4799,4869,-815,1653,-8627,-2321
139,3,6703,4042,-938,1547,-8577,-2023
140,3,6995,3256,-1708,1278,-8614,-1489
141,3,5861,2003,-2410,770,-8728,-707
142,3,4491,767,-2651,366,-8869,232
143,3,2151,37,-818,486,-9063,1101
144,3,856,1085,1534,1082,-9207,1615
145,3,-1530,4267,3195,1043,-9199,1949
146,3,-2297,5217,1806,394,-8964,2493
147,3,-2057,4400,130,-460,-8675,3009
148,3,-24,2575,-1029,-1130,-8394,3384
149,3,2470,632,-1135,-1541,-8146,3716
150,3,4440,-2362,-709,-1641,-7988,3878
151,3,6478,-3514,-403,-1610,-7960,3662
152,3,7647,-3950,-838,-1413,-8009,3250
153,3,7384,-2873,-1535,-956,-8161,2805
154,3,6155,-142,-1918,-459,-8388,2446
155,3,5963,2043,-1036,-59,-8605,2291
156,3,5068,3515,712,188,-8746,2205
157,3,3323,2971,3285,-3,-8739,2059
158,3,1326,1964,4866,-269,-8576,1584
159,3,396,2088,5049,-344,-8447,800
160,3,-48,1506,4079,-226,-8429,-155
161,3,-59,937,2340,131,-8431,-1220
162,3,1176,1201,539,723,-8388,-1947
163,3,3523,3123,-210,1169,-8340,-2164
164,3,5934,4381,261,1263,-8279,-2138
165,3,7381,4417,34,1140,-8222,-1903
166,3,7416,3942,-974,791,-8233,-1418
167,3,6086,2563,-1945,245,-8306,-731
168,3,4203,985,-1901,-142,-8405,157
169,3,2594,-75,-27,-166,-8506,985
170,3,901,-362,1849,298,-8612,1526
171,3,-743,1877,2617,1355,-8761,1854
172,3,-1081,4852,2567,1095,-8751,2013
173,3,-1812,6017,1066,418,-8550,2649
174,3,-1790,5368,-194,-425,-8312,3163
175,3,-468,3857,-1367,-1138,-8075,3501
176,3,1254,1239,-1727,-1528,-7865,3993
177,3,4153,-1379,-1004,-1729,-7684,4208
178,3,6539,-2645,-741,-1745,-7574,4136
179,3,7724,-3262,-857,-1687,-7574,3858
180,3,7639,-2401,-1221,-1389,-7661,3555
181,3,7809,-1571,-2161,-967,-7789,3272
182,3,7092,144,-2828,-238,-8042,2957
183,3,4992,2886,-1626,330,-8302,2688
184,3,3684,4341,235,635,-8377,2656
185,3,1685,4394,2925,483,-8263,2477
186,3,-1062,4476,4429,163,-8050,1924
187,3,-2827,4974,3171,138,-7892,1230
188,3,-2636,3630,1105,217,-7841,318
189,3,-832,3550,-818,644,-7795,-469
190,3,2021,5115,-2293,1090,-7736,-813
191,3,5000,5841,-2511,1159,-7709,-649
