,0,1,2,3,4,5,6
15,2,-5696,398,-231,-39,-6943,-227
16,2,-4930,201,-1617,161,-6718,-231
17,2,-2580,-178,-3132,248,-6555,-105
18,2,394,-853,-4633,192,-6472,-77
19,2,2557,-1226,-4761,195,-6487,-86
20,2,3269,-1054,-4609,329,-6585,-14
21,2,2580,-581,-3085,486,-6773,-32
22,2,1368,283,158,651,-6927,-34
23,2,993,1261,2789,701,-6925,19
24,2,568,1706,3951,608,-6784,19
25,2,336,1602,3686,455,-6599,-71
26,2,889,951,1901,386,-6412,-97
27,2,2401,182,-365,379,-6278,-23
28,2,4040,-522,-2021,379,-6223,-21
29,2,4752,-619,-2735,437,-6258,-8
30,2,4518,-231,-2280,523,-6391,-6
31,2,3399,274,-405,623,-6557,-37
32,2,2501,537,2264,651,-6620,-56
33,2,1826,690,4062,620,-6536,-56
34,2,1391,855,4061,539,-6362,-97
35,2,1619,706,2855,473,-6186,-138
36,2,2567,214,1052,444,-6030,-167
37,2,3840,-329,-867,429,-5927,-134
38,2,5036,-652,-2091,429,-5909,-138
39,2,5332,-854,-2519,452,-5967,-134
40,2,4429,-543,-2352,563,-6123,-113
41,2,3001,8,-340,667,-6312,-135
42,2,1825,146,2187,692,-6408,-94
43,2,1085,82,3664,662,-6353,-111
44,2,446,305,4055,629,-6215,-142
45,2,380,424,3282,559,-6051,-210
46,2,1081,97,1861,527,-5885,-288
47,2,2517,-257,-314,592,-5759,-224
48,2,3941,-588,-1953,607,-5709,-172
49,2,4443,-701,-2149,598,-5745,-198
50,2,4425,-612,-1726,608,-5842,-244
51,2,3345,-214,-814,723,-5978,-221
52,2,2306,-4,757,796,-6103,-185
53,2,1476,134,2927,823,-6127,-188
54,2,730,551,3772,827,-6035,-176
55,2,323,585,3409,747,-5886,-200
56,2,696,589,2541,701,-5720,-198
57,2,1686,231,1178,676,-5557,-134
58,2,2995,-340,-844,649,-5442,-19
59,2,4165,-813,-2133,635,-5410,0
60,2,4692,-820,-2620,669,-5463,17
61,2,4219,-79,-1973,785,-5591,51
62,2,2983,550,-552,907,-5740,16
63,2,2094,635,1816,889,-5831,-100
64,2,1197,774,3522,875,-5770,-156
65,2,607,890,3618,818,-5616,-188
66,2,720,726,2814,712,-5439,-252
67,2,1607,191,1333,641,-5266,-347
68,2,2951,-354,-563,674,-5137,-359
69,2,4261,-773,-2152,737,-5078,-296
70,2,4981,-911,-2671,774,-5090,-268
71,2,4982,-708,-2530,843,-5178,-219
72,2,4193,-234,-1752,947,-5304,-195
73,2,3127,363,59,1036,-5449,-184
74,2,2129,553,2351,1063,-5507,-184
75,2,1307,746,3607,1015,-5431,-198
76,2,899,841,3619,941,-5283,-240
77,2,1072,728,2402,880,-5122,-266
78,2,1999,306,739,829,-4977,-278
79,2,3250,-300,-1008,806,-4880,-263
80,2,4210,-697,-2153,829,-4856,-246
81,2,4430,-674,-2580,903,-4917,-196
82,2,3784,-15,-1974,1015,-5052,-178
83,2,2592,100,-396,1059,-5207,-229
84,2,1660,170,2001,1122,-5258,-186
85,2,1055,681,3034,1138,-5198,-196
86,2,753,1060,3131,1100,-5089,-214
87,2,637,980,2885,1020,-4945,-290
88,2,1224,485,1841,965,-4791,-394
89,2,2236,-14,218,974,-4646,-428
90,2,3562,-529,-1377,985,-4553,-393
91,2,4478,-811,-2631,986,-4532,-439
92,2,4532,-937,-3180,992,-4596,-401
93,2,3809,-1037,-2924,1050,-4732,-311
94,2,-509,151,-1591,1357,-5224,-167
95,2,-2509,654,-1229,1595,-5509,-150
96,2,-3427,1440,-1614,2061,-5741,115
97,2,-3443,1545,-1486,2140,-5877,62
98,2,-3215,1246,-2193,2202,-5919,131
99,2,-3251,500,-3520,2267,-5937,225
100,2,-3224,-407,-4644,2268,-5989,225
101,2,-3184,-862,-5249,2250,-6054,209
102,2,-3143,-1033,-5477,2244,-6118,211
103,2,-3081,-1104,-5704,2244,-6170,210
104,2,-3029,-1128,-5876,2231,-6229,192
105,2,-3014,-1090,-5977,2244,-6286,186
106,2,-2986,-1102,-6036,2245,-6341,179
107,2,-2908,-1052,-6083,2248,-6397,177
108,2,-2875,-1040,-6071,2253,-6454,165
109,2,-2841,-934,-6038,2261,-6512,155
110,2,-2786,-902,-6020,2262,-6566,140
111,2,-2764,-882,-6043,2263,-6622,122
112,2,-2671,-845,-5999,2267,-6736,80
113,2,-2619,-854,-5980,2273,-6794,63
114,2,-2593,-828,-5947,2282,-6849,48
115,2,-2563,-810,-5922,2291,-6905,37
116,2,-2521,-824,-5910,2302,-6960,27
117,2,-2490,-809,-5885,2316,-7016,16
118,2,-2451,-794,-5833,2329,-7070,6
119,2,-2420,-804,-5828,2339,-7123,-3
120,2,-2391,-800,-5793,2353,-7176,-10
121,2,-2379,-775,-5773,2367,-7229,-17
122,2,-2345,-786,-5734,2378,-7282,-28
123,2,-2295,-766,-5701,2388,-7335,-38
124,2,-2271,-744,-5657,2398,-7388,-49
125,3,2137,577,1489,2072,-7606,-885
126,3,1588,906,3583,2043,-7541,-874
127,3,1257,959,3950,1942,-7387,-848
128,3,1393,834,3374,1847,-7213,-843
129,3,2208,544,2172,1771,-7044,-828
130,3,3542,-7,334,1737,-6909,-765
131,3,4953,-406,-1444,1754,-6856,-702
132,3,5441,-503,-2170,1803,-6888,-705
133,3,5175,-147,-1886,1916,-7014,-706
134,3,3983,438,-334,2066,-7170,-771
135,3,2722,1094,2224,2177,-7266,-799
136,3,1943,1369,4329,2102,-7208,-794
137,3,1134,1410,4223,1979,-7036,-788
138,3,1198,1103,3228,1857,-6867,-783
139,3,2020,509,1655,1782,-6700,-787
140,3,3385,-164,-210,1777,-6579,-711
141,3,4872,-410,-1584,1801,-6529,-651
142,3,5451,-143,-1608,1911,-6654,-701
143,3,4292,445,-511,2035,-6791,-742
144,3,3269,754,1301,2145,-6890,-741
145,3,2408,1112,3313,2179,-6892,-729
146,3,1707,1320,4183,2119,-6784,-703
147,3,1421,1346,3900,2002,-6625,-703
148,3,1760,1046,2659,1885,-6458,-737
149,3,2771,500,986,1830,-6314,-738
150,3,4029,-85,-853,1840,-6227,-661
151,3,4912,-405,-1702,1880,-6224,-636
152,3,4959,-309,-1682,1981,-6291,-635
153,3,4292,409,-1090,2193,-6408,-587
154,3,3260,1135,654,2310,-6532,-660
155,3,2293,1622,3100,2339,-6547,-685
156,3,1585,1921,3962,2258,-6444,-645
157,3,1278,1753,3631,2096,-6290,-676
158,3,1549,1207,2572,1985,-6125,-741
159,3,2451,586,889,1957,-5971,-698
160,3,4802,-243,-2045,1980,-5865,-607
161,3,5122,-59,-2106,2067,-5936,-581
162,3,4354,434,-1234,2206,-6060,-632
163,3,3231,862,374,2301,-6187,-676
164,3,2297,960,2851,2237,-6219,-761
165,3,1623,709,3938,2158,-6118,-779
166,3,1289,593,3665,2097,-5962,-813
167,3,1617,359,2463,2066,-5799,-823
168,3,2589,24,587,2059,-5660,-755
169,3,3830,-289,-1221,2049,-5587,-678
170,3,4785,-589,-1995,2026,-5582,-711
171,3,4717,-408,-1953,2121,-5660,-712
172,3,3875,22,-1395,2273,-5795,-684
173,3,2747,675,195,2366,-5931,-699
174,3,1846,975,2299,2398,-5981,-689
175,3,1066,1103,3544,2364,-5911,-673
176,3,542,1140,3666,2286,-5773,-707
177,3,517,1161,2981,2203,-5606,-769
178,3,1304,613,1115,2143,-5441,-765
179,3,2801,-11,-979,2133,-5330,-689
180,3,3978,-447,-2176,2148,-5294,-681
181,3,4391,-399,-2686,2196,-5347,-689
182,3,3823,-258,-2254,2270,-5474,-736
183,3,2789,349,-855,2448,-5632,-655
184,3,1742,1344,1650,2597,-5739,-592
185,3,873,1946,3405,2568,-5694,-631
186,3,304,2012,3589,2452,-5559,-628
187,3,196,1623,2795,2319,-5401,-707
188,3,861,955,1269,2258,-5251,-742
189,3,2233,321,-380,2224,-5125,-739
190,3,3693,-195,-1399,2219,-5052,-773
191,3,4348,-556,-2307,2240,-5028,-756
192,3,4263,-640,-3016,2246,-5106,-728
193,3,3336,-575,-2911,2153,-5274,-802
194,3,1455,-325,-2257,2195,-5532,-683
195,3,-1000,489,-1120,2478,-5803,-476
196,3,-2262,1022,-573,2864,-6028,-263
197,3,-2761,1271,-1800,3344,-6275,-130
198,3,-2790,741,-2693,3376,-6338,-117
199,3,-2782,295,-3675,3380,-6402,-124
200,3,-2789,-227,-4349,3372,-6457,-122
201,3,-2829,-557,-4932,3362,-6510,-148
202,3,-2766,-639,-5360,3360,-6567,-153
203,3,-2736,-697,-5704,3382,-6620,-148
204,3,-2737,-869,-5803,3396,-6678,-153
205,3,-2699,-845,-5904,3405,-6733,-166
206,3,-2635,-840,-6022,3411,-6789,-177
