,0,1,2,3,4,5,6
21,2,-2677,5895,-3744,-167,-8423,1586
22,2,-2669,5982,-4936,-1610,-8260,2026
23,2,-1788,3970,-4921,-2565,-8117,2203
24,2,-126,1211,-4369,-3047,-8028,2188
25,2,2361,-709,-3246,-3156,-7980,2063
26,2,4273,-2096,-2228,-3154,-7931,2003
27,2,5410,-3273,-1545,-3082,-7876,1938
28,2,4004,-3611,-2043,-2724,-7881,1835
29,2,1473,-2391,-3644,-1790,-8129,1571
30,2,-1474,2372,-3466,-151,-8510,1024
31,2,-2999,4539,-3200,1208,-8768,676
32,2,-3362,4582,-2684,1821,-8891,181
33,2,-2399,2888,-2503,1962,-8915,125
34,2,-1732,1032,-2972,1934,-8918,112
35,2,-1475,365,-3135,1841,-8942,195
36,2,-1955,2191,-3061,1693,-8940,736
37,2,-4086,4324,-3704,788,-8938,1498
38,2,-5393,5081,-5218,-633,-8874,2413
39,2,-4779,3709,-5025,-2032,-8765,2944
40,2,-3017,977,-4041,-2775,-8594,3232
41,2,-218,-563,-2705,-3065,-8546,3138
42,2,2278,-1933,-1521,-3196,-8503,2929
43,2,4250,-2679,-717,-3133,-8446,2885
44,2,5491,-3377,-337,-3041,-8381,2817
45,2,5313,-3934,-318,-2737,-8385,2647
46,2,3526,-3277,-879,-2074,-8553,2233
47,2,431,-140,-2146,-758,-8829,1750
48,2,-2216,3188,-3015,677,-9089,1053
49,2,-3027,5121,-2197,1451,-9324,512
50,2,-2433,4156,-1660,1731,-9388,349
51,2,-1796,2479,-1792,1753,-9389,347
52,2,-1412,1041,-2132,1694,-9388,410
53,2,-1505,1471,-2475,1501,-9389,634
54,2,-2463,2494,-2439,962,-9378,1147
55,2,-4291,3663,-2647,62,-9312,1766
56,2,-4964,3999,-3182,-1093,-9185,2507
57,2,-3718,2514,-3189,-2204,-8997,2983
58,2,-1415,403,-2732,-2916,-8827,3175
59,2,1199,-1190,-1786,-3236,-8736,3164
60,2,3421,-2434,-839,-3314,-8657,3102
61,2,5094,-3222,-296,-3279,-8590,3030
62,2,5279,-3713,-193,-3168,-8550,2888
63,2,4586,-3561,-315,-2701,-8660,2568
64,2,2992,-1597,-659,-1757,-8901,2005
65,2,478,1483,-1086,-562,-9189,1292
66,2,-1584,3385,-1051,518,-9473,686
67,2,-2533,3905,-974,1414,-9658,165
68,2,-1747,2862,-801,1627,-9692,68
69,2,-1140,1175,-1196,1649,-9688,66
70,2,-727,-254,-1646,1601,-9695,85
71,2,-663,-88,-1847,1507,-9711,238
72,2,-1569,1164,-2008,1126,-9719,827
73,2,-3350,2801,-2607,166,-9712,1552
74,2,-4336,3982,-2992,-1083,-9601,2653
75,2,-3276,2923,-3328,-2393,-9408,3414
76,2,-1553,1172,-2702,-3214,-9250,3804
77,2,742,-618,-1421,-3564,-9157,3856
78,2,3215,-1733,-515,-3629,-9086,3822
79,2,5080,-2414,94,-3588,-9027,3751
80,2,6183,-2980,524,-3510,-8983,3628
81,2,5688,-3461,529,-3225,-9007,3358
82,2,4038,-2461,55,-2487,-9154,2762
83,2,1276,102,-418,-1399,-9403,1944
84,2,-1048,3017,-800,-286,-9652,1094
85,2,-2766,4578,-966,653,-9873,379
86,2,-2086,4240,-703,1098,-9962,83
87,2,-1386,2823,-603,1180,-9963,89
88,2,-963,1172,-1001,1143,-9956,137
89,2,-806,927,-1198,1071,-9951,372
90,2,-1177,2004,-1920,845,-9963,1049
91,2,-2827,3518,-2427,-28,-9988,1841
92,2,-4018,4665,-2723,-1253,-9933,2888
93,2,-3446,3884,-2631,-2716,-9758,3708
94,2,-2039,1772,-2222,-3689,-9553,4132
95,2,298,-545,-1543,-4101,-9444,4176
96,2,2804,-1877,-502,-4138,-9381,4138
97,2,4836,-2593,329,-4088,-9332,4020
98,2,5605,-3452,678,-3963,-9296,3889
99,2,4382,-3861,295,-3555,-9431,3536
100,2,2374,-1702,-828,-2421,-9732,2960
101,2,-643,1506,-1582,-958,-10063,2141
102,2,-2857,3819,-1879,334,-10355,1212
103,2,-2936,4051,-1318,913,-10515,589
104,2,-1947,2783,-1052,1089,-10545,516
105,2,-1253,981,-1080,1068,-10547,485
106,2,-803,34,-1218,1020,-10541,561
107,2,-878,1040,-1550,918,-10522,1070
108,2,-2533,2601,-1783,168,-10478,1800
109,2,-4388,3860,-2321,-1056,-10324,2956
110,2,-4462,3545,-2683,-2517,-10099,3847
111,2,-3237,2162,-2306,-3582,-9856,4405
112,2,-1310,-514,-1591,-4329,-9663,4565
113,2,1579,-2676,-811,-4515,-9570,4519
114,2,3820,-3383,51,-4530,-9534,4400
115,2,5460,-3839,642,-4448,-9489,4299
116,2,5967,-4284,872,-4264,-9460,4162
117,2,5538,-3964,531,-3783,-9533,3958
118,2,4076,-2776,24,-2879,-9773,3391
119,2,946,228,-634,-1486,-10120,2480
120,2,-1070,3620,-946,-159,-10400,1687
121,2,-1876,4145,-825,622,-10599,978
122,2,-1277,3428,-611,963,-10648,746
123,2,-750,1699,-777,935,-10642,790
124,2,-471,-46,-1057,841,-10641,832
125,2,-556,316,-1285,769,-10629,1115
126,2,-1286,1848,-1690,238,-10593,1900
127,2,-3003,3671,-1919,-789,-10479,2994
128,2,-3602,3942,-1949,-2214,-10238,4075
129,2,-2422,2660,-1959,-3488,-9969,4688
130,2,-585,647,-1504,-4218,-9763,5057
131,2,1747,-1277,-710,-4621,-9653,5029
132,2,4084,-2527,165,-4639,-9588,4957
133,2,5784,-3251,915,-4563,-9543,4845
134,2,6467,-3892,1405,-4406,-9517,4689
135,2,5693,-3447,1140,-4040,-9586,4374
136,2,4522,-2567,456,-3200,-9829,3795
137,2,1553,-119,-642,-1813,-10184,2870
138,2,-1085,2965,-362,-809,-10541,1782
139,2,-1974,3374,-417,81,-10773,1155
140,2,-1440,3067,-253,534,-10861,850
141,2,-781,1817,-300,585,-10858,873
142,2,-440,356,-623,483,-10844,969
143,2,-445,-151,-835,414,-10828,1157
144,2,-1143,619,-1068,53,-10791,1671
145,2,-2564,2207,-1445,-685,-10675,2641
146,2,-3395,3217,-1880,-1804,-10468,3899
147,2,-3079,2944,-1864,-3162,-10199,4828
148,2,-1891,1279,-1485,-4325,-9902,5396
149,2,389,-1377,-696,-4801,-9729,5590
150,2,2778,-2434,207,-4908,-9664,5546
151,2,4942,-3063,866,-4852,-9622,5402
152,2,6403,-3634,1413,-4789,-9574,5308
153,2,6349,-3736,1721,-4579,-9576,5162
154,2,4931,-3337,1386,-4006,-9730,4746
155,2,2835,-1707,469,-2790,-10053,3814
156,2,118,2865,-534,-1266,-10381,2708
157,2,-1250,4533,-885,-269,-10636,1835
158,2,-1373,4507,-652,322,-10770,1215
159,2,-850,3097,-413,339,-10783,1108
160,2,-463,1332,-568,229,-10771,1141
161,2,-255,-277,-770,128,-10769,1147
162,2,-58,-1103,-1087,86,-10778,1144
163,2,-16,-1140,-1561,26,-10808,1268
164,2,-226,-1443,-1740,-203,-10863,1435
165,2,-363,-1891,-1827,-525,-10923,1522
166,2,-569,-2019,-1812,-789,-10979,1571
167,2,-600,-1961,-1964,-968,-11024,1573
168,2,-594,-1757,-2177,-969,-11056,1580
169,2,-471,-1461,-2502,-962,-11086,1565
170,2,-454,-1115,-2731,-940,-11121,1551
171,2,-435,-897,-2868,-929,-11154,1577
172,2,-376,-766,-2950,-950,-11187,1594
173,2,-362,-673,-2991,-982,-11216,1603
174,2,-357,-602,-3048,-1028,-11246,1590
175,2,-304,-555,-3119,-1074,-11278,1575
176,2,-245,-503,-3153,-1128,-11340,1545
177,2,-259,-582,-3224,-1126,-11371,1563
178,2,-282,-437,-3157,-1066,-11403,1579
179,2,-287,-376,-3079,-1090,-11433,1565
180,2,-260,-367,-3161,-1110,-11464,1544
181,2,-231,-356,-3133,-1155,-11498,1526
182,2,-153,-379,-3214,-1154,-11526,1533
183,2,-165,-410,-3219,-1111,-11555,1571
184,2,-200,-403,-3078,-1094,-11585,1573
185,2,-194,-358,-3108,-1101,-11610,1567
186,2,-170,-419,-3130,-1128,-11639,1564
187,2,-170,-410,-3116,-1132,-11669,1557
188,2,-155,-435,-3093,-1138,-11696,1561
189,2,-143,-421,-3087,-1126,-11723,1569
190,2,-138,-399,-3057,-1121,-11752,1574
191,2,-116,-393,-3024,-1126,-11778,1574
192,2,-105,-396,-3017,-1136,-11805,1574
193,2,-110,-394,-2993,-1138,-11832,1579
194,3,-809,5175,-1642,-2549,-12932,4309
195,3,-2047,5933,-3306,-5445,-12510,6705
196,3,-1417,3544,-3343,-7816,-12057,7665
197,3,114,852,-2490,-8871,-11791,7692
198,3,2677,-1894,-1184,-8934,-11697,7712
199,3,4516,-3388,-32,-8718,-11726,7553
200,3,4886,-4368,406,-8136,-11855,7203
201,3,3718,-3878,171,-7038,-12229,6349
202,3,-1759,3645,-1425,-3002,-13172,1854
203,3,-2457,6212,-494,-2080,-13329,-447
204,3,-1462,4715,195,-1717,-13329,-336
205,3,-694,2967,403,-1742,-13309,-245
206,3,-439,2823,327,-1926,-13291,524
207,3,-1311,3453,46,-2595,-13234,2229
208,3,-3252,5213,-497,-4063,-12992,4839
209,3,-3646,4670,-1218,-6290,-12495,7373
210,3,-2398,2934,-950,-8256,-12012,8524
211,3,-591,-524,-125,-9259,-11741,8697
212,3,2098,-2633,1000,-9444,-11670,8529
213,3,4385,-3746,1716,-9300,-11660,8345
214,3,5178,-4494,2059,-8908,-11733,8045
215,3,4663,-3617,1737,-8089,-11942,7541
216,3,3686,-2033,955,-6691,-12357,6532
217,3,553,1178,279,-4604,-12913,4286
218,3,-1785,4413,-424,-2619,-13219,1640
219,3,-1389,4829,-222,-1973,-13277,208
220,3,-526,3931,228,-1828,-13265,71
221,3,-26,3117,302,-1980,-13247,546
222,3,-694,3093,163,-2464,-13207,1856
223,3,-2528,3747,-137,-3696,-13062,3949
224,3,-3613,4391,-448,-5475,-12728,6050
225,3,-3318,3754,-362,-7405,-12277,7339
226,3,-1898,2093,-341,-8522,-11820,8114
227,3,142,364,-136,-9195,-11540,8314
228,3,2791,-2123,1067,-9361,-11389,8409
229,3,4838,-3344,1975,-9210,-11352,8270
230,3,5931,-4435,2503,-9018,-11358,8018
231,3,5617,-4429,2501,-8458,-11505,7606
232,3,4503,-3419,1645,-7458,-11882,6729
233,3,1749,-378,885,-5840,-12394,5203
234,3,-892,2459,7,-4448,-12845,2934
235,3,-2069,4275,224,-3418,-13128,904
236,3,-1326,3877,953,-3066,-13170,417
237,3,-564,2634,1175,-2914,-13143,499
238,3,-198,1440,960,-2977,-13099,857
239,3,-428,1278,641,-3173,-13041,1682
240,3,-1375,1953,-19,-3563,-12931,3305
241,3,-2658,3410,-582,-4745,-12708,5423
242,3,-3094,3710,-727,-6862,-12276,7349
243,3,-1848,2188,-417,-8580,-11808,8274
244,3,-223,86,414,-9341,-11457,8707
245,3,2358,-1575,1004,-9522,-11296,8745
246,3,4619,-3031,2075,-9328,-11223,8705
247,3,6259,-3811,2656,-9161,-11211,8465
248,3,6471,-4258,2937,-8871,-11315,8090
249,3,5460,-3792,2616,-8237,-11646,7317
250,3,2841,-1932,2001,-6907,-12134,6098
251,3,-99,1642,1109,-5213,-12592,4162
252,3,-2176,4026,754,-4117,-12902,2099
253,3,-1740,4531,663,-3396,-13008,936
254,3,-709,3460,1089,-3382,-13014,571
255,3,-117,2274,1122,-3498,-12983,802
256,3,-171,2234,630,-3797,-12932,1744
257,3,-1431,2988,215,-4583,-12814,3444
258,3,-3259,4368,276,-5947,-12529,5428
259,3,-3871,4263,-179,-7438,-11981,7438
260,3,-2830,2443,-310,-9019,-11477,8384
261,3,-949,-404,299,-9700,-11143,8803
262,3,2117,-2019,1282,-9674,-10996,8862
263,3,4745,-3252,2270,-9551,-10930,8738
264,3,6230,-4198,2605,-9386,-10927,8522
265,3,6309,-4413,2750,-9096,-11120,8034
266,3,5183,-3536,2372,-8391,-11528,7220
267,3,2209,-1051,1378,-6901,-12092,5969
268,3,-494,2193,528,-5185,-12523,4324
269,3,-2390,3757,102,-3894,-12792,2576
