,0,1,2,3,4,5,6
0,1,-6206,1700,-1146,3973,-6852,4117
1,1,-5937,1887,-1250,3495,-6638,3675
2,1,-4620,2218,-2594,3338,-6597,2938
3,1,-2988,1082,-3760,3386,-6567,2438
4,1,-1280,-977,-5072,3458,-6473,2083
5,1,386,-2686,-6646,3578,-6325,2000
6,1,2420,-4490,-8045,3651,-6195,1838
7,1,4618,-5522,-9376,3913,-6127,1668
8,1,6711,-5646,-10651,4361,-6103,1562
9,1,8139,-3874,-12023,4979,-6124,1586
10,1,7893,-320,-12333,5668,-6307,1740
11,1,7140,3528,-10114,6131,-6654,1811
12,1,6563,6131,-8149,5996,-6810,1978
13,1,5471,4696,-5288,5382,-6830,2003
14,1,4572,1382,-3227,4734,-6710,1903
15,1,4443,-1241,-2846,4320,-6518,1699
16,1,4281,-3161,-4023,4106,-6300,1604
17,1,4770,-4882,-5802,3981,-6101,1453
18,1,5558,-6503,-8119,4033,-5965,1269
19,1,6491,-6919,-9740,4288,-5906,1113
20,1,7645,-6573,-10636,4669,-5895,1015
21,1,8875,-4985,-11371,5182,-5908,1039
22,1,9269,-2951,-11124,5735,-6030,960
23,1,8331,1737,-9823,6180,-6279,1022
24,1,7723,4256,-7477,6064,-6433,981
25,1,5868,3741,-4275,5441,-6501,810
26,1,4669,20,-2587,4732,-6383,694
27,1,4384,-2738,-2627,4405,-6161,645
28,1,4150,-4452,-3659,4244,-5948,557
29,1,4235,-5549,-4956,4139,-5758,449
30,1,4688,-6624,-6273,4097,-5596,332
31,1,5352,-7227,-7935,4118,-5461,193
32,1,6122,-7517,-9501,4274,-5348,108
33,1,6961,-7230,-10659,4596,-5240,107
34,1,7471,-6271,-11277,5032,-5153,189
35,1,8830,-3886,-12349,5586,-5147,366
36,1,8769,-390,-11462,6125,-5290,599
37,1,8139,3464,-9631,6457,-5484,845
38,1,7833,5133,-6632,6331,-5594,973
39,1,6893,5215,-4124,5991,-5626,1055
40,1,5629,3083,-2355,5436,-5557,946
41,1,5045,-247,-2249,4963,-5398,761
42,1,5016,-2540,-3268,4741,-5235,566
43,1,5159,-4077,-4831,4640,-5102,417
44,1,5489,-5311,-6161,4589,-4995,264
45,1,5966,-6266,-7294,4642,-4892,151
46,1,6621,-6756,-8534,4789,-4789,39
47,1,7343,-6594,-9477,5012,-4699,-4
48,1,8337,-6109,-10270,5304,-4612,70
49,1,9142,-4987,-10893,5681,-4556,220
50,1,9757,-2836,-10959,6128,-4584,437
51,1,9067,216,-10036,6541,-4724,532
52,1,7948,2805,-7923,6670,-4917,451
53,1,6542,3347,-4820,6383,-5038,302
54,1,5297,2186,-2775,5890,-5048,222
55,1,4403,-316,-1778,5402,-4953,34
56,1,3889,-2650,-1842,5120,-4784,-119
57,1,3833,-4235,-2911,5018,-4615,-311
58,1,4163,-4996,-4250,4999,-4488,-485
59,1,4585,-5554,-5580,5005,-4360,-598
60,1,5074,-6249,-7212,5040,-4185,-695
61,1,6015,-6806,-9355,5191,-4004,-651
62,1,6863,-6546,-10646,5419,-3832,-554
63,1,8673,-3242,-12136,6246,-3603,-68
64,1,8767,-606,-11753,6655,-3618,113
65,1,8579,2118,-10902,6941,-3738,195
66,1,7434,4538,-8666,6976,-3907,91
67,1,6001,4598,-5663,6630,-4000,92
68,1,4607,2801,-3089,6136,-3994,81
69,1,3374,-250,-1905,5672,-3858,-3
70,1,3323,-2466,-2766,5412,-3672,-137
71,1,3756,-3869,-4534,5283,-3504,-304
72,1,4480,-4903,-6165,5226,-3380,-482
73,1,4958,-5636,-7454,5232,-3280,-608
74,1,5330,-6301,-8692,5315,-3143,-648
75,1,5656,-6512,-9955,5486,-2954,-589
76,1,6215,-6209,-11289,5730,-2761,-440
77,1,7062,-5489,-12279,6056,-2608,-226
78,1,7542,-4167,-12795,6470,-2571,-53
79,1,7946,-1835,-13165,6919,-2633,262
80,1,7406,1145,-12663,7289,-2768,471
81,1,6395,3755,-10620,7428,-2950,465
82,1,5221,4747,-8121,7264,-3113,383
83,1,3753,4053,-4808,6883,-3208,282
84,1,2669,1728,-2813,6439,-3174,114
85,1,2188,-702,-2325,6083,-3050,-132
86,1,2080,-2619,-3205,5893,-2883,-349
87,1,2139,-4084,-4697,5815,-2714,-485
88,1,2436,-5455,-5893,5804,-2547,-558
89,1,2768,-6882,-7096,5944,-2355,-671
90,1,3405,-6497,-8560,6279,-2164,-690
91,1,4327,-5330,-9931,6650,-2033,-680
92,1,5102,-3239,-10693,7009,-2030,-676
93,1,5065,-1222,-10368,7320,-2160,-876
94,1,4536,694,-8658,7560,-2401,-1030
95,1,3234,2029,-6654,7733,-2634,-1090
96,1,1323,2840,-5431,7889,-2902,-1020
97,1,-306,3298,-4540,8076,-3160,-988
98,1,-1485,3451,-3740,8308,-3370,-951
99,1,-3325,3008,-3697,8578,-3518,-1078
100,1,-3946,2168,-4687,8718,-3725,-820
101,1,-4030,1896,-5373,8753,-3793,-714
102,1,-4330,1399,-5539,8768,-3871,-706
103,1,-4345,1254,-5808,8776,-3935,-698
104,1,-4354,1195,-6318,8780,-3995,-728
105,1,-4342,954,-6650,8776,-4062,-724
