,0,1,2,3,4,5,6
0,1,2442,-88,1003,-1156,-7424,-350
1,1,2826,-971,908,-1229,-7332,-550
2,1,3051,-1551,670,-1165,-7185,-776
3,1,3884,-1688,-79,-1025,-7017,-947
4,1,5345,-1479,-858,-973,-6932,-997
5,1,6282,-1478,-1225,-1105,-6931,-958
6,1,6071,-2045,-513,-1196,-7002,-696
7,1,4816,-3251,911,-1290,-7075,-535
8,1,4606,-3454,2112,-1312,-7091,-590
9,1,4105,-4041,2995,-1290,-7055,-672
10,1,4059,-3947,2345,-1237,-6955,-920
11,1,3911,-3660,1558,-1098,-6835,-1144
12,1,4256,-3331,557,-944,-6688,-1371
13,1,5139,-2675,-158,-783,-6567,-1427
14,1,6045,-2486,-397,-772,-6499,-1420
15,1,6436,-2610,-414,-830,-6500,-1361
16,1,5257,-3305,725,-1161,-6665,-1185
17,1,4071,-4373,1526,-1276,-6698,-1191
18,1,3542,-4737,2012,-1219,-6675,-1280
19,1,3443,-4679,1745,-1158,-6610,-1482
20,1,3395,-4611,1531,-1026,-6494,-1726
21,1,3769,-4252,674,-848,-6339,-1931
22,1,4464,-3463,-466,-677,-6198,-2021
23,1,5380,-3092,-694,-650,-6147,-1966
24,1,5594,-3229,-734,-702,-6122,-1901
25,1,5660,-3371,-567,-763,-6142,-1785
26,1,5663,-3263,-277,-841,-6189,-1658
27,1,4621,-3735,493,-962,-6235,-1551
28,1,3659,-4053,1298,-990,-6242,-1598
29,1,3425,-4129,1977,-950,-6238,-1650
30,1,3293,-3813,1922,-875,-6158,-1747
31,1,3314,-3561,1611,-769,-6041,-1923
32,1,3503,-3323,1069,-645,-5883,-2099
33,1,4092,-2841,144,-512,-5734,-2213
34,1,5815,-2495,-636,-405,-5557,-2265
35,1,6164,-2337,-729,-461,-5558,-2248
36,1,5946,-2600,-364,-545,-5586,-2187
37,1,5674,-2774,-148,-606,-5614,-2089
38,1,5157,-2943,292,-665,-5662,-1981
39,1,4159,-3129,971,-740,-5708,-1949
40,1,3382,-3373,1459,-737,-5721,-1986
41,1,3174,-3421,1963,-684,-5674,-2116
42,1,3009,-3583,2025,-636,-5555,-2350
43,1,3060,-3170,1173,-473,-5383,-2569
44,1,3493,-2778,296,-353,-5240,-2710
45,1,4215,-2688,-628,-252,-5117,-2762
46,1,5135,-2259,-1275,-129,-5025,-2752
47,1,5822,-1984,-1494,-141,-5004,-2701
48,1,5755,-2146,-1048,-237,-5068,-2626
49,1,5340,-2401,-391,-343,-5158,-2518
50,1,4704,-2736,376,-440,-5236,-2386
51,1,3676,-3279,1031,-486,-5266,-2342
52,1,2955,-3527,2392,-427,-5223,-2469
53,1,3208,-2953,1663,-353,-5041,-2673
54,1,3260,-2872,926,-267,-4918,-2792
55,1,3640,-2773,481,-169,-4788,-2925
56,1,4170,-2546,-367,-51,-4643,-3037
57,1,5031,-1864,-1146,28,-4552,-3057
58,1,5653,-1631,-1385,-35,-4544,-3066
59,1,5740,-1829,-1468,-151,-4596,-3009
60,1,5384,-2279,-952,-273,-4674,-2857
61,1,4532,-2886,-135,-341,-4725,-2706
62,1,3624,-3483,785,-314,-4740,-2652
63,1,3415,-2929,1977,-247,-4731,-2698
64,1,3165,-2972,1877,-251,-4635,-2858
65,1,3044,-2825,1235,-155,-4497,-3038
66,1,3148,-2516,397,-31,-4346,-3159
67,1,3759,-2209,-502,78,-4209,-3243
68,1,4662,-1910,-1184,147,-4127,-3264
69,1,5294,-1548,-1233,150,-4098,-3217
70,1,5485,-1784,-1451,93,-4120,-3172
71,1,5152,-1623,-821,10,-4200,-3024
72,1,4259,-2016,-206,-122,-4295,-2941
73,1,3184,-2534,680,-166,-4361,-2874
74,1,2707,-2494,1654,-147,-4383,-2905
75,1,2560,-2709,1843,-128,-4315,-3102
76,1,2374,-2377,1195,-49,-4185,-3278
77,1,2422,-2388,474,34,-4054,-3439
78,1,2785,-2411,-316,153,-3907,-3564
79,1,3475,-2352,-1087,280,-3769,-3610
80,1,4408,-1941,-1856,373,-3688,-3604
81,1,4936,-1862,-1598,403,-3681,-3549
82,1,5174,-1641,-1258,350,-3719,-3468
83,1,4945,-1779,-972,255,-3788,-3380
84,1,4339,-1958,-423,158,-3863,-3281
85,1,3547,-2259,-197,89,-3916,-3237
86,1,2638,-2377,418,55,-3966,-3325
87,1,2214,-2151,555,98,-3962,-3379
88,1,1912,-1424,43,208,-3898,-3362
89,1,1532,-1252,-1303,464,-3843,-3151
90,1,467,1181,-1229,1421,-3875,-2639
91,1,-1002,1734,-1574,1835,-4011,-2446
92,1,-2550,2210,-2015,2163,-4179,-2361
93,1,-3251,2160,-2866,2295,-4291,-2378
94,1,-3513,1795,-3774,2348,-4357,-2346
95,1,-3690,1476,-4607,2366,-4419,-2318
96,1,-3810,1176,-5225,2348,-4485,-2326
97,1,-3893,867,-5708,2331,-4548,-2348
98,1,-3916,746,-6011,2321,-4612,-2367
99,1,-3931,694,-6209,2305,-4674,-2391
100,1,-3923,608,-6382,2290,-4737,-2411
101,1,-3902,536,-6499,2274,-4801,-2432
102,1,-3870,529,-6544,2266,-4865,-2443
103,1,-3855,524,-6571,2255,-4927,-2457
104,1,-3833,503,-6611,2241,-4990,-2472
105,1,-3800,518,-6611,2234,-5053,-2483
106,1,-3763,533,-6592,2225,-5114,-2492
107,1,-3723,548,-6565,2218,-5176,-2504
108,1,-3669,559,-6538,2210,-5239,-2515
109,1,-3653,545,-6493,2201,-5300,-2525
110,1,-3601,576,-6485,2197,-5359,-2527
111,1,-3558,562,-6463,2187,-5420,-2544
112,1,-3515,570,-6441,2180,-5480,-2556
113,1,-3478,585,-6408,2171,-5541,-2569
114,1,-3431,585,-6378,2165,-5601,-2580
115,1,-3396,595,-6341,2157,-5661,-2589
116,1,-3351,605,-6325,2147,-5721,-2601
117,1,-3309,638,-6295,2138,-5781,-2614
118,1,-3264,621,-6263,2130,-5842,-2625
119,1,-3230,634,-6238,2124,-5900,-2635
120,1,-3190,646,-6225,2115,-5959,-2647
121,1,-3150,644,-6217,2108,-6019,-2657
122,2,-60,2651,-869,-118,-6517,-2690
123,2,1156,2085,266,-428,-6495,-2865
124,2,2204,1622,219,-600,-6423,-3062
125,2,2154,498,237,-617,-6305,-3257
126,2,2797,381,-664,-483,-6111,-3436
127,2,4423,557,-1316,-352,-5989,-3469
128,2,5512,312,-1397,-368,-5958,-3420
129,2,5674,-342,-891,-457,-6011,-3328
130,2,5301,-947,-17,-558,-6096,-3187
131,2,3920,-2564,2253,-582,-6190,-3115
132,2,3883,-2598,2612,-561,-6104,-3269
133,2,3737,-2786,1893,-479,-5973,-3456
134,2,3464,-2381,1375,-275,-5823,-3553
135,2,3972,-1768,556,-138,-5652,-3681
136,2,4856,-1451,-278,-75,-5525,-3750
137,2,5662,-1263,-659,-92,-5481,-3750
138,2,5959,-1596,-668,-168,-5499,-3708
139,2,5710,-1786,-357,-217,-5554,-3558
140,2,5164,-2051,145,-312,-5625,-3470
141,2,4265,-2817,948,-450,-5701,-3477
142,2,3419,-3347,1651,-495,-5723,-3521
143,2,3150,-3508,1797,-431,-5653,-3630
144,2,3193,-3357,1486,-285,-5505,-3787
145,2,3395,-3122,797,-141,-5338,-3935
146,2,3867,-2460,-105,7,-5173,-4060
147,2,4765,-2027,-584,98,-5057,-4144
148,2,5227,-1679,-704,131,-5018,-4081
149,2,5307,-1973,-706,23,-5042,-4059
150,2,5236,-2295,-604,-52,-5099,-3972
151,2,4813,-2521,-120,-119,-5175,-3838
152,2,4106,-2759,561,-178,-5235,-3741
153,2,3483,-2978,1399,-223,-5241,-3754
154,2,3038,-3216,1746,-219,-5191,-3849
155,2,2992,-2905,1447,-143,-5087,-3992
156,2,2990,-2804,967,-55,-4975,-4107
157,2,3120,-2679,419,36,-4845,-4240
158,2,3615,-2257,-381,154,-4705,-4371
159,2,4501,-1830,-857,229,-4615,-4412
160,2,5055,-1929,-1102,254,-4575,-4368
161,2,5279,-1885,-889,251,-4582,-4282
162,2,5108,-1921,-646,223,-4605,-4190
163,2,4560,-1939,-189,157,-4657,-4116
164,2,4056,-1993,398,81,-4722,-4042
165,2,3275,-2524,1033,12,-4767,-4009
166,2,2725,-2904,1758,35,-4750,-4094
167,2,2737,-2591,1948,85,-4657,-4246
168,2,2823,-2332,655,303,-4379,-4431
169,2,3232,-2048,-74,415,-4230,-4540
170,2,4111,-1394,-1031,500,-4114,-4597
171,2,4794,-1557,-1126,509,-4074,-4584
172,2,5116,-1530,-1230,465,-4083,-4579
173,2,4951,-1641,-1028,397,-4147,-4503
174,2,4418,-1708,-561,295,-4247,-4411
175,2,3639,-2590,363,181,-4315,-4411
176,2,2903,-2808,681,215,-4318,-4359
177,2,2491,-2752,1224,242,-4319,-4391
178,2,2290,-2757,1316,285,-4250,-4496
179,2,2293,-2565,871,346,-4141,-4649
180,2,2302,-2536,332,445,-4023,-4786
181,2,2661,-2206,-208,590,-3891,-4847
182,2,3369,-1744,-653,716,-3761,-4834
183,2,3970,-1451,-1207,777,-3676,-4766
184,2,4422,-1192,-1223,779,-3669,-4688
185,2,4621,-1270,-572,718,-3705,-4624
186,2,4218,-1598,172,660,-3739,-4557
187,2,4046,-1800,339,599,-3776,-4514
188,2,3427,-2417,1098,484,-3848,-4564
189,2,3206,-2569,1441,468,-3848,-4632
190,2,2711,-2437,1110,516,-3782,-4714
191,2,2448,-2174,531,606,-3677,-4828
192,2,2487,-2191,-63,699,-3562,-4971
193,2,2962,-1834,-747,833,-3433,-5061
194,2,3505,-1707,-935,923,-3338,-5097
195,2,4213,-1403,-1213,965,-3290,-5115
