,0,1,2,3,4,5,6
14,2,1349,315,-2482,-1138,-4631,704
15,2,1811,-258,-1401,-1130,-4597,706
16,2,2119,-649,-611,-1144,-4557,672
17,2,2293,-1007,-288,-1149,-4506,673
18,2,1921,-1273,-264,-1141,-4431,923
19,2,1644,-433,-1215,-1177,-4352,1553
20,2,2394,189,-1700,-1239,-4351,1971
21,2,3457,1146,-2794,-1057,-4377,2440
22,2,4969,3005,-3544,-736,-4322,2924
23,2,6226,3960,-3945,-674,-4172,3126
24,2,6165,3784,-5587,-763,-4130,3125
25,2,5869,4044,-6470,-837,-4136,3195
26,2,6445,5243,-6606,-1132,-4097,3077
27,2,7075,3671,-5493,-1657,-4024,2597
28,2,7493,2754,-4467,-1822,-3967,2234
29,2,7280,1999,-3469,-1821,-3977,1903
30,2,6450,1268,-2895,-1690,-4051,1564
31,2,4468,943,-1699,-1465,-4203,1274
32,2,4387,-14,-1515,-1393,-4199,1293
33,2,4284,-985,-999,-1426,-4168,1269
34,2,3975,-1240,-243,-1458,-4126,1303
35,2,3554,-1504,-159,-1574,-4033,1442
36,2,3598,-1544,-119,-1690,-3936,1597
37,2,3976,-1432,-232,-1746,-3848,1858
38,2,4256,-1437,-385,-1679,-3845,2113
39,2,4278,192,-1169,-1563,-3833,2430
40,2,4678,1039,-2424,-1409,-3778,2945
41,2,5281,2175,-2760,-1151,-3718,3466
42,2,6009,3099,-4228,-1042,-3604,3626
43,2,5584,3016,-5907,-1079,-3586,3697
44,2,5019,3193,-6835,-1079,-3584,3791
45,2,4922,3324,-7607,-1075,-3564,3871
46,2,5071,3500,-8087,-1098,-3540,3920
47,2,5096,3861,-8320,-1173,-3515,3955
48,2,5675,4995,-7658,-1341,-3493,3864
49,2,7167,3312,-7215,-1890,-3362,3277
50,2,7442,2022,-5585,-2145,-3358,2562
51,2,5299,1092,-4764,-1993,-3510,2136
52,2,3296,148,-3626,-1706,-3747,1867
53,2,3257,-876,-2607,-1604,-3769,1924
54,2,3212,-1547,-1535,-1609,-3744,1897
55,2,3186,-1984,-811,-1613,-3708,1879
56,2,3166,-2237,-390,-1614,-3673,1858
57,2,3154,-2422,-155,-1617,-3641,1838
58,2,2272,-2570,-290,-1588,-3525,2370
59,2,1666,-1803,-1913,-1578,-3516,3189
60,2,2177,-547,-3482,-1567,-3616,3564
61,2,3524,1310,-4106,-1404,-3635,4074
62,2,4946,2390,-4582,-1315,-3408,4326
63,2,6040,2604,-6545,-1259,-3296,4378
64,2,5266,2286,-7537,-1294,-3294,4464
65,2,4754,2602,-8209,-1275,-3307,4567
66,2,4760,2538,-8765,-1308,-3278,4621
67,2,4889,2840,-9133,-1381,-3226,4681
68,2,5659,3985,-8951,-1629,-3128,4609
69,2,7293,3308,-8304,-2176,-2981,4192
70,2,8160,1819,-6647,-2525,-2936,3624
71,2,5718,634,-5761,-2416,-3088,3085
72,2,3374,63,-4451,-2149,-3410,2765
73,2,3317,-912,-3163,-2078,-3440,2787
74,2,3093,-1632,-1797,-2104,-3432,2707
75,2,2958,-1933,-833,-2098,-3406,2698
76,2,2892,-2156,-402,-2114,-3365,2686
77,2,2930,-2299,-219,-2121,-3331,2675
78,2,2650,-2466,20,-2127,-3292,2742
79,2,1977,-2750,-710,-2070,-3192,3256
80,2,1670,-1727,-1799,-2062,-3151,3831
81,2,2368,262,-3431,-1953,-3228,4284
82,2,3823,1724,-4262,-1776,-3267,4694
83,2,5100,2853,-4048,-1678,-3090,5041
84,2,5788,2492,-6140,-1636,-3021,5050
85,2,5120,2273,-7099,-1624,-3033,5150
86,2,4534,2473,-7842,-1620,-3033,5244
87,2,4338,2343,-8465,-1623,-3021,5301
88,2,4555,2555,-8834,-1638,-2999,5367
89,2,5267,3480,-8338,-1747,-2967,5415
