,0,1,2,3,4,5,6
15,2,-3035,-31,1473,-68,-4748,77
16,2,-4356,-304,1138,-30,-4495,-70
17,2,-4539,-455,-210,28,-4169,-244
18,2,-2275,-112,-2525,171,-3890,-425
19,2,1526,543,-5513,266,-3685,-545
20,2,4841,393,-7184,238,-3583,-585
21,2,6474,-160,-6996,216,-3556,-466
22,2,7274,-418,-6246,222,-3576,-343
23,2,7618,-591,-5463,191,-3635,-300
24,2,7447,-794,-5045,124,-3747,-261
25,2,6339,-923,-4292,42,-3937,-174
26,2,4537,-1072,-3633,17,-4162,-20
27,2,2427,-654,-2133,47,-4390,131
28,2,835,-239,-298,57,-4523,255
29,2,-125,-21,134,81,-4571,338
30,2,-531,99,-30,87,-4582,322
31,2,-1163,283,647,102,-4559,272
32,2,-1611,513,1142,118,-4444,194
33,2,-1676,721,1111,111,-4242,108
34,2,-1304,401,380,68,-4001,-9
35,2,-342,109,-588,53,-3773,-95
36,2,640,-56,-2057,18,-3494,-268
37,2,3986,-328,-5402,93,-3265,-463
38,2,6600,-294,-6760,143,-3143,-544
39,2,7744,-582,-7285,164,-3070,-454
40,2,8416,-733,-7308,173,-3023,-395
41,2,9135,-869,-7337,167,-3000,-358
42,2,9330,-951,-7038,138,-3051,-302
43,2,8772,-1151,-6564,78,-3175,-295
44,2,7786,-1370,-5658,30,-3347,-229
45,2,6286,-1278,-4449,-8,-3530,-114
46,2,4105,-1083,-3285,-33,-3762,-13
47,2,1999,-858,-1929,-41,-3972,94
48,2,547,-475,-1082,-50,-4106,181
49,2,-390,-323,-814,-37,-4170,263
50,2,-986,-151,-761,-8,-4203,308
51,2,-1421,222,-163,32,-4198,317
52,2,-2372,655,895,24,-4090,259
53,2,-2689,730,842,-4,-3900,170
54,2,-2245,677,206,-23,-3689,51
55,2,-1164,620,-730,-48,-3488,-66
56,2,471,157,-1637,-113,-3286,-202
57,2,2437,-476,-3029,-135,-3060,-391
58,2,4689,-838,-5113,-113,-2852,-572
59,2,6641,-1444,-6496,-90,-2722,-629
60,2,7775,-1957,-6727,-84,-2649,-640
61,2,8307,-2101,-7190,-52,-2608,-644
62,2,8923,-1872,-7465,-1,-2624,-535
63,2,8980,-1776,-6789,-5,-2686,-411
64,2,8171,-1746,-5781,-27,-2805,-331
65,2,6681,-1725,-5227,-36,-2989,-291
66,2,4507,-1571,-4637,-3,-3261,-205
67,2,2135,-1087,-2955,68,-3538,-67
68,2,759,-295,-1745,137,-3656,70
69,2,-476,75,-1064,191,-3727,166
70,2,-1211,198,-548,216,-3788,187
71,2,-1570,467,-346,228,-3791,172
72,2,-1860,810,-21,201,-3738,164
73,2,-2539,921,651,134,-3611,117
74,2,-2715,854,642,63,-3423,31
75,2,-2264,550,-191,20,-3219,-89
