,0,1,2,3,4,5,6
15,2,1324,2344,-2568,-1806,-4991,401
16,2,1713,1755,-2051,-1974,-5066,237
17,2,1623,651,-1131,-2088,-5094,153
18,2,1471,-326,-200,-2101,-5053,68
19,2,1326,-861,227,-2028,-4971,-23
20,2,1175,-1025,-41,-1941,-4853,-127
21,2,2075,-1291,-932,-1841,-4721,-228
22,2,3220,-1101,-1372,-1707,-4625,-165
23,2,4290,-698,-1492,-1672,-4593,-74
24,2,4227,-709,-1015,-1725,-4632,72
25,2,3668,-565,374,-1742,-4722,135
26,2,3156,-693,1213,-1722,-4767,181
27,2,2655,-403,1924,-1659,-4788,170
28,2,2278,-83,2038,-1564,-4753,137
29,2,2166,90,1809,-1557,-4683,31
30,2,1932,-409,1434,-1541,-4595,-91
31,2,2149,-301,487,-1480,-4468,-172
32,2,2945,-183,-1344,-1477,-4344,-128
33,2,3826,-196,-1303,-1534,-4315,-17
34,2,3902,-242,-49,-1545,-4343,318
35,2,3404,143,1392,-1512,-4404,419
36,2,3023,297,1852,-1485,-4397,360
37,2,2990,821,1390,-1424,-4378,299
38,2,2571,678,1595,-1427,-4373,189
39,2,2225,158,1647,-1383,-4323,31
40,2,2153,304,902,-1308,-4202,0
41,2,2447,71,57,-1335,-4046,-29
42,2,3264,-397,-849,-1370,-3921,-5
43,2,4259,-757,-1082,-1398,-3869,-14
44,2,4720,-884,-723,-1425,-3863,39
45,2,4552,-901,-275,-1431,-3885,139
46,2,4272,-889,119,-1407,-3943,237
47,2,3666,-632,751,-1362,-3975,329
48,2,3032,-256,1383,-1257,-3974,357
49,2,3094,840,1243,-1185,-3964,343
50,2,2581,822,1246,-1187,-3765,154
51,2,2603,554,414,-1257,-3608,50
52,2,3413,-335,-1050,-1283,-3477,19
53,2,4417,-614,-1631,-1289,-3405,75
54,2,4765,-313,-1607,-1301,-3448,170
55,2,4123,-533,-306,-1354,-3529,345
56,2,3787,-633,643,-1357,-3575,359
57,2,3177,-431,1215,-1311,-3603,361
58,2,2800,-367,1746,-1264,-3629,296
59,2,2748,-210,1481,-1202,-3590,234
60,2,2374,-298,1405,-1184,-3530,96
61,2,2329,-436,1089,-1163,-3448,-39
