Unnamed: 0,0,1,2,3,4,5,6
15,2,3287,-1832,-4212,40,-2529,-1772
16,2,5533,-1486,-5548,92,-2406,-1782
17,2,7009,-1030,-6177,77,-2545,-1823
18,2,7031,-1094,-5582,-68,-2955,-1936
19,2,6205,-1549,-4758,-262,-3399,-1969
20,2,1978,-2446,-2169,-628,-4308,-1914
21,2,455,-2509,-1259,-684,-4532,-1873
22,2,-275,-2430,-958,-689,-4597,-1862
23,2,-823,-2201,-1107,-686,-4608,-1876
24,2,-1231,-2080,-1391,-693,-4615,-1899
25,2,-1453,-1968,-1571,-692,-4631,-1921
26,2,-1635,-1845,-1554,-694,-4657,-1938
27,2,-1756,-1850,-1511,-697,-4671,-1954
28,2,-1785,-1804,-1544,-685,-4668,-1971
29,2,-1845,-1700,-1472,-676,-4669,-1988
30,2,-1995,-1741,-850,-681,-4652,-2020
31,2,-2355,-1993,84,-663,-4466,-2078
32,2,-2517,-2084,690,-580,-4056,-2146
33,2,-2076,-2087,278,-467,-3534,-2201
34,2,-429,-2077,-979,-347,-3015,-2242
35,2,1755,-1908,-2491,-231,-2598,-2304
36,2,4196,-1399,-4167,-136,-2361,-2358
37,2,6046,-938,-5237,-109,-2309,-2385
38,2,7044,-932,-5496,-304,-2804,-2411
39,2,5897,-1313,-4369,-484,-3302,-2398
40,2,3720,-1481,-3058,-622,-3814,-2339
41,2,1616,-1794,-1648,-736,-4230,-2316
42,2,474,-1995,-731,-765,-4404,-2288
43,2,-282,-1714,-681,-731,-4408,-2260
44,2,-788,-1538,-860,-737,-4432,-2271
45,2,-1129,-1458,-1073,-743,-4447,-2295
46,2,-1348,-1385,-1240,-742,-4462,-2313
47,2,-1527,-1321,-1230,-745,-4486,-2328
48,2,-1619,-1283,-1270,-746,-4497,-2340
49,2,-1708,-1282,-1221,-748,-4510,-2358
50,2,-2043,-1401,-506,-736,-4463,-2382
51,2,-2452,-1623,442,-662,-4189,-2420
52,2,-2277,-1615,697,-542,-3748,-2470
53,2,-1353,-1533,183,-417,-3260,-2518
54,2,227,-1325,-985,-300,-2775,-2487
55,2,2053,-1181,-2575,-231,-2354,-2471
56,2,4486,-1102,-4499,-179,-2090,-2490
57,2,6168,-952,-5732,-150,-2047,-2521
58,2,7053,-723,-6251,-153,-2233,-2560
59,2,6814,-591,-5513,-218,-2663,-2599
60,2,5400,-845,-4415,-379,-3228,-2718
61,2,3289,-1318,-2548,-557,-3757,-2749
62,2,1696,-1662,-732,-646,-3971,-2713
63,2,824,-1717,-446,-655,-4010,-2683
64,2,226,-1639,-594,-673,-4088,-2695
65,2,-350,-1462,-621,-683,-4156,-2705
66,2,-789,-1377,-646,-689,-4182,-2707
67,2,-1092,-1315,-718,-691,-4195,-2715
68,2,-1273,-1191,-796,-687,-4198,-2726
69,2,-1418,-1124,-808,-694,-4197,-2745
70,2,-1611,-1262,-237,-697,-4173,-2778
71,2,-2077,-1520,702,-647,-3987,-2818
72,2,-2475,-1567,1177,-518,-3558,-2842
73,2,-1999,-1497,337,-349,-2976,-2822
74,2,-217,-1173,-1256,-211,-2392,-2743
75,2,4537,-514,-5043,-124,-1888,-2782
76,2,6173,-339,-5581,-117,-1940,-2842
77,2,7176,-82,-5663,-154,-2155,-2882
78,2,6648,-82,-4971,-279,-2583,-2975
79,2,5179,-559,-4208,-479,-3087,-3095
80,2,3181,-761,-2810,-661,-3566,-3068
81,2,997,-1601,-1075,-831,-3857,-3089
82,2,284,-1813,-586,-814,-3910,-3025
83,2,-234,-1441,-632,-788,-3929,-3018
84,2,-732,-1290,-757,-796,-3963,-3035
85,2,-1059,-1273,-876,-802,-3985,-3047
86,2,-1324,-1165,-873,-801,-4005,-3059
87,2,-1504,-1120,-900,-805,-4018,-3069
88,2,-1619,-1107,-939,-813,-4034,-3082
89,2,-1692,-1058,-946,-814,-4051,-3095
