Unnamed: 0,0,1,2,3,4,5,6
75,1,-1619,745,352,-1628,-6373,-1292
76,1,-374,163,86,-1744,-5975,-1300
77,1,1148,-499,-739,-1739,-5648,-1389
78,1,2596,-672,-1763,-1615,-5436,-1537
79,1,3907,-257,-2476,-1446,-5369,-1712
80,1,4438,714,-2617,-1259,-5475,-1907
81,1,4462,2000,-1644,-1148,-5788,-2087
82,1,3968,3106,-503,-1120,-6222,-2101
83,1,3141,3316,768,-1349,-6690,-2034
84,1,2150,3121,1354,-1805,-7031,-1972
85,1,1280,2825,1645,-2353,-7166,-1974
86,1,674,3063,1895,-2732,-7099,-1954
87,1,866,2903,2002,-2979,-6902,-1897
88,1,1844,2206,1888,-3182,-6641,-1873
89,1,2963,1318,1648,-3311,-6334,-1905
90,1,4053,374,663,-3294,-6063,-1954
91,1,4869,-218,-680,-3185,-5886,-2057
92,1,5677,-92,-1616,-3027,-5838,-2182
93,1,5882,760,-1754,-2831,-5933,-2324
94,1,5636,1985,-1274,-2690,-6193,-2448
95,1,4792,3239,-234,-2682,-6624,-2483
96,1,3778,3627,1117,-2905,-7073,-2447
97,1,2825,3529,1497,-3314,-7419,-2376
98,1,2038,3450,1491,-3917,-7667,-2444
99,1,1652,3581,1555,-4408,-7728,-2461
100,1,1470,3298,1922,-4710,-7601,-2386
101,1,1683,2802,2502,-4825,-7350,-2274
102,1,2413,1802,2392,-4913,-7049,-2247
103,1,3356,667,1244,-4916,-6768,-2292
104,1,4283,-68,-113,-4832,-6589,-2392
105,1,5258,-61,-1023,-4676,-6531,-2511
106,1,5985,707,-1272,-4517,-6623,-2660
107,1,5952,2108,-464,-4442,-6867,-2788
108,1,5631,3157,881,-4509,-7193,-2745
109,1,4895,3178,1690,-4751,-7507,-2593
110,1,3997,3116,1733,-5103,-7810,-2482
111,1,3238,3334,1556,-5608,-8122,-2475
112,1,2697,3390,1496,-6131,-8333,-2467
113,1,2275,3337,1875,-6546,-8370,-2394
114,1,1944,3145,2669,-6791,-8209,-2255
115,1,2319,2362,3003,-6910,-7936,-2131
116,1,3070,1260,2339,-6944,-7632,-2095
117,1,4256,285,1167,-6911,-7376,-2106
118,1,5721,-412,236,-6848,-7205,-2128
119,1,6848,-713,-382,-6727,-7109,-2183
120,1,7394,-589,-900,-6599,-7114,-2280
121,1,7407,121,-858,-6492,-7261,-2400
122,1,6865,1224,-254,-6465,-7546,-2514
123,1,5789,2332,915,-6598,-7946,-2536
124,1,4751,2779,2043,-6807,-8282,-2421
125,1,3521,3132,2255,-7121,-8543,-2250
126,1,2530,3084,1876,-7748,-8830,-2238
127,1,2331,3086,1756,-8207,-8937,-2183
128,1,2268,3068,2078,-8457,-8844,-2032
129,1,2430,2756,2604,-8593,-8646,-1883
130,1,3010,2041,2921,-8653,-8390,-1799
131,1,3703,1054,2540,-8620,-8086,-1810
132,1,4786,139,1523,-8532,-7817,-1890
133,1,5991,-427,470,-8405,-7655,-2050
134,1,6915,-512,-164,-8240,-7594,-2265
135,1,7387,130,-316,-8081,-7631,-2473
136,1,7487,920,49,-7995,-7768,-2652
137,1,7057,1889,582,-7993,-8028,-2752
138,1,6095,2582,1459,-8188,-8412,-2750
139,1,4743,2907,2352,-8542,-8788,-2662
140,1,3602,2794,2634,-8981,-9076,-2496
141,1,2619,2594,2514,-9450,-9253,-2402
142,1,2218,2572,2561,-9787,-9278,-2324
143,1,2177,2294,2970,-9910,-9083,-2191
144,1,2658,1792,3265,-9911,-8763,-2077
145,1,3584,898,2916,-9866,-8440,-2063
146,1,4652,3,1967,-9764,-8162,-2148
147,1,5795,-401,973,-9625,-7967,-2281
148,1,6782,-457,288,-9479,-7868,-2422
149,1,7430,-123,-210,-9324,-7868,-2594
150,1,7583,684,-151,-9222,-8027,-2786
151,1,6945,1863,512,-9233,-8369,-2921
152,1,5590,2905,1598,-9455,-8813,-2939
153,1,4410,3138,2330,-9827,-9188,-2819
154,1,3160,3172,2613,-10250,-9439,-2646
155,1,2588,2591,2535,-10655,-9595,-2577
156,1,2726,2834,2622,-10988,-9656,-2434
157,1,2892,2684,3277,-11193,-9521,-2266
158,1,3216,2010,3715,-11246,-9224,-2168
159,1,3870,1046,3290,-11205,-8910,-2160
160,1,4835,66,2408,-11107,-8634,-2253
161,1,6019,-636,1426,-10977,-8412,-2377
162,1,7191,-1019,459,-10817,-8261,-2511
163,1,8109,-807,-24,-10651,-8223,-2679
164,1,8519,-76,35,-10521,-8286,-2841
165,1,8421,751,632,-10446,-8425,-2978
166,1,7926,1551,1246,-10435,-8635,-3047
167,1,6880,2371,1834,-10550,-8946,-3045
168,1,5587,2956,2544,-10819,-9296,-2963
169,1,4483,2929,2915,-11196,-9604,-2762
170,1,3671,2729,2709,-11592,-9827,-2587
171,1,3352,2817,2668,-11944,-9962,-2444
172,1,3210,2875,3305,-12215,-9937,-2231
173,1,3285,2470,3872,-12391,-9746,-2007
174,1,3874,1486,3806,-12465,-9459,-1887
175,1,4850,457,3075,-12451,-9168,-1869
176,1,6010,-240,2195,-12394,-8937,-1889
177,1,7106,-790,1506,-12334,-8766,-1901
178,1,8097,-1236,889,-12248,-8630,-1953
179,1,8834,-1300,275,-12137,-8570,-2054
180,1,9214,-975,4,-12018,-8625,-2203
181,1,9071,-86,484,-11892,-8779,-2391
182,1,8442,1084,1093,-11824,-9013,-2507
183,1,7418,1833,1967,-11893,-9332,-2547
184,1,5982,2467,2726,-12088,-9681,-2486
185,1,4577,2532,2844,-12468,-10031,-2403
186,1,3756,2321,2705,-12848,-10237,-2245
187,1,3048,2451,2966,-13135,-10283,-2046
188,1,2687,2507,3249,-13355,-10184,-1795
189,1,3186,2064,3271,-13547,-10008,-1543
190,1,4152,1327,3455,-13708,-9774,-1360
191,1,4921,166,3469,-13776,-9492,-1299
192,1,5661,-782,2699,-13730,-9225,-1357
193,1,6616,-1257,1691,-13639,-9008,-1459
194,1,7748,-1489,937,-13518,-8849,-1595
195,1,8565,-1451,356,-13357,-8771,-1791
196,1,9300,-791,328,-13163,-8810,-2051
197,1,9315,13,921,-13011,-8928,-2295
198,1,8968,728,1754,-12893,-9058,-2470
199,1,8248,1205,2367,-12834,-9244,-2557
200,1,7129,1243,2852,-12825,-9458,-2663
201,1,6011,1353,2919,-12841,-9637,-2714
202,1,4739,1195,2751,-12882,-9802,-2803
203,1,3548,1084,2281,-12907,-9946,-2897
204,1,2340,745,1901,-12900,-10075,-3070
205,1,1575,599,1131,-12881,-10174,-3120
206,1,999,339,332,-12881,-10252,-3340
207,1,702,183,-288,-12871,-10286,-3358
208,1,482,92,-873,-12858,-10313,-3418
209,1,305,58,-1340,-12845,-10350,-3478
210,1,58,-56,-1611,-12829,-10379,-3527
211,1,35,-138,-1837,-12837,-10404,-3522
212,1,-65,-135,-2071,-12843,-10427,-3546
213,1,-157,-219,-2206,-12855,-10449,-3547
214,1,-214,-211,-2281,-12863,-10469,-3557
215,1,-250,-206,-2368,-12875,-10485,-3568
216,1,-204,-196,-2391,-12888,-10502,-3561
217,1,-188,-172,-2376,-12892,-10513,-3558
218,1,-198,-113,-2333,-12894,-10528,-3570
219,1,-182,-94,-2334,-12899,-10546,-3586
220,1,-181,-87,-2307,-12902,-10565,-3604
221,1,-182,-72,-2275,-12904,-10585,-3625
222,1,-179,-70,-2271,-12908,-10604,-3646
223,1,-179,-70,-2253,-12912,-10625,-3665
224,1,-175,-65,-2235,-12914,-10643,-3685
225,1,-159,-67,-2231,-12917,-10662,-3701
226,1,-158,-62,-2218,-12920,-10681,-3718
227,1,-144,-54,-2206,-12924,-10700,-3737
228,1,-148,-52,-2194,-12929,-10719,-3752
229,1,-144,-57,-2215,-12933,-10738,-3768
230,1,-132,-43,-2209,-12937,-10757,-3784
231,1,-131,-29,-2200,-12941,-10776,-3797
232,1,-122,-20,-2197,-12944,-10794,-3815
233,1,-111,-10,-2191,-12948,-10813,-3830
234,2,6258,-32,78,-14077,-9608,-2664
235,2,7406,258,-276,-13880,-9590,-2997
236,2,7899,1043,128,-13674,-9697,-3369
237,2,7969,2086,1238,-13533,-9898,-3644
238,2,7254,2942,2277,-13530,-10237,-3749
239,2,6176,3182,3124,-13712,-10688,-3717
240,2,5059,3090,3547,-14039,-11090,-3498
241,2,3823,3364,3737,-14381,-11384,-3243
242,2,3907,3220,3626,-14675,-11475,-2881
243,2,4026,3262,4170,-14912,-11354,-2498
244,2,4532,2869,4509,-15140,-11077,-2078
245,2,5267,1977,4225,-15303,-10747,-1844
246,2,6282,840,3192,-15364,-10447,-1825
247,2,7267,-19,2062,-15294,-10229,-2019
248,2,8224,-244,1219,-15140,-10103,-2283
249,2,8916,8,734,-14959,-10058,-2582
250,2,9408,596,824,-14773,-10122,-2881
251,2,9215,1582,1534,-14604,-10316,-3177
252,2,8449,2494,2479,-14550,-10666,-3317
253,2,7387,3081,3481,-14694,-11075,-3168
254,2,5925,3186,3987,-15008,-11469,-2778
255,2,4915,3141,3857,-15349,-11764,-2334
256,2,4814,3128,4044,-15677,-11869,-1788
257,2,4975,2787,4425,-16026,-11808,-1159
258,2,5451,2562,4934,-16322,-11597,-736
259,2,6102,1532,4653,-16577,-11283,-457
260,2,6877,187,3641,-16712,-10987,-423
261,2,7807,-784,2473,-16717,-10772,-531
262,2,8811,-1227,1715,-16656,-10651,-661
263,2,9684,-1314,1411,-16572,-10617,-821
264,2,10018,-267,2002,-16267,-10853,-1186
265,2,9503,625,2704,-16160,-11149,-1251
266,2,8422,1284,3758,-16176,-11547,-1116
267,2,6941,1576,4246,-16343,-11912,-687
268,2,5499,1846,3933,-16604,-12216,-128
269,2,4891,2120,3673,-16912,-12311,584
270,2,4373,2417,3759,-17272,-12271,1335
271,2,4506,2197,3992,-17644,-12108,1949
272,2,4989,1528,4228,-17978,-11857,2286
273,2,5762,441,4395,-18235,-11567,2328
274,2,6502,-755,4261,-18377,-11291,2127
275,2,7247,-1636,3716,-18414,-11071,1829
276,2,8096,-2059,3032,-18370,-10926,1473
277,2,8999,-2238,2507,-18277,-10844,1098
278,2,9706,-2017,2121,-18114,-10833,709
279,2,10034,-1396,2042,-17891,-10945,368
280,2,9877,-675,2504,-17671,-11170,127
281,2,9242,-62,3578,-17514,-11438,74
282,2,8198,496,4452,-17458,-11683,259
283,2,7124,897,4828,-17527,-11889,647
284,2,6132,1148,4805,-17740,-11994,1196
285,2,5353,1187,4940,-18026,-11946,1723
286,2,5016,1190,5067,-18338,-11768,2104
287,2,5010,976,5347,-18659,-11498,2279
288,2,5451,415,5110,-18946,-11180,2269
289,2,6198,-613,4428,-19169,-10874,2089
290,2,7152,-1464,3324,-19232,-10659,1783
291,2,8105,-1869,2545,-19174,-10543,1440
292,2,8881,-1897,2179,-19064,-10481,1112
293,2,9576,-1616,1881,-18917,-10474,809
294,2,9743,-1021,1881,-18712,-10603,571
295,2,9325,-293,2284,-18488,-10862,448
296,2,8273,348,3135,-18338,-11205,531
297,2,6807,1023,4086,-18352,-11526,930
298,2,5684,951,4430,-18558,-11718,1550
299,2,4817,973,4308,-18867,-11736,2132
300,2,4268,1112,4427,-19244,-11613,2561
301,2,4350,846,4498,-19626,-11341,2759
302,2,4981,407,4503,-19963,-11017,2771
303,2,5862,-301,4161,-20239,-10705,2619
304,2,6817,-1143,3572,-20418,-10434,2358
305,2,7816,-1763,2756,-20450,-10240,2013
306,2,8512,-1947,1934,-20396,-10113,1667
307,2,9348,-1675,1293,-20264,-10080,1316
308,2,9774,-1130,1156,-20080,-10145,989
309,2,9732,-398,1390,-19828,-10350,745
