Unnamed: 0,0,1,2,3,4,5,6
15,2,2370,-4969,-11323,-205,-1233,-2560
16,2,3802,-3384,-12457,227,-1104,-2293
17,2,4754,-621,-12178,622,-1190,-2168
18,2,5226,1701,-9590,788,-1431,-2363
19,2,5153,2221,-6630,580,-1588,-2676
20,2,5128,718,-4362,231,-1570,-2910
21,2,4963,-1184,-3314,-49,-1403,-3059
22,2,4733,-2957,-3783,-203,-1143,-3133
23,2,4150,-4009,-4838,-222,-850,-3233
24,2,4207,-5266,-7157,-174,-534,-3204
25,2,3984,-5954,-9043,-23,-201,-3147
26,2,4087,-5843,-11016,234,124,-2967
27,2,4678,-4892,-12157,578,346,-2701
28,2,5279,-2629,-13217,1009,433,-2348
29,2,4698,978,-9733,1419,270,-2568
30,2,4865,1814,-6963,1269,153,-2698
31,2,4612,590,-4955,920,126,-2930
32,2,4415,-1411,-4305,631,260,-3091
33,2,4114,-3189,-4590,463,488,-3228
34,2,3529,-4417,-5569,389,761,-3337
35,2,3087,-5303,-7154,401,1045,-3392
36,2,2944,-5873,-8830,511,1327,-3389
37,2,2967,-6011,-10592,706,1634,-3254
38,2,3190,-5444,-11578,984,1915,-2990
39,2,3721,-4165,-12473,1278,2124,-2621
40,2,4068,-2404,-12771,1574,2204,-2224
41,2,4087,287,-11543,1878,2084,-2062
42,2,3988,1961,-8759,1937,1918,-2123
43,2,3976,2088,-6313,1758,1803,-2279
44,2,3837,1068,-4430,1469,1798,-2479
45,2,3456,-624,-3554,1191,1909,-2641
46,2,2933,-2509,-3752,987,2108,-2851
47,2,2226,-4125,-5021,862,2381,-2994
48,2,1882,-5319,-6536,827,2653,-3090
49,2,1886,-6071,-8061,899,2894,-3124
50,2,2012,-6317,-9054,1064,3142,-3049
51,2,2326,-6014,-10024,1278,3375,-2853
52,2,2958,-4878,-10683,1517,3546,-2550
53,2,3200,-3394,-10771,1726,3612,-2138
54,2,3120,-1423,-9798,1988,3561,-1796
55,2,2837,988,-8373,2224,3434,-1748
56,2,2712,2296,-5856,2106,3263,-1832
57,2,2106,1691,-3597,1822,3159,-2098
58,2,1491,-194,-2404,1488,3207,-2470
59,2,1196,-2715,-2988,1270,3419,-2768
60,2,582,-4412,-4443,1215,3693,-2970
61,2,620,-5472,-6357,1244,3961,-3066
62,2,762,-5878,-7766,1389,4204,-3026
63,2,1329,-5622,-8598,1603,4382,-2872
64,2,2083,-4520,-9119,1820,4492,-2609
65,2,2590,-3170,-9375,2003,4561,-2216
66,2,2421,-992,-8924,2270,4537,-1891
67,2,2470,1383,-7702,2338,4388,-1775
68,2,2373,2385,-5739,2201,4229,-1757
69,2,1857,2308,-3724,1968,4100,-1839
70,2,1083,1303,-2030,1596,4066,-2031
71,2,853,-1093,-1936,1210,4200,-2363
72,2,536,-3631,-3122,1002,4451,-2669
73,2,135,-5117,-4738,956,4688,-2876
74,2,-248,-6304,-6696,1047,4963,-2934
75,2,64,-6507,-8121,1210,5245,-2818
76,2,548,-5927,-9114,1406,5459,-2535
