,0,1,2,3,4,5,6
0,0,-5465,199,-6050,224,-3867,522
1,0,-5411,202,-6027,229,-3939,528
2,0,-5360,195,-5997,233,-4010,534
3,0,-5302,196,-5978,236,-4080,540
4,0,-5250,204,-5963,239,-4151,549
5,0,-5191,151,-5941,239,-4222,557
6,1,-6169,1322,166,-176,-6213,-112
7,1,-8483,2067,175,-718,-5309,-870
8,1,-8625,962,-2537,-784,-4768,-1189
9,1,-7974,-519,-6180,-507,-4340,-1371
10,1,-5544,-1332,-10020,10,-4054,-1493
11,1,-2606,44,-13066,700,-4000,-1442
12,1,200,4552,-12276,1196,-4340,-1409
13,1,585,4892,-6774,696,-4662,-1698
14,1,-608,306,-4777,72,-4360,-1671
15,1,-486,-2915,-7010,-63,-3934,-1633
16,1,26,-3945,-10755,291,-3648,-1759
17,1,1942,-2228,-13791,941,-3531,-1622
18,1,2993,2652,-14355,1524,-3762,-1432
19,1,2912,5685,-9984,1592,-4195,-1515
20,1,2510,5705,-5330,1307,-4442,-1339
21,1,1934,3269,-1865,829,-4417,-1172
22,1,2019,108,-1175,436,-4112,-1065
23,1,2168,-2840,-2514,153,-3700,-1050
24,1,2217,-4224,-5195,123,-3321,-1038
25,1,2485,-4943,-8343,315,-3009,-1054
26,1,2435,-4375,-11473,765,-2838,-997
27,1,4269,-523,-14842,1426,-2904,-659
28,1,2940,4104,-10723,1800,-3473,-690
29,1,2016,4619,-5562,1440,-3760,-676
30,1,1050,2307,-2876,911,-3605,-599
31,1,682,-1733,-2931,537,-3190,-550
32,1,1421,-5311,-5488,493,-2713,-478
33,1,1731,-6047,-8363,728,-2407,-472
34,1,2020,-4860,-10601,1100,-2327,-447
35,1,3403,-716,-12373,1580,-2498,-223
36,1,3563,3815,-9036,1819,-2942,-161
37,1,2593,3682,-4477,1307,-3116,-251
38,1,1345,578,-2736,732,-2853,-260
39,1,687,-2757,-3821,432,-2423,-266
40,1,357,-4576,-6005,473,-2027,-331
41,1,892,-5647,-8933,740,-1751,-357
42,1,1971,-5384,-11606,1086,-1617,-372
43,1,2194,-2877,-13262,1534,-1714,-250
44,1,2084,1466,-13017,1933,-2078,-65
45,1,2235,4954,-8112,1847,-2527,-92
46,1,1799,4322,-3772,1338,-2576,34
47,1,685,1125,-2825,747,-2277,19
48,1,-35,-2534,-3598,472,-1836,40
49,1,-385,-4637,-5967,514,-1412,20
50,1,-170,-5471,-8661,762,-1090,103
51,1,1309,-5770,-11412,1079,-907,205
52,1,2001,-3977,-12949,1479,-931,380
53,1,2354,16,-13596,1899,-1197,648
54,1,1996,4053,-9753,1997,-1707,665
55,1,1737,2938,-4954,1499,-1783,528
56,1,878,-247,-3438,1018,-1429,441
57,1,146,-3102,-5033,792,-980,418
58,1,-233,-5164,-7278,821,-577,420
59,1,-67,-5793,-9848,1095,-311,499
60,1,1431,-5688,-12578,1454,-173,699
61,1,1485,1526,-13285,2265,-756,1225
62,1,956,4271,-8294,2071,-1130,1255
63,1,458,1647,-3994,1512,-994,1154
64,1,371,-2197,-3854,1125,-529,1118
65,1,92,-4325,-5437,997,-74,1155
66,1,-375,-5491,-7639,1058,258,1160
67,1,-201,-5958,-10495,1317,445,1282
68,1,1239,-5442,-13012,1657,510,1496
69,1,1683,-2631,-14440,2075,297,1857
70,1,1033,1767,-11716,2349,-264,2020
71,1,892,3304,-6739,2127,-540,1959
72,1,487,1406,-3525,1651,-347,1870
73,1,-82,-1974,-3239,1256,66,1742
74,1,-368,-4294,-4936,1083,486,1700
75,1,-475,-5603,-7283,1120,801,1693
76,1,-77,-6235,-9607,1353,976,1766
77,1,798,-6144,-11755,1694,1025,1998
78,1,1971,-3712,-13630,2041,926,2344
79,1,1676,410,-12858,2329,510,2626
80,1,1367,2844,-7869,2286,110,2593
81,1,767,1750,-3788,1835,195,2509
82,1,-99,-1196,-2728,1400,592,2429
83,1,-498,-4229,-4081,1147,1077,2404
84,1,-877,-6014,-6387,1122,1450,2427
85,1,-1119,-7242,-9279,1306,1645,2526
86,1,359,-7559,-11698,1581,1689,2739
87,1,1049,-5333,-13678,1926,1540,3119
88,1,565,-1310,-13404,2239,1153,3565
89,1,441,1966,-9756,2338,704,3604
90,1,329,2108,-5469,2024,630,3506
91,1,-182,-173,-2899,1552,917,3356
92,1,-661,-3306,-3243,1200,1353,3268
93,1,-1360,-5367,-4903,1061,1771,3186
94,1,-1235,-7010,-7669,1146,2049,3195
95,1,-6,-8148,-10780,1323,2180,3357
96,1,110,-7375,-12917,1595,2151,3624
97,1,368,-4515,-13987,1915,1870,4065
