Unnamed: 0,0,1,2,3,4,5,6
0,0,-5908,606,-832,1239,-5542,-2422
1,0,-4874,-373,-1568,589,-5320,-2279
2,0,-3142,-2009,-2063,173,-5093,-2127
3,0,-1040,-3434,-2373,-20,-4887,-2023
4,0,1330,-4304,-2084,-68,-4737,-1947
5,0,3286,-5208,-1684,-74,-4668,-2001
6,0,4311,-5611,-1805,74,-4671,-2158
7,0,4161,-5147,-2406,388,-4848,-2357
8,0,2622,-3426,-2907,943,-5153,-2458
9,0,480,-1366,-2831,1501,-5556,-2446
10,0,-1685,-132,-1418,1938,-5988,-2495
11,0,-2192,297,164,2226,-6254,-2450
12,0,-2294,149,1074,2428,-6323,-2384
13,0,-3122,-1621,1219,2289,-6173,-2543
14,0,-4749,-3784,245,2444,-5882,-2731
15,0,-5952,-5422,-700,2753,-5611,-3155
16,0,-6788,-5031,-1530,3236,-5594,-3806
17,0,-6244,-3881,-1461,3801,-5735,-4452
18,0,-4446,-2858,-907,4434,-5815,-4864
19,0,-1775,-973,-244,5004,-5834,-4907
20,0,876,549,609,5177,-5772,-4964
21,0,3160,613,1276,5170,-5687,-4972
22,0,4370,1308,1918,5080,-5595,-4896
23,0,4563,1515,1149,4752,-5514,-4624
24,0,3401,1195,-817,4297,-5597,-4104
25,0,1502,-380,-2538,3676,-5894,-3836
26,0,-914,-3000,-3204,3273,-6399,-3694
27,0,-3340,-5331,-1893,3123,-6991,-3772
28,0,-3786,-5104,-129,3257,-7370,-3767
29,0,-3513,-4618,581,2950,-7366,-4021
30,0,-4377,-2865,926,2617,-7192,-4179
31,0,-6159,-721,629,2241,-6929,-4064
32,0,-7636,674,-327,1654,-6634,-3804
33,0,-7532,873,-1188,994,-6371,-3550
34,0,-5932,-162,-2087,425,-6093,-3300
35,0,-3874,-1924,-2395,44,-5846,-3040
36,0,-1311,-3493,-2618,-174,-5619,-2840
37,0,1447,-5156,-2830,-248,-5461,-2805
38,0,3477,-5726,-2744,-166,-5420,-2942
39,0,4599,-5810,-2220,18,-5478,-3185
40,0,4746,-4993,-1632,319,-5565,-3448
