Unnamed: 0,0,1,2,3,4,5,6
50,1,1389,1754,-2468,-2965,-3609,-785
51,1,1874,1124,-2429,-2872,-3598,-886
52,1,1776,853,-2213,-2655,-3724,-960
53,1,2213,436,-1319,-2542,-3788,-1090
54,1,2720,101,-780,-2561,-3740,-1106
55,1,2608,-327,52,-2607,-3645,-1130
56,1,2103,-239,145,-2769,-3472,-1106
57,1,2830,-82,-682,-2921,-3335,-1258
58,1,4015,16,-1316,-2898,-3340,-1361
59,1,4825,60,-900,-2629,-3442,-1381
60,1,5256,1152,360,-2188,-3484,-1267
61,1,5209,1243,1310,-1860,-3384,-1091
62,1,4683,1751,942,-1755,-3237,-1074
63,1,3948,1575,1138,-1742,-3168,-1096
64,1,3385,1528,1892,-1643,-2963,-1166
65,1,2927,1741,2267,-1435,-2570,-1405
66,1,3205,1324,1237,-1116,-2166,-1752
67,1,3239,1101,193,-670,-1976,-2087
68,1,2170,1603,-733,-188,-1974,-2248
69,1,2183,2232,-640,103,-1972,-2368
70,1,2310,2275,-194,150,-1940,-2369
71,1,2345,2256,-37,115,-1901,-2352
72,1,2005,2094,-124,-116,-1866,-2265
73,1,2127,1724,-639,-547,-1820,-2198
74,1,2874,1026,-1335,-973,-1797,-2073
75,1,2978,-54,-1158,-1355,-1934,-1807
76,1,2880,-323,110,-1541,-2163,-1391
77,1,2704,224,1229,-1589,-2363,-1048
78,1,2733,930,1108,-1695,-2489,-940
79,1,2916,1563,666,-1841,-2562,-909
80,1,3640,2013,691,-2044,-2598,-854
81,1,4497,2343,1122,-2365,-2587,-829
82,1,5240,2306,1253,-2712,-2483,-832
83,1,5516,1871,576,-2848,-2349,-915
84,1,4149,1340,-733,-2703,-2355,-927
85,1,3503,962,-1377,-2546,-2487,-950
86,1,3186,238,-696,-2459,-2587,-1022
87,1,3207,-246,2,-2479,-2580,-1025
88,1,3198,-440,232,-2477,-2539,-1035
89,1,1712,-856,575,-2677,-2325,-1076
90,1,2209,-345,-268,-2811,-2193,-1198
91,1,3225,-423,-1140,-2812,-2205,-1320
92,1,4158,-220,-603,-2526,-2319,-1213
93,1,4567,836,398,-2113,-2315,-975
94,1,4422,622,1283,-1813,-2203,-810
95,1,3770,1174,726,-1712,-2102,-795
96,1,3053,1611,617,-1628,-2010,-791
97,1,2357,1493,1541,-1514,-1820,-846
98,1,1822,1654,2374,-1298,-1463,-1126
99,1,1857,1188,1595,-948,-1119,-1481
100,1,1997,868,405,-526,-973,-1682
101,1,1636,984,-603,-125,-991,-1737
102,1,1358,1277,-458,184,-1048,-1818
103,1,1438,1102,-151,236,-1037,-1839
104,1,1607,1034,153,224,-1019,-1831
105,1,1513,1002,304,118,-992,-1789
106,1,1312,1027,-8,-200,-930,-1706
107,1,1983,939,-816,-587,-869,-1651
108,1,2409,437,-962,-985,-907,-1528
109,1,2193,-466,-626,-1360,-1062,-1291
110,1,2009,-487,110,-1610,-1296,-992
111,1,1867,-401,935,-1742,-1545,-737
112,1,1769,676,1108,-1811,-1697,-583
113,1,1707,1046,511,-1937,-1740,-570
114,1,1951,1545,180,-2044,-1784,-535
115,1,2644,1859,539,-2207,-1832,-524
116,1,3386,2317,1018,-2462,-1813,-558
117,1,3633,2703,1447,-2735,-1707,-646
118,1,3606,2284,1011,-2861,-1559,-723
119,1,3082,1368,-239,-2774,-1500,-767
120,1,2119,384,-1420,-2585,-1602,-861
121,1,2281,180,-866,-2476,-1701,-884
122,1,2340,-241,-320,-2505,-1698,-893
123,1,2425,-587,217,-2521,-1673,-919
124,1,1902,-1249,448,-2599,-1576,-985
125,1,1402,-1285,-23,-2789,-1449,-1056
126,1,2918,-1118,-1019,-2780,-1432,-1136
127,1,3396,-463,-557,-2476,-1516,-968
128,1,3935,623,637,-2171,-1537,-724
129,1,3614,1264,1255,-1983,-1428,-535
