,0,1,2,3,4,5,6
0,0,2112,-437,-173,354,-6096,233
1,0,1146,-573,1089,358,-6337,261
2,0,274,-410,2282,393,-6461,295
3,0,-413,-326,2712,402,-6410,304
4,0,-986,-349,2941,371,-6265,266
5,0,-1342,-282,2819,351,-6036,207
6,0,-1114,-146,1726,326,-5776,127
7,0,-82,-409,914,304,-5546,47
8,0,952,-680,141,304,-5348,-36
9,0,2236,-519,-1345,343,-5207,-31
10,0,3409,-436,-2268,351,-5186,-13
11,0,3939,-621,-2549,360,-5283,45
12,0,3744,-688,-2277,379,-5472,87
13,0,2924,-441,-1025,376,-5720,107
14,0,1863,-431,2,351,-5953,139
15,0,963,-664,1252,335,-6157,153
16,0,213,-825,2384,365,-6246,193
17,0,-397,-610,2618,391,-6182,195
18,0,-942,-585,2420,364,-5838,70
19,0,-558,-559,1855,369,-5615,6
20,0,138,-582,1306,374,-5398,-75
21,0,1015,-799,585,375,-5180,-159
22,0,2183,-736,-891,389,-5001,-201
23,0,3377,-450,-2123,406,-4940,-196
24,0,4092,-501,-3003,398,-4993,-137
25,0,4059,-581,-2619,405,-5165,-65
26,0,3471,-548,-1578,414,-5410,-23
27,0,2509,-486,-517,412,-5648,26
28,0,1563,-626,567,403,-5861,80
29,0,583,-855,1567,374,-6019,63
30,0,-121,-1084,2699,382,-6040,56
31,0,-698,-875,2598,414,-5924,53
32,0,-959,-751,2486,401,-5754,-27
33,0,-907,-780,2194,420,-5539,-100
34,0,-404,-767,1754,446,-5309,-166
35,0,416,-711,589,462,-5075,-231
36,0,3015,-517,-2025,491,-4817,-251
37,0,3827,-644,-2416,468,-4845,-236
38,0,3952,-697,-2700,454,-4976,-198
39,0,3561,-648,-2092,462,-5189,-144
40,0,2630,-541,-998,479,-5445,-71
41,0,1553,-525,249,478,-5676,-23
42,0,736,-694,1667,488,-5816,10
43,0,70,-645,2142,490,-5809,2
44,0,-460,-589,2447,472,-5707,-43
45,0,-756,-678,2577,470,-5527,-111
46,0,-748,-542,2336,491,-5298,-172
47,0,-254,-423,1449,495,-5054,-257
48,0,808,-476,312,499,-4828,-317
49,0,2052,-608,-1227,522,-4672,-335
50,0,3219,-482,-2422,534,-4635,-314
51,0,3919,-611,-2637,523,-4694,-278
52,0,3827,-635,-2252,529,-4843,-217
53,0,3420,-488,-1543,542,-5040,-148
54,0,2491,-356,-652,549,-5262,-108
55,0,1564,-185,244,560,-5472,-54
56,0,770,-359,1148,553,-5618,-36
57,0,54,-491,2376,554,-5631,-64
58,0,-484,-406,2518,547,-5514,-101
59,0,-753,-498,2423,528,-5327,-195
60,0,-671,-588,2148,537,-5102,-318
61,0,-141,-615,1199,566,-4860,-383
62,0,838,-558,-210,596,-4659,-418
63,0,2097,-385,-1618,623,-4543,-412
64,0,3066,-401,-2293,613,-4550,-412
65,0,3455,-628,-2519,610,-4656,-363
66,0,3204,-647,-2007,620,-4859,-316
67,0,2385,-555,-901,641,-5109,-252
68,0,1403,-517,17,632,-5323,-223
69,0,637,-611,1240,630,-5475,-197
70,0,-6,-773,2127,618,-5500,-214
71,0,-594,-740,2525,617,-5411,-264
72,0,-961,-797,2561,605,-5231,-350
73,0,-923,-821,2180,621,-5003,-420
74,0,-339,-858,1424,640,-4762,-503
75,0,705,-808,274,677,-4537,-540
76,0,1976,-573,-1230,703,-4386,-545
77,0,2967,-490,-2188,707,-4349,-520
78,0,3533,-728,-2468,689,-4406,-472
79,0,3602,-854,-2329,680,-4544,-430
80,0,3017,-640,-1549,713,-4762,-378
81,0,2170,-555,-341,742,-4999,-328
82,0,1213,-535,1001,750,-5190,-299
83,0,587,-570,1884,741,-5268,-290
84,0,102,-556,2382,731,-5239,-307
85,0,-313,-477,2477,715,-5120,-353
86,0,-499,-589,2409,703,-4948,-424
87,0,-305,-601,1960,715,-4739,-489
88,0,283,-525,1118,732,-4527,-549
89,0,1182,-535,115,735,-4334,-599
90,0,2426,-613,-1130,740,-4194,-625
91,0,3373,-543,-1947,750,-4155,-610
92,0,3859,-594,-2236,742,-4214,-584
93,0,3873,-602,-2027,751,-4365,-532
94,0,3222,-524,-1212,776,-4570,-470
95,0,2384,-490,-396,779,-4763,-429
96,0,1566,-392,254,771,-4932,-403
97,0,869,-461,1008,755,-5061,-400
98,0,145,-714,1932,748,-5091,-411
99,0,-385,-753,2195,751,-5011,-445
100,0,-729,-661,2241,752,-4858,-502
