,0,1,2,3,4,5,6
0,0,1071,2726,-3307,95,-3310,5511
1,0,884,3465,-3917,282,-3390,5680
2,0,508,3609,-4542,410,-3474,5771
3,0,14,3403,-5088,518,-3544,5868
4,0,-504,3134,-5586,629,-3601,5971
5,0,-884,2900,-6070,744,-3686,6050
6,0,-1144,2802,-6340,827,-3756,6131
7,0,-1616,2471,-6757,860,-3798,6196
8,0,-1990,2142,-6969,896,-3850,6258
9,0,-2155,2002,-7137,940,-3899,6322
10,0,-2305,1812,-7278,975,-3943,6388
11,0,-2392,1746,-7349,1002,-3981,6451
12,0,-2527,1984,-7381,993,-4000,6496
13,0,-2448,2162,-7464,875,-3959,6496
14,0,-2082,2115,-6858,723,-3914,6421
15,0,-1423,2566,-6010,515,-3814,6244
16,0,-424,2550,-4829,251,-3665,6101
17,0,271,2540,-3457,-34,-3490,5958
18,0,845,2239,-2372,-231,-3346,5811
19,0,1308,1802,-1593,-316,-3263,5680
20,0,1647,1182,-1030,-317,-3243,5544
21,0,1686,653,-672,-243,-3283,5459
22,0,1540,-19,-404,-142,-3370,5365
23,0,1506,-462,-145,-32,-3469,5280
24,0,1437,-885,-49,40,-3527,5231
25,0,1424,-1116,266,70,-3546,5201
26,0,1403,-1288,432,68,-3536,5171
27,0,1451,-1474,574,55,-3522,5145
28,0,1434,-1644,712,44,-3511,5117
29,0,1428,-1746,867,33,-3499,5092
30,0,1416,-1835,883,20,-3484,5067
31,0,1397,-1948,771,6,-3471,5054
32,0,1175,-2118,463,4,-3457,5157
33,0,1049,-2205,-223,59,-3449,5535
34,0,694,-1319,-881,128,-3513,5826
35,0,389,-161,-1307,220,-3623,6035
36,0,122,1009,-1776,362,-3743,6203
37,0,-48,2096,-2537,534,-3855,6393
38,0,-70,2595,-3157,683,-3941,6556
39,0,-203,2838,-3749,815,-4017,6699
40,0,-433,2693,-4319,902,-4068,6809
41,0,-680,2384,-4812,978,-4120,6877
42,0,-937,2222,-5267,1055,-4172,6937
43,0,-1166,2120,-5675,1111,-4210,7015
44,0,-1506,1898,-6005,1143,-4248,7083
45,0,-1709,1720,-6206,1174,-4287,7144
46,0,-1851,1703,-6356,1194,-4314,7207
47,0,-1828,1907,-6499,1148,-4306,7246
48,0,-1767,1843,-6326,1050,-4276,7261
49,0,-1483,2003,-6077,927,-4250,7218
50,0,-1121,2164,-5309,729,-4172,7024
51,0,-461,2191,-4225,530,-4063,6872
52,0,394,2090,-3157,312,-3908,6758
53,0,1029,1895,-2029,103,-3737,6649
54,0,1526,1512,-1258,-50,-3590,6533
55,0,2037,1174,-767,-127,-3509,6433
56,0,2357,660,-406,-156,-3482,6321
57,0,2466,155,-131,-129,-3510,6219
58,0,-5259,390,-7001,638,-4313,623
59,0,-5212,385,-6980,645,-4389,635
60,0,-5155,382,-6940,655,-4465,646
61,0,-5102,378,-6916,665,-4539,658
62,0,-5040,374,-6874,675,-4613,671
63,0,-4985,362,-6844,683,-4686,683
64,1,1339,2669,-1355,-297,-5429,1593
65,1,1924,2563,-999,-314,-5376,1501
66,1,2142,2430,-744,-236,-5380,1410
67,1,2130,2280,-460,-126,-5419,1329
68,1,2148,2022,-285,-25,-5451,1266
69,1,2216,1812,-181,38,-5462,1259
70,1,2255,1649,30,59,-5453,1271
71,1,2305,1566,134,82,-5438,1331
72,1,2298,1803,232,116,-5399,1511
73,1,2286,1890,-170,180,-5362,1860
74,1,2302,2453,-876,173,-5368,2197
75,1,2386,2884,-1362,106,-5411,2417
76,1,2604,3392,-1903,90,-5461,2614
77,1,2927,4149,-2534,154,-5519,2800
78,1,3325,4729,-2878,277,-5571,2930
79,1,3343,5317,-3301,495,-5599,3064
80,1,3204,5586,-3835,688,-5620,3172
81,1,2757,5661,-4356,840,-5671,3261
82,1,2322,5634,-4831,929,-5713,3357
83,1,1827,5394,-5261,959,-5739,3439
84,1,1341,5262,-5714,973,-5757,3519
85,1,1017,5121,-5978,983,-5779,3602
86,1,866,5209,-6221,953,-5786,3664
87,1,880,5079,-5952,808,-5766,3658
88,1,1087,5201,-5172,559,-5650,3488
89,1,1777,5106,-4172,301,-5505,3362
90,1,2432,4893,-2878,9,-5334,3293
91,1,3055,4199,-1994,-242,-5153,3224
92,1,3604,3546,-1496,-377,-5037,3109
93,1,3815,2967,-1132,-392,-4986,3012
94,1,3834,2221,-865,-339,-4995,2891
95,1,3239,1155,-319,-55,-5191,2685
