,0,1,2,3,4,5,6
0,0,-2694,-566,-2272,-880,-5569,-75
1,0,-2763,-496,-2363,-883,-5610,-72
2,0,-2816,-449,-2416,-883,-5651,-69
3,0,-2826,-396,-2387,-882,-5687,-67
4,0,-2897,-447,-2088,-890,-5701,-86
5,0,-2962,-645,-1538,-881,-5647,-132
6,0,-3184,-911,-767,-789,-5444,-172
7,0,-3144,-1010,-147,-628,-5100,-188
8,0,-2549,-855,72,-476,-4674,-202
9,0,-1234,-563,-588,-359,-4234,-155
10,0,722,-157,-1724,-306,-3862,-110
11,0,2846,85,-3011,-317,-3647,-106
12,0,4615,93,-3844,-354,-3572,-131
13,0,5928,124,-4236,-366,-3560,-137
14,0,6663,227,-4381,-402,-3652,-141
15,0,6577,46,-4098,-524,-3932,-193
16,0,5443,-223,-3561,-688,-4378,-218
17,0,3534,-650,-2706,-862,-4898,-192
18,0,-158,-1160,-1008,-969,-5493,-65
19,0,-983,-1082,-881,-950,-5593,-17
20,0,-1562,-948,-1200,-928,-5624,-3
21,0,-1978,-823,-1592,-927,-5654,-10
22,0,-2247,-716,-1948,-927,-5686,-24
23,0,-2419,-643,-2194,-930,-5725,-31
24,0,-2535,-634,-2348,-939,-5765,-34
25,0,-2620,-588,-2455,-940,-5809,-32
26,0,-2696,-537,-2445,-949,-5860,-33
27,0,-2780,-510,-2400,-962,-5900,-35
28,0,-2843,-488,-2318,-977,-5926,-49
29,0,-2934,-530,-2119,-986,-5923,-70
30,0,-3085,-677,-1474,-946,-5831,-88
31,0,-3193,-749,-708,-855,-5576,-84
32,0,-2911,-665,-91,-782,-5204,-97
33,0,-1993,-649,-174,-742,-4802,-145
34,0,-614,-622,-980,-679,-4408,-163
35,0,1355,-450,-2196,-632,-4110,-176
36,0,5040,-345,-3421,-593,-3853,-242
37,0,6242,-191,-3557,-576,-3816,-246
38,0,6958,5,-3789,-587,-3840,-234
39,0,7026,76,-4005,-680,-4035,-244
40,0,6164,-129,-3472,-852,-4404,-239
41,0,4384,-494,-2804,-1029,-4861,-174
42,0,2133,-928,-2173,-1161,-5317,-107
43,0,229,-1139,-1300,-1210,-5675,-40
44,0,-978,-942,-842,-1155,-5848,25
45,0,-1639,-709,-1152,-1129,-5896,63
46,0,-2143,-610,-1763,-1135,-5915,77
47,0,-2397,-565,-2307,-1140,-5941,76
48,0,-2569,-478,-2600,-1133,-5988,62
49,0,-2707,-382,-2743,-1129,-6039,57
50,0,-2812,-378,-2819,-1133,-6091,58
51,0,-2927,-356,-2886,-1134,-6132,55
52,0,-2964,-329,-2949,-1135,-6171,52
53,0,-2962,-300,-2991,-1139,-6206,52
54,0,-2989,-285,-2937,-1142,-6238,51
55,0,-2971,-295,-2711,-1144,-6248,48
56,0,-3029,-310,-2091,-1129,-6186,50
57,0,-3218,-383,-1174,-1076,-5959,64
58,0,-3187,-454,-548,-1001,-5581,61
59,0,-2306,-510,-114,-913,-5163,52
60,0,-885,-387,-919,-808,-4760,26
61,0,1120,52,-1642,-741,-4466,22
62,0,2958,298,-2380,-709,-4266,1
63,0,4634,498,-2695,-689,-4156,-3
64,0,5920,682,-2941,-685,-4092,4
65,0,6845,861,-3148,-709,-4077,29
66,0,7208,811,-3378,-796,-4184,51
67,0,6798,478,-3306,-946,-4464,44
68,0,5285,-10,-3032,-1107,-4926,61
69,0,2916,-482,-2250,-1240,-5427,67
70,0,738,-816,-1554,-1314,-5836,80
71,0,-510,-770,-991,-1312,-6106,137
72,0,-1307,-735,-1035,-1280,-6210,184
73,0,-2236,-677,-2313,-1261,-6251,208
74,0,-2522,-657,-2737,-1260,-6294,201
75,0,-2680,-597,-2953,-1257,-6344,196
76,0,-2783,-571,-3096,-1260,-6393,193
77,0,-2886,-588,-3207,-1268,-6440,186
78,0,-2929,-567,-3281,-1272,-6489,181
79,0,-2944,-523,-3344,-1277,-6536,175
80,0,-2983,-509,-3341,-1287,-6583,172
81,0,-2985,-525,-3283,-1297,-6622,166
82,0,-2979,-453,-3135,-1316,-6647,153
83,0,-3069,-516,-2686,-1354,-6633,122
84,0,-3373,-666,-1813,-1326,-6478,116
85,0,-3462,-668,-1108,-1210,-6137,144
86,0,-2990,-549,-719,-1115,-5727,162
87,0,-1758,-466,-460,-1060,-5340,137
88,0,-60,-260,-1093,-992,-4989,136
89,0,1943,7,-1802,-963,-4746,131
90,0,3826,29,-2373,-966,-4599,92
91,0,5321,106,-2766,-956,-4522,73
92,0,6406,215,-2961,-955,-4499,79
93,0,6924,298,-3134,-995,-4591,95
94,0,6474,244,-3243,-1117,-4897,86
95,0,4900,-223,-2602,-1325,-5373,76
96,0,2797,-654,-1708,-1491,-5840,103
97,0,878,-1002,-974,-1579,-6171,152
98,0,-315,-910,-713,-1569,-6396,225
99,0,-1005,-857,-768,-1552,-6520,251
100,0,-1553,-759,-1369,-1530,-6547,249
101,0,-1991,-713,-1988,-1531,-6572,241
102,0,-2244,-646,-2414,-1532,-6607,230
103,0,-2387,-608,-2685,-1531,-6646,224
104,0,-2536,-563,-2826,-1531,-6688,225
105,0,-2625,-566,-2896,-1539,-6734,227
106,0,-2695,-552,-2955,-1541,-6774,221
107,0,-2715,-534,-3027,-1544,-6816,221
108,0,-2756,-526,-3035,-1547,-6857,223
109,0,-2732,-526,-3027,-1544,-6898,223
110,0,-2699,-477,-2961,-1539,-6934,221
111,0,-2674,-449,-2753,-1544,-6961,216
112,0,-2673,-425,-2297,-1552,-6941,199
113,0,-2811,-404,-1722,-1524,-6798,206
114,0,-2932,-488,-907,-1491,-6539,201
115,0,-2587,-567,-353,-1451,-6205,172
116,0,-1661,-452,-52,-1385,-5833,161
117,0,-204,-569,-232,-1346,-5474,106
118,0,1396,-505,-913,-1285,-5159,69
119,0,3156,-297,-1788,-1236,-4934,49
120,0,4874,-223,-2569,-1227,-4803,15
121,0,6216,-191,-3010,-1225,-4758,7
122,0,6995,-152,-3211,-1235,-4785,22
123,0,7159,-203,-3329,-1291,-4971,17
124,0,6343,-321,-2844,-1389,-5347,33
125,0,4717,-406,-1870,-1514,-5805,50
126,0,2512,-722,-1012,-1652,-6229,51
127,0,856,-912,-575,-1706,-6536,100
128,0,-217,-858,-487,-1701,-6732,151
129,0,-918,-747,-742,-1682,-6829,183
130,0,-1445,-620,-1336,-1670,-6868,199
131,0,-1848,-593,-1899,-1675,-6902,196
132,0,-2086,-510,-2325,-1671,-6941,190
133,0,-2237,-448,-2610,-1671,-6988,189
134,0,-2378,-418,-2766,-1679,-7032,193
135,0,-2484,-411,-2894,-1685,-7075,195
136,0,-2574,-370,-3004,-1689,-7116,199
137,0,-2611,-360,-3058,-1693,-7159,199
