Unnamed: 0,0,1,2,3,4,5,6
0,0,4129,-1672,1651,-2332,-2977,-1798
1,0,4587,-1677,1586,-2380,-3037,-1886
2,0,4528,-1557,1500,-2399,-3113,-2069
3,0,4268,-1691,976,-2418,-3197,-2283
4,0,3712,-1965,591,-2411,-3275,-2432
5,0,3218,-2215,64,-2424,-3318,-2520
6,0,2750,-3146,-430,-2488,-3371,-2562
7,0,2555,-3368,-533,-2458,-3406,-2490
8,0,2571,-3363,214,-2374,-3316,-2398
9,0,2790,-3175,331,-2289,-3121,-2302
10,0,2941,-2617,844,-2224,-2923,-2184
11,0,3082,-2039,1459,-2218,-2743,-2072
12,0,3143,-1704,1775,-2249,-2582,-1987
13,0,3632,-1413,1492,-2273,-2491,-1973
14,0,4230,-1178,1277,-2299,-2510,-2034
15,0,4456,-1128,1150,-2313,-2595,-2188
16,0,4352,-1264,873,-2321,-2715,-2394
17,0,3880,-1622,815,-2334,-2843,-2555
18,0,3110,-2349,595,-2309,-2889,-2677
19,0,2897,-2533,-200,-2250,-2862,-2761
20,0,2718,-3014,-437,-2221,-2825,-2733
21,0,2857,-3158,-413,-2192,-2803,-2664
22,0,2922,-2994,322,-2135,-2712,-2512
23,0,3003,-2805,535,-2088,-2565,-2465
24,0,3219,-2374,807,-2063,-2429,-2414
25,0,3397,-1870,956,-2052,-2315,-2353
26,0,3585,-1472,1378,-2069,-2198,-2259
27,0,3571,-1360,1613,-2119,-2070,-2156
28,0,4089,-1187,1219,-2138,-2001,-2155
29,0,4473,-945,1116,-2153,-2005,-2265
30,0,4632,-872,1032,-2158,-2050,-2456
31,0,4472,-1086,806,-2177,-2141,-2673
32,0,4181,-1462,227,-2186,-2221,-2846
33,0,3744,-2072,-269,-2218,-2262,-2921
34,0,3282,-2809,-731,-2238,-2279,-2930
35,0,3216,-3121,-517,-2187,-2307,-2864
36,0,2967,-3115,117,-2139,-2269,-2790
37,0,2747,-2640,978,-2047,-2055,-2665
38,0,2462,-2001,1537,-2049,-1934,-2482
39,0,2652,-1726,1644,-2090,-1840,-2402
40,0,3097,-1410,1423,-2116,-1780,-2438
41,0,3329,-1247,1225,-2121,-1742,-2554
42,0,3518,-994,913,-2116,-1740,-2706
43,0,3492,-1294,671,-2131,-1757,-2839
44,0,3344,-1749,648,-2137,-1772,-2929
45,0,3257,-1922,120,-2125,-1748,-3018
46,0,3197,-2569,-154,-2129,-1750,-3075
47,0,3216,-2899,-30,-2093,-1771,-3083
48,0,3110,-2878,261,-2035,-1756,-3042
49,0,3081,-2692,456,-1996,-1702,-2992
50,0,3116,-2540,593,-1984,-1648,-2937
51,0,3120,-2314,793,-1982,-1564,-2868
52,0,2872,-1914,1444,-2008,-1461,-2724
53,0,2919,-1547,1659,-2010,-1330,-2601
54,0,3376,-1000,1147,-1995,-1248,-2579
55,0,3658,-709,1115,-1983,-1224,-2659
56,0,3823,-243,913,-1963,-1220,-2798
57,0,3758,-389,805,-1979,-1257,-2954
58,0,3522,-724,594,-2003,-1303,-3089
59,0,3321,-1288,38,-2042,-1368,-3190
60,0,2885,-1927,-277,-2089,-1439,-3210
61,0,2608,-2558,-309,-2081,-1482,-3171
62,0,2352,-2658,196,-2007,-1445,-3126
63,0,2318,-2374,522,-1942,-1351,-3073
64,0,2397,-1978,740,-1918,-1255,-3009
65,0,2475,-1681,1034,-1918,-1153,-2947
66,0,2270,-1407,1637,-1943,-1034,-2833
67,0,2505,-1109,1385,-1957,-927,-2740
68,0,2894,-830,1327,-1957,-894,-2764
69,0,3205,-421,991,-1935,-871,-2877
70,0,3300,-414,986,-1932,-895,-2996
71,0,3340,-434,674,-1957,-917,-3113
72,0,3119,-1080,321,-2008,-971,-3208
73,0,2563,-2043,-260,-2026,-1069,-3252
74,0,2349,-2139,73,-1991,-1083,-3218
75,0,2088,-2176,469,-1937,-1049,-3192
76,0,2035,-2019,748,-1888,-987,-3158
77,0,1998,-1729,939,-1865,-907,-3102
78,0,1878,-1376,1366,-1881,-811,-2964
79,0,2065,-1024,1241,-1910,-710,-2828
80,0,2340,-679,1226,-1931,-632,-2775
81,0,2593,-416,1090,-1934,-583,-2817
82,0,2831,-70,893,-1913,-585,-2918
83,0,2929,88,844,-1904,-620,-3044
84,0,2888,-309,573,-1924,-654,-3172
85,0,2677,-905,452,-1933,-671,-3263
86,0,2482,-1146,166,-1919,-654,-3319
87,0,2442,-1511,-215,-1904,-643,-3307
88,0,2507,-1785,-17,-1883,-629,-3230
89,0,2574,-1791,271,-1833,-542,-3183
90,0,2636,-1416,524,-1795,-449,-3119
91,0,2697,-351,995,-1827,-349,-2902
92,0,2670,-157,1275,-1890,-313,-2795
93,0,2637,131,1285,-1909,-268,-2775
94,0,2874,378,1009,-1867,-207,-2860
95,0,3157,470,688,-1821,-179,-2979
96,0,3179,184,627,-1812,-184,-3100
97,0,3009,-104,522,-1810,-196,-3204
98,0,2846,-543,188,-1818,-217,-3284
99,0,2664,-915,-58,-1837,-239,-3312
100,0,2569,-1381,-231,-1837,-266,-3307
101,0,2425,-1547,43,-1812,-299,-3263
102,0,2288,-1620,438,-1748,-264,-3143
103,0,2231,-878,527,-1720,-212,-3032
104,0,2131,-478,859,-1758,-173,-2969
105,0,1962,-135,1134,-1810,-111,-2863
106,0,1890,265,1320,-1862,-44,-2788
107,0,2130,332,1305,-1880,35,-2809
108,0,2426,397,1032,-1833,116,-2921
109,0,2874,352,559,-1797,147,-3154
110,0,2842,-161,406,-1800,137,-3262
111,0,2582,-644,175,-1797,127,-3319
112,0,2688,-908,-363,-1773,144,-3330
113,0,2789,-1215,-549,-1791,98,-3281
114,0,2556,-1347,-33,-1788,41,-3198
115,0,2266,-986,427,-1747,27,-3137
116,0,1999,-571,680,-1736,21,-3067
117,0,1609,-284,1325,-1775,41,-2990
118,0,1373,4,1604,-1833,126,-2857
119,0,1541,294,1432,-1874,230,-2806
120,0,1874,600,1247,-1898,339,-2787
121,0,2216,602,944,-1903,416,-2849
122,0,2595,843,672,-1869,436,-2981
123,0,2768,679,593,-1859,402,-3115
124,0,2788,411,74,-1874,337,-3254
